poslovanja	poslovanje	Ncnpn
novi	nov	Agpmsayn
Obrazac	obrazac	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
će	htjeti	Var3s
na	na	Sl
temelju	temelj	Ncmsl
zaprimljenih	zaprimiti	Agpmpgy
popunjenih	popuniti	Agpmpgy
obrazaca	obrazac	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ili	ili	Cc
stavka	stavak	Ncmsg
4.	4.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
sastaviti	sastaviti	Vmn
informativnu	informativan	Agpfsay
listu	lista	Ncfsa
ponude	ponuda	Ncfsg
kredita	kredit	Ncmsg
u	u	Sl
domaćoj	domaći	Agpfsly
valuti	valuta	Ncfsl
za	za	Sa
sve	sav	Agpfpay
kreditne	kreditan	Agpfpay
institucije	institucija	Ncfpa
i	i	Cc
objaviti	objaviti	Vmn
je	biti	Var3s
na	na	Sl
svojim	svoj	Ncmsl
službenim	služben	Agpfply
internetskim	internetski	Agpfply
stranicama	stranica	Ncfpl
.	.	Z

Stupanje	stupanje	Ncnsn
na	na	Sa
snagu	snaga	Ncfsa

Članak	članak	Ncmsn
4.	4.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Danom	dan	Agpnsly
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ove	ovaj	Pd-fsg
Odluke	odluka	Ncfsg
prestaje	prestajati	Vmr3s
važiti	važiti	Vmn
Odluka	odluka	Ncfsn
o	o	Sl
sadržaju	sadržaj	Ncmsl
i	i	Cc
obliku	oblik	Ncmsl
u	u	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
potrošaču	potrošač	Ncmsl
daju	dati	Vmr3p
informacije	informacija	Ncfpn
prije	prije	Sg
ugovaranja	ugovaranje	Ncnsg
pojedine	pojedini	Agpfsgy
bankovne	bankovan	Agpfsgy
usluge	usluga	Ncfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
130/2012.	130/2012.	Mds
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ova	ovaj	Pd-fsn
Odluka	odluka	Ncfsn
objavljuje	objavljivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
»		Agpfply
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
,	,	Z
a	a	Cc
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
1.	1.	Mdo
lipnja	lipanj	Ncmsg
2015.	2015.	Mdo
,	,	Z
osim	osim	Sg
članka	članak	Ncmsg
2.	2.	Mdo
stavaka	stavak	Ncmpg
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ove	ovaj	Pd-fsg
Odluke	odluka	Ncfsg
,	,	Z
koji	koji	Pi-mpn
stupaju	stupati	Vmr3p
na	na	Sa
snagu	snaga	Ncfsa
1.	1.	Mdo
srpnja	srpanj	Ncmsg
2015.	2015.	Mdo

O.	O.	Y
br.	br.	Y
486	486	Mdc
-	-	Z
020/12	020/12	Mdc
-	-	Z
14	14	Mdc
/	/	Z
BV	bv	Mrc

Zagreb	Zagreb	Npmsn
,	,	Z
19.	19.	Mdo
prosinca	prosinac	Ncmsg
2014.	2014.	Mdo

Guverner	guverner	Ncmsn
Hrvatske	hrvatski	Agpfsgy
narodne	narodni	Agpfsgy
banke	banka	Ncfsg
prof.	prof.	Y
dr.	dr.	Y
sc.	sc.	Y
Boris	Boris	Npmsn
Vujčić	Vujčić	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

PRILOG	prilog	Ncmsn

I.	I.	Y
OBRAZAC	obrazac	Ncmsan
s	sa	Si
informacijama	informacija	Ncfpi
iz	iz	Sg
članka	članak	Ncmsg
2.	2.	Mdo
Odluke	odluka	Ncfsg
o	o	Sl
sadržaju	sadržaj	Ncmsl
i	i	Cc
obliku	oblik	Ncmsl
u	u	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
potrošaču	potrošač	Ncmsl
daju	dati	Vmr3p
informacije	informacija	Ncfpn
prije	prije	Sg
ugovaranja	ugovaranje	Ncnsg
(	(	Z
ili	ili	Cc
prije	prije	Sg
zaključivanja	zaključivanje	Ncnsg
ugovora	ugovor	Ncmsg
o	o	Sl
pružanju	pružanje	Ncnsl
pojedine	pojedini	Agpfsgy
bankovne	bankovan	Agpfsgy
usluge	usluga	Ncfsg
–	–	Z
kod	kod	Sg
potrošačkih	potrošački	Agpmpgy
kredita	kredit	Ncmpg
–	–	Z
kao	kao	Cs
dopuna	dopuna	Ncfsn
Obrascu	obrazac	Ncmsd
o	o	Sl
informacijama	informacija	Ncfpl
prije	prije	Sg
sklapanja	sklapanje	Ncnsg
ugovora	ugovor	Ncmsg
o	o	Sl
kreditu	kredit	Ncmsl
propisanog	propisati	Appmsgy
na	na	Sl
temelju	temelj	Ncmsl
članka	članak	Ncmsg
5.	5.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
potrošačkom	potrošački	Agpnsly
kreditiranju	kreditiranje	Ncnsl
,	,	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
75/2009.	75/2009.	Mds
,	,	Z
112/2012.	112/2012.	Mds
,	,	Z
143/2013.	143/2013.	Mdo
i	i	Cc
147/2013.	147/2013.	Mdo
)	)	Z

Red	red	Ncmsn
.	.	Z
br.	br.	Y

VRSTE	vrsta	Ncfpn
INFORMACIJA	informacija	Ncfpg
Za	za	Sa
ponudu	ponuda	Ncfsa
u	u	Sl
domaćoj	domaći	Agpfsly
valuti	valuta	Ncfsl
Za	za	Sa
ponudu	ponuda	Ncfsa
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
glavnica	glavnica	Ncfsn
vezana	vezati	Appfsny
uz	uz	Sa
tečaj	tečaj	Ncmsan
strane	strana	Ncfsg
valute	valuta	Ncfsg
1.	1.	Mdo
Način	način	Ncmsan
otplate	otplata	Ncfsg
kredita	kredit	Ncmsg
(	(	Z
anuiteti	anuitet	Ncmpn
ili	ili	Cc
rate	rata	Ncfsg
)	)	Z
Ako	ako	Cs
postoji	postojati	Vmr3s
mogućnost	mogućnost	Ncfsn
izbora	izbor	Ncmpg
načina	način	Ncmsg
otplate	otplata	Ncfsg
,	,	Z
pojašnjenje	pojašnjenje	Ncnsa
razlike	razlika	Ncfsg
između	između	Sg
anuitetske	anuitetski	Agpfsgy
otplate	otplata	Ncfsg
i	i	Cc
otplate	otplata	Ncfpa
u	u	Sl
ratama	rata	Ncfpl
,	,	Z
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
prikaže	prikazati	Vmr3s
iznos	iznos	Ncmsn
prvog	prvi	Mlomsg
anuiteta	anuitet	Ncmsg
i	i	Cc
prve	prvi	Mlofpn
i	i	Cc
posljednje	posljednji	Agpfsgy
rate	rata	Ncfsg
te	te	Cc
ukupan	ukupan	Agpmsnn
iznos	iznos	Ncmsn
pretpostavljenih	pretpostaviti	Agpfpgy
kamata	kamata	Ncfpg
tijekom	tijekom	Sg
razdoblja	razdoblje	Ncnsg
otplate	otplata	Ncfsg
za	za	Sa
anuitetsku	anuitetski	Agpfsay
otplatu	otplata	Ncfsa
i	i	Cc
otplatu	otplata	Ncfsa
na	na	Sa
rate	rata	Ncfpa
2.	2.	Mdo
Način	način	Ncmsan
obračuna	obračun	Ncmsg
kamata	kamata	Ncfpg
koji	koji	Pi-msn
se	sebe	Px--sa
primjenjuje	primjenjivati	Vmr3s
na	na	Sa
konkretan	konkretan	Agpmsann
kredit	kredit	Ncmsan
Ako	ako	Cs
postoji	postojati	Vmr3s
mogućnost	mogućnost	Ncfsn
izbora	izbor	Ncmpg
načina	način	Ncmpg
obračuna	obračun	Ncmsg
kamata	kamata	Ncfpg
,	,	Z
pojašnjenje	pojašnjenje	Ncnsn
razlike	razlika	Ncfsg
između	između	Sg
primjene	primjena	Ncfsg
relativnoga	relativan	Agpnsgy
i	i	Cc
konformnoga	konforman	Agpmsgy
kamatnjaka	kamatnjak	Ncmsg
(	(	Z
brojčano	brojčano	Rgp
iskazati	iskazati	Vmn
razliku	razlika	Ncfsa
na	na	Sl
konkretnom	konkretan	Agpmsly
primjeru	primjer	Ncmsl
)	)	Z
3.	3.	Mdo
Parametri	parametar	Ncmpn
o	o	Sl
čijem	čiji	Pi-nsl
kretanju	kretanje	Ncnsl
ovisi	ovisiti	Vmr3s
promjena	promjena	Ncfpg
redovne	redovan	Agpfsgy
i	i	Cc
zatezne	zatezni	Agpfsgy
kamatne	kamatan	Agpfsgy
stope	stopa	Ncfsg
;	;	Z
pojašnjenje	pojašnjenje	Ncnsa
te	taj	Pd-fsg
ovisnosti	ovisnost	Ncfsg
;	;	Z
intervali	interval	Ncmpn
praćenja	praćenje	Ncnsg
prije	prije	Sg
donošenja	donošenje	Ncnsg
odluke	odluka	Ncfsg
o	o	Sl
promjeni	promjena	Ncfsl
i	i	Cc
brojčani	brojčani	Agpmsny
prikaz	prikaz	Ncmsn
simulacije	simulacija	Ncfsg
utjecaja	utjecaj	Ncmsg
povećanja	povećanje	Ncnsg
redovne	redovan	Agpfsgy
kamatne	kamatan	Agpfsgy
stope	stopa	Ncfsg
za	za	Sa
dva	dva	Mlc
postotna	postotan	Agpmsgn
boda	bod	Ncmsg
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
kamatnu	kamatan	Agpfsay
stopu	stopa	Ncfsa
koja	koji	Pi-fsn
bi	biti	Vaa3s
vrijedila	vrijediti	Vmp-sf
u	u	Sl
trenutku	trenutak	Ncmsl
sklapanja	sklapanje	Ncnsg
ugovora	ugovor	Ncmsg
na	na	Sa
mjesečni	mjesečan	Agpmsayn
iznos	iznos	Ncmsan
anuiteta	anuitet	Ncmsg
(	(	Z
rate	rata	Ncfsg
)	)	Z
za	za	Sa
konkretan	konkretan	Agpmsann
iznos	iznos	Ncmsan
kredita	kredit	Ncmsg
4.	4.	Mdo
Ako	ako	Cs
je	biti	Var3s
primjenjivo	primjenjiv	Agpnsny
Pojašnjenje	pojašnjenje	Ncnsn
koje	koji	Pi-nsn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
rizik	rizik	Ncmsan
promjene	promjena	Ncfsg
tečaja	tečaj	Ncmsg
s	sa	Si
brojčanim	brojčani	Agpmsiy
prikazom	prikaz	Ncmsi
simulacije	simulacija	Ncfsg
utjecaja	utjecaj	Ncmsg
značajne	značajan	Agpfsgy
jednokratne	jednokratan	Agpfsgy
deprecijacije	deprecijacija	Ncfsg
domaće	domaći	Agpfsgy
valute	valuta	Ncfsg
na	na	Sa
mjesečni	mjesečan	Agpmsayn
anuitet	anuitet	Ncmsan
(	(	Z
ratu	rat	Ncmsl
)	)	Z
za	za	Sa
konkretan	konkretan	Agpmsann
iznos	iznos	Ncmsan
kredita	kredit	Ncmsg
te	te	Cc
brojčani	brojčani	Agpmsayn
prikaz	prikaz	Ncmsan
utjecaja	utjecaj	Ncmsg
istodobnog	istodoban	Agpnsgy
povećanja	povećanje	Ncnsg
kamatne	kamatan	Agpfsgy
stope	stopa	Ncfsg
za	za	Sa
dva	dva	Mlc
postotna	postotan	Agpmsgn
boda	bod	Ncmsg
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
kamatnu	kamatan	Agpfsay
stopu	stopa	Ncfsa
koja	koji	Pi-fsn
bi	biti	Vaa3s
vrijedila	vrijediti	Vmp-sf
u	u	Sl
trenutku	trenutak	Ncmsl
sklapanja	sklapanje	Ncnsg
ugovora	ugovor	Ncmsg
i	i	Cc
značajne	značajan	Agpfsgy
deprecijacije	deprecijacija	Ncfsg
domaće	domaći	Agpfsgy
valute	valuta	Ncfsg
na	na	Sa
mjesečni	mjesečan	Agpmsayn
anuitet	anuitet	Ncmsan
(	(	Z
ratu	rat	Ncmsl
)	)	Z
za	za	Sa
konkretan	konkretan	Agpmsann
iznos	iznos	Ncmsan
kredita	kredit	Ncmsg
5.	5.	Mdo
Ako	ako	Cs
je	biti	Var3s
primjenjivo	primjenjiv	Agpnsny

