nazočnosti	nazočnost	Ncfpa
spriječili	spriječiti	Vmp-pm
sukobe	sukob	Ncmpa
i	i	Cc
izloženost	izloženost	Ncfsa
djeteta	dijete	Ncnsg
istima	isti	Agpmpiy
,	,	Z
da	da	Cs
je	biti	Var3s
teško	teško	Rgp
racionalizirati	racionalizirati	Vmn
odluku	odluka	Ncfsa
A.	A.	Pi-msn
da	da	Cs
ima	imati	Vmr3s
drugo	drugi	Mlonsa
dijete	dijete	Ncnsa
sa	sa	Si
suprugom	supruga	Ncfsi
koju	koji	Pi-fsa
je	biti	Var3s
vrlo	vrlo	Rgp
često	često	Rgp
optuživao	optuživati	Vmp-sm
da	da	Cs
je	biti	Var3s
nasilna	nasilan	Agpfsny
prema	prema	Sl
sinu	sin	Ncmsl
X.	x	Ncmpl
te	te	Cc
da	da	Cs
je	biti	Var3s
psihički	psihički	Agpmsny
bolesna	bolestan	Agpfsny
osoba	osoba	Ncfsn
(...)	(...i	Agpfsny
te	te	Cc
iako	iako	Cs
smatraju	smatrati	Vmr3p
da	da	Cs
je	biti	Var3s
C.	C.	Y
potrebna	potreban	Agpfsny
stručna	stručan	Agpfsny
podrška	podrška	Ncfsn
u	u	Sl
pogledu	pogled	Ncmsl
roditeljske	roditeljski	Agpfsgy
uloge	uloga	Ncfsg
.	.	Z

Isto	isto	Rgp
tako	tako	Rgp
,	,	Z
obzirom	obzir	Ncmsi
da	da	Cs
supružnici	supružnik	Ncmpn
imaju	imati	Vmr3p
tromjesečnu	tromjesečan	Agpfsay
bebu	beba	Ncfsa
,	,	Z
te	te	Cc
da	da	Cs
se	sebe	Px--sa
kao	kao	Cs
struka	struka	Ncfsn
ne	ne	Qz
zalažu	zalagati	Vmr3p
za	za	Sa
razdvajanje	razdvajanje	Ncnsa
maloljetne	maloljetan	Agpfsgy
djece	dijete	Ncnpg
,	,	Z
osobito	osobito	Rgp
te	taj	Pd-fsg
dobi	dob	Ncfsg
,	,	Z
da	da	Cs
je	biti	Var3s
mišljenja	mišljenje	Ncnsg
da	da	Cs
se	sebe	Px--sa
mldb	mldbti	Vmr3s
.	.	Z

Y.	Y.	Y
i	i	Cc
X.	xa	Ncfpn
trebaju	trebati	Vmr3p
povjeriti	povjeriti	Vmn
majci	majka	Ncfsl
na	na	Sa
čuvanje	čuvanje	Ncnsa
i	i	Cc
odgoj	odgoj	Ncmsan
,	,	Z
jer	jer	Cs
su	biti	Var3p
brojna	brojan	Agpnpny
istraživanja	istraživanje	Ncnpn
pokazala	pokazati	Vmp-sf
da	da	Cs
je	biti	Var3s
u	u	Sl
najranijem	ran	Agsnsly
razdoblju	razdoblje	Ncnsl
djetetova	djetetov	Ncmpg
života	život	Ncmsg
neobično	neobično	Rgp
važna	važan	Agpfsny
veza	veza	Ncfsn
između	između	Sg
majke	majka	Ncfsg
i	i	Cc
djeteta	dijete	Ncnsg
te	te	Cc
da	da	Cs
je	biti	Var3s
u	u	Sa
prvih	prvi	Mlompg
osam	osam	Mlc
mjeseci	mjesec	Ncmpg
života	život	Ncmsg
djeteta	dijete	Ncnsg
upravo	upravo	Rgp
majka	majka	Ncfsn
djetetu	dijete	Ncnsd
najznačajnija	značajan	Agsfsny
osoba	osoba	Ncfsn
.	.	Z
(...)	(...)	Z

Psiholog	psiholog	Ncmsn
je	biti	Var3s
mišljenja	mišljenje	Ncnsg
i	i	Cc
predložio	predložiti	Vmp-sm
je	biti	Var3s
da	da	Cs
A.	A.	Y
B.	B.	Y
i	i	Cc
njegovi	njegov	Ps3mpn
roditelji	roditelj	Ncmpn
...	...	Z
također	također	Rgp
obave	obaviti	Vmr3p
pregled	pregled	Ncmsan
kod	kod	Sg
psihijatra	psihijatar	Ncmsg
,	,	Z
budući	budući	Cs
je	biti	Var3s
A.	A.	Npmsn
dobio	dobiti	Vmp-sm
slične	sličan	Agpmpay
rezultate	rezultat	Ncmpa
kao	kao	Cs
i	i	Qo
C.	C.	Mro
,	,	Z
na	na	Sl
multifazičnom	multifazičan	Agpmsly
inventaru	inventar	Ncmsl
ličnosti	ličnost	Ncfsg
,	,	Z
te	te	Cc
da	da	Cs
i	i	Qo
A.	A.	Npmsn
,	,	Z
budući	budući	Cs
je	biti	Var3s
C.	ti	Appfsny
već	već	Rgp
uključena	uključiti	Appfsny
u	u	Sa
rad	rad	Ncmsan
na	na	Sl
sebi	sebe	Ncfsl
i	i	Cc
svojim	svoj	Px-mpd
roditeljskim	roditeljski	Agpmpdy
kapacitetima	kapacitet	Ncmpd
u	u	Sl
Domu	dom	Ncmsl
,	,	Z
bude	biti	Var3s
uključen	uključiti	Appmsnn
u	u	Sa
psihoterapijski	psihoterapijski	Agpmsayn
i	i	Cc
savjetodavni	savjetodavan	Agpmsayn
tretman	tretman	Ncmsan
(...)	(...)	Z
Uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
dob	dob	Ncfsa
djece	dijete	Ncnpg
da	da	Cs
su	biti	Var3p
mišljenja	mišljenje	Ncnpn
da	da	Cs
trebaju	trebati	Vmr3p
biti	biti	Van
povjereni	povjeriti	Appmpny
na	na	Sa
skrb	skrb	Ncfsa
svojoj	svoj	Px-fsl
majci	majka	Ncfsl
(...)	(...)	Qr
.	.	Z

Rezultati	rezultat	Ncmpn
psihologijske	psihologijski	Agpfsgy
obrade	obrada	Ncfsg
ukazuju	ukazivati	Vmr3p
da	da	Cs
nema	nemati	Vmr3s
značajnijih	značajan	Agcfpgy
promjena	promjena	Ncfpg
kod	kod	Sg
A.	A.	Mro
B.	B.	Y
na	na	Sl
planu	plan	Ncmsl
njegova	njegov	Ps3msg
psihičkog	psihički	Agpmsgy
statusa	status	Ncmsg
.	.	Z

Mišljenja	mišljenje	Ncnsg
je	biti	Var3s
da	da	Cs
A.	A.	Y
B.	B.	Y
još	još	Rgp
uvijek	uvijek	Rgp
nije	biti	Var3s
na	na	Sl
prvom	prvi	Mlonsl
mjestu	mjesto	Ncnsl
dobrobit	dobrobit	Ncfsa
djece	dijete	Ncnpg
,	,	Z
X.	X.	Y
i	i	Cc
Y.	Y.	Y
,	,	Z
da	da	Cs
mu	on	Pp3msd
je	biti	Var3s
veći	velik	Agcmsny
jedini	jedini	Agpmsny
cilj	cilj	Ncmsn
izboriti	izboriti	Vmn
se	sebe	Px--sa
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
izvanbračnu	izvanbračni	Agpfsay
suprugu	supruga	Ncfsa
C.	C.	Y
B.	B.	Y
,	,	Z
da	da	Cs
se	sebe	Px--sa
djeca	dijete	Ncnpn
njemu	on	Pp3msd
povjere	povjeriti	Vmr3p
,	,	Z
i	i	Cc
to	to	Qo
na	na	Sa
način	način	Ncmsan
da	da	Cs
je	biti	Var3s
prikaže	prikazati	Vmr3s
u	u	Sl
čim	čim	Cs
gorem	loš	Agcnsly
svjetlu	svjetlo	Ncnsl
kao	kao	Cs
suprugu	supruga	Ncfsa
i	i	Cc
majku	majka	Ncfsa
.	.	Z

Također	također	Rgp
,	,	Z
da	da	Cs
nije	biti	Var3s
jasan	jasan	Agpmsnn
ni	ni	Qo
njegov	njegov	Ps3msn
emocionalni	emocionalan	Agpmsny
stav	stav	Ncmsn
spram	spram	Sg
drugog	drugi	Agpnsgy
djeteta	dijete	Ncnsg
,	,	Z
kćerke	kćerka	Ncfsg
Y.	Y.	Mro
zbog	zbog	Sg
svega	sav	Agpnsgy
prethodno	prethodno	Rgp
navedenog	navesti	Appmsgy
da	da	Cs
su	biti	Var3p
mišljenja	mišljenje	Ncnpn
da	da	Cs
su	biti	Var3p
roditeljski	roditeljski	Agpmpny
kapaciteti	kapacitet	Ncmpn
A.	A.	Y
B.	B.	Y
znatno	znatno	Rgp
reducirani	reducirati	Appmpny
.	.	Z
«	«	Z

U	u	Sl
obrazloženju	obrazloženje	Ncnsl
presude	presuda	Ncfsg
prvostupanjski	prvostupanjski	Agpmsny
sud	sud	Ncmsn
je	biti	Var3s
završno	završno	Rgp
istaknuo	istaknuti	Vmp-sm
:	:	Z

»	»	Z
Prilikom	prilikom	Sg
donošenja	donošenje	Ncnsg
odluke	odluka	Ncfsg
u	u	Sl
ovom	ovaj	Pd-msl
predmetu	predmet	Ncmsl
sud	sud	Ncmsn
se	sebe	Px--sa
rukovodio	rukovoditi	Vmp-sm
najboljim	dobar	Agsmsiy
interesom	interes	Ncmsi
djece	dijete	Ncnpg
,	,	Z
imajući	imati	Rr
pritom	pritom	Rgp
u	u	Sl
vidu	vid	Ncmsl
njihovu	njihov	Ps3fsa
dob	dob	Ncfsa
,	,	Z
te	te	Cc
cijeneći	cijeniti	Rr
mišljenje	mišljenje	Ncnsa
CZSS	CZS	Npmsg
S.	S.	Mro
,	,	Z
sve	sav	Agpnsny
sukladno	sukladan	Agpnsny
odredbama	odredba	Ncfpi
Obiteljskog	obiteljski	Agpmsgy
zakona	zakon	Ncmsg
...	...	Z

(...)	(...)	Ncfsn

Ocjenjujući	ocjenjivati	Rr
izvedene	izvesti	Agpmpay
dokaze	dokaz	Ncmpa
ovaj	ovaj	Pd-msn
sud	sud	Ncmsn
nalazi	nalaziti	Vmr3s
da	da	Cs
je	biti	Var3s
u	u	Sl
ovom	ovaj	Pd-msl
trenutku	trenutak	Ncmsl
u	u	Sl
najboljem	dobar	Agsmsly
interesu	interes	Ncmsl
mldb	mld	Agpmpgy
.	.	Z

X.	X.	Y
i	i	Cc
Y.	Y.	Y
da	da	Cs
žive	živjeti	Vmr3p
s	sa	Si
majkom	majka	Ncfsi
i	i	Cc
to	taj	Pd-nsn
iz	iz	Sg
razloga	razlog	Ncmsg
što	što	Pi3n-n
je	biti	Var3s
djetetu	dijete	Ncnsd
starosti	starost	Ncfsg
4	4	Mdc
godine	godina	Ncfsg
i	i	Cc
7	7	Mdc
mjeseci	mjesec	Ncmpg
i	i	Cc
1	1	Mdc
godine	godina	Ncfsg
i	i	Cc
2	2	Mdc
mjeseca	mjesec	Ncmsg
potrebna	potreban	Agpfsny
toplina	toplina	Ncfsn
,	,	Z
nježnost	nježnost	Ncfsn
i	i	Cc
stalnost	stalnost	Ncfsa
koju	koji	Pi-fsa
majka	majka	Ncfsn
može	moći	Vmr3s
pružiti	pružiti	Vmn
,	,	Z
a	a	Cc
uvažavajući	uvažavati	Rr
prije	prije	Sg
svega	sav	Agpnsgy
njezinu	njezin	Ps3fsa
nezamjenjivu	nezamjenjiv	Agpfsay
ulogu	uloga	Ncfsa
u	u	Sl
socio-emocionalnom	socio-emocionalan	Agpmsly
razvoju	razvoj	Ncmsl
,	,	Z
odnosno	odnosno	Rgp
optimalnom	optimalan	Agpmsly
razvoju	razvoj	Ncmsl
djece	dijete	Ncnpg
ove	ovaj	Pd-fsg
dobi	dob	Ncfsg
.	.	Z

(...)	(...)	Ncfsn

Pri	pri	Sl
donošenju	donošenje	Ncnsl
odluke	odluka	Ncfsg
o	o	Sl
načinu	način	Ncmsl
održavanja	održavanje	Ncnsg
susreta	susret	Ncmsg
i	i	Cc
druženja	druženje	Ncnsg
djece	dijete	Ncnpg
s	sa	Si
ocem	oac	Ncmsi
,	,	Z
sud	sud	Ncmsn
se	sebe	Px--sa
rukovodio	rukovoditi	Vmp-sm
najboljim	dobar	Agpmpiy
interesima	interes	Ncmpi
djece	dijete	Ncnpg
,	,	Z
imajući	imati	Rr
pritom	pritom	Rgp
u	u	Sl
vidu	vid	Ncmsl
njihovu	njihov	Ps3fsa
dob	dob	Ncfsa
,	,	Z
dosadašnju	dosadašnji	Agpfsay
skrb	skrb	Ncfsa
i	i	Cc
mišljenja	mišljenje	Ncnsg
CZSS	CZSS	Npmsn
S.	S.	Y
,	,	Z
priklanjajući	priklanjati	Rr
se	sebe	Px--sa
tezi	teza	Ncfsd
koja	koji	Pi-fsn
je	biti	Var3s
primjenjiva	primjenjiv	Agpfsny
i	i	Cc
na	na	Sa
ovaj	ovaj	Pd-msan
konkretan	konkretan	Agpmsann
slučaj	slučaj	Ncmsan
,	,	Z
a	a	Cc
na	na	Sa
koju	koji	Pi-fsa
je	biti	Var3s
ukazala	ukazati	Vmp-sf
tužiteljica	tužiteljica	Ncfsn
,	,	Z
izraženoj	izraziti	Appfsly
u	u	Sl
presudi	presuda	Ncfsl
Vrhovnog	vrhovni	Agpmsgy
suda	sud	Ncmsg
Republike	republika	Ncfsg
Hrvatske	hrvatski	Agpfsgy
posl	posa	Ncfsg
.	.	Z
br.	br.	Y

Rev-71	Rev-71	X
/	/	Z
1996	1996	Mdc
-	-	Z
2	2	Mdc
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
navedeno	navesti	Appnsny
da	da	Cs
su	biti	Var3p
imovinske	imovinski	Agpfpny
prilike	prilika	Ncfpn
važna	važan	Agpfsny
okolnost	okolnost	Ncfsn
kod	kod	Sg
čuvanja	čuvanje	Ncnsg
i	i	Cc
odgoja	odgoj	Ncmsg
djece	dijete	Ncnpg
,	,	Z
no	no	Cc
da	da	Cs
one	onaj	Pd-fpn
nisu	biti	Var3p
presudne	presudan	Agpfpny
za	za	Sa
odgoj	odgoj	Ncmsan
djeteta	dijete	Ncnsg
naročito	naročito	Rgp
kada	kada	Rgp
je	biti	Var3s
u	u	Sl
pitanju	pitanje	Ncnsl
malo	mali	Agpnsny
dijete	dijete	Ncnsn
,	,	Z
kada	kada	Cs
su	biti	Var3p
djeca	dijete	Ncnpn
u	u	Sl
toj	taj	Pd-fsl
dobi	doba	Ncfsl
u	u	Sl
pravilu	pravilo	Ncnsl
više	mnogo	Rgc
privržena	privržen	Agpfsny
majci	majka	Ncfsd
i	i	Cc
više	mnogo	Rgc
vezana	vezan	Agpnpny
uz	uz	Sa
majku	majka	Ncfsa
,	,	Z
nego	nego	Cc
uz	uz	Sa
oca	oac	Ncmsay
,	,	Z
te	te	Cc
iako	iako	Cs
se	sebe	Px--sa
majka	majka	Ncfsn
nalazi	nalaziti	Vmr3s
u	u	Sl
slabijim	slab	Agpmply
imovinskim	imovinski	Agpmply

