d	d	Npmsn
ili	ili	Cc
tijelu	tijelo	Ncnsl
propisati	propisati	Vmn
rok	rok	Ncmsan
za	za	Sa
donošenje	donošenje	Ncnsa
toga	taj	Pd-nsg
akta	akt	Ncmsg
.	.	Z

DIO	dio	Ncmsn
ČETVRTI	četvrt	Ncfsg
AMANDMANI	amandman	Ncmpn
NA	na	Sa
KONAČNI	konačan	Agpmsayn
TEKST	tekst	Ncmsan
PRIJEDLOGA	prijedlog	Ncmsg

Podnošenje	podnošenje	Ncnsn
amandmana	amandman	Ncmsg

Članak	članak	Ncmsn
58.	58.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Amandman	amandman	Ncmsn
je	biti	Var3s
akt	akt	Ncmsan
kojim	koji	Pi-msi
se	sebe	Px--sa
podnosi	podnositi	Vmr3s
prijedlog	prijedlog	Ncmsn
za	za	Sa
izmjenu	izmjena	Ncfsa
,	,	Z
dopunu	dopuna	Ncfsa
ili	ili	Cc
brisanje	brisanje	Ncnsn
određene	određen	Agpfsgy
odredbe	odredba	Ncfsg
propisa	propis	Ncmsg
ili	ili	Cc
njezina	njezin	Ps3msg
dijela	dio	Ncmsg
,	,	Z
u	u	Sl
tekstu	tekst	Ncmsl
konačnog	konačan	Agpmsgy
prijedloga	prijedlog	Ncmsg
propisa	propis	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Amandman	amandman	Ncmsan
mogu	moći	Vmr3p
podnijeti	podnijeti	Vmn
samo	samo	Rgp
ovlaštenici	ovlaštenik	Ncmpn
prava	pravo	Ncnpg
na	na	Sa
podnošenje	podnošenje	Ncnsa
prijedloga	prijedlog	Ncmsg
propisa	propis	Ncmsg
,	,	Z
a	a	Cc
to	taj	Pd-nsn
su	biti	Var3p
prema	prema	Sl
hrvatskom	hrvatski	Agpmsly
pravnom	pravni	Agpmsly
sustavu	sustav	Ncmsl
svaki	svaki	Pi-msn
zastupnik	zastupnik	Ncmsn
u	u	Sl
Hrvatskom	hrvatski	Agpmsly
saboru	sabor	Ncmsl
,	,	Z
skupina	skupina	Ncfsn
zastupnika	zastupnik	Ncmpg
ili	ili	Cc
klub	klub	Ncmsan
zastupnika	zastupnik	Ncmpg
,	,	Z
radno	radni	Agpnsny
tijelo	tijelo	Ncnsn
Hrvatskoga	hrvatski	Agpmsgy
sabora	sabor	Ncmsg
i	i	Cc
Vlada	vlada	Ncfsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Amandman	amandman	Ncmsn
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
podnositelj	podnositelj	Ncmsn
konačnog	konačan	Agpmsgy
prijedloga	prijedlog	Ncmsg
propisa	propis	Ncmpg
,	,	Z
i	i	Cc
u	u	Sl
tom	taj	Pd-msl
slučaju	slučaj	Ncmsl
ako	ako	Cs
je	biti	Var3s
podnesen	podnijeti	Appmsnn
do	do	Sg
okončanja	okončanje	Ncnsg
rasprave	rasprava	Ncfsg
o	o	Sl
konačnom	konačan	Agpmsly
prijedlogu	prijedlog	Ncmsl
propisa	propis	Ncmpg
,	,	Z
tada	tada	Rgp
postaje	postajati	Vmr3s
sastavnim	sastavan	Agpmsiy
dijelom	dio	Ncmsi
toga	taj	Pd-nsg
konačnog	konačan	Agpmsgy
prijedloga	prijedlog	Ncmsg
,	,	Z
na	na	Sa
koji	koji	Pi-msan
drugi	drugi	Mlompn
ovlašteni	ovlašten	Agpmpny
podnositelji	podnositelj	Ncmpn
mogu	moći	Vmr3p
podnijeti	podnijeti	Vmn
amandman	amandman	Ncmsan
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Amandman	amandman	Ncmsn
se	sebe	Px--sa
podnosi	podnositi	Vmr3s
u	u	Sl
pisanom	pisan	Agpmsly
obliku	oblik	Ncmsl
s	sa	Si
obrazloženjem	obrazloženje	Ncnsi
,	,	Z
i	i	Cc
to	to	Qo
od	od	Sg
uvrštavanja	uvrštavanje	Ncnsg
određenog	određen	Agpmsgy
propisa	propis	Ncmsg
za	za	Sa
raspravu	rasprava	Ncfsa
u	u	Sa
dnevni	dnevni	Agpmsayn
red	red	Ncmsan
do	do	Sg
zaključenja	zaključenje	Ncnsg
rasprave	rasprava	Ncfsg
o	o	Sl
propisu	propis	Ncmsl
na	na	Sa
čije	čiji	Pi-nsa
se	sebe	Px--sa
odredbe	odredba	Ncfpa
podnosi	podnositi	Vmr3s
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Odredba	odredba	Ncfsn
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
odnosi	odnositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
način	način	Ncmsan
i	i	Cc
na	na	Sa
druge	drugi	Agpmpay
propise	propis	Ncmpa
koje	koji	Pi-mpa
donose	donositi	Vmr3p
druga	drugi	Mlofsn
predstavnička	predstavnički	Agpnpay
tijela	tijelo	Ncnpa
ovlaštenih	ovlašten	Agpmpgy
subjekata	subjekt	Ncmpg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
odredbe	odredba	Ncfsg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ako	ako	Cs
tako	tako	Cs
odluči	odlučiti	Vmr3s
predstavničko	predstavnički	Agpnsny
tijelo	tijelo	Ncnsn
koje	koji	Pi-nsn
donosi	donositi	Vmr3s
propis	propis	Ncmsn
,	,	Z
može	moći	Vmr3s
se	sebe	Px--sa
odrediti	odrediti	Vmn
dulji	dug	Agcmsayn
rok	rok	Ncmsan
za	za	Sa
podnošenje	podnošenje	Ncnsa
amandmana	amandman	Ncmpg
,	,	Z
na	na	Sa
prijedlog	prijedlog	Ncmsan
člana	član	Ncmsg
predstavničkog	predstavnički	Agpnsgy
tijela	tijelo	Ncnsg
ili	ili	Cc
kada	kada	Rgp
to	taj	Pd-nsn
podnositelj	podnositelj	Ncmsn
prijedloga	prijedlog	Ncmsg
propisa	propis	Ncmsg
zatraži	zatražiti	Vmr3s
.	.	Z

Obuhvat	obuhvat	Ncmsn
amandmana	amandman	Ncmsg

Članak	članak	Ncmsn
59.	59.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Jednim	jedan	Mlcmsi
amandmanom	amandman	Ncmsi
mogu	moći	Vmr3p
se	sebe	Px--sa
obuhvatiti	obuhvatiti	Vmn
sve	sav	Agpfpay
izmjene	izmjena	Ncfpa
,	,	Z
dopune	dopuna	Ncfsg
ili	ili	Cc
brisanje	brisanje	Ncnsn
određene	određen	Agpfsgy
odredbe	odredba	Ncfsg
ili	ili	Cc
njezina	njezin	Ps3msg
dijela	dio	Ncmsg
koje	koji	Pi-fpn
su	biti	Var3p
sadržane	sadržati	Appfpny
u	u	Sl
jednom	jedan	Mlcmsl
članku	članak	Ncmsl
,	,	Z
a	a	Cc
može	moći	Vmr3s
se	sebe	Px--sa
podnijeti	podnijeti	Vmn
i	i	Qo
na	na	Sa
naziv	naziv	Ncmsan
propisa	propis	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Jednim	jedan	Mlcmsi
podneskom	podnesak	Ncmsi
može	moći	Vmr3s
se	sebe	Px--sa
podnijeti	podnijeti	Vmn
više	mnogo	Rgc
amandmana	amandman	Ncmpg
na	na	Sa
više	mnogo	Rgc
članaka	članak	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Nije	biti	Var3s
prihvatljivo	prihvatljiv	Agpnsny
podnositi	podnositi	Vmn
amandman	amandman	Ncmsan
na	na	Sa
amandman	amandman	Ncmsan
,	,	Z
osim	osim	Cs
u	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
članka	članak	Ncmsg
58.	58.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovih	ovaj	Pd-npg
Pravila	pravilo	Ncnpg
.	.	Z

Oblik	oblik	Ncmsn
(	(	Z
forma	forma	Ncfsn
)	)	Z
amandmana	amandman	Ncmsg

Članak	članak	Ncmsn
60.	60.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Na	na	Sa
oblik	oblik	Ncmsan
(	(	Z
formu	forma	Ncfsa
)	)	Z
amandmana	amandman	Ncmsg
odnose	odnositi	Vmr3p
se	sebe	Px--sa
sve	sav	Agpfpny
odredbe	odredba	Ncfpn
ovih	ovaj	Pd-fpg
Pravila	pravilo	Ncnpn
koje	koji	Pi-fpn
su	biti	Var3p
utvrđene	utvrditi	Agpfpny
za	za	Sa
pisanje	pisanje	Ncnsa
izmjene	izmjena	Ncfsg
i	i	Cc
dopune	dopuna	Ncfsg
propisa	propis	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
podnosi	podnositi	Vmr3s
više	mnogo	Rgc
amandmana	amandman	Ncmpg
,	,	Z
oni	oni	Pp3mpn
se	sebe	Px--sa
označuju	označivati	Vmr3p
rednim	redni	Agpmpiy
odnosno	odnosno	Rgp
rimskim	rimski	Agpmply
brojevima	broj	Ncmpl
,	,	Z
a	a	Cc
podnose	podnositi	Vmr3p
se	sebe	Px--sa
prema	prema	Sl
redoslijedu	redoslijed	Ncmsl
članaka	članak	Ncmpg
na	na	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
odnose	odnositi	Vmr3p
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
podnesku	podnesak	Ncmsl
kojim	koji	Pi-msi
se	sebe	Px--sa
podnose	podnositi	Vmr3p
amandmani	amandman	Ncmpn
u	u	Sl
uvodnom	uvodan	Agpmsly
dijelu	dio	Ncmsl
nužno	nužno	Rgp
je	biti	Var3s
navesti	navesti	Vmn
puni	pun	Agpmsayn
naziv	naziv	Ncmsan
i	i	Cc
oznaku	oznaka	Ncfsa
konačnog	konačan	Agpmsgy
prijedloga	prijedlog	Ncmsg
propisa	propis	Ncmpg
te	te	Cc
pravnu	pravni	Agpfsay
osnovu	osnova	Ncfsa
koja	koji	Pi-fsn
ovlašćuje	ovlašćivati	Vmr3s
podnositelja	podnositelj	Ncmsay
na	na	Sa
mogućnost	mogućnost	Ncfsa
podnošenja	podnošenje	Ncnsg
amandmana	amandman	Ncmsg
.	.	Z

DIO	dio	Ncmsn
PETI	peti	Mlomsan
ISPRAVAK	ispravak	Ncmsan
PROPISA	PROPIS	Npmsg

Što	što	Pi3n-n
se	sebe	Px--sa
može	moći	Vmr3s
ispraviti	ispraviti	Vmn

Članak	članak	Ncmsn
61.	61.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ispravkom	ispravka	Ncfsi
se	sebe	Px--sa
propisa	propis	Ncmsg
ispravljaju	ispravljati	Vmr3p
pogreške	pogreška	Ncfpn
odnosno	odnosno	Rgp
razlike	razlika	Ncfsg
između	između	Sg
potpisanog	potpisan	Agpnsgy
(	(	Z
proglašenog	proglašen	Agpmsgy
)	)	Z
i	i	Cc
objavljenog	objavljen	Agpmsgy
teksta	tekst	Ncmsg
propisa	propis	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ispravkom	ispravka	Ncfsi
se	sebe	Px--sa
ne	ne	Qz
mogu	moći	Vmr3p
otklanjati	otklanjati	Vmn
nedostaci	nedostatak	Ncmpn
uočeni	uočiti	Appmpny
u	u	Sl
izvornom	izvoran	Agpmsly
tekstu	tekst	Ncmsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ispravak	ispravak	Ncmsn
teksta	tekst	Ncmsg
propisa	propis	Ncmsg
se	sebe	Px--sa
može	moći	Vmr3s
dati	dati	Vmn
tek	tek	Rgp
nakon	nakon	Sg
njegova	njegov	Ps3nsg
objavljivanja	objavljivanje	Ncnsg
u	u	Sl
službenom	služben	Agpnsly
glasilu	glasilo	Ncnsl
,	,	Z
i	i	Cc
to	to	Qo
u	u	Sl
istom	isti	Agpnsly
službenom	služben	Agpnsly
glasilu	glasilo	Ncnsl
.	.	Z

Tko	tko	Pq3m-n
i	i	Cc
kako	kako	Cs
daje	davati	Vmr3s
ispravak	ispravak	Ncmsan

Članak	članak	Ncmsn
62.	62.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Donositelj	donositelj	Ncmsn
propisa	propis	Ncmsg
daje	davati	Vmr3s
ispravak	ispravak	Ncmsan
,	,	Z
i	i	Cc
to	to	Qo
u	u	Sl
jednom	jedan	Mlcmsl
od	od	Sg
sljedećih	sljedeći	Agpmpgy
brojeva	broj	Ncmpg
službenog	služben	Agpnsgy
glasila	glasilo	Ncnsg
nakon	nakon	Sg
objavljivanja	objavljivanje	Ncnsg
propisa	propis	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Donositelj	donositelj	Ncmsn
svojom	svoj	Px-fsi
odlukom	odluka	Ncfsi
ili	ili	Cc
poslovnikom	poslovnik	Ncmsi
određuje	određivati	Vmr3s
osobu	osoba	Ncfsa
i	i	Cc
službu	služba	Ncfsa
koja	koji	Pi-fsn
će	htjeti	Var3s
u	u	Sa
njegovo	njegov	Ps3nsa
ime	ime	Ncnsa
dati	dati	Vmn
ispravak	ispravak	Ncmsan
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
ispravku	ispravak	Ncmsl
se	sebe	Px--sa
istodobno	istodobno	Rgp
navodi	navoditi	Vmr3s
pogrešan	pogrešan	Agpmsnn
i	i	Cc
ispravljen	ispraviti	Appmsnn
tekst	tekst	Ncmsn
propisa	propis	Ncmsg
,	,	Z
mjesto	mjesto	Ncnsa
i	i	Cc
vrijeme	vrijeme	Ncnsa
davanja	davanje	Ncnsg

