predsjednika	predsjednik	Ncmsay
modela	model	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
149.	149.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
je	biti	Var3s
neprimjeren	neprimjeren	Agpmsnn
ili	ili	Cc
je	biti	Var3s
bio	biti	Vap-sm
nedjelotvoran	nedjelotvoran	Agpmsnn
ili	ili	Cc

–	i	Agpnsny
za	za	Sa
vrijeme	vrijeme	Ncnsa
dok	dok	Cs
se	sebe	Px--sa
djelomični	djelomičan	Agpmsny
ili	ili	Cc
potpuni	potpun	Agpmsny
unutarnji	unutarnji	Agpmsny
model	model	Ncmsn
razvija	razvijati	Vmr3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
149.	149.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

2.	2.	Mdo
profil	profil	Ncmsan
rizičnosti	rizičnost	Ncfsg
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
značajno	značajno	Rgp
odstupa	odstupati	Vmr3s
od	od	Sg
pretpostavki	pretpostavka	Ncfpg
na	na	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
temelji	temeljiti	Vmr3s
izračun	izračun	Ncmsn
potrebnog	potreban	Agpmsgy
solventnog	solventan	Agpmsgy
kapitala	kapital	Ncmsg
uporabom	uporaba	Ncfsi
potpunog	potpun	Agpmsgy
ili	ili	Cc
djelomičnog	djelomičan	Agpmsgy
unutarnjeg	unutarnji	Agpmsgy
modela	model	Ncmsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
jer	jer	Cs
neki	neki	Pi-mpn
mjerljivi	mjerljiv	Agpmpny
rizici	rizik	Ncmpn
nisu	biti	Var3p
dovoljno	dovoljno	Rgp
obuhvaćeni	obuhvatiti	Appmpny
,	,	Z
a	a	Cc
model	model	Ncmsn
nije	biti	Var3s
bio	biti	Vap-sm
prilagođen	prilagoditi	Appmsnn
u	u	Sl
odgovarajućem	odgovarajući	Agpnsly
razdoblju	razdoblje	Ncnsl
kako	kako	Cs
bi	biti	Vaa3s
bolje	dobro	Rgc
odražavao	odražavati	Vmp-sm
dani	dan	Agpmsayn
profil	profil	Ncmsan
rizičnosti	rizičnost	Ncfsg

3.	3.	Mdo
sustav	sustav	Ncmsan
upravljanja	upravljanje	Ncnsg
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
značajno	značajno	Rgp
odstupa	odstupati	Vmr3s
od	od	Sg
standarda	standard	Ncmpg
propisanih	propisati	Appmpgy
ovim	ovaj	Pd-msi
Zakonom	zakon	Ncmsi
te	te	Cc
da	da	Cs
ta	taj	Pd-npn
odstupanja	odstupanje	Ncnpn
sprječavaju	sprječavati	Vmr3p
da	da	Cs
se	sebe	Px--sa
rizici	rizik	Ncmpn
kojima	koji	Pi-mpd
je	biti	Var3s
društvo	društvo	Ncnsn
izloženo	izložiti	Appnsny
ili	ili	Cc
kojima	koji	Pi-mpd
bi	biti	Vaa3s
moglo	moći	Vmp-sn
biti	biti	Van
izloženo	izložiti	Appnsny
primjereno	primjeriti	Appnsny
utvrde	utvrditi	Vmr3p
,	,	Z
mjere	mjera	Ncfpa
,	,	Z
prate	pratiti	Vmr3p
,	,	Z
da	da	Cs
se	sebe	Px--sa
njima	oni	Pp3-pi
upravlja	upravljati	Vmr3s
i	i	Cc
o	o	Sl
njima	oni	Pp3-pl
izvješćuje	izvješćivati	Vmr3s
te	te	Cc
da	da	Cs
nije	biti	Var3s
vjerojatno	vjerojatan	Agpnsny
da	da	Cs
bi	biti	Vaa3s
primjena	primjena	Ncfsn
drugih	drugi	Mlofpg
mjera	mjera	Ncfpg
mogla	moći	Vmp-sf
sama	sam	Agpfsny
po	po	Sl
sebi	sebe	Px--sl
dovoljno	dovoljno	Rgp
poboljšati	poboljšati	Vmn
nedostatke	nedostatak	Ncmpa
u	u	Sl
odgovarajućem	odgovarajući	Agpnsly
razdoblju	razdoblje	Ncnsl

4.	4.	Mdo
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
primjenjuje	primjenjivati	Vmr3s
prilagodbu	prilagodba	Ncfsa
za	za	Sa
uravnoteženje	uravnoteženje	Ncnsa
iz	iz	Sg
članka	članak	Ncmsg
111.	111.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
prilagodbu	prilagodba	Ncfsa
za	za	Sa
volatilnost	volatilnost	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
113.	113.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ili	ili	Cc
prijelazne	prijelazan	Agpfsgy
mjere	mjera	Ncfsg
iz	iz	Sg
članaka	članak	Ncmpg
455.	455.	Mdo
i	i	Cc
456.	456.	Mdo
ovoga	ovaj	Pd-nsg
Zakona	zakon	Ncmsg
i	i	Cc
Agencija	agencija	Ncfsn
zaključi	zaključiti	Vmr3s
da	da	Cs
profil	profil	Ncmsan
rizičnosti	rizičnost	Ncfsg
tog	taj	Pd-nsg
društva	društvo	Ncnsg
značajno	značajno	Rgp
odstupa	odstupati	Vmr3s
od	od	Sg
pretpostavki	pretpostavka	Ncfpg
na	na	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
temelje	temeljiti	Vmr3p
te	te	Cc
mjere	mjera	Ncfpa
za	za	Sa
prilagodbu	prilagodba	Ncfsa
i	i	Cc
prijelazne	prijelazan	Agpfpay
mjere	mjera	Ncfpa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
U	u	Sl
okolnostima	okolnost	Ncfpl
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
točaka	točka	Ncfpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
kapitalni	kapitalan	Agpmsny
dodatak	dodatak	Ncmsn
izračunava	izračunavati	Vmr3s
se	sebe	Px--sa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
Uredbom	uredba	Ncfsi
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
2015/35	2015/35	Mdc
na	na	Sa
način	način	Ncmsan
koji	koji	Pi-msn
osigurava	osiguravati	Vmr3s
da	da	Cs
se	sebe	Px--sa
društvo	društvo	Ncnsn
uskladi	uskladiti	Vmr3s
s	sa	Si
člankom	članak	Ncmsi
131.	131.	Mdo
stavkom	stavak	Ncmsi
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
U	u	Sl
okolnostima	okolnost	Ncfpl
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
točke	točka	Ncfsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
kapitalni	kapitalan	Agpmsny
dodatak	dodatak	Ncmsn
razmjeran	razmjeran	Agpmsnn
je	biti	Var3s
značajnim	značajan	Agpmpdy
rizicima	rizik	Ncmpd
koji	koji	Pi-mpn
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
nedostataka	nedostatak	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
doveli	dovesti	Vmp-pm
do	do	Sg
odluke	odluka	Ncfsg
Agencije	agencija	Ncfsg
da	da	Cs
odredi	odrediti	Vmr3s
taj	taj	Pd-msan
dodatak	dodatak	Ncmsan
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
U	u	Sl
okolnostima	okolnost	Ncfpl
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
točke	točka	Ncfsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
kapitalni	kapitalan	Agpmsny
dodatak	dodatak	Ncmsn
razmjeran	razmjeran	Agpmsnn
je	biti	Var3s
značajnim	značajan	Agpmpdy
rizicima	rizik	Ncmpd
koji	koji	Pi-mpn
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
odstupanja	odstupanje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
U	u	Sl
slučajevima	slučaj	Ncmpl
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
točaka	točka	Ncfpg
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
Agencija	agencija	Ncfsn
osigurava	osiguravati	Vmr3s
da	da	Cs
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
poduzme	poduzeti	Vmr3s
sve	sav	Agpmpay
napore	napor	Ncmpa
kako	kako	Cs
bi	biti	Vaa3s
otklonilo	otkloniti	Vmp-sn
nedostatke	nedostatak	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
doveli	dovesti	Vmp-pm
do	do	Sg
uvođenja	uvođenje	Ncnsg
kapitalnog	kapitalan	Agpmsgy
dodatka	dodatak	Ncmsg
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Agencija	agencija	Ncfsn
preispituje	preispitivati	Vmr3s
kapitalni	kapitalan	Agpmsny
dodatak	dodatak	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
najmanje	malo	Rgs
jedanput	jedanput	Rgp
godišnje	godišnji	Agpnsny
,	,	Z
a	a	Cc
on	on	Pp3msn
se	sebe	Px--sa
ukida	ukidati	Vmr3s
kad	kad	Cs
društvo	društvo	Ncnsn
otkloni	otkloniti	Vmr3s
nedostatke	nedostatak	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
doveli	dovesti	Vmp-pm
do	do	Sg
njegova	njegov	Ps3nsg
uvođenja	uvođenje	Ncnsg
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Ne	ne	Qz
dovodeći	dovoditi	Rr
u	u	Sa
pitanje	pitanje	Ncnsa
stavak	stavak	Ncmsan
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
potrebni	potreban	Agpmsny
solventni	solventan	Agpmsny
kapital	kapital	Ncmsn
ne	ne	Qz
uključuje	uključivati	Vmr3s
kapitalni	kapitalan	Agpmsayn
dodatak	dodatak	Ncmsan
uveden	uveden	Appmsnn
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
stavkom	stavak	Ncmsi
3.	3.	Mdo
točkom	točka	Ncfsi
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
za	za	Sa
potrebe	potreba	Ncfpa
izračuna	izračun	Ncmsg
dodatka	dodatak	Ncmsg
za	za	Sa
rizik	rizik	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
109.	109.	Mdo
stavaka	stavak	Ncmpg
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

ODJELJAK	odjeljak	Ncmsn
V.	vi	Agpnsny
IMENOVANJE	imenovanje	Ncnsn
POVJERENIKA	povjerenik	Ncmpg

Povjerenik	povjerenik	Ncmsn
Agencije	agencija	Ncfsg
u	u	Sl
društvu	društvo	Ncnsl
za	za	Sa
osiguranje	osiguranje	Ncnsa

Članak	članak	Ncmsn
240.	240.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Agencija	agencija	Ncfsn
može	moći	Vmr3s
imenovati	imenovati	Vmn
povjerenika	povjerenik	Ncmsay
u	u	Sl
društvu	društvo	Ncnsl
za	za	Sa
osiguranje	osiguranje	Ncnsa
kad	kad	Cs
ocijeni	ocijeniti	Vmr3s
da	da	Cs
je	biti	Var3s
potrebna	potreban	Agpfsny
detaljnija	detaljan	Agcfsny
procjena	procjena	Ncfsn
i	i	Cc
praćenje	praćenje	Ncnsa
financijskog	financijski	Agpnsgy
stanja	stanje	Ncnsg
te	te	Cc
uvjeta	uvjet	Ncmpg
poslovanja	poslovanje	Ncnsg
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Rješenjem	rješenje	Ncnsi
o	o	Sl
imenovanju	imenovanje	Ncnsl
povjerenika	povjerenik	Ncmsg
Agencija	agencija	Ncfsn
može	moći	Vmr3s
imenovati	imenovati	Vmn
jednog	jedan	Mlcmsay
ili	ili	Cc
više	mnogo	Rgc
njegovih	njegov	Ps3mpg
pomoćnika	pomoćnik	Ncmpg
,	,	Z
od	od	Sg
kojih	koji	Pi-mpg
će	htjeti	Var3s
jednoga	jedan	Mlcmsg
od	od	Sg
njih	oni	Pp3-pg
odrediti	odrediti	Vmn
za	za	Sa
zamjenika	zamjenik	Ncmsay
povjerenika	povjerenik	Ncmsay
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Za	za	Sa
povjerenika	povjerenik	Ncmsay
se	sebe	Px--sa

