zastupnička	zastupnički	Agpnpny
plana	plan	Ncmsg
Ministarstva	ministarstvo	Ncnsg
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
Sektora	sektor	Ncmsg
,	,	Z
kao	kao	Cs
i	i	Qo
alokaciju	alokacija	Ncfsa
sredstava	sredstvo	Ncnpg
za	za	Sa
program	program	Ncmsan
isplate	isplata	Ncfsg
trajnih	trajan	Agpnpgy
prava	pravo	Ncnpg
navedenom	navesti	Appmsly
krugu	krug	Ncmsl
korisnika	korisnik	Ncmpg
,	,	Z
na	na	Sa
način	način	Ncmsan
da	da	Cs
sredstva	sredstvo	Ncnpa
omogućuju	omogućivati	Vmr3p
provedbu	provedba	Ncfsa
aktivnosti	aktivnost	Ncfpg
planiranih	planiran	Agpfpgy
Godišnjim	godišnji	Agpmsiy
planom	plan	Ncmsi
.	.	Z

Predlaže	predlagati	Vmr3s
Glavnom	glavni	Agpnsly
tajništvu	tajništvo	Ncnsl
mjesečnu	mjesečan	Agpfsay
dinamiku	dinamika	Ncfsa
potrebnih	potreban	Agpnpgy
sredstava	sredstvo	Ncnpg
za	za	Sa
trajna	trajan	Agpnpay
prava	pravo	Ncnpa
priznata	priznati	Agpfsny
izvršnim	izvršan	Agpnsiy
rješenjem	rješenje	Ncnsi
,	,	Z
za	za	Sa
izvršavanje	izvršavanje	Ncnsa
pravomoćnih	pravomoćan	Agpfpgy
sudskih	sudski	Agpfpgy
presuda	presuda	Ncfpg
te	te	Cc
za	za	Sa
rad	rad	Ncmsan
povjerenstava	povjerenstvo	Ncmsg
čiji	čiji	Pi-msn
rad	rad	Ncmsn
prati	pratiti	Vmr3s
i	i	Cc
koordinira	koordinirati	Vmr3s
u	u	Sl
okviru	okvir	Ncmsl
svoje	svoj	Px-fsg
nadležnosti	nadležnost	Ncfsg
.	.	Z

Odgovoran	odgovoran	Agpmsnn
je	biti	Var3s
pomoćniku	pomoćnik	Ncmsd
ministra	ministar	Ncmsg
za	za	Sa
predloženu	predložen	Agpfsay
dinamiku	dinamika	Ncfsa
potrebnih	potreban	Agpnpgy
sredstava	sredstvo	Ncnpg
.	.	Z

Sektor	sektor	Ncmsn
provodi	provoditi	Vmr3s
kontrolu	kontrola	Ncfsa
zakonitosti	zakonitost	Ncfsg
prvostupanjskih	prvostupanjski	Agpnpgy
rješenja	rješenje	Ncnpg
putem	put	Sg
revizije	revizija	Ncfsg
prvostupanjskih	prvostupanjski	Agpnpgy
rješenja	rješenje	Ncnpg
.	.	Z

Revizija	revizija	Ncfsn
je	biti	Var3s
,	,	Z
u	u	Sl
okviru	okvir	Ncmsl
Financijskog	financijski	Agpnsgy
upravljanja	upravljanje	Ncnsg
i	i	Cc
kontrola	kontrola	Ncfpg
koje	koji	Pi-fpn
se	sebe	Px--sa
provode	provoditi	Vmr3p
u	u	Sl
Ministarstvu	ministarstvo	Ncnsl
,	,	Z
prethodna	prethodan	Agpfsny
kontrola	kontrola	Ncfsn
u	u	Sl
smislu	smisao	Ncmsl
propisa	propis	Ncmpg
o	o	Sl
sustavu	sustav	Ncmsl
unutarnjih	unutarnji	Agpfpgy
financijskih	financijski	Agpfpgy
kontrola	kontrola	Ncfpg
u	u	Sl
javnom	javan	Agpmsly
sektoru	sektor	Ncmsl
.	.	Z

Po	po	Sl
službenoj	služben	Agpfsly
dužnosti	dužnost	Ncfsl
obavlja	obavljati	Vmr3s
reviziju	revizija	Ncfsa
prvostupanjskih	prvostupanjski	Agpnpgy
rješenja	rješenje	Ncnpg
kojima	koji	Pi-npi
se	sebe	Px--sa
utvrđuje	utvrđivati	Vmr3s
status	status	Ncmsan
člana	član	Ncmsg
obitelji	obitelj	Ncfsg
smrtno	smrtno	Rgp
stradaloga	stradalog	Ncmsg
hrvatskog	hrvatski	Agpmsgy
branitelja	branitelj	Ncmsg
iz	iz	Sg
Domovinskog	domovinski	Agpmsgy
rata	rat	Ncmsg
,	,	Z
i	i	Cc
pravo	pravo	Ncnsa
na	na	Sa
obiteljsku	obiteljski	Agpfsay
invalidninu	invalidnina	Ncfsa
,	,	Z
pravo	pravo	Ncnsa
na	na	Sa
povećanu	povećan	Agpfsay
obiteljsku	obiteljski	Agpfsay
invalidninu	invalidnina	Ncfsa
,	,	Z
pravo	pravo	Ncnsa
na	na	Sa
uvećanu	uvećati	Agpfsay
obiteljsku	obiteljski	Agpfsay
invalidninu	invalidnina	Ncfsa
,	,	Z
status	status	Ncmsan
člana	član	Ncmsg
obitelji	obitelj	Ncfsg
zatočenoga	zatočiti	Ncmsg
ili	ili	Cc
nestaloga	nestali	Agpmsgy
hrvatskog	hrvatski	Agpmsgy
branitelja	branitelj	Ncmsg
iz	iz	Sg
Domovinskog	domovinski	Agpmsgy
rata	rat	Ncmsg
i	i	Cc
novčanu	novčan	Agpfsay
naknadu	naknada	Ncfsa
u	u	Sl
iznosu	iznos	Ncmsl
obiteljske	obiteljski	Agpfsgy
invalidnine	invalidnina	Ncfsg
,	,	Z
povećane	povećan	Agpfsgy
obiteljske	obiteljski	Agpfsgy
invalidnine	invalidnina	Ncfsg
i	i	Cc
uvećane	uvećati	Appfsgy
obiteljske	obiteljski	Agpfsgy
invalidnine	invalidnina	Ncfsg
,	,	Z
status	status	Ncmsan
HRVI	HRVI	Mro
iz	iz	Sg
Domovinskog	domovinski	Agpmsgy
rata	rat	Ncmsg
i	i	Cc
pravo	pravo	Ncnsa
na	na	Sa
osobnu	osoban	Agpfsay
invalidninu	invalidnina	Ncfsa
,	,	Z
doplatak	doplatak	Ncmsan
za	za	Sa
njegu	njega	Ncfsa
i	i	Cc
pomoć	pomoć	Ncfsa
druge	drugi	Mlofsg
osobe	osoba	Ncfsg
,	,	Z
ortopedski	ortopedski	Agpmsny
doplatak	doplatak	Ncmsn
,	,	Z
posebni	poseban	Agpmsny
doplatak	doplatak	Ncmsn
,	,	Z
doplatak	doplatak	Ncmsn
za	za	Sa
pripomoć	pripomoć	Ncfsa
u	u	Sl
kući	kuća	Ncfsl
i	i	Cc
rješenja	rješenje	Ncnsg
kojim	koji	Pi-msi
se	sebe	Px--sa
dodjeljuje	dodjeljivati	Vmr3s
osobni	osoban	Agpmsny
automobil	automobil	Ncmsn
HRVI	hrva	Ncfsg
iz	iz	Sg
Domovinskog	domovinski	Agpmsgy
rata	rat	Ncmsg
I.	ii	Agpfsgy
skupine	skupina	Ncfsg
.	.	Z

Po	po	Sl
službenoj	služben	Agpfsly
dužnosti	dužnost	Ncfsl
obavlja	obavljati	Vmr3s
reviziju	revizija	Ncfsa
prvostupanjskih	prvostupanjski	Agpnpgy
rješenja	rješenje	Ncnpg
kojima	koji	Pi-npi
se	sebe	Px--sa
priznaje	priznavati	Vmr3s
status	status	Ncmsan
i	i	Cc
prava	prav	Agpfsny
mirnodopskim	mirnodopski	Agpmpdy
vojnim	vojni	Agpmply
invalidima	invalid	Ncmpl
i	i	Cc
članovima	član	Ncmpi
njihovih	njihov	Ps3fpg
obitelji	obitelj	Ncfpg
,	,	Z
kao	kao	Cs
i	i	Cc
reviziju	revizija	Ncfsa
prvostupanjskih	prvostupanjski	Agpnpgy
rješenja	rješenje	Ncnpg
kojima	koji	Pi-npi
se	sebe	Px--sa
priznaje	priznavati	Vmr3s
status	status	Ncmsan
i	i	Cc
prava	pravo	Ncnpg
stradalih	stradalih	Ps3mpg
pirotehničara	pirotehničar	Ncmpg
i	i	Cc
članovima	član	Ncmpi
njihovih	njihov	Ps3fpg
obitelji	obitelj	Ncfpg
.	.	Z

Po	po	Sl
službenoj	služben	Agpfsly
dužnosti	dužnost	Ncfsl
obavlja	obavljati	Vmr3s
reviziju	revizija	Ncfsa
prvostupanjskih	prvostupanjski	Agpnpgy
rješenja	rješenje	Ncnpg
kojima	koji	Pi-npi
se	sebe	Px--sa
priznaje	priznavati	Vmr3s
status	status	Ncmsan
i	i	Cc
prava	prav	Agpfsny
civilnim	civilan	Agpfpdy
žrtvama	žrtva	Ncfpd
iz	iz	Sg
Domovinskog	domovinski	Agpmsgy
rata	rat	Ncmsg
,	,	Z
sudionicima	sudionik	Ncmpd
Drugog	drugi	Mlomsg
svjetskog	svjetski	Agpmsgy
rata	rat	Ncmsg
,	,	Z
vojnim	vojni	Agpnsiy
i	i	Cc
civilnim	civilan	Agpmpiy
invalidima	invalid	Ncmpi
Drugog	drugi	Mlomsg
svjetskog	svjetski	Agpmsgy
rata	rat	Ncmsg
,	,	Z
osobama	osoba	Ncfpl
stradalim	stradalimti	Vmr3s
u	u	Sa

