Hrvatske	Hrvatska	Npfsg
ustavnu	ustavan	Agpfsay
tužbu	tužba	Ncfsa
podnositelja	podnositelj	Ncmsg
Buljevića	Buljević	Npmsg
.	.	Z

Kraj	kraj	Ncmsn
pravomoćnog	pravomoćan	Agpnsgy
sudskog	sudski	Agpnsgy
utvrđenja	utvrđenje	Ncnsg
da	da	Cs
podnositelj	podnositelj	Ncmsn
Ivkić	Ivkić	Npmsn
nije	biti	Var3s
bio	biti	Vap-sm
aktivno	aktivno	Rgp
legitimiran	legitimirati	Appmsnn
»	»	Z
tražiti	tražiti	Vmn
povrat	povrat	Ncmsan
vozila	vozilo	Ncnsg
niti	niti	Cc
naknadu	naknada	Ncfsa
štete	šteta	Ncfsg
zbog	zbog	Sg
umanjenja	umanjenje	Ncnsg
imovine	imovina	Ncfsg
za	za	Sa
vrijednost	vrijednost	Ncfsa
vozila	vozilo	Ncnsg
kao	kao	Cs
i	i	Qo
za	za	Sa
nekorištenje	nekorištenje	Ncnsa
vozila	vozilo	Ncnsg
«	«	Z
,	,	Z
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
ne	ne	Qz
smatra	smatrati	Vmr3s
potrebnim	potreban	Agpmsiy
posebno	posebno	Rgp
se	sebe	Px--sa
baviti	baviti	Vmn
razlozima	razlog	Ncmpi
zbog	zbog	Sg
kojih	koji	Pi-mpg
su	biti	Var3p
sudovi	sud	Ncmpn
njegov	njegov	Ps3msn
slučaj	slučaj	Ncmsn
ipak	ipak	Rgp
meritorno	meritorno	Rgp
razmotrili	razmotriti	Vmp-pm
.	.	Z

To	taj	Pd-nsn
stoga	stoga	Cs
što	što	Cs
podnositelj	podnositelj	Ncmsn
,	,	Z
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
nedostatak	nedostatak	Ncmsan
aktivne	aktivan	Agpfsgy
legitimacije	legitimacija	Ncfsg
,	,	Z
ni	ni	Qo
u	u	Sl
kakvim	kakav	Pi-fpl
okolnostima	okolnost	Ncfpl
ne	ne	Qz
može	moći	Vmr3s
tvrditi	tvrditi	Vmn
da	da	Cs
je	biti	Var3s
žrtva	žrtva	Ncfsn
povrede	povreda	Ncfsg
prava	pravo	Ncnsg
na	na	Sa
pristup	pristup	Ncmsan
sudu	sud	Ncmsl
,	,	Z
a	a	Cc
ni	ni	Qo
bilo	bilo	Qo
kojeg	koji	Pi-nsg
drugog	drugi	Agpnsgy
prava	pravo	Ncnsg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
oduzetim	oduzeti	Agpnsiy
vozilom	vozilo	Ncnsi
na	na	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
pozvao	pozvati	Vmp-sm
u	u	Sl
ustavnoj	ustavan	Agpfsly
tužbi	tužba	Ncfsl
.	.	Z

Stoga	stoga	Rgp
u	u	Sl
slučaju	slučaj	Ncmsl
podnositelja	podnositelj	Ncmpg
Ivkića	Ivkić	Npmsg
ne	ne	Qz
postoje	postojati	Vmr3p
razlozi	razlog	Ncmpn
za	za	Sa
ukidanje	ukidanje	Ncnsa
osporenih	osporiti	Agpfpgy
presuda	presuda	Ncfpg
.	.	Z

40.	40.	Mdo

Slijedom	slijed	Ncmsi
navedenog	naveden	Agpmsgy
,	,	Z
na	na	Sl
temelju	temelj	Ncmsl
članaka	članak	Ncmpg
73.	73.	Mdo
i	i	Cc
75.	75.	Mdo

Ustavnog	ustavan	Agpmsgy
zakona	zakon	Ncmsg
,	,	Z
odlučeno	odlučiti	Appnsny
je	biti	Var3s
kao	kao	Cs
u	u	Sl
točki	točka	Ncfsl
II	ii	Mrc
.	.	Z
izreke	izreka	Ncfpa
.	.	Z

Objava	objava	Ncfsn
ove	ovaj	Pd-fsg
odluke	odluka	Ncfsg
temelji	temeljiti	Vmr3s
se	sebe	Px--sa
na	na	Sl
članku	članak	Ncmsl
29.	29.	Mdo

Ustavnog	ustavan	Agpmsgy
zakona	zakon	Ncmsg
(	(	Z
točka	točka	Ncfsn
III	III	Mrc
.	.	Z
izreke	izreka	Ncfpa
)	)	Z
.	.	Z

Broj	broj	Ncmsn
:	:	Z
U-III-36100	U-III-36100	X
/	/	Z
2009	2009	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
4.	4.	Mdo
studenoga	studeni	Ncmsg
2014.	2014.	Mdo

USTAVNI	ustavan	Agpmsny
SUD	sud	Ncmsn
REPUBLIKE	republika	Ncfsg
HRVATSKE	hrvatski	Agpfsgy

Predsjednica	predsjednica	Ncfsn
dr.	dr.	Y
sc.	sc.	Y
Jasna	Jasna	Npfsn
Omejec	Omejec	Npfsn
,	,	Z
v.	v.	Y
r.	r.	Y

