direktnu	direktan	Agpfsay
)	)	Z
izvornik	izvornik	Ncmsan
ugovora	ugovor	Ncmsg
o	o	Sl
poslovno-tehničkoj	poslovno-tehnički	Agpfsly
suradnji	suradnja	Ncfsl
sa	sa	Si
stranim	stran	Agpmsiy
prijevoznikom	prijevoznik	Ncmsi
na	na	Sl
načelu	načelo	Ncnsl
uzajamnosti	uzajamnost	Ncfsg
na	na	Sl
hrvatskom	hrvatski	Agpmsly
jeziku	jezik	Ncmsl
i	i	Cc
jeziku	jezik	Ncmsl
poslovnog	poslovan	Agpmsgy
partnera	partner	Ncmsg
,	,	Z
ako	ako	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
međunarodnoj	međunarodni	Agpfsly
liniji	linija	Ncfsl
,	,	Z

g	g	Npmsn
)	)	Z
potvrdu	potvrda	Ncfsa
nadležnih	nadležan	Agpnpgy
tijela	tijelo	Ncnpg
o	o	Sl
plaćenim	platiti	Agpmply
porezima	porez	Ncmpl
i	i	Cc
doprinosima	doprinos	Ncmpi
za	za	Sa
mirovinsko	mirovinski	Agpnsay
i	i	Cc
zdravstveno	zdravstven	Agpnsay
osiguranje	osiguranje	Ncnsa
,	,	Z
ne	ne	Qz
stariju	star	Agcfsay
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
za	za	Sa
sve	sav	Agpmpay
prijevoznike	prijevoznik	Ncmpa
.	.	Z

VI	VI	Mrc
.	.	Z

OBRASCI	obrazac	Ncmpn
DOZVOLA	DOZVOL	Npmsg
I	i	Cc
UPISNIK	upisnik	Ncmsn
IZDANIH	izdan	Agpfpgy
DOZVOLA	dozvola	Ncfpg

Članak	članak	Ncmsn
19.	19.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Obrazac	obrazac	Ncmsn
dozvole	dozvola	Ncfsg
sastoji	sastojati	Vmr3s
se	sebe	Px--sa
od	od	Sg
jednog	jedan	Mlcmsg
posebno	posebno	Rgp
zaštićenog	zaštititi	Agpmsgy
lista	list	Ncmsg
papira	papir	Ncmsg
,	,	Z
veličine	veličina	Ncfsg
A4	A4	Qr
.	.	Z

Na	na	Sl
prvoj	prvi	Mlofsl
stranici	stranica	Ncfsl
je	biti	Var3s
grb	grb	Ncmsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
i	i	Cc
utisnuta	utisnuti	Appfsny
oznaka	oznaka	Ncfsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
po	po	Sl
cijeloj	cijel	Agpfsly
površini	površina	Ncfsl
lista	list	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Obrazac	obrazac	Ncmsn
dozvole	dozvola	Ncfsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
županijskog	županijski	Agpmsgy
linijskog	linijski	Agpmsgy
prijevoza	prijevoz	Ncmsg
je	biti	Var3s
svijetlo	svijetlo	Rgp
smeđe	smeđ	Agpfpay
boje	boja	Ncfpa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Obrazac	obrazac	Ncmsn
dozvole	dozvola	Ncfsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
međužupanijskog	međužupanijski	Agpmsgy
linijskog	linijski	Agpmsgy
prijevoza	prijevoz	Ncmsg
je	biti	Var3s
svijetlo	svijetlo	Rgp
plave	plav	Agpfsgy
boje	boja	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Obrazac	obrazac	Ncmsn
dozvole	dozvola	Ncfsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
međunarodnog	međunarodni	Agpmsgy
bilateralnog	bilateralan	Agpmsgy
i	i	Cc
tranzitnog	tranzitni	Agpmsgy
linijskog	linijski	Agpmsgy
prijevoza	prijevoz	Ncmsg
za	za	Sa
treće	treći	Ncfpa
države	država	Ncfsg
je	biti	Var3s
ružičaste	ružičast	Agpfsgy
boje	boja	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Obrazac	obrazac	Ncmsn
dozvole	dozvola	Ncfsg
iz	iz	Sg
stavaka	stavak	Ncmpg
2.	2.	Mdo
,	,	Z
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
tiskani	tiskati	Appmpny
su	biti	Var3p
uz	uz	Sa
ovaj	ovaj	Pd-msan
Pravilnik	pravilnik	Ncmsan
i	i	Cc
njegov	njegov	Ps3msn
su	biti	Var3p
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
.	.	Z

Članak	članak	Ncmsn
20.	20.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
i	i	Cc
upravno	upravan	Agpnsny
tijelo	tijelo	Ncnsn
županije	županija	Ncfsg
nadležno	nadležan	Agpnsny
za	za	Sa
poslove	posao	Ncmpa
prometa	promet	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
upravno	upravan	Agpnsny
tijelo	tijelo	Ncnsn
Grada	grad	Ncmsg
Zagreba	Zagreb	Npmsg
nadležno	nadležan	Agpnsny
za	za	Sa
poslove	posao	Ncmpa
prometa	promet	Ncmsg
dužni	dužan	Agpmpny
su	biti	Var3p
voditi	voditi	Vmn
upisnik	upisnik	Ncmsan
o	o	Sl
izdanim	izdan	Agpfply
dozvolama	dozvola	Ncfpl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Obrazac	obrazac	Ncmsan
upisnika	upisnik	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
tiskan	tiskati	Appmsnn
je	biti	Var3s
uz	uz	Sa
ovaj	ovaj	Pd-msan
Pravilnik	pravilnik	Ncmsan
i	i	Cc
njegov	njegov	Ps3msn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Upisnik	upisnik	Ncmsn
o	o	Sl
izdanim	izdan	Agpfply
dozvolama	dozvola	Ncfpl
može	moći	Vmr3s
se	sebe	Px--sa
voditi	voditi	Vmn
i	i	Qo
na	na	Sl
računalu	računalo	Ncnsl
u	u	Sl
istovjetnom	istovjetan	Agpmsly
obliku	oblik	Ncmsl
i	i	Cc
sadržaju	sadržaj	Ncmsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
upisnik	upisnik	Ncmsn
o	o	Sl
izdanim	izdan	Agpfply
dozvolama	dozvola	Ncfpl
vodi	voditi	Vmr3s
na	na	Sl
računalu	računalo	Ncnsl
,	,	Z
obvezno	obvezno	Rgp
se	sebe	Px--sa
ispisuje	ispisivati	Vmr3s
na	na	Sl
pisaču	pisač	Ncmsl
i	i	Cc
uvezuje	uvezivati	Vmr3s
u	u	Sa
knjigu	knjiga	Ncfsa
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Upisnik	upisnik	Ncmsn
o	o	Sl
izdanim	izdan	Agpfply
dozvolama	dozvola	Ncfpl
je	biti	Var3s
javan	javan	Agpmsnn
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Upravna	upravan	Agpnpny
tijela	tijelo	Ncnpn
dužna	dužan	Agpfsny
su	biti	Var3p
kopije	kopija	Ncfpn
upisnika	upisnik	Ncmpg
o	o	Sl
izdanim	izdan	Agpfply
dozvolama	dozvola	Ncfpl
dostaviti	dostaviti	Vmn
Ministarstvu	ministarstvo	Ncnsd
do	do	Sg
početka	početak	Ncmsg
prometne	prometan	Agpfsgy
godine	godina	Ncfsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Upisnik	upisnik	Ncmsn
o	o	Sl
izdanim	izdan	Agpfply
dozvolama	dozvola	Ncfpl
vodi	voditi	Vmr3s
se	sebe	Px--sa
na	na	Sl
obrascu	obrazac	Ncmsl
veličine	veličina	Ncfsg
A4	ati	Appmsnn
s	sa	Si
odgovarajućim	odgovarajući	Agpmsiy
sadržajem	sadržaj	Ncmsi
uvezanim	uvezati	Appmsiy
u	u	Sa
knjigu	knjiga	Ncfsa
.	.	Z

Članak	članak	Ncmsn
21.	21.	Mdo

Ministarstvo	ministarstvo	Ncnsn
,	,	Z
odnosno	odnosno	Rgp
upravno	upravan	Agpnsny
tijelo	tijelo	Ncnsn
županije	županija	Ncfsg
nadležno	nadležan	Agpnsny
za	za	Sa
poslove	posao	Ncmpa
prometa	promet	Ncmsg
će	htjeti	Var3s
popis	popis	Ncmsn
dozvola	dozvola	Ncfpg
izdanih	izdan	Agpfpgy
do	do	Sg
1.	1.	Mdo
lipnja	lipanj	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
objaviti	objaviti	Vmn
najkasnije	kasno	Rgs
do	do	Sg
1.	1.	Mdo
srpnja	srpanj	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
na	na	Sl
web	web	Ncmsl
stranici	stranica	Ncfsl
Ministarstva	ministarstvo	Ncnsg
odnosno	odnosno	Rgp
županije	županija	Ncfsg
,	,	Z
a	a	Cc
nakon	nakon	Sg
toga	taj	Pd-nsg
roka	rok	Ncmsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
objavljivat	objavljivati	Vmn
će	htjeti	Var3s
svaku	svaki	Pi-fsa
novu	nov	Agpfsay
ili	ili	Cc
izmijenjenu	izmijeniti	Appfsay
dozvolu	dozvola	Ncfsa
.	.	Z

VII	vii	Mrc
.	.	Z

ZAVRŠNE	završan	Agpfpny
ODREDBE	odredba	Ncfpn

Članak	članak	Ncmsn
22.	22.	Mdo

Danom	dan	Ncmsi
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
prestaje	prestajati	Vmr3s
važiti	važiti	Vmn
Pravilnik	pravilnik	Ncmsan
o	o	Sl
dozvolama	dozvola	Ncfpl
za	za	Sa
obavljanje	obavljanje	Ncnsa
linijskog	linijski	Agpmsgy
prijevoza	prijevoz	Ncmsg
putnika	putnik	Ncmpg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
118/2005	118/2005	Mdc
,	,	Z
120/2010	120/2010	Mds
i	i	Cc
112/2011	112/2011	Mdc
)	)	Z
.	.	Z

Članak	članak	Ncmsn
23.	23.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmog	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
0115	0115	Mdc
-	-	Z
02/107	02/107	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
530	530	Mdc
-	-	Z
05	05	Mdc
-	-	Z
1	1	Mdc
-	-	Z
2	2	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
16.	16.	Mdo
listopada	listopad	Ncmsg
2015.	2015.	Mdo

Ministar	ministar	Ncmsn
dr.	dr.	Y
sc.	sc.	Y
Siniša	Siniša	Npfsn
Hajdaš	Hajdaš	Npfsn
Dončić	Dončić	Npfsn
,	,	Z
v.	v.	Y
r.	r.	Y

OBRASCI	obrazac	Ncmpn

