obrada	obrada	Ncfsn
navesti	navesti	Vmn
kategoriju	kategorija	Ncfsa
i	i	Cc
vrstu	vrsta	Ncfsa
pomagala	pomagalo	Ncnsg
)	)	Z
i	i	Cc
uz	uz	Sa
vremensko	vremenski	Agpnsay
ograničenje	ograničenje	Ncnsa
–	–	Z
(	(	Z
navesti	navesti	Vmn
kategoriju	kategorija	Ncfsa
i	i	Cc
rok	rok	Ncmsan
ponovnog	ponovan	Agpmsgy
zdravstvenog	zdravstven	Agpmsgy
pregleda	pregled	Ncmsg
)	)	Z
.	.	Z

Doktor	doktor	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
izdao	izdati	Vmp-sm
Uvjerenje	uvjerenje	Ncnsa
obvezan	obvezati	Appmsnn
je	biti	Var3s
upoznati	upoznati	Vmn
vozača	vozač	Ncmsay
i	i	Cc
kandidata	kandidat	Ncmpg
za	za	Sa
vozača	vozač	Ncmsay
s	sa	Si
razlozima	razlog	Ncmpi
zbog	zbog	Sg
kojeg	koji	Pi-msg
mu	on	Pp3msd
je	biti	Var3s
odredio	odrediti	Vmp-sm
kontrolni	kontrolan	Agpmsayn
zdravstveni	zdravstven	Agpmsayn
pregled	pregled	Ncmsan
,	,	Z
odnosno	odnosno	Rgp
upoznati	upoznati	Vmn
ga	on	Pp3msa
s	sa	Si
razlozima	razlog	Ncmpi
za	za	Sa
ograničenje	ograničenje	Ncnsa
.	.	Z

5.	5.	Mdo
privremeno	privremeno	Rgp
nesposoban	nesposoban	Agpmsnn
–	–	Z
(	(	Z
navesti	navesti	Vmn
kategoriju	kategorija	Ncfsa
i	i	Cc
trajanje	trajanje	Ncnsa
privremene	privremen	Agpfsgy
nesposobnosti	nesposobnost	Ncfsg
)	)	Z
.	.	Z

Privremena	privremen	Agpfsny
nesposobnost	nesposobnost	Ncfsn
ne	ne	Qz
može	moći	Vmr3s
biti	biti	Van
kraća	kratak	Agcfsny
od	od	Sg
tri	tri	Mlc
mjeseca	mjesec	Ncmsg
.	.	Z

Obvezno	obvezan	Agpnsny
je	biti	Var3s
navesti	navesti	Vmn
odredbu	odredba	Ncfsa
članka	članak	Ncmsg
i	i	Cc
stavka	stavka	Ncfsn
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
na	na	Sl
temelju	temelj	Ncmsl
kojeg	koji	Pi-msg
je	biti	Var3s
ocjena	ocjena	Ncfsn
donesena	donijeti	Appfsny
.	.	Z

Doktor	doktor	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
izdao	izdati	Vmp-sm
Uvjerenje	uvjerenje	Ncnsa
obvezan	obvezan	Agpmsnn
je	biti	Var3s
vozača	vozač	Ncmpg
i	i	Cc
kandidata	kandidat	Ncmpg
za	za	Sa
vozača	vozač	Ncmsay
upoznati	upoznati	Appmpny
s	sa	Si
razlozima	razlog	Ncmpi
privremene	privremen	Agpfsgy
nesposobnosti	nesposobnost	Ncfsg
.	.	Z

6.	6.	Mdo
trajno	trajno	Rgp
nesposoban	nesposoban	Agpmsnn
–	–	Z
(	(	Z
navesti	navesti	Vmn
kategoriju	kategorija	Ncfsa
trajne	trajan	Agpfsgy
nesposobnosti	nesposobnost	Ncfsg
)	)	Z
.	.	Z

Obvezno	obvezan	Agpnsny
je	biti	Var3s
navesti	navesti	Vmn
odredbu	odredba	Ncfsa
članka	članak	Ncmsg
i	i	Cc
stavka	stavka	Ncfsn
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
na	na	Sl
temelju	temelj	Ncmsl
kojeg	koji	Pi-msg
je	biti	Var3s
ocjena	ocjena	Ncfsn
donesena	donijeti	Appfsny
.	.	Z

Doktor	doktor	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
izdao	izdati	Vmp-sm
Uvjerenje	uvjerenje	Ncnsa
obvezan	obvezan	Agpmsnn
je	biti	Var3s
vozača	vozač	Ncmpg
i	i	Cc
kandidata	kandidat	Ncmpg
za	za	Sa
vozača	vozač	Ncmsay
upoznati	upoznati	Appmpny
s	sa	Si
razlozima	razlog	Ncmpi
trajne	trajan	Agpfsgy
nesposobnosti	nesposobnost	Ncfsg
.	.	Z

Članak	članak	Ncmsn
16.	16.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Vozač	vozač	Ncmsn
i	i	Cc
kandidat	kandidat	Ncmsn
za	za	Sa
vozača	vozač	Ncmsay
koji	koji	Pi-msn
nije	biti	Var3s
zadovoljan	zadovoljan	Agpmsnn
ocjenom	ocjena	Ncfsi
zdravstvene	zdravstven	Agpfsgy
sposobnosti	sposobnost	Ncfsg
,	,	Z
može	moći	Vmr3s
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
15	15	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
primitka	primitak	Ncmsg
Uvjerenja	uvjerenje	Ncnsg
podnijeti	podnijeti	Vmn
zahtjev	zahtjev	Ncmsan
za	za	Sa
utvrđivanje	utvrđivanje	Ncnsa
zdravstvene	zdravstven	Agpfsgy
sposobnosti	sposobnost	Ncfsg
Drugostupanjskom	drugostupanjski	Agpnsly
zdravstvenom	zdravstven	Agpnsly
povjerenstvu	povjerenstvo	Ncnsl
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavka	stavak	Ncmsg
8.	8.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Drugostupanjsko	drugostupanjski	Agpnsny
zdravstveno	zdravstven	Agpnsny
povjerenstvo	povjerenstvo	Ncnsn
za	za	Sa
utvrđivanje	utvrđivanje	Ncnsa
zdravstvene	zdravstven	Agpfsgy
sposobnosti	sposobnost	Ncfsg
na	na	Sl
temelju	temelj	Ncmsl
nalaza	nalaz	Ncmsg
i	i	Cc
mišljenja	mišljenje	Ncnsg
donosi	donositi	Vmr3s
Uvjerenje	uvjerenje	Ncnsa
o	o	Sl
duševnoj	duševan	Agpfsly
i	i	Cc
tjelesnoj	tjelesni	Agpfsly
sposobnosti	sposobnost	Ncfsl
za	za	Sa
upravljanje	upravljanje	Ncnsa
vozilima	vozilo	Ncmpi
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Izgled	izgled	Ncmsan
i	i	Cc
sadržaj	sadržaj	Ncmsan
Uvjerenja	uvjerenje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
utvrđeni	utvrditi	Appmpny
su	biti	Var3p
u	u	Sl
Prilogu	prilog	Ncmsl
III	III	Mrc
.	.	Z
koji	koji	Pi-msn
je	biti	Var3s
otisnut	otisnuti	Appmsnn
uz	uz	Sa
ovaj	ovaj	Pd-msan
Pravilnik	pravilnik	Ncmsan
i	i	Cc
čini	činiti	Vmr3s
njegov	njegov	Ps3msn
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
.	.	Z

Članak	članak	Ncmsn
17.	17.	Mdo

Izvanredni	izvanredan	Agpmsny
nadzorni	nadzorni	Agpmsny
zdravstveni	zdravstven	Agpmsny
pregled	pregled	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
231.	231.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
sigurnosti	sigurnost	Ncfsl
prometa	promet	Ncmsg
na	na	Sl
cestama	cesta	Ncfpl
sastoji	sastojati	Vmr3s
se	sebe	Px--sa
najmanje	malo	Rgs
od	od	Sg
sljedećih	sljedeći	Agpmpgy
pregleda	pregled	Ncmpg
:	:	Z

1	1	Mdc
)	)	Z
kompletnog	kompletan	Agpmsgy
pregleda	pregled	Ncmsg
specijaliste	specijalist	Ncmpa
medicine	medicina	Ncfsg
rada	rad	Ncmsg
/	/	Z
sporta	sport	Ncmsg
(	(	Z
anamneza	anamneza	Ncfsn
,	,	Z
kompletan	kompletan	Agpmsann
status	status	Ncmsan
,	,	Z
pregled	pregled	Ncmsn
vidnih	vidan	Agpfpgy
funkcija	funkcija	Ncfpg
:	:	Z
oštrine	oštrina	Ncfpn
vida	vid	Ncmsg
oba	oba	Ncmpg
oka	oko	Ncnsg
i	i	Cc
svakog	svaki	Pi-nsg
oka	oko	Ncnsg
pojedinačno	pojedinačno	Rgp
–	–	Z
naturalnog	naturalan	Agpnsgy
i	i	Cc
korigiranog	korigirati	Agpnsgy
,	,	Z
bulbomotorike	bulbomotoriki	Agpnsny
,	,	Z
raspoznavanja	raspoznavanje	Ncnsg
boja	boja	Ncfpg
,	,	Z
orijentacijske	orijentacijski	Agpfsgy
širine	širina	Ncfsg
vidnog	vidan	Agpnsgy
polja	polje	Ncnsg
)	)	Z
,	,	Z

2	2	Mdc
)	)	Z
izvatka	izvadak	Ncmsg
iz	iz	Sg
liječničkog	liječnički	Agpmsgy
kartona	karton	Ncmsg
o	o	Sl
kroničnim	kroničan	Agpmply
i	i	Cc
psihičkim	psihički	Agpfply
bolestima	bolest	Ncfpl
od	od	Sg
kojih	koji	Pi-fpg
pregledanik	pregledanik	Ncfpg
boluje	bolovati	Vmr3s
,	,	Z
koji	koji	Pi-msn
dostavlja	dostavljati	Vmr3s
izabrani	izabran	Agpmsny
doktor	doktor	Ncmsn
,	,	Z
osim	osim	Cs
ako	ako	Cs
drugim	drugi	Mlompi
propisima	propis	Ncmpi
nije	biti	Var3s
drukčije	drugačije	Rgp
propisano	propisati	Appnsny
,	,	Z

3	3	Mdc
)	)	Z
psihologijskog	psihologijski	Agpnsgy
testiranja	testiranje	Ncnsg
i	i	Cc
pregleda	pregled	Ncmsg
specijalista	specijalist	Ncmpg
u	u	Sa
čiju	čiji	Pi-fsa
užu	uzak	Agcfsay
nadležnost	nadležnost	Ncfsa
spada	spadati	Vmr3s
liječenje	liječenje	Ncnsa
i	i	Cc
praćenje	praćenje	Ncnsa
bolesti	bolest	Ncfpg
zbog	zbog	Sg
koje	koji	Pi-fsg
/	/	Z
kojih	koji	Pi3n-n
je	biti	Var3s
dano	dan	Agpnsny
ograničenje	ograničenje	Ncnsn
,	,	Z

4	4	Mdc
)	)	Z
kod	kod	Sg
alkoholiziranog	alkoholiziran	Agpmsgy
vozača	vozač	Ncmsg
,	,	Z
kod	kod	Sg
vozača	vozač	Ncmpg
za	za	Sa
kojeg	koji	Pi-msay
postoji	postojati	Vmr3s
opravdana	opravdati	Appfsny
sumnja	sumnja	Ncfsn
da	da	Cs
je	biti	Var3s
uzimao	uzimati	Vmp-sm
lijekove	lijek	Ncmpa
koji	koji	Pi-mpn
utječu	utjecati	Vmr3p
na	na	Sa
psihofizičke	psihofizički	Agpfpay
sposobnosti	sposobnost	Ncfpa
i	i	Cc
na	na	Sa
sposobnost	sposobnost	Ncfsa
upravljanja	upravljanje	Ncnsg
vozilima	vozilo	Ncnpl
,	,	Z
vrijednosti	vrijednost	Ncfsl
alkohola	alkohol	Ncmsg
i	i	Cc
lijekova	lijek	Ncmpg
u	u	Sl
krvi	krv	Ncfsl
i	i	Cc
urinu	urin	Ncmsl
te	te	Cc
ostalih	ostali	Agpfpgy
analiza	analiza	Ncfpg
utvrđivat	utvrđivati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
u	u	Sl
ustanovama	ustanova	Ncfpl
i	i	Cc
tijelima	tijelo	Ncnpl
koje	koji	Pi-nsn
je	biti	Var3s
za	za	Sa
to	taj	Pd-nsa
ovlastio	ovlastiti	Vmp-sm
ministar	ministar	Ncmsan
uz	uz	Sa
suglasnost	suglasnost	Ncfsa
ministra	ministar	Ncmsg
za	za	Sa
unutarnje	unutarnji	Agpmpay
poslove	posao	Ncmpa
.	.	Z

Članak	članak	Ncmsn
18.	18.	Mdo

Opseg	opseg	Ncmsn
izvanrednog	izvanredan	Agpmsgy
nadzornog	nadzorni	Agpmsgy
zdravstvenog	zdravstven	Agpmsgy
pregleda	pregled	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
231.	231.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
sigurnosti	sigurnost	Ncfsl
prometa	promet	Ncmsg
na	na	Sl
cestama	cesta	Ncfpl
utvrđuje	utvrđivati	Vmr3s
specijalist	specijalist	Ncmsn
medicine	medicina	Ncfsg
rada	rad	Ncmsg
/	/	Z
sporta	sport	Ncmsg
ovisno	ovisno	Rgp
o	o	Sl
razlogu	razlog	Ncmsl
upućivanja	upućivanje	Ncnsg
na	na	Sa
izvanredni	izvanredan	Agpmsayn
nadzorni	nadzorni	Agpmsayn
zdravstveni	zdravstven	Agpmsayn
pregled	pregled	Ncmsan
u	u	Sl
ovlaštenoj	ovlašten	Agpfsly
zdravstvenoj	zdravstven	Agpfsly
ustanovi	ustanova	Ncfsl
,	,	Z
trgovačkom	trgovački	Agpnsly
društvu	društvo	Ncnsl
i	i	Cc
specijalističkoj	specijalistički	Agpfsly
ordinaciji	ordinacija	Ncfsl
medicine	medicina	Ncfsg
rada	rad	Ncmsg
/	/	Z
sporta	sport	Ncmsg
u	u	Sl
privatnoj	privatan	Agpfsly
praksi	praksa	Ncfsl
.	.	Z

Opseg	opseg	Ncmsn
pregleda	pregled	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
manji	mali	Agcmsny
od	od	Sg
onoga	onaj	Pd-msg
koji	koji	Pi-msn
je	biti	Var3s
propisan	propisati	Appmsnn
za	za	Sa
kategoriju	kategorija	Ncfsa
koju	koji	Pi-fsa
vozač	vozač	Ncmsn
posjeduje	posjedovati	Vmr3s
.	.	Z

Članak	članak	Ncmsn
19.	19.	Mdo

Zdravstveni	zdravstven	Agpmpny
pregledi	pregled	Ncmpn
i	i	Cc
psihologijsko	psihologijski	Agpnsny
testiranje	testiranje	Ncnsn
vozača	vozač	Ncmpg
i	i	Cc
kandidata	kandidat	Ncmpg
za	za	Sa
vozače	vozač	Ncmpa
druge	drugi	Mlofsg
skupine	skupina	Ncfsg
sukladno	sukladno	Rgp
ovom	ovaj	Pd-msl
Pravilniku	pravilnik	Ncmsl
su	biti	Var3p
:	:	Z

1.	1.	Mdo
Zdravstveni	zdravstven	Agpmsayn
pregled	pregled	Ncmsan
vozača	vozač	Ncmpg
i	i	Cc
ocjena	ocjena	Ncfpg
psihičkih	psihički	Agpfpgy

