imovina	imovina	Ncfsn
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
bit	biti	Van
će	htjeti	Var3s
vraćena	vratiti	Appfsny
korisniku	korisnik	Ncmsd
po	po	Sl
prihvaćanju	prihvaćanje	Ncnsl
opravdanosti	opravdanost	Ncfsg
odobrenih	odobren	Agpnpgy
ulaganja	ulaganje	Ncnpg
temeljem	temelj	Ncmsi
odluke	odluka	Ncfsg
o	o	Sl
jamstvu	jamstvo	Ncnsl
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Jamstva	jamstvo	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
bit	biti	Van
će	htjeti	Var3s
aktivirana	aktivirati	Appfsny
radi	radi	Sg
povrata	povrat	Ncmpg
sredstava	sredstvo	Ncnpg
isplaćenog	isplatiti	Agpmsgy
predujma	predujam	Ncmsg
u	u	Sl
slučaju	slučaj	Ncmsl
neispunjavanja	neispunjavanje	Ncnsg
uvjeta	uvjet	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
temeljem	temelj	Ncmsi
odluke	odluka	Ncfsg
o	o	Sl
jamstvu	jamstvo	Ncnsl
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
dostaviti	dostaviti	Vmn
izvještaj	izvještaj	Ncmsan
o	o	Sl
napretku	napredak	Ncmsl
projekta	projekt	Ncmsg
svakih	svaki	Agpmpgy
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
,	,	Z
računajući	računati	Rr
od	od	Sg
dana	dan	Ncmpg
donošenja	donošenje	Ncnsg
odluke	odluka	Ncfsg
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
je	biti	Var3s
nakon	nakon	Sg
završenog	završen	Agpmsgy
projekta	projekt	Ncmsg
dužan	dužan	Agpmsnn
podnijeti	podnijeti	Vmn
zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Prilikom	prilikom	Sg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
/	/	Z
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
predujma	predujam	Ncmsg
korisnici	korisnik	Ncmpn
su	biti	Var3p
obvezni	obvezan	Agpmpny
dostaviti	dostaviti	Vmn
svu	sav	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
propisanu	propisati	Appfsay
natječajem	natječaj	Ncmsi
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
Nakon	nakon	Sg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
/	/	Z
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
predujma	predujam	Ncmsg
korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
u	u	Sl
roku	rok	Ncmsl
propisanom	propisati	Agpmsly
natječajem	natječaj	Ncmsi
osobno	osobno	Rgp
ili	ili	Cc
preporučenom	preporučiti	Agpfsiy
pošiljkom	pošiljka	Ncfsi
s	sa	Si
povratnicom	povratnica	Ncfsi
dostaviti	dostaviti	Vmn
ovjerenu	ovjeriti	Agpfsay
potvrdu	potvrda	Ncfsa
o	o	Sl
podnošenju	podnošenje	Ncnsl
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
/	/	Z
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
predujma	predujam	Ncmsg
,	,	Z
zajedno	zajedno	Rgp
s	sa	Si
propisanom	propisati	Agpfsiy
dokumentacijom	dokumentacija	Ncfsi
u	u	Sl
izvorniku	izvornik	Ncmsl
u	u	Sl
papirnatom	papirnat	Agpmsly
obliku	oblik	Ncmsl
na	na	Sa
adresu	adresa	Ncfsa
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
.	.	Z

(	(	Z
12	12	Mdc
)	)	Z
Uz	uz	Sa
zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
/	/	Z
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
predujma	predujam	Ncmsg
korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
dostaviti	dostaviti	Vmn
svu	sav	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
propisanu	propisati	Appfsay
natječajem	natječaj	Ncmsi
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
se	sebe	Px--sa
kao	kao	Cs
vrijeme	vrijeme	Ncnsn
podnošenja	podnošenje	Ncnsg
smatra	smatrati	Vmr3s
datum	datum	Ncmsan
i	i	Cc
sat	sat	Ncmsn
slanja	slanje	Ncnsg
dokumentacije	dokumentacija	Ncfsg
u	u	Sl
slučaju	slučaj	Ncmsl
slanja	slanje	Ncnsg
preporučenom	preporučiti	Agpfsiy
pošiljkom	pošiljka	Ncfsi
s	sa	Si
povratnicom	povratnica	Ncfsi
ili	ili	Cc
datum	datum	Ncmsan
i	i	Cc
sat	sat	Ncmsan
zaprimanja	zaprimanje	Ncnsg
u	u	Sa
Agenciju	agencija	Ncfsa
za	za	Sa
plaćanja	plaćanje	Ncnpa
ukoliko	ukoliko	Cs
se	sebe	Px--sa
dostavlja	dostavljati	Vmr3s
osobno	osobno	Rgp
.	.	Z

Zahtjev	zahtjev	Ncmsn
za	za	Sa
isplatu	isplata	Ncfsa

Članak	članak	Ncmsn
23.	23.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Uz	uz	Sa
zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
rate	rata	Ncfsg
potrebno	potreban	Agpnsny
je	biti	Var3s
priložiti	priložiti	Vmn
:	:	Z

–	i	Agpfpay
izjave	izjava	Ncfpa
izvoditelja	izvoditelj	Ncmpg
o	o	Sl
utvrđenoj	utvrditi	Agpfsly
nezagađenosti	nezagađenost	Ncfsl
(	(	Z
za	za	Sa
područje	područje	Ncnsa
gdje	gdje	Cs
je	biti	Var3s
upotrijebljen	upotrijebiti	Appmsnn
postupak	postupak	Ncmsn
pretraživanja	pretraživanje	Ncnsg
)	)	Z

–	i	Agpfpay
izjave	izjava	Ncfpa
o	o	Sl
očišćenosti	očišćenost	Ncfsl
od	od	Sg
MES-a	MES	Npmsg
,	,	Z
NUS-a	NUS	Npmsg
i	i	Cc
njihovih	njihov	Ps3mpg
dijelova	dio	Ncmpg
(	(	Z
za	za	Sa
područje	područje	Ncnsa
gdje	gdje	Cs
je	biti	Var3s
upotrijebljen	upotrijebiti	Appmsnn
postupak	postupak	Ncmsn
razminiranja	razminiranje	Ncnsg
)	)	Z

–	–	Z
završno	završan	Agpnsny
izvješće	izvješće	Ncnsn
voditelja	voditelj	Ncmpg
radilišta	radilište	Ncnsg
s	sa	Si
pripadajućim	pripadajući	Agpmpiy
zemljovidima	zemljovid	Ncmpi

–	–	Sa
rekapitulaciju	rekapitulacija	Ncfsa
zahtjeva	zahtjev	Ncmpg
izvoditelja	izvoditelj	Ncmpg
za	za	Sa
plaćanje	plaćanje	Ncnsa

–	i	Agpmpay
zapisnike	zapisnik	Ncmpa
o	o	Sl
stručnom	stručan	Agpmsly
nadzoru	nadzor	Ncmsl
nad	nad	Si
obavljenim	obaviti	Agpmpiy
poslovima	posao	Ncmpi
pretraživanja	pretraživanje	Ncnsg
i	i	Cc
/	/	Z
ili	ili	Cc
razminiranja	razminiranje	Ncnsg

–	–	Sa
sve	sav	Agpmpay
plaćene	platiti	Agpmpay
račune	račun	Ncmpa
sukladno	sukladan	Agpnsay
odluci	odluka	Ncfsl
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
,	,	Z
a	a	Cc
svi	sav	Agpmpny
priloženi	priložen	Agpmpny
računi	račun	Ncmpn
moraju	morati	Vmr3p
biti	biti	Van
plaćeni	platiti	Appmpny
u	u	Sl
cijelosti	cijelost	Ncfsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Uz	uz	Sa
zahtjev	zahtjev	Ncmsan
za	za	Sa
konačnu	konačan	Agpfsay
isplatu	isplata	Ncfsa
potrebno	potreban	Agpnsny
je	biti	Var3s
priložiti	priložiti	Vmn
:	:	Z

–	i	Agpfpay
izjave	izjava	Ncfpa
izvoditelja	izvoditelj	Ncmpg
o	o	Sl
utvrđenoj	utvrditi	Agpfsly
nezagađenosti	nezagađenost	Ncfsl
(	(	Z
za	za	Sa
područje	područje	Ncnsa
gdje	gdje	Cs
je	biti	Var3s
upotrijebljen	upotrijebiti	Appmsnn
postupak	postupak	Ncmsn
pretraživanja	pretraživanje	Ncnsg
)	)	Z

–	i	Agpfpay
izjave	izjava	Ncfpa
o	o	Sl
očišćenosti	očišćenost	Ncfsl
od	od	Sg
MES-a	MES	Npmsg
,	,	Z
NUS-a	NUS	Npmsg
i	i	Cc
njihovih	njihov	Ps3mpg
dijelova	dio	Ncmpg
(	(	Z
za	za	Sa
područje	područje	Ncnsa
gdje	gdje	Cs
je	biti	Var3s
upotrijebljen	upotrijebiti	Appmsnn
postupak	postupak	Ncmsn
razminiranja	razminiranje	Ncnsg
)	)	Z

–	–	Z
završno	završan	Agpnsny
izvješće	izvješće	Ncnsn
voditelja	voditelj	Ncmpg
radilišta	radilište	Ncnsg
s	sa	Si
pripadajućim	pripadajući	Agpmpiy
zemljovidima	zemljovid	Ncmpi

–	–	Sa
rekapitulaciju	rekapitulacija	Ncfsa
zahtjeva	zahtjev	Ncmpg
izvoditelja	izvoditelj	Ncmpg
za	za	Sa
plaćanje	plaćanje	Ncnsa

–	i	Agpmpay
zapisnike	zapisnik	Ncmpa
o	o	Sl
stručnom	stručan	Agpmsly
nadzoru	nadzor	Ncmsl
nad	nad	Si
obavljenim	obaviti	Agpmpiy
poslovima	posao	Ncmpi
pretraživanja	pretraživanje	Ncnsg
i	i	Cc
/	/	Z
ili	ili	Cc
razminiranja	razminiranje	Ncnsg

–	–	Agpmsny
zapisnik	zapisnik	Ncmsn
o	o	Sl
preuzimanju	preuzimanje	Ncnsl
pretraženog	pretražen	Agpnsgy
i	i	Cc
/	/	Z
ili	ili	Cc
razminiranog	razminirati	Agpnsgy
područja	područje	Ncnsg

–	i	Agpfsay
potvrdu	potvrda	Ncfsa
o	o	Sl
nezagađenosti	nezagađenost	Ncfsl
odnosno	odnosno	Rgp
očišćenosti	očišćenost	Ncfsl

–	–	Sa
sve	sav	Agpmpay
plaćene	platiti	Agpmpay
račune	račun	Ncmpa
sukladno	sukladan	Agpnsay
odluci	odluka	Ncfsl
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
,	,	Z
a	a	Cc
svi	sav	Agpmpny
priloženi	priložen	Agpmpny
računi	račun	Ncmpn
moraju	morati	Vmr3p
biti	biti	Van
plaćeni	platiti	Appmpny
u	u	Sl
cijelosti	cijelost	Ncfsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Korisniku	korisnik	Ncmsd
se	sebe	Px--sa
ne	ne	Qz
može	moći	Vmr3s
isplatiti	isplatiti	Vmn
potpora	potpora	Ncfsn
u	u	Sl
iznosu	iznos	Ncmsl
višem	visok	Agcmsly
od	od	Sg
iznosa	iznos	Ncmsg
navedenoga	naveden	Agpmsgy
u	u	Sl
odluci	odluka	Ncfsl
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Za	za	Sa
nepotpun	nepotpun	Agpmsann
zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
Agencija	agencija	Ncfpg
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
donijeti	donijeti	Vmn
zahtjev	zahtjev	Ncmsan
za	za	Sa
dopunu	dopuna	Ncfsa
/	/	Z
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
kojim	koji	Pi-msi
će	htjeti	Var3s
od	od	Sg
korisnika	korisnik	Ncmpg
tražiti	tražiti	Vmn
dostavljanje	dostavljanje	Ncnsa
dokumentacije	dokumentacija	Ncfsg
koja	koji	Pi-fsn
nedostaje	nedostajati	Vmr3s
.	.	Z

Korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
dostaviti	dostaviti	Vmn
traženu	tražen	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
preporučenom	preporučiti	Agpfsiy
pošiljkom	pošiljka	Ncfsi
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
deset	deset	Mlc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
zaprimanja	zaprimanje	Ncnsg
zahtjeva	zahtjev	Ncmsg
za	za	Sa
dopunu	dopuna	Ncfsa
/	/	Z
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
.	.	Z

Ukoliko	ukoliko	Cs
tražena	tražiti	Appfsny
dokumentacija	dokumentacija	Ncfsn
ne	ne	Qz
bude	biti	Var3s
poslana	poslati	Appfsny
u	u	Sl
zadanom	zadati	Agpmsly
roku	rok	Ncmsl
,	,	Z
smatrat	smatrati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
da	da	Cs
je	biti	Var3s
korisnik	korisnik	Ncmsn
odustao	odustati	Vmp-sm
od	od	Sg
dijela	dio	Ncmsg
iznosa	iznos	Ncmsg
potpore	potpora	Ncfsg
za	za	Sa
koji	koji	Pi-msan
dokumentacija	dokumentacija	Ncfsn
nije	biti	Var3s
dostavljena	dostaviti	Appfsny
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Vremenom	vrijeme	Ncnsi
zaprimanja	zaprimanje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
dopunu	dopuna	Ncfsa
/	/	Z
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsn
smatra	smatrati	Vmr3s
se	sebe	Px--sa
datum	datum	Ncmsn
kada	kada	Cs
korisnik	korisnik	Ncmsn
zaprimi	zaprimiti	Vmr3s
preporučenu	preporučiti	Agpfsay
pošiljku	pošiljka	Ncfsa
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
nije	biti	Var3s
preuzeo	preuzeti	Vmp-sm
zahtjev	zahtjev	Ncmsan
za	za	Sa

