obavezan	obavezan	Agpmsnn
podaci	podatak	Ncmpn
moraju	morati	Vmr3p
biti	biti	Van
dostavljeni	dostaviti	Appmpny
navodi	navoditi	Vmr3s
da	da	Cs
isti	isti	Agpmpny
moraju	morati	Vmr3p
biti	biti	Van
dostavljeni	dostaviti	Appmpny
u	u	Sl
prikladnom	prikladan	Agpmsly
obliku	oblik	Ncmsl
kako	kako	Cs
bi	biti	Vaa3p
se	sebe	Px--sa
mogli	moći	Vmp-pm
koristiti	koristiti	Vmn
.	.	Z

Zainteresirana	zainteresiran	Agpfsny
osoba	osoba	Ncfsn
ističe	isticati	Vmr3s
da	da	Cs
podaci	podatak	Ncmpn
koje	koji	Pi-mpa
je	biti	Var3s
dostavio	dostaviti	Vmp-sm
tužitelj	tužitelj	Ncmsn
su	biti	Var3p
podaci	podatak	Ncmpn
u	u	Sl
neobrađenom	neobrađen	Agpmsly
obliku	oblik	Ncmsl
te	taj	Pd-fsg
nije	biti	Var3s
bilo	biti	Vap-sn
moguće	moguć	Agpnsny
nedvojbeno	nedvojben	Agpnsny
utvrditi	utvrditi	Vmn
kojoj	koji	Pi-fsd
osobi	osoba	Ncfsd
pripada	pripadati	Vmr3s
koji	koji	Pi-msn
telefonski	telefonski	Agpmsny
broj	broj	Ncmsn
zbog	zbog	Sg
čega	što	Pi3n-g
nije	biti	Var3s
bilo	biti	Vap-sn
moguće	moguć	Agpnsny
dostavljene	dostaviti	Appmpay
podatke	podatak	Ncmpa
upotrijebiti	upotrijebiti	Vmn
.	.	Z

Dakle	dakle	Cc
,	,	Z
ističe	isticati	Vmr3s
kako	kako	Cs
osnovni	osnovan	Agpmpny
podaci	podatak	Ncmpn
odnosno	odnosno	Rgp
podaci	podatak	Ncmpn
koji	koji	Pi-mpn
sukladno	sukladno	Rgp
pravilniku	pravilnik	Ncmsd
tužitelj	tužitelj	Ncmsn
mora	morati	Vmr3s
dostaviti	dostaviti	Vmn
zainteresiranoj	zainteresiran	Agpfsdy
osobi	osoba	Ncfsd
nisu	biti	Var3p
bili	biti	Vap-pm
dostavljeni	dostaviti	Appmpny
u	u	Sl
prikladnom	prikladan	Agpmsly
obliku	oblik	Ncmsl
,	,	Z
a	a	Cc
da	da	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
isti	isti	Agpmsayn
mogli	moći	Vmp-pm
upotrijebiti	upotrijebiti	Vmn
i	i	Cc
objaviti	objaviti	Vmn
.	.	Z

Naglašava	naglašavati	Vmr3s
kako	kako	Cs
su	biti	Var3p
tražili	tražiti	Vmp-pm
podatke	podatak	Ncmpa
iz	iz	Sg
kojih	koji	Pi-mpg
je	biti	Var3s
razvidno	razvidan	Agpnsny
iz	iz	Sg
kojih	koji	Pi-mpg
se	sebe	Px--sa
može	moći	Vmr3s
nedvojbeno	nedvojbeno	Rgp
utvrditi	utvrditi	Vmn
kojoj	koji	Pi-fsd
osobi	osoba	Ncfsd
pripada	pripadati	Vmr3s
određeni	određen	Agpmsayn
broj	broj	Ncmsan
.	.	Z

U	u	Sl
vezi	veza	Ncfsl
navoda	navod	Ncmpg
tužitelja	tužitelj	Ncmpg
u	u	Sl
kojima	koji	Ncmpl
navodi	navoditi	Vmr3s
kako	kako	Cs
su	biti	Var3p
od	od	Sg
njega	on	Pp3msg
zatraženi	zatražiti	Appmpny
i	i	Cc
dodatni	dodatan	Agpmpny
opisni	opisni	Agpmpny
podaci	podatak	Ncmpn
dakle	dakle	Cc
podaci	podatak	Ncmpn
o	o	Sl
kojima	koji	Pi-mpl
pravilnik	pravilnik	Ncmsn
govori	govoriti	Vmr3s
kao	kao	Cs
o	o	Sl
mogućnosti	mogućnost	Ncfsl
dostave	dostava	Ncfsg
zainteresirana	zainteresirati	Appfsny
osoba	osoba	Ncfsn
ističe	isticati	Vmr3s
kako	kako	Cs
su	biti	Var3p
tražili	tražiti	Vmp-pm
samo	samo	Rgp
onaj	onaj	Pd-msan
opseg	opseg	Ncmsan
podataka	podatak	Ncmpg
koji	koji	Pi-msn
omogućava	omogućavati	Vmr3s
nedvojbenu	nedvojben	Agpfsay
identifikaciju	identifikacija	Ncfsa
.	.	Z

Tužitelj	tužitelj	Ncmsn
ističe	isticati	Vmr3s
kako	kako	Cs
su	biti	Var3p
sukladno	sukladno	Rgp
zakonu	zakon	Ncmsl
a	a	Cc
i	i	Cc
sklopljenom	sklopiti	Agpmsly
ugovoru	ugovor	Ncmsl
dostavljeni	dostaviti	Appmpny
svi	sav	Agpmpny
podaci	podatak	Ncmpn
koji	koji	Pi-mpn
omogućavaju	omogućavati	Vmr3p
identifikaciju	identifikacija	Ncfsa
.	.	Z

Tuženik	tuženik	Ncmsn
napominje	napominjati	Vmr3s
kako	kako	Cs
je	biti	Var3s
inspekcijskim	inspekcijski	Agpmsiy
nadzorom	nadzor	Ncmsi
utvrđeno	utvrditi	Appnsny
da	da	Cs
podaci	podatak	Ncmpn
nisu	biti	Var3p
dostavljeni	dostaviti	Appmpny
u	u	Sl
prikladnom	prikladan	Agpmsly
obliku	oblik	Ncmsl
a	a	Cc
koji	koji	Pi-mpn
bi	biti	Vaa3p
omogućavali	omogućavati	Vmp-pm
nedvojbenu	nedvojben	Agpfsay
identifikaciju	identifikacija	Ncfsa
.	.	Z

Na	na	Sl
temelju	temelj	Ncmsl
razmatranja	razmatranje	Ncnpg
svih	sav	Agpnpgy
činjeničnih	činjeničan	Agpnpgy
i	i	Cc
pravnih	pravni	Agpnpgy
pitanja	pitanje	Ncnpg
,	,	Z
Sud	sud	Ncmsn
je	biti	Var3s
ocijenio	ocijeniti	Vmp-sm
tužbeni	tužbeni	Agpmsayn
zahtjev	zahtjev	Ncmsan
tužitelja	tužitelj	Ncmsg
osnovanim	osnovati	Appnsiy
.	.	Z

Člankom	članak	Ncmsi
47.	47.	Mdo
stavak	stavak	Ncmsn
9.	9.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
elektroničkim	elektronički	Agpfply
komunikacijama	komunikacija	Ncfpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
broj	broj	Ncmsn
:	:	Z
73/08.	73/08.	Mdo
,	,	Z
90/11.	90/11.	Mds
–	–	Z
dalje	daleko	Rgc
u	u	Sl
tekstu	tekst	Ncmsl
:	:	Z
ZEK	zek	Ncmsn
)	)	Z
propisano	propisati	Appnsny
je	biti	Var3s
da	da	Cs
su	biti	Var3p
operatori	operator	Ncmpn
javno	javno	Rgp
dostupnih	dostupan	Agpfpgy
telefonskih	telefonski	Agpfpgy
usluga	usluga	Ncfpg
obvezni	obvezan	Agpmsny
,	,	Z
u	u	Sa
svrhu	svrha	Ncfsa
ostvarivanja	ostvarivanje	Ncnsg
dostupnosti	dostupnost	Ncfsg
podataka	podatak	Ncmpg
iz	iz	Sg
javnih	javan	Agpmpgy
imenika	imenik	Ncmpg
pretplatnika	pretplatnik	Ncmpg
,	,	Z
udovoljiti	udovoljiti	Vmn
svim	sav	Agpmpdy
opravdanim	opravdati	Agpmpdy
zahtjevima	zahtjev	Ncmpd
krajnjih	krajnji	Agpmpgy
korisnika	korisnik	Ncmpg
usluga	usluga	Ncfpg
,	,	Z
osoba	osoba	Ncfpg
koje	koji	Pi-fpn
obavljaju	obavljati	Vmr3p
djelatnost	djelatnost	Ncfsa
davanja	davanje	Ncnsg
obavijesti	obavijest	Ncfsg
(	(	Z
informacija	informacija	Ncfsn
)	)	Z
o	o	Sl
brojevima	broj	Ncmpl
pretplatnika	pretplatnik	Ncmpg
i	i	Cc
osoba	osoba	Ncfpg
koje	koji	Pi-fpn
obavljaju	obavljati	Vmr3p
djelatnost	djelatnost	Ncfsa
izdavanja	izdavanje	Ncnsg
javnih	javan	Agpmpgy
imenika	imenik	Ncmpg
pretplatnika	pretplatnik	Ncmpg
,	,	Z
za	za	Sa
dostavu	dostava	Ncfsa
podataka	podatak	Ncmpg
o	o	Sl
pretplatnicima	pretplatnik	Ncmpl
u	u	Sl
prikladnom	prikladan	Agpmsly
obliku	oblik	Ncmsl
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
načelima	načelo	Ncmpi
objektivnosti	objektivnost	Ncfsg
,	,	Z
transparentnosti	transparentnost	Ncfsg
,	,	Z
nepristranosti	nepristranost	Ncfsg
,	,	Z
nediskriminacije	nediskriminacija	Ncfsg
i	i	Cc
troškovne	troškovan	Agpfsgy
usmjerenosti	usmjerenost	Ncfsg
.	.	Z

U	u	Sa
svrhu	svrha	Ncfsa
osiguravanja	osiguravanje	Ncnsg
ispunjenja	ispunjenje	Ncnsg
ove	ovaj	Pd-fsg
obveze	obveza	Ncfsg
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
se	sebe	Px--sa
način	način	Ncmsan
primjenjuju	primjenjivati	Vmr3p
odredbe	odredba	Ncfpn
članka	članak	Ncmsg
56.	56.	Mdo
,	,	Z
58.	58.	Mdo
,	,	Z
59.	59.	Mdo
,	,	Z
61.	61.	Mdo
i	i	Cc
62.	62.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Člankom	članak	Ncmsi
4.	4.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
Pravilnika	pravilnik	Ncmsg
o	o	Sl
imeniku	imenik	Ncmsl
i	i	Cc
službi	služba	Ncfsl
davanja	davanje	Ncnsg
obavijesti	obavijest	Ncfpg
o	o	Sl
pretplatnicima	pretplatnik	Ncmpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
broj	broj	Ncmsn
:	:	Z
23/09.	23/09.	Mdo
–	–	Z
dalje	daleko	Rgc
u	u	Sl
tekstu	tekst	Ncmsl
:	:	Z
Pravilnik	pravilnik	Ncmsn
)	)	Z
propisano	propisati	Appnsny
je	biti	Var3s
da	da	Cs
su	biti	Var3p
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpi
Zakona	zakon	Ncmsg
,	,	Z
operatori	operator	Ncmpn
javno	javno	Rgp
dostupnih	dostupan	Agpfpgy
telefonskih	telefonski	Agpfpgy
usluga	usluga	Ncfpg
obvezni	obvezan	Agpmsny
odabranom	odabrati	Appmsly
davatelju	davatelj	Ncmsl
sveobuhvatnog	sveobuhvatan	Agpmsgy
imenika	imenik	Ncmsg
svih	sav	Agpmpgy
pretplatnika	pretplatnik	Ncmpg
omogućiti	omogućiti	Vmn
pristup	pristup	Ncmsan
podacima	podatak	Ncmpd
o	o	Sl
pretplatnicima	pretplatnik	Ncmpl
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
načelima	načelo	Ncmpi
nepristranosti	nepristranost	Ncfsg
,	,	Z
nediskriminacije	nediskriminacija	Ncfsg
i	i	Cc
troškovne	troškovan	Agpfsgy
usmjerenosti	usmjerenost	Ncfsg
,	,	Z
u	u	Sl
standardnom	standardan	Agpmsly
formatu	format	Ncmsl
kako	kako	Cs
je	biti	Var3s
navedeno	navesti	Appnsny
u	u	Sl
stavku	stavak	Ncmsl
3.	3.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
te	te	Cc
sukladno	sukladno	Rgp
mehanizmu	mehanizam	Ncmsl
,	,	Z
periodičnosti	periodičnost	Ncfsl
i	i	Cc
vremenu	vrijeme	Ncnsl
definiranom	definirati	Appnsly
u	u	Sl
stavku	stavak	Ncmsl
5.	5.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
podložno	podložno	Rgp
isključivo	isključivo	Rgp
pristanku	pristanak	Ncmsl
svakog	svaki	Pi-msg
navedenog	naveden	Agpmsgy
pretplatnika	pretplatnik	Ncmsg
,	,	Z
kako	kako	Cs
je	biti	Var3s
navedeno	navesti	Appnsny
u	u	Sl
članku	članak	Ncmsl
7.	7.	Mdo
ovog	ovaj	Pd-msg
pravilnika	pravilnik	Ncmsg
.	.	Z

Stavkom	stavak	Ncmsi
2.	2.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
Pravilnika	pravilnik	Ncmsg
propisano	propisati	Appnsny
je	biti	Var3s
da	da	Cs
će	htjeti	Var3s
standardni	standardan	Agpmsny
format	format	Ncmsn
za	za	Sa
dostavu	dostava	Ncfsa
informacija	informacija	Ncfpg
o	o	Sl
pretplatniku	pretplatnik	Ncmsl
specificirati	specificirati	Vmn
izabrani	izabran	Agpmsny
davatelj	davatelj	Ncmsn
sveobuhvatnog	sveobuhvatan	Agpmsgy
imenika	imenik	Ncmsg
svih	sav	Agpmpgy
pretplatnika	pretplatnik	Ncmpg
u	u	Sl
dogovoru	dogovor	Ncmsl
sa	sa	Si
svim	sav	Agpmpiy
operatorima	operator	Ncmpi
javno	javno	Rgp
dostupnih	dostupan	Agpfpgy
telefonskih	telefonski	Agpfpgy
usluga	usluga	Ncfpg
.	.	Z

U	u	Sl
slučaju	slučaj	Ncmsl
bilo	bilo	Qo
kakvog	kakav	Pi-nsg
neslaganja	neslaganje	Ncnsg
oko	oko	Sg
specifikacija	specifikacija	Ncfpg
standardnog	standardan	Agpmsgy
formata	format	Ncmsg
,	,	Z
Agencija	agencija	Ncfsn
će	htjeti	Var3s
odlučiti	odlučiti	Vmn
o	o	Sl
tim	taj	Pd-fpl
specifikacijama	specifikacija	Ncfpl
.	.	Z

Stavkom	stavak	Ncmsi
3.	3.	Mdo
istog	isti	Agpmsgy
članka	članak	Ncmsg
Pravilnika	pravilnik	Ncmsg
propisano	propisati	Appnsny
je	biti	Var3s
da	da	Cs
standardni	standardan	Agpmsny
format	format	Ncmsn
mora	morati	Vmr3s
obuhvatiti	obuhvatiti	Vmn
sljedeće	sljedeći	Agpmpay
podatke	podatak	Ncmpa
o	o	Sl
pretplatniku	pretplatnik	Ncmsl
:	:	Z

–	i	Agpnsay
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
ili	ili	Cc
naziv	naziv	Ncmsn
za	za	Sa
pravnu	pravni	Agpfsay
osobu	osoba	Ncfsa
,	,	Z

–	–	Agpmsny
telefonski	telefonski	Agpmsny
broj	broj	Ncmsn
ili	ili	Cc
brojeve	broj	Ncmpa

