ostvaruju	ostvarivati	Vmr3p
nije	biti	Var3s
prekoračilo	prekoračiti	Vmp-sn
granice	granica	Ncfpa
ovlasti	ovlast	Ncfsg
utvrđene	utvrditi	Appfsgy
zakonom	zakon	Ncmsi
,	,	Z
a	a	Cc
u	u	Sl
članku	članak	Ncmsl
16.	16.	Mdo

Odluke	odluka	Ncfpa
predvidjelo	predvidjeti	Vmp-sn
je	biti	Var3s
namirenje	namirenje	Ncnsn
razlike	razlika	Ncfsg
sredstava	sredstvo	Ncnpg
u	u	Sl
slučaju	slučaj	Ncmsl
oslobađanja	oslobađanje	Ncnsg
od	od	Sg
komunalnog	komunalan	Agpmsgy
doprinosa	doprinos	Ncmsg
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
ta	taj	Pd-npn
sredstva	sredstvo	Ncnpn
osiguravaju	osiguravati	Vmr3p
u	u	Sl
proračunu	proračun	Ncmsl
Općine	općina	Ncfsg
Lopar	Lopar	Npmsn
iz	iz	Sg
poreznih	porezni	Agpmpgy
prihoda	prihod	Ncmpg
.	.	Z

Međutim	međutim	Rgp
,	,	Z
predstavničko	predstavnički	Agpnsny
tijelo	tijelo	Ncnsn
jedinice	jedinica	Ncfsg
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
nezakonito	nezakonit	Agpnsny
je	biti	Var3s
ograničilo	ograničiti	Vmp-sn
način	način	Ncmsan
dokazivanja	dokazivanje	Ncnsg
pravnoodlučne	pravnoodlučan	Agpfsgy
činjenice	činjenica	Ncfsg
prebivališta	prebivalište	Ncnsg
,	,	Z
čime	što	Pi3n-i
je	biti	Var3s
povrijedilo	povrijediti	Vmp-sn
odredbe	odredba	Ncfpa
Zakona	zakon	Ncmsg
o	o	Sl
općem	opći	Agpmsly
upravnom	upravan	Agpmsly
postupku	postupak	Ncmsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
47/09.	47/09.	Mds
–	–	Z
dalje	daleko	Rgc
:	:	Z
ZUP	ZUP	Npmsn
)	)	Z
.	.	Z

Odredbom	odredba	Ncfsi
članka	članak	Ncmsg
1.	1.	Mdo
ZUP-a	zup-	Ncmsg
propisano	propisati	Appnsny
je	biti	Var3s
da	da	Cs
se	sebe	Px--sa
tim	tim	Ncmsn
zakonom	zakon	Ncmsi
uređuju	uređivati	Vmr3p
pravila	pravilo	Ncnpa
na	na	Sl
temelju	temelj	Ncmsl
kojih	koji	Pi-mpg
,	,	Z
između	između	Sg
ostalih	ostali	Agpnpgy
,	,	Z
tijela	tijelo	Ncnsg
jedinice	jedinica	Ncfsg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
,	,	Z
u	u	Sl
okviru	okvir	Ncmsl
djelokruga	djelokrug	Ncmsg
utvrđenog	utvrditi	Appmsgy
na	na	Sl
temelju	temelj	Ncmsl
zakona	zakon	Ncmsg
postupaju	postupati	Vmr3p
i	i	Cc
rješavaju	rješavati	Vmr3p
u	u	Sl
upravnim	upravan	Agpfply
stvarima	stvar	Ncfpl
.	.	Z

Odredbom	odredba	Ncfsi
članka	članak	Ncmsg
3.	3.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ZUP-a	zup-	Ncmsg
propisano	propisati	Appnsny
je	biti	Var3s
da	da	Cs
se	sebe	Px--sa
ovaj	ovaj	Pd-msn
zakon	zakon	Ncmsn
primjenjuje	primjenjivati	Vmr3s
u	u	Sl
postupanju	postupanje	Ncnsl
u	u	Sl
svim	sav	Agpfply
upravnim	upravan	Agpfply
stvarima	stvar	Ncfpl
,	,	Z
a	a	Cc
samo	samo	Rgp
se	sebe	Px--sa
pojedina	pojedini	Agpnpny
pitanja	pitanje	Ncnpn
upravnog	upravan	Agpmsgy
postupka	postupak	Ncmsg
mogu	moći	Vmr3p
zakonom	zakon	Ncmsi
urediti	urediti	Vmn
drukčije	drugačije	Rgp
,	,	Z
ako	ako	Cs
je	biti	Var3s
to	taj	Pd-nsn
nužno	nužan	Agpnsny
za	za	Sa
postupanje	postupanje	Ncnsa
u	u	Sl
pojedinim	pojedini	Agpnply
upravnim	upravan	Agpnply
područjima	područje	Ncnpl
te	te	Cc
ako	ako	Cs
nije	biti	Var3s
protivno	protivan	Agpnsny
temeljnim	temeljan	Agpfpiy
odredbama	odredba	Ncfpi
i	i	Cc
svrsi	svrha	Ncfsl
toga	taj	Pd-nsg
zakona	zakon	Ncmsg
.	.	Z

Odredbama	odredba	Ncfpi
Drugog	drugi	Mlomsg
dijela	dio	Ncmsg
Glave	glava	Ncfsg
III	III	Mrc
.	.	Z

ZUP-a	ZUP	Npmsg
propisana	propisati	Appfsny
su	biti	Var3p

