465.830	465.830	Mdc
Vinka	Vinka	Npfsn
d.	d.	Y
d.	d.	Y
,	,	Z
Vinkovci	Vinkovc	Npmpn
paket	paket	Ncmsan
8	8	Mdc
195.743	195.743	Mdc
40	40	Mdc
kn	KN	Ncnpg
7.829.720	7.829.720	Mdc
kn	KN	Y
4,384	4,384	Mdc
%	%	Z
10,00	10,00	Mdc
1.957.430,00	1.957.430,00	Mdc
0,40	0,40	Mdc
119	119	Mdc
Vinka	Vinka	Npfsn
d.	d.	Y
d.	d.	Y
,	,	Z
Vinkovci	Vinkovc	Npmpn
paket	paket	Ncmsan
9	9	Mdc
195.743	195.743	Mdc
40	40	Mdc
kn	KN	Ncnpg
7.829.720	7.829.720	Mdc
kn	KN	Y
4,384	4,384	Mdc
%	%	Z
10,00	10,00	Mdc
1.957.430,00	1.957.430,00	Mdc
0,40	0,40	Mdc
120	120	Mdc
Vinka	Vinka	Npfsn
d.	d.	Y
d.	d.	Y
,	,	Z
Vinkovci	Vinkovc	Npmpn
paket	paket	Ncmsan
10	10	Mdc
195.750	195.750	Mdc
40	40	Mdc
kn	KN	Y
7.830.000	7.830.000	Mdc
kn	KN	Y
4,384	4,384	Mdc
%	%	Z
10,00	10,00	Mdc
1.957.500,00	1.957.500,00	Mdc
0,40	0,40	Mdc
121	121	Mdc
Vinoplod	Vinoplod	Sg
Vinarija	vinarija	Ncfpg
d.	d.	Y
d.	d.	Y
,	,	Z
Šibenik	Šibenik	Npmsn
79	79	Mdc
2.600	2.600	Mdc
kn	KN	Ncmpg
205.400	205.400	Mdc
kn	KN	Ncmpg
0,71	0,71	Mdc
%	%	Z
650,00	650,00	Mdc
51.350,00	51.350,00	Mdc
26,00	26,00	Mdc
122	122	Mdc
Vir	vir	Ncmsn
1898	1898	Mdc
d.	d.	Y
d.	d.	Y
,	,	Z
Rijeka	Rijeka	Npfsn
6	6	Mdc
10	10	Mdc
kn	KN	Y
60	60	Mdc
kn	KN	Y
0,0050	0,0050	Mdc
%	%	Z
2,50	2,50	Mdc
15,00	15,00	Mdc
0,10	0,10	Mdc
123	123	Mdc
Vis	vis	Ncmsn
konfekcija	konfekcija	Ncfpg
d.	d.	Y
d.	d.	Y
,	,	Z
Varaždin	Varaždin	Npmsn
15	15	Mdc
1.500	1.500	Mdc
kn	KN	Ncmpg
22.500	22.500	Mdc
kn	KN	Ncmpg
0,08	0,08	Mdc
%	%	Z
375,00	375,00	Mdc
5.625,00	5.625,00	Mdc
15,00	15,00	Mdc
124	124	Mdc
Vodomaterijal	Vodomaterija	Npmsg
d.	d.	Y
d.	d.	Y
,	,	Z
Vukovar	Vukovar	Npmsn
266	266	Mdc
100	100	Mdc
kn	KN	Y
26.600	26.600	Mdc
kn	KN	Y
0,44	0,44	Mdc
%	%	Z
25,00	25,00	Mdc
6.650,00	6.650,00	Mdc
1,00	1,00	Mdc
125	125	Mdc
Vossloh	vosslo	Agpfpgy
utenzilija	utenzilije	Ncfpg
d.	d.	Y
d.	d.	Y
,	,	Z
Zagreb	Zagreb	Npmsn
41	41	Mdc
300	300	Mdc
kn	KN	Y
12.300	12.300	Mdc
kn	KN	Y
0,15	0,15	Mdc
%	%	Z
75,00	75,00	Mdc
3.075,00	3.075,00	Mdc
3,00	3,00	Mdc
126	126	Mdc
Zelendvor	Zelendvor	Npmsn
d.o.o.	d.o.o.	Y
,	,	Z
Petrijanec	Petrijanec	Npmsn
paket	paket	Ncmsan
1	1	Mdc
1.294	1.294	Mdc
400	400	Mdc
kn	KN	Y
517.600	517.600	Mdc
kn	KN	Y
7,25	7,25	Mdc
%	%	Z
100,00	100,00	Mdc
129.400,00	129.400,00	Mdc
4,00	4,00	Mdc
127	127	Mdc
Zelendvor	Zelendvor	Npmsn
d.o.o.	d.o.o.	Y
,	,	Z
Petrijanec	Petrijanec	Npmsn
paket	paket	Ncmsan
2	2	Mdc
1.294	1.294	Mdc
400	400	Mdc
kn	KN	Y
517.600	517.600	Mdc
kn	KN	Y
7,25	7,25	Mdc
%	%	Z
100,00	100,00	Mdc
129.400,00	129.400,00	Mdc
4,00	4,00	Mdc
128	128	Mdc
Zidar	zidar	Ncmsn
d.o.o.	d.o.o.	Y
,	,	Z
Rijeka	Rijeka	Npfsn
11	11	Mdc
3.800	3.800	Mdc
kn	KN	Ncmpg
41.800	41.800	Mdc
kn	KN	Ncmpg
0,95	0,95	Mdc
%	%	Z
950,00	950,00	Mdc
10.450,00	10.450,00	Mdc
38,00	38,00	Mdc
129	129	Mdc
Zrinski	zrinski	Agpmsny
d.	d.	Y
d.	d.	Y
,	,	Z
Čakovec	Čakovec	Npmsn
714	714	Mdc
400	400	Mdc
kn	KN	Y
285.600	285.600	Mdc
kn	KN	Y
1,11	1,11	Mdc
%	%	Z
100,00	100,00	Mdc
71.400,00	71.400,00	Mdc
4,00	4,00	Mdc
130	130	Mdc
Žitoproizvod	Žitoproizvod	Sg
d.	d.	Y
d.	d.	Y
,	,	Z
Karlovac	Karlovac	Npmsn
913	913	Mdc
400	400	Mdc
kn	KN	Y
365.200	365.200	Mdc
kn	KN	Y
0,88	0,88	Mdc
%	%	Z
100,00	100,00	Mdc
91.300,00	91.300,00	Mdc
4,00	4,00	Mdc
UKUPNO	ukupan	Agpnsny
:	:	Z
133.620.697	133.620.697	Mdc
kn	KN	Y
33.405.174,24	33.405.174,24	Mdc

