ugrađenim	ugraditi	I
Provedbene	provedbeni	Agpfpny
aktivnosti	aktivnost	Ncfpn
:	:	Z

a4	a4	Qr
.	.	Z
1.1.	1.1.	Mds

Ustrojiti	ustrojiti	Vmn
sustav	sustav	Ncmsan
koji	koji	Pi-msn
će	htjeti	Var3s
osigurati	osigurati	Vmn
racionalizaciju	racionalizacija	Ncfsa
troškova	trošak	Ncmpg
razvoja	razvoj	Ncmsg
državne	državni	Agpfsgy
informacijske	informacijski	Agpfsgy
infrastrukture	infrastruktura	Ncfsg

a4	a4	Qr
.	.	Z
1.2.	1.2.	Mds

Propisati	propisati	Vmn
korištenje	korištenje	Ncnsa
tehničkih	tehnički	Agpfpgy
i	i	Cc
organizacijskih	organizacijski	Agpmpgy
standarda	standard	Ncmpg
za	za	Sa
povezivanje	povezivanje	Ncnsa
državne	državni	Agpfsgy
informacijske	informacijski	Agpfsgy
infrastrukture	infrastruktura	Ncfsg

a4	a4	Qr
.	.	Z
1.3.	1.3.	Mds

Uspostaviti	uspostaviti	Vmn
provedbeno	provedbeni	Agpnsay
tijelo	tijelo	Ncnsa
koje	koji	Pi-nsn
će	htjeti	Var3s
pružati	pružati	Vmn
usluge	usluga	Ncfpa
objedinjavanja	objedinjavanje	Ncnsg
državne	državni	Agpfsgy
informacijske	informacijski	Agpfsgy
infrastrukture	infrastruktura	Ncfsg
na	na	Sl
paradigmi	paradigma	Ncfsl
državnog	državni	Agpmsgy
oblaka	oblak	Ncmsg

a4	a4	Qr
.	.	Z
1.4.	1.4.	Mds

Osigurati	osigurati	Vmn
mogućnost	mogućnost	Ncfsa
sigurnog	siguran	Agpnsgy
i	i	Cc
zakonitog	zakonit	Agpnsgy
povezivanja	povezivanje	Ncnsg
putem	put	Sg
središnjeg	središnji	Agpmsgy
sustava	sustav	Ncmsg
interoperabilnosti	interoperabilnost	Ncfsg

a4	a4	Qr
.	.	Z
1.5.	1.5.	Mds

Osigurati	osigurati	Vmn
uključivanje	uključivanje	Ncnsa
tijela	tijelo	Ncnsg
u	u	Sa
korištenje	korištenje	Ncnsa
dijeljene	dijeliti	Agpfsgy
informacijske	informacijski	Agpfsgy
infrastrukture	infrastruktura	Ncfsg

Pokazatelji	pokazatelj	Ncmpn
ostvarenosti	ostvarenost	Ncfsg
mjere	mjera	Ncfsg
:	:	Z

p4	p4	Qr
.	.	Z
1.1.	1.1.	Mds

Broj	broj	Ncmsn
tijela	tijelo	Ncnsg
čiji	čiji	Pi-mpn
informacijski	informacijski	Agpmpny
sustavi	sustav	Ncmpn
dijele	dijeliti	Vmr3p
informacijsku	informacijski	Agpfsay
infrastrukturu	infrastruktura	Ncfsa

Mjera	mjera	Ncfsn
4.2.	4.2.	Mds

Unaprijediti	unaprijediti	Vmn
elektroničko	elektronički	Agpnsay
poslovanje	poslovanje	Ncnsa
javne	javan	Agpfsgy
uprave	uprava	Ncfsg
korištenjem	korištenje	Ncnsi
istovrsnih	istovrstan	Agpnpgy
rješenja	rješenje	Ncnpg
za	za	Sa
zajedničke	zajednički	Agpmpay
poslovne	poslovan	Agpmpay
procese	proces	Ncmpa

Nositelji	nositelj	Ncmpn
:	:	Z
Ured	ured	Ncmsn
za	za	Sa
opće	opći	Agpmpay
poslove	posao	Ncmpa
Vlade	vlada	Ncfsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
i	i	Cc
Hrvatskoga	hrvatski	Agpmsgy
sabora	sabor	Ncmsg
,	,	Z
Ministarstvo	ministarstvo	Ncnsn
uprave	uprava	Ncfsg

Sunositelji	sunositelj	Ncmpn
:	:	Z
Državna	državni	Agpfsny
škola	škola	Ncfsn
za	za	Sa
javnu	javan	Agpfsay
upravu	uprava	Ncfsa
,	,	Z
druga	drugi	Mlofsn
javnopravna	javnopravni	Ncfsn
tijela	tijelo	Ncnsg

Rok	rok	Ncmsn
za	za	Sa
provedbu	provedba	Ncfsa
:	:	Z
II	ii	Mrc
.	.	Z
tromjesečje	tromjesečje	Ncnsa
2017.	2017.	Mdo

Potrebna	potreban	Agpnpay
sredstva	sredstvo	Ncnpa
:	:	Z
80.000.000	80.000.000	Mdc
kuna	kuna	Ncfpg

Izvor	izvor	Ncmsn
:	:	Z
EU	E	Npmsg
fondovi	fond	Ncmpn
,	,	Z
državni	državni	Agpmsny
proračun	proračun	Ncmsn

Provedbene	provedbeni	Agpfpny
aktivnosti	aktivnost	Ncfpn
:	:	Z

a4	a4	Qr
.	.	Z
2.1.	2.1.	Mds

Donijeti	donijeti	Vmn
pravni	pravni	Agpmsayn
okvir	okvir	Ncmsan
koji	koji	Pi-msn
osigurava	osiguravati	Vmr3s
korištenje	korištenje	Ncnsa
zajedničkih	zajednički	Agpnpgy
aplikativnih	aplikativan	Agpnpgy
rješenja	rješenje	Ncnpg

a4	a4	Qr
.	.	Z
2.2.	2.2.	Mds

Analizirati	analizirati	Vmn
sve	sav	Agpmpay
zajedničke	zajednički	Agpmpay
poslovne	poslovan	Agpmpay
procese	proces	Ncmpa

a4	a4	Qr
.	.	Z
2.3.	2.3.	Mds

Pripremiti	pripremiti	Vmn
i	i	Cc
testirati	testirati	Vmn
jedinstvena	jedinstven	Agpnpay
aplikativna	aplikativan	Agpnpay
rješenja	rješenje	Ncnpa
za	za	Sa
sve	sav	Agpmpay
istovrsne	istovrstan	Agpmpay
poslovne	poslovan	Agpmpay
procese	proces	Ncmpa

a4	a4	Qr
.	.	Z
2.4.	2.4.	Mds

Provesti	provesti	Vmn
izobrazbu	izobrazba	Ncfsa
za	za	Sa
korištenje	korištenje	Ncnsa
jedinstvenog	jedinstven	Agpmsgy

