nepotpuni	nepotpun	Agpmpny
3.	3.	Mdo
točki	točka	Ncfsl
b	b	X
)	)	Z
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
smatra	smatrati	Vmr3s
se	sebe	Px--sa
vrijeme	vrijeme	Ncnsn
proteklo	proteklo	Rgp
od	od	Sg
dana	dan	Ncmpg
zaprimanja	zaprimanje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
dopunu	dopuna	Ncfsa
od	od	Sg
strane	strana	Ncfsg
korisnika	korisnik	Ncmpg
do	do	Sg
trenutka	trenutak	Ncmsg
podnošenja	podnošenje	Ncnsg
dopune	dopuna	Ncfsg
/	/	Z
obrazloženja	obrazloženje	Ncnsg
/	/	Z
ispravka	ispravak	Ncmsg
(	(	Z
datum	datum	Ncmsn
,	,	Z
sat	sat	Ncmsn
,	,	Z
minuta	minuta	Ncfsn
,	,	Z
sekunda	sekunda	Ncfsn
)	)	Z
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
Zahtjevi	zahtjev	Ncmpn
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
točke	točka	Ncfsg
b	b	X
)	)	Z
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
imaju	imati	Vmr3p
jednaki	jednak	Agpmsayn
broj	broj	Ncmsan
bodova	bod	Ncmpg
i	i	Cc
jednako	jednak	Agpnsay
vrijeme	vrijeme	Ncnsa
podnošenja	podnošenje	Ncnsg
dopune	dopuna	Ncfsg
,	,	Z
prednost	prednost	Ncfsa
imaju	imati	Vmr3p
Zahtjevi	zahtjev	Ncmpn
za	za	Sa
potporu	potpora	Ncfsa
s	sa	Si
ranijim	raniji	Agpnsiy
vremenom	vrijeme	Ncnsi
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
na	na	Sa
Natječaj	natječaj	Ncmsan
(	(	Z
datum	datum	Ncmsan
,	,	Z
sat	sat	Ncmsn
,	,	Z
minuta	minuta	Ncfsn
,	,	Z
sekunda	sekunda	Ncfsn
)	)	Z
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
dva	dva	Mlc
ili	ili	Cc
više	mnogo	Rgc
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
imaju	imati	Vmr3p
jednaki	jednak	Agpmsayn
broj	broj	Ncmsan
bodova	bod	Ncmpg
i	i	Cc
jednako	jednak	Agpnsay
vrijeme	vrijeme	Ncnsa
podnošenja	podnošenje	Ncnsg
dopune	dopuna	Ncfsg
/	/	Z
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravka	ispravka	Ncfsn
odnosno	odnosno	Rgp
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
,	,	Z
provest	provesti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
postupak	postupak	Ncmsn
izvlačenja	izvlačenje	Ncnsg
slučajnim	slučajan	Agpmsiy
odabirom	odabir	Ncmsi
,	,	Z
u	u	Sl
prisutnosti	prisutnost	Ncfsl
javnog	javan	Agpmsgy
bilježnika	bilježnik	Ncmsg
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Izrađena	izraditi	Appfsny
rang-lista	rang-lista	Ncfsn
bit	biti	Van
će	htjeti	Var3s
dostupna	dostupan	Agpfsny
korisnicima	korisnik	Ncmpd
u	u	Sl
okviru	okvir	Ncmsl
Izvještaja	izvještaj	Ncmsg
o	o	Sl
provedenom	provesti	Agpmsly
Natječaju	natječaj	Ncmsl
.	.	Z

Izdavanje	izdavanje	Ncnsn
Odluka	odluka	Ncfsn

Članak	članak	Ncmsn
11.	11.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
se	sebe	Px--sa
nakon	nakon	Sg
zaprimanja	zaprimanje	Ncnsg
svih	sav	Agpmpgy
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
i	i	Cc
provjere	provjera	Ncfpa
ukupnoga	ukupan	Agpmsgy
traženog	tražen	Agpmsgy
iznosa	iznos	Ncmsg
potpore	potpora	Ncfsg
utvrdi	utvrditi	Vmr3s
da	da	Cs
ima	imati	Vmr3s
dovoljno	dovoljno	Rgp
raspoloživih	raspoloživ	Agpnpgy
sredstava	sredstvo	Ncnpg
,	,	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
izdati	izdati	Vmn
odluke	odluka	Ncfpa
po	po	Sl
završetku	završetak	Ncmsl
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Nakon	nakon	Sg
završetka	završetak	Ncmsg
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
donijeti	donijeti	Vmn
:	:	Z

a	a	Cc
)	)	Z
Odluku	odluka	Ncfsa
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
u	u	Sl
slučaju	slučaj	Ncmsl
ispunjavanja	ispunjavanje	Ncnsg
uvjeta	uvjet	Ncmpg
i	i	Cc
kriterija	kriterij	Ncmpg
propisanih	propisati	Appmpgy
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
i	i	Cc
Natječajem	natječaj	Ncmsi
ili	ili	Cc

b	b	Npmsn
)	)	Z
Odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
u	u	Sl
slučaju	slučaj	Ncmsl
:	:	Z

–	–	Sg
neispunjavanja	neispunjavanje	Ncnsg
uvjeta	uvjet	Ncmpg
i	i	Cc
kriterija	kriterij	Ncmpg
propisanih	propisati	Appmpgy
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
i	i	Cc
Natječajem	natječaj	Ncmsi
,	,	Z

–	–	Z
nepravovremeno	nepravovremeno	Rgp
podnesenih	podnesen	Agpmpgy
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
,	,	Z

–	–	Z
nepotpunih	nepotpun	Agpmpgy
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
,	,	Z

–	–	Z
nepravovremeno	nepravovremeno	Rgp
dostavljenih	dostaviti	Appmpgy
i	i	Cc
/	/	Z
ili	ili	Cc
nepotpunih	nepotpun	Agpmpgy
odgovora	odgovor	Ncmpg
na	na	Sa
Zahtjev	zahtjev	Ncmsan
za	za	Sa
dopunu	dopuna	Ncfsa
/	/	Z
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
,	,	Z

–	–	Z
utvrđene	utvrditi	Appfsgy
nepravilnosti	nepravilnost	Ncfsg
,	,	Z
ukoliko	ukoliko	Cs
je	biti	Var3s
odlukom	odluka	Ncfsi
o	o	Sl
utvrđenoj	utvrditi	Agpfsly
nepravilnosti	nepravilnost	Ncfsl
određeno	određen	Agpnsny
odbijanje	odbijanje	Ncnsn
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
težinu	težina	Ncfsa
utvrđene	utvrditi	Agpfsgy
nepravilnosti	nepravilnost	Ncfsg
ili	ili	Cc
u	u	Sl
slučaju	slučaj	Ncmsl
ne	ne	Qz
poduzimanja	poduzimanje	Ncnsg
korektivnih	korektivan	Agpfpgy
mjera	mjera	Ncfpg
određenih	odrediti	Appfpgy
radi	radi	Sg
ispravljanja	ispravljanje	Ncnsg
utvrđene	utvrditi	Agpfsgy
nepravilnosti	nepravilnost	Ncfsg
u	u	Sl
zadanom	zadati	Agpmsly
roku	rok	Ncmsl
.	.	Z

Ukoliko	ukoliko	Cs
je	biti	Var3s
utvrđena	utvrditi	Appfsny
nepravilnost	nepravilnost	Ncfsn
ujedno	ujedno	Rgp
i	i	Cc
sumnja	sumnjati	Vmr3s
na	na	Sa
prijevaru	prijevara	Ncfsa
,	,	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
o	o	Sl
tome	taj	Pd-nsl
izvijestiti	izvijestiti	Vmn
Državno	državni	Agpnsny
odvjetništvo	odvjetništvo	Ncnsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
pokrenuo	pokrenuti	Vmp-sm
postupak	postupak	Ncmsn
pred	pred	Si
nadležnim	nadležan	Agpmsiy
sudom	sud	Ncmsi
,	,	Z

–	–	Sg
negativnog	negativan	Agpmsgy
nalaza	nalaz	Ncmsg
kontrole	kontrola	Ncfsg
na	na	Sl
terenu	teren	Ncmsl
ili	ili	Cc
onemogućavanja	onemogućavanje	Ncnsg
obavljanja	obavljanje	Ncnsg
kontrole	kontrola	Ncfsg
na	na	Sl
terenu	teren	Ncmsl
,	,	Z

–	i	Agpnsgy
namjernog	namjeran	Agpnsgy
davanja	davanje	Ncnsg
neistinitih	neistinit	Agpfpgy
informacija	informacija	Ncfpg
od	od	Sg
strane	strana	Ncfsg
korisnika	korisnik	Ncmpg
,	,	Z

–	–	Pi-nsg
utvrđenog	utvrditi	Agpnsgy
sufinanciranja	sufinanciranje	Ncnsg
privremene	privremen	Agpfsgy
obustave	obustava	Ncfsg
drugim	drugi	Mlompd
javnim	javan	Agpmpiy
izdacima	izdatak	Ncmpi
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
izdavanja	izdavanje	Ncnsg
Odluka	odluka	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
rang	rang	Ncmsn
--	--	Z
lista	list	Ncmsg
će	htjeti	Var3s
se	sebe	Px--sa
izraditi	izraditi	Vmn
nakon	nakon	Sg
provedenog	provesti	Agpmsgy
postupka	postupak	Ncmsg
rješavanja	rješavanje	Ncnsg
po	po	Sl
prigovorima	prigovor	Ncmpl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Izrađena	izraditi	Appfsny
rang-lista	rang-lista	Ncfsn
bit	biti	Van
će	htjeti	Var3s
dostupna	dostupan	Agpfsny
korisnicima	korisnik	Ncmpd
u	u	Sl
okviru	okvir	Ncmsl
Izvještaja	izvještaj	Ncmsg
o	o	Sl
provedenom	provesti	Agpmsly
Natječaju	natječaj	Ncmsl
.	.	Z

Članak	članak	Ncmsn
12.	12.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
se	sebe	Px--sa
nakon	nakon	Sg
zaprimanja	zaprimanje	Ncnsg
svih	sav	Agpmpgy
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
i	i	Cc
provjere	provjera	Ncfpa
ukupnoga	ukupan	Agpmsgy
traženog	tražen	Agpmsgy
iznosa	iznos	Ncmsg
potpore	potpora	Ncfsg
utvrdi	utvrditi	Vmr3s
da	da	Cs
nema	nemati	Vmr3s
dovoljno	dovoljno	Rgp
raspoloživih	raspoloživ	Agpnpgy
sredstava	sredstvo	Ncnpg
za	za	Sa
sve	sav	Agpmpay
korisnike	korisnik	Ncmpa
,	,	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
izdati	izdati	Vmn
odluke	odluka	Ncfpa
nakon	nakon	Sg
završetka	završetak	Ncmsg
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
nakon	nakon	Sg
obrade	obrada	Ncfsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
donijeti	donijeti	Vmn
:	:	Z

a	a	Cc
)	)	Z
Odluku	odluka	Ncfsa
o	o	Sl
privremenoj	privremen	Agpfsly
raspodjeli	raspodjela	Ncfsl
sredstava	sredstvo	Ncnpg
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
ispunjavanja	ispunjavanje	Ncnsg
uvjeta	uvjet	Ncmpg
i	i	Cc
kriterija	kriterij	Ncmpg
propisanih	propisati	Appmpgy
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
i	i	Cc
Natječajem	natječaj	Ncmsi
;	;	Z

b	b	Npmsn
)	)	Z
Odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
sukladno	sukladno	Rgp
razlozima	razlog	Ncmpd
navedenim	navesti	Appmply
u	u	Sl
članku	članak	Ncmsl
11.	11.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
točki	točka	Ncfsl
b	b	X
)	)	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Odlukom	odluka	Ncfsi
o	o	Sl
privremenoj	privremen	Agpfsly
raspodijeli	raspodijeliti	Ncfsl
sredstava	sredstvo	Ncnpg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
a	a	Cc
)	)	Z
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
definira	definirati	Vmr3s
se	sebe	Px--sa
privremena	privremen	Agpfsny
raspodjela	raspodjela	Ncfsn
ukupno	ukupno	Rgp
raspoloživih	raspoloživ	Agpnpgy
sredstava	sredstvo	Ncnpg
po	po	Sl
korisnicima	korisnik	Ncmpl
za	za	Sa
sve	sav	Agpmpay
korisnike	korisnik	Ncmpa
koji	koji	Pi-mpn
udovoljavaju	udovoljavati	Vmr3p
uvjetima	uvjet	Ncmpi
i	i	Cc
kriterijima	kriterij	Ncmpl
Pravilnika	pravilnik	Ncmsg
i	i	Cc
Natječaja	Natječaj	Npmsg
,	,	Z
neovisno	neovisan	Agpnsny
o	o	Sl
ostvarenom	ostvariti	Agpmsly
broju	broj	Ncmsl
bodova	bod	Ncmpg
i	i	Cc
poziciji	pozicija	Ncfsl
na	na	Sl
rang-listi	rang-lista	Ncfsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Rang-lista	rang-lista	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
je	biti	Var3s
privremena	privremen	Agpfsny
i	i	Cc
nalazi	nalaziti	Vmr3s
se	sebe	Px--sa
u	u	Sl
sklopu	sklop	Ncmsl
Privremenog	privremen	Agpmsgy
izvještaja	izvještaj	Ncmsg
o	o	Sl
provedenom	provesti	Agpmsly
Natječaju	natječaj	Ncmsl

