navedeno	naveden	Agpnsny
rizika	rizik	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
tijekom	tijekom	Sg
ocjenjivanja	ocjenjivanje	Ncnsg
iz	iz	Sg
1.	1.	Mdo
stavka	stavka	Ncfsn
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
nadležno	nadležan	Agpnsny
inspekcijsko	inspekcijski	Agpnsny
tijelo	tijelo	Ncnsn
ustanovi	ustanoviti	Vmr3s
da	da	Cs
sigurnosna	sigurnosni	Agpfsny
komponenta	komponenta	Ncfsn
za	za	Sa
dizala	dizalo	Ncnpa
nije	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
zahtjevima	zahtjev	Ncmpi
ovoga	ovaj	Pd-nsg
Pravlnika	Pravlnika	Npfsn
,	,	Z
ono	onaj	Pd-nsn
će	htjeti	Var3s
bez	bez	Sg
odgode	odgoda	Ncfsg
zahtijevati	zahtijevati	Vmn
da	da	Cs
predmetni	predmetni	Agpmsny
gospodarski	gospodarski	Agpmsny
subjekt	subjekt	Ncmsn
provede	provesti	Vmr3s
sve	sav	Agpfpay
odgovarajuće	odgovarajući	Agpfpay
korektivne	korektivan	Agpfpay
radnje	radnja	Ncfpa
kako	kako	Cs
bi	biti	Vaa3p
sigurnosnu	sigurnosni	Agpfsay
komponentu	komponenta	Ncfsa
za	za	Sa
dizala	dizalo	Ncnpa
uskladio	uskladiti	Vmp-sm
s	sa	Si
tim	taj	Pd-nsi
zahtjevima	zahtjev	Ncmpi
,	,	Z
povukao	povući	Vmp-sm
sigurnosnu	sigurnosni	Agpfsay
komponentu	komponenta	Ncfsa
za	za	Sa
dizala	dizalo	Ncnpa
s	sa	Sg
tržišta	tržište	Ncnsg
ili	ili	Cc
je	biti	Var3s
opozvao	opozvati	Vmp-sm
u	u	Sl
razumnom	razuman	Agpmsly
roku	rok	Ncmsl
koji	koji	Pi-msan
propišu	propisati	Vmr3p
i	i	Cc
koji	koji	Pi-msn
je	biti	Var3s
primjeren	primjeriti	Appmsnn
naravi	narav	Ncfsg
rizika	rizik	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Nadležno	nadležan	Agpnsny
inspekcijsko	inspekcijski	Agpnsny
tijelo	tijelo	Ncnsn
o	o	Sl
tome	taj	Pd-nsl
obavještava	obavještavati	Vmr3s
odgovarajuće	odgovarajući	Agpnsny
prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Na	na	Sa
mjere	mjera	Ncfpa
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
članak	članak	Ncmsn
21.	21.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
765/2008.	765/2008.	Mds

(	(	Z
6	6	Mdc
)	)	Z
Ako	ako	Cs
nadležno	nadležan	Agpnsny
inspekcijsko	inspekcijski	Agpnsny
tijelo	tijelo	Ncnsn
smatra	smatrati	Vmr3s
kako	kako	Cs
se	sebe	Px--sa
nesukladnost	nesukladnost	Ncfsn
ne	ne	Qz
odnosi	odnositi	Vmr3s
samo	samo	Rgp
na	na	Sa
njihovo	njihov	Ncnsa
državno	državni	Agpnsay
područje	područje	Ncnsa
,	,	Z
o	o	Sl
rezultatima	rezultat	Ncmpl
ocjenjivanja	ocjenjivanje	Ncnsg
i	i	Cc
mjerama	mjera	Ncfpd
koje	koji	Pi-fpn
zahtijevaju	zahtijevati	Vmr3p
od	od	Sg
gospodarskih	gospodarski	Agpmpgy
subjekata	subjekt	Ncmpg
obavješćuju	obavješćivati	Vmr3p
Komisiju	komisija	Ncfsa
i	i	Cc
države	država	Ncfsg
članice	članica	Ncfsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Gospodarski	gospodarski	Agpmsny
subjekt	subjekt	Ncmsn
osigurava	osiguravati	Vmr3s
provođenje	provođenje	Ncnsa
svih	sav	Agpfpgy
odgovarajućih	odgovarajući	Agpfpgy
korektivnih	korektivan	Agpfpgy
radnji	radnja	Ncfpg
u	u	Sl
pogledu	pogled	Ncmsl
svih	sav	Agpnpgy
dizala	dizalo	Ncnpg
i	i	Cc
sigurnosnih	sigurnosni	Agpfpgy
komponenti	komponenta	Ncfpg
za	za	Sa
dizala	dizalo	Ncnpg
koje	koji	Pi-nsa
je	biti	Var3s
stavio	staviti	Vmp-sm
na	na	Sa
tržište	tržište	Ncnsa
ili	ili	Cc
stavio	staviti	Vmp-sm
na	na	Sa
raspolaganje	raspolaganje	Ncnsa
na	na	Sl
tržištu	tržište	Ncnsl
Unije	unija	Ncfsg
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Ako	ako	Cs
ugraditelj	ugraditelj	Ncmsn
ne	ne	Qz
provede	provesti	Vmr3s
odgovarajuće	odgovarajući	Agpfpay
korektivne	korektivan	Agpfpay
radnje	radnja	Ncfpa
u	u	Sl
roku	rok	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
nadležno	nadležan	Agpnsny
inspekcijsko	inspekcijski	Agpnsny
tijelo	tijelo	Ncnsn
poduzima	poduzimati	Vmr3s
sve	sav	Agpfpay
odgovarajuće	odgovarajući	Agpfpay
privremene	privremen	Agpfpay
mjere	mjera	Ncfpa
kako	kako	Cs
bi	biti	Vaa3s
ograničila	ograničiti	Vmp-sf
ili	ili	Cc
zabranila	zabraniti	Vmp-sf
stavljanje	stavljanje	Ncnsa
predmetnog	predmetni	Agpnsgy
dizala	dizalo	Ncnsg
na	na	Sa
nacionalno	nacionalan	Agpnsay
tržište	tržište	Ncnsa
ili	ili	Cc
njegovu	njegov	Ps3fsa
uporabu	uporaba	Ncfsa
,	,	Z
ili	ili	Cc
kako	kako	Cs
bi	biti	Vaa3s
ga	on	Pp3msa
opozvala	opozvati	Vmp-sf
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Ako	ako	Cs
relevantni	relevantan	Agpmsny
gospodarski	gospodarski	Agpmsny
subjekt	subjekt	Ncmsn
ne	ne	Qz
provede	provesti	Vmr3s
odgovarajuće	odgovarajući	Agpfpay
korektivne	korektivan	Agpfpay
radnje	radnja	Ncfpa
u	u	Sl
roku	rok	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
nadležno	nadležan	Agpnsny
inspekcijsko	inspekcijski	Agpnsny
tijelo	tijelo	Ncnsn
poduzima	poduzimati	Vmr3s
sve	sav	Agpfpay
odgovarajuće	odgovarajući	Agpfpay
privremene	privremen	Agpfpay
mjere	mjera	Ncfpa
kako	kako	Cs
bi	biti	Vaa3s
zabranila	zabraniti	Vmp-sf
ili	ili	Cc
ograničila	ograničiti	Vmp-sf
stavljanje	stavljanje	Ncnsa
sigurnosne	sigurnosni	Agpfsgy
komponente	komponenta	Ncfsg
za	za	Sa
dizala	dizalo	Ncnpa
na	na	Sa
raspolaganje	raspolaganje	Ncnsa
na	na	Sl
svojem	svoj	Px-msl
nacionalnom	nacionalan	Agpnsly
tržištu	tržište	Ncnsl
,	,	Z
povukla	povući	Vmp-sf
sigurnosnu	sigurnosni	Agpfsay
komponentu	komponenta	Ncfsa
za	za	Sa
dizala	dizalo	Ncnpa
s	sa	Sg
tržišta	tržište	Ncnsg
ili	ili	Cc
je	biti	Var3s
opozvala	opozvati	Vmp-sf
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Nadležno	nadležan	Agpnsny
inspekcijsko	inspekcijski	Agpnsny
tijelo	tijelo	Ncnsn
bez	bez	Sg
odgode	odgoda	Ncfsg
obavješćuje	obavješćivati	Vmr3s
Komisiju	komisija	Ncfsa
i	i	Cc
druge	drugi	Mlofpn
države	država	Ncfpn
članice	članica	Ncfsg
o	o	Sl
tim	taj	Pd-fpl
mjerama	mjera	Ncfpl
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
Podaci	podatak	Ncmpn
iz	iz	Sg
stavka	stavak	Ncmsg
10.	10.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
uključuju	uključivati	Vmr3p
sve	sav	Agpmpay
dostupne	dostupan	Agpmpay
detalje	detalj	Ncmpa
,	,	Z
posebno	posebno	Rgp
one	onaj	Pd-mpa
nužne	nužan	Agpmpay
za	za	Sa
identifikaciju	identifikacija	Ncfsa
dizala	dizalo	Ncnsg
ili	ili	Cc
sigurnosnih	sigurnosni	Agpfpgy
komponenti	komponenta	Ncfpg
za	za	Sa
dizala	dizalo	Ncnpa
koje	koji	Pi-fpn
nisu	biti	Var3p
usklađene	uskladiti	Appfpny
,	,	Z
njihovo	njihov	Agpnsay
podrijetlo	podrijetlo	Ncnsa
,	,	Z
vrstu	vrsta	Ncfsa
navodne	navodni	Agpfsgy
neusklađenosti	neusklađenost	Ncfsg
i	i	Cc
povezanog	povezan	Agpmsgy
rizika	rizik	Ncmsg
,	,	Z
vrstu	vrsta	Ncfsa
i	i	Cc
trajanje	trajanje	Ncnsa
poduzetih	poduzet	Agpfpgy
nacionalnih	nacionalan	Agpfpgy
mjera	mjera	Ncfpg
te	te	Cc
argumente	argument	Ncmpa
relevantnih	relevantan	Agpmpgy
gospodarskih	gospodarski	Agpmpgy
subjekata	subjekt	Ncmpg
.	.	Z

Nadležno	nadležan	Agpnsny
inspekcijsko	inspekcijski	Agpnsny
tijelo	tijelo	Ncnsn
posebno	poseban	Agpnsny
navodi	navoditi	Vmr3s
je	biti	Var3s
li	li	Qq
nesukladnost	nesukladnost	Ncfsn
posljedica	posljedica	Ncfpg
jednog	jedan	Mlcmsg
od	od	Sg
sljedećih	sljedeći	Agpmpgy
uzroka	uzrok	Ncmpg
:	:	Z

–	–	Mlsn-n
dizala	dizati	Vmp-sf
ili	ili	Cc
sigurnosne	sigurnosni	Agpfsgy
komponente	komponenta	Ncfsg
za	za	Sa
dizala	dizalo	Ncnpa
ne	ne	Qz
ispunjavaju	ispunjavati	Vmr3p
bitne	bitan	Agpfpny
zdravstvene	zdravstven	Agpfpny
i	i	Cc
sigurnosne	sigurnosni	Agpmpay
zahtjeve	zahtjev	Ncmpa
iz	iz	Sg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
;	;	Z
ili	ili	Cc

–		Agpmpgy
nedostataka	nedostatak	Ncmpg
u	u	Sl
usklađenim	uskladiti	Agpfply
normama	norma	Ncfpl
iz	iz	Sg
članka	članak	Ncmsg
14.	14.	Mdo
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
pretpostavkom	pretpostavka	Ncfsi
sukladnosti	sukladnost	Ncfsg
.	.	Z

(	(	Z
12	12	Mdc
)	)	Z
Ako	ako	Cs
neka	neki	Pi-fsn
država	država	Ncfsn
članica	članica	Ncfsn
ili	ili	Cc
Komisija	komisija	Ncfsn
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
tri	tri	Mlc
mjeseca	mjesec	Ncmsg
nakon	nakon	Sg
primitka	primitak	Ncmsg
informacija	informacija	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
10.	10.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
podnese	podnijeti	Vmr3s
prigovor	prigovor	Ncmsan
na	na	Sa
privremenu	privremen	Agpfsay
mjeru	mjera	Ncfsa
koju	koji	Pi-fsa
poduzima	poduzimati	Vmr3s
nadležno	nadležan	Agpnsay
inspekcijsko	inspekcijski	Agpnsay
tijelo	tijelo	Ncnsa
,	,	Z
mjera	mjera	Ncfsn
se	sebe	Px--sa
smatra	smatrati	Vmr3s
opravdanom	opravdati	Ncfsi
.	.	Z

Članak	članak	Ncmsn
35.	35.	Mdo

Sukladna	sukladan	Agpnpay
dizala	dizalo	Ncnpa
ili	ili	Cc
sigurnosne	sigurnosni	Agpfsgy
komponente	komponenta	Ncfsg
za	za	Sa
dizala	dizalo	Ncnpa
koji	koji	Pi-mpn
predstavljaju	predstavljati	Vmr3p
rizik	rizik	Ncmsan

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
nadležno	nadležan	Agpnsny
inspekcijsko	inspekcijski	Agpnsny
tijelo	tijelo	Ncnsn
nakon	nakon	Sg
provedbe	provedba	Ncfsg
ocjenjivanja	ocjenjivanje	Ncnsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
34.	34.	Mdo
stavkom	stavka	Ncfsi
1.	1.	Mdo
ustanovi	ustanoviti	Vmr3s
da	da	Cs
dizalo	dizalo	Ncnsn
,	,	Z
iako	iako	Cs
je	biti	Var3s
sukladno	sukladan	Agpnsny
s	sa	Si
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
,	,	Z
predstavlja	predstavljati	Vmr3s
rizik	rizik	Ncmsan
za	za	Sa
zdravlje	zdravlje	Ncnsa
i	i	Cc
sigurnost	sigurnost	Ncfsn
osoba	osoba	Ncfpg
i	i	Cc
,	,	Z
prema	prema	Sl
potrebi	potreba	Ncfsl
,	,	Z
sigurnost	sigurnost	Ncfsn
imovine	imovina	Ncfsg
,	,	Z
ono	onaj	Pd-nsn
će	htjeti	Var3s
od	od	Sg
ugraditelja	ugraditelj	Ncmpg
zahtijevati	zahtijevati	Vmn
poduzimanje	poduzimanje	Ncnsa
odgovarajuće	odgovarajući	Agpfsgy
mjere	mjera	Ncfsg
kako	kako	Cs
bi	biti	Vaa3s
osigurao	osigurati	Vmp-sm
da	da	Cs
to	taj	Pd-nsn
dizalo	dizalo	Ncnsn
više	mnogo	Rgc
ne	ne	Qz
predstavlja	predstavljati	Vmr3s
rizik	rizik	Ncmsan
ili	ili	Cc
da	da	Cs
opozove	opozvati	Vmr3s
dizalo	dizalo	Ncnsa
ili	ili	Cc
ograniči	ograničiti	Vmr3s
ili	ili	Cc
zabrani	zabrana	Ncfsl
njegovu	njegov	Ps3fsa
uporabu	uporaba	Ncfsa
u	u	Sl
razumnom	razuman	Agpmsly
roku	rok	Ncmsl
koji	koji	Pi-msn
propiše	propisati	Vmr3s
i	i	Cc
koji	koji	Pi-msn
je	biti	Var3s
primjeren	primjeriti	Appmsnn
naravi	narav	Ncfsg
rizika	rizik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
nadležno	nadležan	Agpnsny
inspekcijsko	inspekcijski	Agpnsny
tijelo	tijelo	Ncnsn
nakon	nakon	Sg
provedbe	provedba	Ncfsg
ocjenjivanja	ocjenjivanje	Ncnsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
34.	34.	Mdo
stavkom	stavka	Ncfsi
1.	1.	Mdo
ustanovi	ustanoviti	Vmr3s
da	da	Cs
sigurnosna	sigurnosni	Agpfsny

