http://ec.europa.eu/budget/inforeuro/	http://ec.europa.eu/budget/inforeuro	Agpmpgy
prethodnim	prethodan	Agpmply
zahtjevima	zahtjev	Ncmpl
za	za	Sa
isplatu	isplata	Ncfsa
u	u	Sl
slučaju	slučaj	Ncmsl
isplate	isplata	Ncfsg
u	u	Sl
ratama	rata	Ncfpl
,	,	Z
a	a	Cc
koja	koji	Pi-fsn
ne	ne	Qz
prelazi	prelaziti	Vmr3s
iznos	iznos	Ncmsan
od	od	Sg
50	50	Mdc
%	%	Z
ukupne	ukupan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
odobrenih	odobren	Agpnpgy
sredstava	sredstvo	Ncnpg
javne	javan	Agpfsgy
potpore	potpora	Ncfsg
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
odbiti	odbiti	Vmn
iznos	iznos	Ncmsan
nepravilnog	nepravilan	Agpmsgy
izdatka	izdatak	Ncmsg
od	od	Sg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
i	i	Cc
izdati	izdati	Vmn
odluku	odluka	Ncfsa
o	o	Sl
isplati	isplata	Ncfsl
u	u	Sl
kojoj	koji	Pi-fsl
će	htjeti	Var3s
ukupan	ukupan	Agpmsnn
iznos	iznos	Ncmsn
biti	biti	Van
umanjen	umanjiti	Appmsnn
za	za	Sa
iznos	iznos	Ncmsan
nepravilnog	nepravilan	Agpmsgy
izdatka	izdatak	Ncmsg
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
Dio	dio	Ncmsn
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
može	moći	Vmr3s
biti	biti	Van
i	i	Qo
posjet	posjet	Ncmsn
ulaganju	ulaganje	Ncnsd
prije	prije	Sg
isplate	isplata	Ncfsg
koju	koji	Pi-fsa
će	htjeti	Var3p
provoditi	provoditi	Vmn
djelatnici	djelatnik	Ncmpn
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
.	.	Z

Donošenje	donošenje	Ncnsn
odluka	odluka	Ncfpg

Članak	članak	Ncmsn
39.	39.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nakon	nakon	Sg
provjere	provjera	Ncfsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
/	/	Z
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
predujma	predujam	Ncmsg
s	sa	Si
pripadajućom	pripadajući	Agpfsiy
dokumentacijom	dokumentacija	Ncfsi
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
donijeti	donijeti	Vmn
:	:	Z

–	i	Agpfsay
odluku	odluka	Ncfsa
o	o	Sl
isplati	isplata	Ncfsl
predujma	predujam	Ncmsg

–		Aspfsny
odluka	odluka	Ncfsn
o	o	Sl
jamstvu	jamstvo	Ncnsl

–	i	Agpfsay
odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
predujma	predujam	Ncmsg

–	i	Agpfsay
odluku	odluka	Ncfsa
o	o	Sl
isplati	isplata	Ncfsl

–	–	Sa
izmjenu	izmjena	Ncfsa
odluke	odluka	Ncfsg
o	o	Sl
isplati	isplata	Ncfsl
ili	ili	Cc

–	i	Agpfsay
odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Odluka	odluka	Ncfsn
o	o	Sl
odbijanju	odbijanje	Ncnsl
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
predujma	predujam	Ncmsg
izdaje	izdavati	Vmr3s
se	sebe	Px--sa
zbog	zbog	Sg
nedostavljanja	nedostavljanje	Ncnsg
valjane	valjan	Agpfsgy
bankarske	bankarski	Agpfsgy
garancije	garancija	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Odluka	odluka	Ncfsn
o	o	Sl
odbijanju	odbijanje	Ncnsl
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
izdaje	izdavati	Vmr3s
se	sebe	Px--sa
zbog	zbog	Sg
:	:	Z

–	–	Sg
neispunjavanja	neispunjavanje	Ncnsg
uvjeta	uvjet	Ncmpg
propisanih	propisati	Appmpgy
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
odnosno	odnosno	Rgp
natječajem	natječaj	Ncmsi

–		Agcfsgy
neprihvatljivosti	neprihvatljivost	Ncfsg
ulaganja	ulaganje	Ncnsg
i	i	Cc
/	/	Z
ili	ili	Cc
svih	sav	Agpmpgy
troškova	trošak	Ncmpg
utvrđenih	utvrditi	Appfpgy
u	u	Sl
listi	lista	Ncfsl
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg

–	i	Agpnsgy
dostavljanja	dostavljanje	Ncnsg
konačnog	konačan	Agpmsgy
zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
nakon	nakon	Sg
propisanog	propisati	Agpmsgy
roka	rok	Ncmsg

–	–	Ncmsn
utvrđene	utvrditi	Agpfsgy
nepravilnosti	nepravilnost	Ncfsg
tijekom	tijekom	Sg
obrade	obrada	Ncfsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
,	,	Z
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
i	i	Cc
nepravilnosti	nepravilnost	Ncfsl
utvrđene	utvrditi	Appfpny
u	u	Sl
prethodnim	prethodan	Agpmply
zahtjevima	zahtjev	Ncmpl
za	za	Sa
isplatu	isplata	Ncfsa
u	u	Sl
slučaju	slučaj	Ncmsl
isplate	isplata	Ncfsg
u	u	Sl
ratama	rata	Ncfpl
,	,	Z
a	a	Cc
koja	koji	Pi-fsn
prelazi	prelaziti	Vmr3s
iznos	iznos	Ncmsan
od	od	Sg
50	50	Mdc
%	%	Z
ukupne	ukupan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
odobrenih	odobren	Agpnpgy
sredstava	sredstvo	Ncnpg
javne	javan	Agpfsgy
potpore	potpora	Ncfsg

–	i	Agpnsgy
onemogućavanja	onemogućavanje	Ncnsg
obavljanja	obavljanje	Ncnsg
posjeta	posjet	Ncmsg
ulaganju	ulaganje	Ncnsl
/	/	Z
kontrole	kontrola	Ncfsg
na	na	Sl
terenu	teren	Ncmsl

–	–	Pi-nsg
ne	ne	Agpnsgy
stavljanja	stavljanje	Ncnsg
ulaganja	ulaganje	Ncnsg
u	u	Sa
uporabu	uporaba	Ncfsa
ili	ili	Cc
spremnost	spremnost	Ncfsa
za	za	Sa
uporabu	uporaba	Ncfsa

–	i	Agpnsgy
korištenja	korištenje	Ncnsg
opreme	oprema	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
mehanizacije	mehanizacija	Ncfpa
i	i	Cc
/	/	Z
ili	ili	Cc
građevine	građevina	Ncfpa
na	na	Sa
način	način	Ncmsan
koji	koji	Pi-msn
nije	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
njegovom	njegov	Ps3fsi
namjenom	namjena	Ncfsi

–		Agpfpgy
utvrđenih	utvrditi	Agpfpgy
razlika	razlika	Ncfpg
između	između	Sg
dokumenata	dokument	Ncmpg
priloženih	priložiti	Appmpgy
uz	uz	Sa
zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
i	i	Cc
dokumenata	dokument	Ncmpg
zatečenih	zateći	Appmpgy
u	u	Sl
kontroli	kontrola	Ncfsl
na	na	Sl
terenu	teren	Ncmsl

–	i	Agpnsgy
nedostavljanja	nedostavljanje	Ncnsg
dokumentacije	dokumentacija	Ncfsg
navedene	navesti	Appfpny
u	u	Sl
članku	članak	Ncmsl
38.	38.	Mdo
stavku	stavak	Ncmsl
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
u	u	Sl
roku	rok	Ncmsl
propisanom	propisati	Agpmsly
Pravilnikom	Pravilniki	Npmsl
ako	ako	Cs
se	sebe	Px--sa
dopuna	dopuna	Ncfsn
/	/	Z
obrazloženje	obrazloženje	Ncnsn
/	/	Z
ispravak	ispravak	Ncmsn
odnosi	odnositi	Vmr3s
na	na	Sa
cjelokupno	cjelokupan	Agpnsay
ulaganje	ulaganje	Ncnsa

–	i	Agpnsgy
nedostavljanja	nedostavljanje	Ncnsg
dokumentacije	dokumentacija	Ncfsg
vezane	vezan	Agpfsgy
za	za	Sa
provedbu	provedba	Ncfsa
ugovora	ugovor	Ncmsg
o	o	Sl
javnoj	javan	Agpfsly
nabavi	nabava	Ncfsl
i	i	Cc
/	/	Z
ili	ili	Cc

–	–	Sg
utvrđene	utvrditi	Agpfsgy
nepravilnosti	nepravilnost	Ncfsg
kod	kod	Sg
koje	koji	Pi-fsg
je	biti	Var3s
utvrđena	utvrditi	Appfsny
i	i	Cc
sumnja	sumnja	Ncfsn
na	na	Sa
prijevaru	prijevara	Ncfsa
,	,	Z
a	a	Cc
sredstva	sredstvo	Ncnpn
potpore	potpora	Ncfsg
nisu	biti	Var3p
isplaćena	isplatiti	Appfsny
korisniku	korisnik	Ncmsd
.	.	Z

Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
zbog	zbog	Sg
sumnje	sumnja	Ncfsg
na	na	Sa
prijevaru	prijevara	Ncfsa
izvijestiti	izvijestiti	Vmn
Državno	državni	Agpnsay
odvjetništvo	odvjetništvo	Ncnsa
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
pokrenuo	pokrenuti	Vmp-sm
postupak	postupak	Ncmsn
pred	pred	Si
nadležnim	nadležan	Agpmsiy
sudom	sud	Ncmsi
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
donošenja	donošenje	Ncnsg
odluke	odluka	Ncfsg
o	o	Sl
odbijanju	odbijanje	Ncnsl
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
kad	kad	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
isplati	isplata	Ncfsl
potpore	potpora	Ncfsg
u	u	Sl
ratama	rata	Ncfpl
,	,	Z
korisniku	korisnik	Ncmsl
će	htjeti	Var3s
biti	biti	Van
omogućeno	omogućiti	Appnsny
podnošenje	podnošenje	Ncnsn
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
preostalih	preostao	Agpfpgy
rata	rata	Ncfpg
,	,	Z
ako	ako	Cs
su	biti	Var3p
ostali	ostali	Agpmpny
uvjeti	uvjet	Ncmpn
propisani	propisati	Appmpny
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
,	,	Z
odnosno	odnosno	Rgp
natječajem	natječaj	Ncmsi
zadovoljeni	zadovoljiti	Appmpny
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
promjene	promjena	Ncfsg
odluke	odluka	Ncfsg
o	o	Sl
isplati	isplata	Ncfsl
,	,	Z
korisniku	korisnik	Ncmsl
će	htjeti	Var3s
biti	biti	Van
izdana	izdati	Appfsny
izmjena	izmjena	Ncfsn
odluke	odluka	Ncfsg
o	o	Sl
isplati	isplata	Ncfsl
.	.	Z

IX	IX	Mrc
.	.	Z

KONTROLA	kontrola	Ncfsn
NA	na	Sl
TERENU	teren	Ncmsl

Ovlaštenje	ovlaštenje	Ncnsn
za	za	Sa
provedbu	provedba	Ncfsa
kontrole	kontrola	Ncfsg
na	na	Sl
terenu	teren	Ncmsl

Članak	članak	Ncmsn
40.	40.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Kontrolu	kontrola	Ncfsa
na	na	Sl
terenu	teren	Ncmsl
provode	provoditi	Vmr3p
djelatnici	djelatnik	Ncmpn
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
kontrolori	kontrolor	Ncmpn
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kontrolori	kontrolor	Ncmpn
provode	provoditi	Vmr3p
kontrolu	kontrola	Ncfsa
izvršenih	izvršen	Agpfpgy
usluga	usluga	Ncfpg
,	,	Z
radova	rad	Ncmpg
i	i	Cc
nabavljene	nabaviti	Agpfpay
opreme	oprema	Ncfpa
kod	kod	Sg
isplate	isplata	Ncfsg
u	u	Sl
ratama	rata	Ncfpl
,	,	Z
dok	dok	Cs
kod	kod	Sg
konačne	konačan	Agpfsgy
isplate	isplata	Ncfsg
kontroliraju	kontrolirati	Vmr3p
i	i	Cc
upotrebu	upotreba	Ncfsa
ulaganja	ulaganje	Ncnsg
prema	prema	Sl
odobrenoj	odobren	Agpfsly
namjeni	namjena	Ncfsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Kontrolori	kontrolor	Ncmpn
provode	provoditi	Vmr3p
kontrolu	kontrola	Ncfsa
prije	prije	Sg
isplate	isplata	Ncfsg
i	i	Cc
tijekom	tijekom	Sg
petogodišnjeg	petogodišnji	Agpnsgy
razdoblja	razdoblje	Ncnsg
nakon	nakon	Sg
izvršenog	izvršen	Agpnsgy
konačnog	konačan	Agpnsgy
plaćanja	plaćanje	Ncnsg
(	(	Z
ex	ex	Xf
post	post	Ncmsn
kontrola	kontrola	Ncfpg
)	)	Z
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Osim	osim	Sg
redovnih	redovan	Agpfpgy
kontrola	kontrola	Ncfpg
,	,	Z
kontrole	kontrola	Ncfpn
na	na	Sl
terenu	teren	Ncmsl
mogu	moći	Vmr3p
se	sebe	Px--sa
provoditi	provoditi	Vmn
u	u	Sl
bilo	bilo	Qo
kojem	koji	Pi-msl
trenutku	trenutak	Ncmsl
unutar	unutar	Sg
razdoblja	razdoblje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Kontrolu	kontrola	Ncfsa
na	na	Sl
terenu	teren	Ncmsl
moguće	moguć	Agpnsny
je	biti	Var3s
provesti	provesti	Vmn
i	i	Qo
prije	prije	Sg
donošenja	donošenje	Ncnsg
odluke	odluka	Ncfsg
o	o	Sl
dodijeli	dodijeliti	Ncfsl
sredstava	sredstvo	Ncnpg
ukoliko	ukoliko	Cs
je	biti	Var3s

