vanjskih	vanjski	Agpfpgy
ukupnu	ukupan	Agpfsay
vrijednost	vrijednost	Ncfsa
ugovorenih	ugovoriti	Agpnpgy
ulaganja	ulaganje	Ncnpg
s	sa	Si
obračunatim	obračunati	Agpmsiy
porezom	porez	Ncmsi
na	na	Sa
dodanu	dodati	Ncmsl
vrijednost	vrijednost	Ncfsn
utvrđuje	utvrđivati	Vmr3s
se	sebe	Px--sa
dodatkom	dodatak	Ncmsi
Ugovoru	ugovor	Ncmsd
o	o	Sl
energetskom	energetski	Agpmsly
učinku	učinak	Ncmsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Pružatelj	pružatelj	Ncmsn
energetske	energetski	Agpfsgy
usluge	usluga	Ncfsg
obvezuje	obvezivati	Vmr3s
se	sebe	Px--sa
primijeniti	primijeniti	Vmn
mjere	mjeriti	Vmr3p
cjelovite	cjelovit	Agpfpay
obnove	obnova	Ncfpa
zgrade	zgrada	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
javne	javan	Agpfsgy
rasvjete	rasvjeta	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Plaćanje	plaćanje	Ncnsn
usluga	usluga	Ncfpg
pružatelju	pružatelj	Ncmsd
energetske	energetski	Agpfsgy
usluge	usluga	Ncfsg
temelji	temeljiti	Vmr3s
se	sebe	Px--sa
na	na	Sl
ostvarenim	ostvariti	Agpfply
i	i	Cc
verificiranim	verificirati	Appfply
uštedama	ušteda	Ncfpl
na	na	Sa
način	način	Ncmsan
predviđen	predvidjeti	Appmsnn
Ugovorom	ugovor	Ncmsi
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Naručitelj	naručitelj	Ncmsn
energetske	energetski	Agpfsgy
usluge	usluga	Ncfsg
obvezuje	obvezivati	Vmr3s
se	sebe	Px--sa
Ugovorom	ugovor	Ncmsi
pružatelju	pružatelj	Ncmsd
energetske	energetski	Agpfsgy
usluge	usluga	Ncfsg
omogućiti	omogućiti	Vmn
pristup	pristup	Ncmsan
građevini	građevina	Ncfsl
kako	kako	Cs
bi	biti	Vaa3s
pružatelj	pružatelj	Ncmsn
mogao	moći	Vmp-sm
izvršiti	izvršiti	Vmn
ugovorene	ugovoriti	Agpmpay
poslove	posao	Ncmpa
i	i	Cc
provesti	provesti	Vmn
mjere	mjera	Ncfpa
poboljšanja	poboljšanje	Ncnsg
energetske	energetski	Agpfsgy
učinkovitosti	učinkovitost	Ncfsg
,	,	Z
održavati	održavati	Vmn
i	i	Cc
upravljati	upravljati	Vmn
sustavom	sustav	Ncmsi
,	,	Z
ukoliko	ukoliko	Cs
je	biti	Var3s
ta	taj	Pd-fsn
usluga	usluga	Ncfsn
ugovorena	ugovoriti	Appfsny
,	,	Z
te	te	Cc
pratiti	pratiti	Vmn
ostvarenje	ostvarenje	Ncnsa
ušteda	ušteda	Ncfpg
energije	energija	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
vode	voda	Ncfsg
i	i	Cc
izvršavati	izvršavati	Vmn
sve	sav	Agpfpay
ostale	ostali	Agpfpay
obveze	obveza	Ncfpa
kako	kako	Cs
je	biti	Var3s
to	taj	Pd-nsn
detaljno	detaljno	Rgp
određeno	odrediti	Appnsny
Ugovorom	Ugovor	Npmsi
.	.	Z

PROVEDBA	provedba	Ncfsn
UGOVORA	ugovor	Ncmsg
O	o	Sl
ENERGETSKOM	energetski	Agpmsly
UČINKU	učinak	Ncmsl

Članak	članak	Ncmsn
6.	6.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nakon	nakon	Sg
izvršenja	izvršenje	Ncnsg
energetske	energetski	Agpfsgy
usluge	usluga	Ncfsg
utvrđene	utvrditi	Appfsgy
Ugovorom	ugovor	Ncmsi
,	,	Z
moraju	morati	Vmr3p
biti	biti	Van
ispunjeni	ispuniti	Appmpny
zahtjevi	zahtjev	Ncmpn
,	,	Z
sukladno	sukladno	Rgp
potvrđenom	potvrditi	Agpmsly
projektu	projekt	Ncmsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Nakon	nakon	Sg
provedenih	provesti	Agpfpgy
mjera	mjera	Ncfpg
energetske	energetski	Agpfsgy
obnove	obnova	Ncfsg
,	,	Z
pružatelj	pružatelj	Ncmsn
energetske	energetski	Agpfsgy
usluge	usluga	Ncfsg
obvezan	obvezati	Appmsnn
je	biti	Var3s
naručitelju	naručitelj	Ncmsd
energetske	energetski	Agpfsgy
usluge	usluga	Ncfsg
predati	predati	Vmn
završno	završan	Agpnsay
izvješće	izvješće	Ncnsa
o	o	Sl
primjeni	primjena	Ncfsl
tih	taj	Pd-fpg
mjera	mjera	Ncfpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Za	za	Sa
mjere	mjera	Ncfpa
uštede	ušteda	Ncfsg
vode	voda	Ncfsg
,	,	Z
pružatelj	pružatelj	Ncmsn
energetske	energetski	Agpfsgy
usluge	usluga	Ncfsg
obvezan	obvezati	Appmsnn
je	biti	Var3s
naručitelju	naručitelj	Ncmsd
energetske	energetski	Agpfsgy
usluge	usluga	Ncfsg
predati	predati	Vmn
završno	završan	Agpnsay
izvješće	izvješće	Ncnsa
30	30	Mdc
dana	dan	Ncmpg
prije	prije	Sg
isteka	istek	Ncmsg
Ugovora	ugovor	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Pružatelj	pružatelj	Ncmsn
energetske	energetski	Agpfsgy
usluge	usluga	Ncfsg
obvezan	obvezati	Appmsnn
je	biti	Var3s
tijekom	tijekom	Sg
cijelog	cijel	Agpnsgy
ugovornog	ugovoran	Agpnsgy
razdoblja	razdoblje	Ncnsg
pratiti	pratiti	Vmn
i	i	Cc
održavati	održavati	Vmn
mjere	mjera	Ncfpa
poboljšanja	poboljšanje	Ncnsg
energetske	energetski	Agpfsgy
učinkovitosti	učinkovitost	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
mjere	mjera	Ncfpn
uštede	ušteda	Ncfsg
vode	voda	Ncfsg
i	i	Cc
o	o	Sl
tome	taj	Pd-nsl
redovito	redovito	Rgp
periodički	periodički	Agpmpny
izvještavati	izvještavati	Vmn
naručitelja	naručitelj	Ncmpg
energetske	energetski	Agpfsgy
usluge	usluga	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Pružatelj	pružatelj	Ncmsn
energetske	energetski	Agpfsgy
usluge	usluga	Ncfsg
po	po	Sl
izvršenju	izvršenje	Ncnsl
mjera	mjera	Ncfsn
poboljšanja	poboljšanje	Ncnsg
energetske	energetski	Agpfsgy
učinkovitosti	učinkovitost	Ncfsg
,	,	Z
a	a	Cc
prije	prije	Sg
predaje	predaja	Ncfsg
završnog	završan	Agpnsgy
izvješća	izvješće	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
dužan	dužan	Agpmsnn
je	biti	Var3s
ishoditi	ishoditi	Vmn
energetski	energetski	Agpmsayn
certifikat	certifikat	Ncmsan
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ostvarena	ostvariti	Appfsny
ušteda	ušteda	Ncfsn
energije	energija	Ncfsg
iz	iz	Sg
Ugovora	ugovor	Ncmsg
utvrđuje	utvrđivati	Vmr3s
se	sebe	Px--sa
sukladno	sukladno	Rgp
pravilniku	pravilnik	Ncmsl
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
praćenje	praćenje	Ncnsa
,	,	Z
mjerenje	mjerenje	Ncnsa
i	i	Cc
verifikacija	verifikacija	Ncfpg
ušteda	ušteda	Ncfpg
.	.	Z

PRAĆENJE	praćenje	Ncnsn
PROVEDBE	provedba	Ncfsg
ENERGETSKE	energetski	Agpfsgy
USLUGE	usluga	Ncfsg

Financijsko	financijski	Agpnsny
knjiženje	knjiženje	Ncnsn
energetske	energetski	Agpfsgy
usluge	usluga	Ncfsg

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Naručitelj	naručitelj	Ncmsn
energetske	energetski	Agpfsgy
usluge	usluga	Ncfsg
obvezan	obvezati	Appmsnn
je	biti	Var3s
planirati	planirati	Vmn
sredstva	sredstvo	Ncnpa
za	za	Sa
plaćanje	plaćanje	Ncnsa
usluge	usluga	Ncfsg
pružatelju	pružatelj	Ncmsl
energetske	energetski	Agpfsgy
usluge	usluga	Ncfsg
u	u	Sl
svom	svoj	Px-msl
financijskom	financijski	Agpmsly
planu	plan	Ncmsl
,	,	Z
odnosno	odnosno	Rgp
proračunu	proračun	Ncmsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kada	kada	Cs
pružatelj	pružatelj	Ncmsn
energetske	energetski	Agpfsgy
usluge	usluga	Ncfsg
jamči	jamčiti	Vmr3s
uštedu	ušteda	Ncfsa
čija	čiji	Pi-fsn
je	biti	Var3s
vrijednost	vrijednost	Ncfsn

