nepromjenljiva	nepromjenljiv	Agpmsgn
davanje	davanje	Ncnsa
i	i	Cc
primanje	primanje	Ncnsa
znakova	znak	Ncmpg
od	od	Sg
putnika	putnik	Ncmpg
kojima	koji	Pi-fpl
moraju	morati	Vmr3p
biti	biti	Van
opremljeni	opremiti	Appmpny
autobusi	autobus	Ncmpn
za	za	Sa
gradski	gradski	Agpmsayn
promet	promet	Ncmsan
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Odredbe	odredba	Ncfpn
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
na	na	Sa
vojna	vojni	Agpnpay
vozila	vozilo	Ncnpa
oružanih	oružan	Agpfpgy
snaga	snaga	Ncfpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

10.	10.	Mdo

Ispušni	ispušan	Agpmpny
plinovi	plin	Ncmpn
na	na	Sl
motornim	motoran	Agpnply
vozilima	vozilo	Ncnpl
i	i	Cc
utjecaj	utjecaj	Ncmsan
na	na	Sa
okoliš	okoliš	Ncmsan

Članak	članak	Ncmsn
81.	81.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Sustavi	sustav	Ncmpn
za	za	Sa
naknadnu	naknadan	Agpfsay
obradu	obrada	Ncfsa
ispušnih	ispušan	Agpfpgy
tvari	tvar	Ncfpg
na	na	Sl
vozilima	vozilo	Ncnpl
kategorije	kategorija	Ncfsg
M	m	Xf
i	i	Cc
N	a	Ncfpn
moraju	morati	Vmr3p
biti	biti	Van
odobreni	odobriti	Appmpny
,	,	Z
te	te	Cc
ugrađeni	ugraditi	Appmpny
sukladno	sukladno	Rgp
Direktivi	direktiva	Ncfsd
70/220	70/220	Mdc
/	/	Z
EEC	EEC	Npmsn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Vozila	vozilo	Ncnsg
za	za	Sa
čije	čiji	Pi-mpa
uređaje	uređaj	Ncmpa
za	za	Sa
naknadnu	naknadan	Agpfsay
obradu	obrada	Ncfsa
ispušnih	ispušan	Agpmpgy
plinova	plin	Ncmpg
nisu	biti	Var3p
bili	biti	Vap-pm
propisani	propisati	Appmpny
uvjeti	uvjet	Ncmpn
za	za	Sa
odobravanje	odobravanje	Ncnsa
u	u	Sa
vrijeme	vrijeme	Ncnsa
njihovog	njihov	Ps3nsg
puštanja	puštanje	Ncnsg
u	u	Sa
promet	promet	Ncmsan
ili	ili	Cc
proizvodnje	proizvodnja	Ncfsg
,	,	Z
moraju	morati	Vmr3p
udovoljiti	udovoljiti	Vmn
uvjetima	uvjet	Ncmpd
koji	koji	Pi-mpn
su	biti	Var3p
propisani	propisati	Appmpny
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Odredbe	odredba	Ncfpn
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
na	na	Sa
vojna	vojni	Agpnpay
vozila	vozilo	Ncnpa
oružanih	oružan	Agpfpgy
snaga	snaga	Ncfpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

Članak	članak	Ncmsn
82.	82.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Svaka	svaki	Pi-fsn
preinaka	preinaka	Ncfsn
na	na	Sl
vozilu	vozilo	Ncnsl
koja	koji	Pi-fsn
u	u	Sl
pogledu	pogled	Ncmsl
emisije	emisija	Ncfsg
ispušnih	ispušan	Agpfpgy
tvari	tvar	Ncfpg
ima	imati	Vmr3s
za	za	Sa
posljedicu	posljedica	Ncfsa
smanjivanje	smanjivanje	Ncnsa
emisijske	emisijski	Agpfsgy
razine	razina	Ncfsg
vozila	vozilo	Ncnsg
nije	biti	Var3s
dopuštena	dopustiti	Appfsny
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
preinake	preinaka	Ncfpn
na	na	Sl
vozilu	vozilo	Ncnsl
uzrokuju	uzrokovati	Vmr3p
promjenu	promjena	Ncfsa
razine	razina	Ncfsg
emisija	emisija	Ncfpg
ispušnih	ispušan	Agpfpgy
tvari	tvar	Ncfpg
vozilo	voziti	Vmp-sn
se	sebe	Px--sa
mora	morati	Vmr3s
podvrgnuti	podvrgnuti	Vmn
postupku	postupak	Ncmsd
ispitivanja	ispitivanje	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Za	za	Sa
slučaj	slučaj	Ncmsan
promjene	promjena	Ncfsg
pogonskog	pogonski	Agpmsgy
motora	motor	Ncmsg
na	na	Sl
vozilu	vozilo	Ncnsl
motorom	motor	Ncmsi
drugog	drugi	Mlomsg
tipa	tip	Ncmsg
,	,	Z
potrebno	potreban	Agpnsny
je	biti	Var3s
ugraditi	ugraditi	Vmn
i	i	Cc
sve	sav	Agpfpay
komponente	komponenta	Ncfpa
usisnog	usisni	Agpmsgy
i	i	Cc
ispušnog	ispušan	Agpmsgy
sustava	sustav	Ncmsg
s	sa	Si
kojima	koji	Pi-mpi
je	biti	Var3s
zamjenski	zamjenski	Agpmsny
motor	motor	Ncmsn
odobren	odobriti	Appmsnn
i	i	Cc
kojemu	koji	Pi-msd
je	biti	Var3s
temeljem	temelj	Agpfsny
toga	toga	Ncfsn
određena	odrediti	Appfsny
odgovarajuća	odgovarajući	Agpfsny
emisijska	emisijski	Agpfsny
razina	razina	Ncfsn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ispušni	ispušan	Agpmpny
sustavi	sustav	Ncmpn
moraju	morati	Vmr3p
biti	biti	Van
takve	takav	Pd-fsg
izvedbe	izvedba	Ncfsg
da	da	Cs
ne	ne	Qz
proizvode	proizvoditi	Vmr3p
emisije	emisija	Ncfpn
buke	buka	Ncfsg
i	i	Cc
ispušnih	ispušan	Agpmpgy
plinova	plin	Ncmpg
veće	veliko	Rgc
od	od	Sg
propisanih	propisati	Agpmpgy
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Odredbe	odredba	Ncfpn
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
na	na	Sa
vojna	vojni	Agpnpay
vozila	vozilo	Ncnpa
oružanih	oružan	Agpfpgy
snaga	snaga	Ncfpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

Članak	članak	Ncmsn
83.	83.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Motori	motor	Ncmpn
s	sa	Si
unutarnjim	unutarnji	Agpnsiy
izgaranjem	izgaranje	Ncnsi
na	na	Sl
vozilima	vozilo	Ncnpl
kategorija	kategorija	Ncfpg
M		Npmsg
i	i	Cc
N	i	Agpnsny
,	,	Z
ne	ne	Qz
smiju	smjeti	Vmr3p
ispuštati	ispuštati	Vmn
u	u	Sa
atmosferu	atmosfera	Ncfsa
:	:	Z

1	1	Mdc
)	)	Z
Benzinski	benzinski	Agpmpny
motori	motor	Ncmpn
bez	bez	Sg
katalizatora	katalizator	Ncmsg
i	i	Cc
lambda	lambda	Ncfsn
sonde	sonda	Ncfsg
odnosno	odnosno	Rgp
benzinski	benzinski	Agpmpny
motorima	motor	Ncmpi
s	sa	Si
katalizatorom	katalizator	Ncmsi
,	,	Z
ali	ali	Cc
bez	bez	Sg
lambda	lambda	Ncfpg
sonde	sonda	Ncfsg
–	–	Z
koncentracija	koncentracija	Ncfsn
ugljičnog	ugljičan	Agpmsgy
monoksida	monoksid	Ncmsg
(	(	Z
CO	CO	Npmsn
)	)	Z
,	,	Z
pri	pri	Sl
brzini	brzina	Ncfsl
vrtnje	vrtnja	Ncfsg
motora	motor	Ncmsg
na	na	Sl
praznom	prazan	Agpmsly
hodu	hod	Ncmsl
,	,	Z
ne	ne	Qz
smije	smjeti	Vmr3s
prelaziti	prelaziti	Vmn
:	:	Z

a	a	Cc
)	)	Z
4,5	4,5	Mdc
%	%	Z
volumnih	volumni	Agpmpgy
udjela	udjel	Ncmpg
(	(	Z
za	za	Sa
vozila	vozilo	Ncnpa
proizvedena	proizvesti	Appfsny
1986.	1986.	Mdo
godine	godina	Ncfsg
i	i	Cc
starija	star	Agcfsny
)	)	Z
pri	pri	Sl
temperaturi	temperatura	Ncfsl
ulja	ulje	Ncnsg
u	u	Sl
motoru	motor	Ncmsl
od	od	Sg
najmanje	malo	Rgs
80	80	Mdc
°	°	Z
C	C	X

b	b	Npmsn
)	)	Z
3,5	3,5	Mdc
%	%	Z
volumnih	volumni	Agpmpgy
udjela	udjel	Ncmpg
(	(	Z
za	za	Sa
vozila	vozilo	Ncnpa
proizvedena	proizvesti	Appfsny
1987.	1987.	Mdo
godine	godina	Ncfsg
i	i	Cc
kasnije	kasno	Rgc
)	)	Z
pri	pri	Sl
temperaturi	temperatura	Ncfsl
ulja	ulje	Ncnsg
u	u	Sl
motoru	motor	Ncmsl
od	od	Sg
najmanje	malo	Rgs
80	80	Mdc
°	°	Z
C.	C.	Y

2	2	Mdc
)	)	Z
Benzinski	benzinski	Agpmpny
motori	motor	Ncmpn
s	sa	Si
reguliranim	regulirati	Agpmsiy
katalizatorom	katalizator	Ncmsi
trostrukog	trostruk	Agpnsgy
djelovanja	djelovanje	Ncnsg
–	–	Z
koncentracija	koncentracija	Ncfsn
ugljičnog	ugljičan	Agpmsgy
monoksida	monoksid	Ncmsg
(	(	Z
CO	CO	Npmsn
)	)	Z
,	,	Z
nakon	nakon	Cs
što	što	Cs
je	biti	Var3s
motor	motor	Ncmsn
postigao	postići	Vmp-sm
radnu	radni	Agpfsay
temperaturu	temperatura	Ncfsa
pri	pri	Sl
brzini	brzina	Ncfsl
vrtnje	vrtnja	Ncfsg
na	na	Sl
praznom	prazan	Agpmsly
hodu	hod	Ncmsl
,	,	Z
ne	ne	Qz
smije	smjeti	Vmr3s
prelaziti	prelaziti	Vmn
vrijednost	vrijednost	Ncfsa
propisanu	propisati	Appfsay
od	od	Sg
strane	strana	Ncfsg
proizvođača	proizvođač	Ncmsg
vozila	vozilo	Ncnsg
.	.	Z

Radna	radni	Agpfsny
temperatura	temperatura	Ncfsn
motora	motor	Ncmpg
i	i	Cc
brzina	brzina	Ncfsn
vrtnje	vrtnja	Ncfsg
na	na	Sl
praznom	prazan	Agpmsly
hodu	hod	Ncmsl
trebaju	trebati	Vmr3p
biti	biti	Van
propisane	propisati	Appfpny
od	od	Sg
strane	strana	Ncfsg
proizvođača	proizvođač	Ncmsg
vozila	vozilo	Ncnsg
.	.	Z

Koncentracija	koncentracija	Ncfsn
ugljičnog	ugljičan	Agpmsgy
monoksida	monoksid	Ncmsg
(	(	Z
CO	CO	Npmsn
)	)	Z
i	i	Cc
vrijednost	vrijednost	Ncfsn
faktora	faktor	Ncmsg
zraka	zrak	Ncmsg
(	(	Z
λ	λ	Npmsn
)	)	Z
pri	pri	Sl
povećanoj	povećan	Agpfsly

