Upravljačkom	upravljački	Agpnsly
godinu	godina	Ncfsa
»	»	Z
n-1	n-1	Mdm
«	«	Z
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Obrazac	obrazac	Ncmsn
Godišnjeg	godišnji	Agpnsgy
izvješća	izvješće	Ncnsg
o	o	Sl
radu	rad	Ncmsl
LAG-a	lag-	Ncmsg
će	htjeti	Var3s
biti	biti	Van
objavljen	objaviti	Appmsnn
na	na	Sl
službenoj	služben	Agpfsly
mrežnoj	mrežni	Agpfsly
stranici	stranica	Ncfsl
Ministarstva	ministarstvo	Ncnsg
i	i	Cc
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
.	.	Z

Plan	plan	Ncmsn
provedbe	provedba	Ncfsg
LRS	LRS	Npmsn

Članak	članak	Ncmsn
13.	13.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
LAG	LAG	Npmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
nakon	nakon	Sg
sklapanja	sklapanje	Ncnsg
Ugovora	ugovor	Ncmsg
,	,	Z
a	a	Cc
prije	prije	Sg
objave	objava	Ncfsg
prvog	prvi	Mlomsg
LAG	LA	Npmsg
natječaja	natječaj	Ncmsg
,	,	Z
dostaviti	dostaviti	Vmn
Agenciji	agencija	Ncfsl
za	za	Sa
plaćanja	plaćanje	Ncnpa
Plan	plan	Ncmsan
provedbe	provedba	Ncfsg
LRS	LRS	Npmsn
iz	iz	Sg
Priloga	prilog	Ncmsg
IX	IX	Mrc
.	.	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Plan	plan	Ncmsn
provedbe	provedba	Ncfsg
LRS	LRS	Npmsn
sadrži	sadržati	Vmr3s
raspodjelu	raspodjela	Ncfsa
sredstava	sredstvo	Ncnpg
za	za	Sa
provedbu	provedba	Ncfsa
Podmjere	Podmjera	Npfsg
19.2.	19.2.	Ncmsan
po	po	Sl
tipovima	tip	Ncmpl
operacije	operacija	Ncfsg
navedenim	naveden	Agpfpiy
u	u	Sl
LRS	l	Agpfply
,	,	Z
Podmjere	Podmjera	Npfsg
19.3.	19.3.	Mdo
i	i	Cc
Podmjere	Podmjera	Npfsg
19.4.	19.4.	Mdo
na	na	Sl
razini	razina	Ncfsl
cjelokupnog	cjelokupan	Agpnsgy
razdoblja	razdoblje	Ncnsg
provedbe	provedba	Ncfsg
LRS	LRS	Npmsn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
LAG	LAG	Y
ne	ne	Qz
može	moći	Vmr3s
objavljivati	objavljivati	Vmn
i	i	Cc
provoditi	provoditi	Vmn
LAG	lai	Agpmpay
natječaje	natječaj	Ncmpa
dok	dok	Cs
ne	ne	Qz
dostavi	dostaviti	Vmr3s
Plan	plan	Ncmsn
provedbe	provedba	Ncfsg
LRS	LRS	Npmsn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
odabrani	odabrati	Agpmsny
LAG	LAG	Npmsn
tijekom	tijekom	Sg
provedbe	provedba	Ncfsg
LRS	LRS	Npmsn
namjerava	namjeravati	Vmr3s
izmijeniti	izmijeniti	Vmn
iznose	iznos	Ncmpa
za	za	Sa
pojedini	pojedini	Agpmsayn
tip	tip	Ncmsan
operacije	operacija	Ncfsg
ili	ili	Cc
podmjeru	podmjer	Ncmsl
koja	koji	Pi-fsn
je	biti	Var3s
navedena	navesti	Appfsny
u	u	Sl
Planu	plan	Ncmsl
provedbe	provedba	Ncfsg
LRS	LRS	Npmsn
,	,	Z
putem	put	Sg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
promjenu	promjena	Ncfsa
mora	morati	Vmr3s
izmijeniti	izmijeniti	Vmn
LRS	LRS	Pi3n-a
sukladno	sukladan	Agpnsay
članku	članak	Ncmsl
11.	11.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Odabrani	odabrati	Agpmsny
LAG	LAG	Npmsn
se	sebe	Px--sa
prilikom	prilikom	Sg
postupka	postupak	Ncmsg
odabira	odabir	Ncmsg
projekata	projekat	Ncmpg
dužan	dužan	Agpmsnn
pridržavati	pridržavati	Vmn
Plana	plan	Ncmsg
provedbe	provedba	Ncfsg
LRS	LRS	Npmsn
koji	koji	Pi-msn
je	biti	Var3s
vrijedio	vrijediti	Vmp-sm
u	u	Sl
trenutku	trenutak	Ncmsl
objavljivanja	objavljivanje	Ncnsg
LAG	li	Agpmsgy
natječaja	natječaj	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Od	od	Sg
trenutka	trenutak	Ncmsg
izmjene	izmjena	Ncfsg
Plana	plan	Ncmsg
provedbe	provedba	Ncfsg
LRS	LRS	Npmsn
odobrenog	odobren	Agpmsgy
od	od	Sg
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
LAG-a	LAG	Npmsg
do	do	Sg
donošenje	donošenje	Ncnsa
Odluke	odluka	Ncfsg
o	o	Sl
odobrenju	odobrenje	Ncnsl
promjene	promjena	Ncfsg
zbog	zbog	Sg
izmjene	izmjena	Ncfsg
LRS	LRS	Npfsg
od	od	Sg
strane	strana	Ncfsg
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
,	,	Z
odabrani	odabrati	Appmpny
LAG	LAG	Npmsn
ne	ne	Qz
smije	smjeti	Vmr3s
raspisati	raspisati	Vmn
LAG	lag	Agpmsayn
natječaj	natječaj	Ncmsan
za	za	Sa
niti	niti	Qz
jedan	jedan	Mlcmsan
tip	tip	Ncmsan
operacije	operacija	Ncfsg
.	.	Z

Opći	opći	Agpmpny
uvjeti	uvjet	Ncmpn

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Broj	broj	Ncmsn
stanovnika	stanovnik	Ncmpg
jedinica	jedinica	Ncfpg
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
odnosno	odnosno	Rgp
naselja	naselje	Ncnsg
u	u	Sl
sastavu	sastav	Ncmsl
korisnika	korisnik	Ncmpg
će	htjeti	Var3s
se	sebe	Px--sa
utvrditi	utvrditi	Vmn
sukladno	sukladno	Rgp
podacima	podatak	Ncmpd
zadnjeg	zadnji	Agpmsgy
važećeg	važeći	Agpmsgy
popisa	popis	Ncmsg
stanovništva	stanovništvo	Ncnsg
Državnog	državni	Agpmsgy
zavoda	zavod	Ncmsg
za	za	Sa
statistiku	statistika	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
LAG	LAG	Npmsn
ima	imati	Vmr3s
podružnicu	podružnica	Ncfsa
,	,	Z
ista	isti	Agpfsny
mora	morati	Vmr3s
biti	biti	Van
navedena	navesti	Appfsny
u	u	Sl
Statutu	statut	Ncmsl
LAG-a	LAG	Npmsg
i	i	Cc
ne	ne	Qz
smije	smjeti	Vmr3s
imati	imati	Vmn
pravnu	pravni	Agpfsay
osobnost	osobnost	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Nakon	nakon	Sg
provedenog	provesti	Agpnsgy
ocjenjivanja	ocjenjivanje	Ncnsg
kvalitete	kvaliteta	Ncfsg
LRS	LRS	Npmsn
iz	iz	Sg
članka	članak	Ncmsg
10.	10.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
sklapa	sklapati	Vmr3s
Ugovor	ugovor	Ncmsan
s	sa	Si
LAG-om	LAG	Npmsi
čime	što	Pi3n-i
je	biti	Var3s
LAG	LAG	Npmsn
odabran	odabrati	Appmsnn
za	za	Sa
razdoblje	razdoblje	Ncnsa
provedbe	provedba	Ncfsg
Programa	program	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
Ugovora	ugovor	Ncmsg
LAG-a	LAG	Npmsg
je	biti	Var3s
i	i	Cc
izračunati	izračunati	Vmn
iznos	iznos	Ncmsan
javne	javan	Agpfsgy
potpore	potpora	Ncfsg
unutar	unutar	Sg
Podmjera	Podmjer	Npmsg
19.2.	19.2.	Mro
,	,	Z
19.3.	19.3.	Mds
i	i	Cc
19.4.	19.4i	Agpnsny
po	po	Sl
LAG-u	LAG	Npmsl
temeljem	temelj	Ncmsi
ostvarenog	ostvariti	Agpmsgy
broja	broj	Ncmsg
bodova	bod	Ncmpg
za	za	Sa
kriterije	kriterij	Ncmpa
navedene	navesti	Appmpay
u	u	Sl
Prilogu	prilog	Ncmsl
II	ii	Mrc
.	.	Z
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
mogućeg	moguć	Agpnsgy
uvećanja	uvećanje	Ncnsg
u	u	Sl
slučaju	slučaj	Ncmsl
viška	višak	Ncmsg
raspoloživih	raspoloživ	Agpnpgy
sredstava	sredstvo	Ncnpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Odabrani	odabrati	Agpmsny
LAG	LAG	Npmsn
je	biti	Var3s
do	do	Sg
31.	31.	Mdo
prosinca	prosinac	Ncmsg
2018.	2018.	Mdo
godine	godina	Ncfsg
na	na	Sl
LAG	l	Agpmply
natječajima	natječaj	Ncmpl
obvezan	obvezati	Appmsnn
odabrati	odabrati	Vmn
projekte	projekt	Ncmpa
u	u	Sl
visini	visina	Ncfsl
od	od	Sg
najmanje	malo	Rgs
20	20	Mdc
%	%	Z
sredstava	sredstvo	Ncnpg
za	za	Sa
provedbu	provedba	Ncfsa
Podmjere	Podmjera	Npfsg
19.2.	19.2.	Mds

