završetka	završetak	Ncmsg
usluge	usluga	Ncfsg
,	,	Z

11.	11.	Mdo
napomena	napomena	Ncfsn
.	.	Z

Članak	članak	Ncmsn
109.	109.	Mdo

Pružatelj	pružatelj	Ncmsn
usluge	usluga	Ncfsg
je	biti	Var3s
dužan	dužan	Agpmsnn
je	biti	Var3s
prvi	prvi	Mlomsn
sljedeći	sljedeći	Agpmsny
radni	radni	Agpmsayn
dan	dan	Ncmsan
od	od	Sg
prijama	prijam	Ncmsg
žrtve	žrtva	Ncfsg
trgovanja	trgovanje	Ncnsg
ljudima	čovjek	Ncmpi
obavijestiti	obavijestiti	Vmn
ministarstvo	ministarstvo	Ncnsa
o	o	Sl
prijamu	prijam	Ncmsl
žrtve	žrtva	Ncfsg
.	.	Z

Članak	članak	Ncmsn
110.	110.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Osobni	osoban	Agpmsny
list	list	Ncmsn
korisnika	korisnik	Ncmpg
predstavlja	predstavljati	Vmr3s
izvor	izvor	Ncmsan
osnovnih	osnovan	Agpfpgy
informacija	informacija	Ncfpg
o	o	Sl
korisniku	korisnik	Ncmsl
smještenom	smješten	Agpnsly
kod	kod	Sg
pružatelja	pružatelj	Ncmsg
usluge	usluga	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sa
osobni	osoban	Agpmsayn
list	list	Ncmsan
korisnika	korisnik	Ncmpg
upisuju	upisivati	Vmr3p
se	sebe	Px--sa
sljedeći	sljedeći	Agpmpny
dostupni	dostupan	Agpmpny
podaci	podatak	Ncmpn
:	:	Z

1.	1.	Mdo
redni	redni	Agpmsayn
broj	broj	Ncmsan
iz	iz	Sg
matične	matičan	Agpfsgy
knjige	knjiga	Ncfsg
,	,	Z

2.	2.	Mdo
osobno	osoban	Agpnsay
ime	ime	Ncnsa
(	(	Z
djevojačko	djevojački	Agpnsny
prezime	prezime	Ncnsn
)	)	Z
,	,	Z
ime	ime	Ncnsn
oca	oac	Ncmsg
/	/	Z
majke	majka	Ncfsg
korisnika	korisnik	Ncmpg
,	,	Z

3.	3.	Mdo
datum	datum	Ncmsan
,	,	Z
mjesto	mjesto	Ncnsa
i	i	Cc
država	država	Ncfsn
rođenja	rođenje	Ncnsg
,	,	Z

4.	4.	Mdo
državljanstvo	državljanstvo	Ncnsa
,	,	Z

5.	5.	Mdo
broj	broj	Ncmsn
putovnice	putovnica	Ncfsg
i	i	Cc
datum	datum	Ncmsan
izdavanja	izdavanje	Ncnsg
,	,	Z

6.	6.	Mdo
drugi	drugi	Mlomsn
identifikacijski	identifikacijski	Agpmsny
dokument	dokument	Ncmsn
i	i	Cc
datum	datum	Ncmsan
izdavanja	izdavanje	Ncnsg
,	,	Z

7.	7.	Mdo
prebivalište	prebivalište	Ncnsn
/	/	Z
boravište	boravište	Ncnsn
žrtve	žrtva	Ncfsg
prije	prije	Sg
identifikacije	identifikacija	Ncfsg
,	,	Z

8.	8.	Mdo
bračni	bračni	Agpmsayn
status	status	Ncmsan
i	i	Cc
dodatne	dodatan	Agpfpay
informacije	informacija	Ncfpa
o	o	Sl
obitelji	obitelj	Ncfsl
,	,	Z

9.	9.	Mdo
broj	broj	Ncmsn
djece	dijete	Ncnpg
i	i	Cc
podaci	podatak	Ncmpn
o	o	Sl
djeci	dijete	Ncfsl
,	,	Z

10.	10.	Mdo
obrazovni	obrazovni	Agpmsny
status	status	Ncmsn
pri	pri	Sl
odlasku	odlazak	Ncmsl
iz	iz	Sg
matične	matičan	Agpfsgy
države	država	Ncfsg
(	(	Z
završeni	završen	Agpmsny
razred	razred	Ncmsn
odnosno	odnosno	Rgp
postignuta	postignuti	Appfsny
razina	razina	Ncfsn
obrazovanja	obrazovanje	Ncnsg
)	)	Z
,	,	Z

11.	11.	Mdo
radno	radni	Agpnsay
iskustvo	iskustvo	Ncnsa
,	,	Z

12.	12.	Mdo
prihodi	prihod	Ncmpn
,	,	Z

13.	13.	Mdo
razlozi	razlog	Ncmpn
napuštanja	napuštanje	Ncnsg
matične	matičan	Agpfsgy
države	država	Ncfsg
ukoliko	ukoliko	Cs
je	biti	Var3s
žrtva	žrtva	Ncfsn
strani	stran	Agpmsny
državljanin	državljanin	Ncmsn
,	,	Z

14.	14.	Mdo
način	način	Ncmsan
vrbovanja	vrbovanje	Ncnsg
žrtve	žrtva	Ncfsg
,	,	Z

15.	15.	Mdo
način	način	Ncmsan
iskorištavanja	iskorištavanje	Ncnsg
od	od	Sg
strane	strana	Ncfsg
vrbovatelja	vrbovatelj	Ncmsg
/	/	Z
trgovca	trgovac	Ncmsg
,	,	Z

16.	16.	Mdo
nadležni	nadležan	Agpmsny
centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
(	(	Z
naziv	naziv	Ncmsn
,	,	Z
sjedište	sjedište	Ncnsn
,	,	Z
te	te	Cc
osobno	osoban	Agpnsay
ime	ime	Ncnsa
i	i	Cc
kontakt	kontakt	Ncmsn
telefon	telefon	Ncmsn
socijalnog	socijalan	Agpmsgy
radnika	radnik	Ncmsg
)	)	Z
,	,	Z

17.	17.	Mdo
podaci	podatak	Ncmpn
o	o	Sl
posebnom	poseban	Agpmsly
skrbniku	skrbnik	Ncmsl
za	za	Sa
djecu	dijete	Ncnpa
žrtve	žrtva	Ncfpa
trgovanja	trgovanje	Ncnsg
ljudima	čovjek	Ncmpi
(	(	Z
osobno	osoban	Agpnsay
ime	ime	Ncnsa
te	te	Cc
kontakt	kontakt	Ncmsn
telefon	telefon	Ncmsn
)	)	Z
,	,	Z

18.	18.	Mdo
rješenje	rješenje	Ncnsa
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
o	o	Sl
smještaju	smještaj	Ncmsl
(	(	Z
klasa	klasa	Ncfsn
,	,	Z
urudžbeni	urudžbeni	Agpmsny
broj	broj	Ncmsn
i	i	Cc
datum	datum	Ncmsan
)	)	Z
,	,	Z

19.	19.	Mdo
zdravstveno	zdravstven	Agpnsny
stanje	stanje	Ncnsn
prilikom	prilikom	Sg
dolaska	dolazak	Ncmsg
kod	kod	Sg
pružatelja	pružatelj	Ncmsg
usluge	usluga	Ncfsg
,	,	Z

20.	20.	Mdo
prava	pravo	Ncnsg
koja	koji	Pi-fsn
žrtva	žrtva	Ncfsn
ostvaruje	ostvarivati	Vmr3s
u	u	Sl
sustavu	sustav	Ncmsl
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
,	,	Z

21.	21.	Mdo
vrsta	vrsta	Ncfsn
usluge	usluga	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
pruža	pružati	Vmr3s
korisniku	korisnik	Ncmsd
,	,	Z

22.	22.	Mdo
aktivnosti	aktivnost	Ncfsg
u	u	Sa
koje	koji	Pi-fpa
je	biti	Var3s
korisnik	korisnik	Ncmsn
usluge	usluga	Ncfsg
uključen	uključiti	Appmsnn
(	(	Z
socijalna	socijalan	Agpfsny
pomoć	pomoć	Ncfsn
i	i	Cc
podrška	podrška	Ncfsn
,	,	Z
psihosocijalni	psihosocijalan	Agpmsayn
tretman	tretman	Ncmsan
,	,	Z
podrška	podrška	Ncfsn
u	u	Sl
obavljanju	obavljanje	Ncnsl
svakodnevnih	svakodnevan	Agpfpgy
aktivnosti	aktivnost	Ncfpg
i	i	Cc
njega	njega	Ncfpg
,	,	Z
opće	opći	Agpnsay
savjetovanje	savjetovanje	Ncnsa
i	i	Cc
pomaganje	pomaganje	Ncnsa
,	,	Z
pravno	pravni	Agpnsny
savjetovanje	savjetovanje	Ncnsn
i	i	Cc
pomaganje	pomaganje	Ncnsn
)	)	Z
,	,	Z

23.	23.	Mdo
suradnja	suradnja	Ncfsn
s	sa	Si
centrom	centar	Ncmsi
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
i	i	Cc
drugim	drugi	Mlonpl
nadležnim	nadležan	Agpnply
tijelima	tijelo	Ncnpl
,	,	Z

24.	24.	Mdo
podaci	podatak	Ncmpn
o	o	Sl
uključenosti	uključenost	Ncfsl
u	u	Sa
programe	program	Ncmpa
odgoja	odgoj	Ncmsg
i	i	Cc
obrazovanja	obrazovanje	Ncnsg
te	te	Cc
osposobljavanja	osposobljavanje	Ncnsg
žrtve	žrtva	Ncfsg
,	,	Z

25.	25.	Mdo
sve	sav	Agpfpay
promjene	promjena	Ncfpa
tijekom	tijekom	Sg
boravka	boravak	Ncmsg
kod	kod	Sg
pružatelja	pružatelj	Ncmsg
usluge	usluga	Ncfsg
,	,	Z

26.	26.	Mdo
datum	datum	Ncmsan
odlaska	odlazak	Ncmsg
od	od	Sg
pružatelja	pružatelj	Ncmsg
usluge	usluga	Ncfsg
,	,	Z

27.	27.	Mdo
napomena	napomena	Ncfsn
.	.	Z

Članak	članak	Ncmsn
111.	111.	Mdo

Knjiga	knjiga	Ncfsn
dnevne	dnevni	Agpfsgy
evidencije	evidencija	Ncfsg
sadržava	sadržavati	Vmr3s
evidenciju	evidencija	Ncfsa
stručnih	stručan	Agpmpgy
radnika	radnik	Ncmpg
po	po	Sl
smjenama	smjena	Ncfpl
,	,	Z
brojčano	brojčani	Agpnsny
stanje	stanje	Ncnsn
korisnika	korisnik	Ncmpg
,	,	Z
te	te	Cc
sva	sav	Agpnpny
važnija	važan	Agcnpny
zapažanja	zapažanje	Ncnpa
i	i	Cc
obavijesti	obavijest	Ncfsg
stručnih	stručan	Agpmpgy
djelatnika	djelatnik	Ncmpg
tijekom	tijekom	Sg
24	24	Mdc
sata	sat	Ncmsg
(	(	Z
odlazak	odlazak	Ncmsn
korisnika	korisnik	Ncmpg
na	na	Sa
tretman	tretman	Ncmsan
,	,	Z
kontakt	kontakt	Ncmsan
s	sa	Si
nadležnim	nadležan	Agpmsiy
centrom	centar	Ncmsi
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
i	i	Cc
sl.	sl.	Y
)	)	Z
.	.	Z

Članak	članak	Ncmsn
112.	112.	Mdo

Knjiga	knjiga	Ncfsn
pruženih	pružiti	Agpfpgy
socijalnih	socijalan	Agpfpgy
usluga	usluga	Ncfpg
sadržava	sadržavati	Vmr3s
evidenciju	evidencija	Ncfsa
pruženih	pružiti	Agpfpgy
usluga	usluga	Ncfpg
korisnicima	korisnik	Ncmpd
(	(	Z
osobno	osoban	Agpnsny
ime	ime	Ncnsn
korisnika	korisnik	Ncmpg
,	,	Z
vrsta	vrsta	Ncfsn
usluge	usluga	Ncfsg
,	,	Z
pružatelj	pružatelj	Ncmsn
usluge	usluga	Ncfsg
,	,	Z
dan	dan	Ncmsan
pružanja	pružanje	Ncnsg
usluge	usluga	Ncfsg
i	i	Cc
napomena	napomena	Ncfpg
)	)	Z
.	.	Z

Članak	članak	Ncmsn
113.	113.	Mdo

Knjiga	knjiga	Ncfsn
dežurstava	dežurstvo	Ncnpg
sadržava	sadržavati	Vmr3s
evidenciju	evidencija	Ncfsa
noćenja	noćenje	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
popis	popis	Ncmsan
korisnika	korisnik	Ncmpg
na	na	Sl
noćenju	noćenje	Ncnsl
,	,	Z
evidenciju	evidencija	Ncfsa
svih	sav	Agpnpgy
važnih	važan	Agpnpgy
događanja	događanje	Ncnpg
tijekom	tijekom	Sg
noći	noć	Ncfsg
,	,	Z
te	te	Cc
osobno	osoban	Agpnsay
ime	ime	Ncnsa
i	i	Cc
potpis	potpis	Ncmsn
odgovorne	odgovoran	Agpfsgy
osobe	osoba	Ncfsg
pružatelja	pružatelj	Ncmsg
usluge	usluga	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
bila	biti	Vap-sf
u	u	Sl
dežurstvu	dežurstvo	Ncnsl
.	.	Z

Sadržaj	sadržaj	Ncmsn
dokumentacije	dokumentacija	Ncfsg

Članak	članak	Ncmsn
114.	114.	Mdo

Pružatelj	pružatelj	Ncmsn
usluga	usluga	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
107.	107.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
dužan	dužan	Agpmsnn
je	biti	Var3s
voditi	voditi	Vmn
sljedeću	sljedeći	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
o	o	Sl
korisniku	korisnik	Ncmsl
i	i	Cc
vrsti	vrsta	Ncfsl
usluge	usluga	Ncfsg
,	,	Z
koja	koji	Pi-fsn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
dosjea	dosje	Ncmsg
korisnika	korisnik	Ncmpg
:	:	Z

1.	1.	Mdo
dokaz	dokaz	Ncmsn
o	o	Sl
prebivalištu	prebivalište	Ncnsl
/	/	Z
boravištu	boravište	Ncnsl
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
,	,	Z

2.	2.	Mdo
dokaz	dokaz	Ncmsn
o	o	Sl
statusu	status	Ncmsl
žrtve	žrtva	Ncfsg
trgovanja	trgovanje	Ncnsg
ljudima	čovjek	Ncmpi
,	,	Z

3.	3.	Mdo
rješenje	rješenje	Ncnsa
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
o	o	Sl
smještaju	smještaj	Ncmsl
,	,	Z

4.	4.	Mdo
socijalna	socijalan	Agpfsny
anamneza	anamneza	Ncfsn
,	,	Z

5.	5.	Mdo
zdravstveni	zdravstven	Agpmsayn
karton	karton	Ncmsan
i	i	Cc
zdravstvena	zdravstven	Agpfsny
iskaznica	iskaznica	Ncfsn
,	,	Z

6.	6.	Mdo
individualni	individualan	Agpmsayn
plan	plan	Ncmsan
i	i	Cc
program	program	Ncmsan
rada	rad	Ncmsg
,	,	Z

7.	7.	Mdo
evidencija	evidencija	Ncfsn
novčanih	novčan	Agpnpgy
primanja	primanje	Ncnpg
i	i	Cc
izdataka	izdatak	Ncmpg
,	,	Z

8.	8.	Mdo
evidencija	evidencija	Ncfsn
o	o	Sl
kontaktima	kontakt	Ncmpl
vezanima	vezan	Agpmply
uz	uz	Sa
žrtvu	žrtva	Ncfsa
,	,	Z

9.	9.	Mdo
evidencija	evidencija	Ncfsn
suradnje	suradnja	Ncfsg
sa	sa	Si
centrom	centar	Ncmsi
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
te	te	Cc
drugim	drugi	Mlonpl
nadležnim	nadležan	Agpnply
tijelima	tijelo	Ncnpl
i	i	Cc
institucijama	institucija	Ncfpl
vezano	vezano	Rgp
uz	uz	Sa
(	(	Z
re	ra	Ncfpa
)	)	Z
integraciju	integracija	Ncfsa
žrtve	žrtva	Ncfsg
,	,	Z

10.	10.	Mdo
ostali	ostali	Agpmpny
dokumenti	dokument	Ncmpn

