oni	onaj	Pd-mpn
javne	javan	Agpfsgy
potpore	potpora	Ncfsg
u	u	Sl
prihvatljivim	prihvatljiv	Agpmply
troškovima	trošak	Ncmpl
ulaganja	ulaganje	Ncnsg
.	.	Z

s	sa	Si
)	)	Z
»	»	Z
Veliko	velik	Agpnsny
poduzeće	poduzeće	Ncnsn
«	«	Z
je	biti	Var3s
subjekt	subjekt	Ncmsn
koji	koji	Pi-msn
se	sebe	Px--sa
bavi	baviti	Vmr3s
gospodarskom	gospodarski	Agpfsiy
djelatnošću	djelatnost	Ncfsi
bez	bez	Sg
obzira	obzir	Ncmsg
na	na	Sa
njegov	njegov	Ps3msan
pravni	pravni	Agpmsayn
oblik	oblik	Ncmsan
,	,	Z
a	a	Cc
koji	koji	Pi-mpn
sukladno	sukladno	Rgp
kriterijima	kriterij	Ncmpd
iz	iz	Sg
Priloga	prilog	Ncmsg
II	ii	Mrc
.	.	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
nije	biti	Var3s
određen	određen	Agpmsnn
u	u	Sa
kategoriju	kategorija	Ncfsa
mikro	mikro	Agpnsgy
,	,	Z
malih	mali	Agpmpgy
i	i	Cc
srednjih	srednji	Agpnpgy
poduzeća	poduzeće	Ncnpg
.	.	Z

t	t	Npmsn
)	)	Z
»	»	Z
Standardni	standardan	Agpmsny
ekonomski	ekonomski	Agpmsny
rezultat	rezultat	Ncmsn
«	«	Z
(	(	Z
engl	engl	Ncmsn
.	.	Z

Standard	standard	Ncmsn
Output	output	Ncmsn
–	–	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
SO	sol	Ncfsn
)	)	Z
predstavlja	predstavljati	Vmr3s
jediničnu	jedinični	Agpfsay
novčanu	novčan	Agpfsay
vrijednost	vrijednost	Ncfsa
proizvodnje	proizvodnja	Ncfsg
poljoprivrednog	poljoprivredni	Agpmsgy
proizvoda	proizvod	Ncmsg
izraženu	izraziti	Appfsay
u	u	Sl
proizvođačkim	proizvođački	Agpfply
cijenama	cijena	Ncfpl
na	na	Sl
pragu	prag	Ncmsl
gospodarstva	gospodarstvo	Ncnsg
koja	koji	Pi-fsn
ne	ne	Qz
uključuju	uključivati	Vmr3p
potpore	potpora	Ncfpa
i	i	Cc
poreze	porez	Ncmpa
.	.	Z

u	u	Sl
)	)	Z
»	»	Z
Ekonomska	ekonomski	Agpfsny
veličina	veličina	Ncfsn
poljoprivrednog	poljoprivredni	Agpnsgy
gospodarstva	gospodarstvo	Ncnsg
«	«	Z
je	biti	Var3s
ukupni	ukupan	Agpmsny
SO	sol	Ncfsn
poljoprivrednog	poljoprivredni	Agpnsgy
gospodarstva	gospodarstvo	Ncnsg
izražen	izraziti	Appmsnn
u	u	Sl
eurima	euro	Ncmpl
.	.	Z

v	V	Mrc
)	)	Z
»	»	Z
Ukupni	ukupan	Agpmsny
SO	sol	Ncfsn
poljoprivrednog	poljoprivredni	Agpnsgy
gospodarstva	gospodarstvo	Ncnsg
«	«	Z
je	biti	Var3s
zbroj	zbroj	Ncmsn
vrijednosti	vrijednost	Ncfsg
svih	sav	Agpfpgy
proizvodnji	proizvodnja	Ncfpg
dobiven	dobivea	Ncfsg
množenjem	množenje	Ncnsi
SO-a	SO	Npmsg
svake	svaki	Pi-fsg
pojedine	pojedini	Agpfsgy
proizvodnje	proizvodnja	Ncfsg
s	sa	Si
odgovarajućim	odgovarajući	Agpmsiy
brojem	broj	Ncmsi
jedinica	jedinica	Ncfpg
proizvodnje	proizvodnja	Ncfsg
.	.	Z

z	z	Npmsn
)	)	Z
»	»	Z
Lista	lista	Ncfsn
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
«	«	Z
je	biti	Var3s
lista	lista	Ncfsn
troškova	trošak	Ncmpg
prihvatljivih	prihvatljiv	Agpmpgy
za	za	Sa
sufinanciranje	sufinanciranje	Ncnsa
unutar	unutar	Sg
podmjere	podmjera	Ncfsg
4.1	4.1	Mdc
,	,	Z
a	a	Cc
objavljuje	objavljivati	Vmr3s
se	sebe	Px--sa
uz	uz	Sa
Natječaj	natječaj	Ncmsan
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ostali	ostali	Agpmpny
pojmovi	pojam	Ncmpn
u	u	Sl
smislu	smisao	Ncmsl
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
imaju	imati	Vmr3p
jednako	jednak	Agpnsay
značenje	značenje	Ncnsa
kao	kao	Cs
pojmovi	pojam	Ncmpn
uporabljeni	uporabiti	Appmpny
u	u	Sl
Uredbi	uredba	Ncfsl
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1305/2013	1305/2013	Mdc
)	)	Z
.	.	Z

Članak	članak	Ncmsn
3.	3.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
Programa	program	Ncmsg
je	biti	Var3s
Uprava	uprava	Ncfsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
EU	E	Npmsg
fondom	fond	Ncmsi
za	za	Sa
ruralni	ruralan	Agpmsayn
razvoj	razvoj	Ncmsan
,	,	Z
EU	E	Npmsg
i	i	Cc
međunarodnu	međunarodni	Agpfsay
suradnju	suradnja	Ncfsa
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
)	)	Z
,	,	Z
Ministarstva	ministarstvo	Ncnsg
poljoprivrede	poljoprivreda	Ncfsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
Ministarstvo	ministarstvo	Ncnsn
)	)	Z
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbom	odredba	Ncfsi
članka	članak	Ncmsg
66.	66.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1305/2013	1305/2013	Mdc
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Operativnu	operativan	Agpfsay
provedbu	provedba	Ncfsa
Programa	program	Ncmsg
obavlja	obavljati	Vmr3s
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
u	u	Sl
poljoprivredi	poljoprivreda	Ncfsl
,	,	Z
ribarstvu	ribarstvo	Ncnsl
i	i	Cc
ruralnom	ruralan	Agpmsly
razvoju	razvoj	Ncmsl
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
)	)	Z
.	.	Z

Članak	članak	Ncmsn
4.	4.	Mdo

Sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
čine	činiti	Vmr3p
:	:	Z

Prilog	prilog	Ncmsn
I.	I.	Mro
»	»	Z
Popis	popis	Ncmsn
poljoprivrednih	poljoprivredni	Agpmpgy
proizvoda	proizvod	Ncmpg
obuhvaćenih	obuhvatiti	Agpmpgy
Dodatkom	dodatak	Ncmsi
I	i	Cc
Ugovora	ugovor	Ncmsg
o	o	Sl
EU	E	Npmsl
«	«	Z
,	,	Z

Prilog	prilog	Ncmsn
II	ii	Mro
.	.	Z

»	»	Z
Definicija	definicija	Ncfsn
mikro	mikro	Agpnsgy
,	,	Z
malih	mali	Agpmpgy
i	i	Cc
srednjih	srednji	Agpnpgy
poduzeća	poduzeće	Ncnpg
(	(	Z
MSP-a	MSP	Npmsg
)	)	Z
«	«	Z
,	,	Z

Prilog	prilog	Ncmsn
III	III	Mrc
.	.	Z

»	»	Z
Kriteriji	kriterij	Ncmpn
odabira	odabir	Ncmsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
«	«	Z
,	,	Z

Prilog	prilog	Ncmsn
IV	IV	Mrc
.	.	Z

»	i	Agpnsny
Označavanje	označavanje	Ncnsn
ulaganja	ulaganje	Ncnsg
sufinanciranih	sufinancirati	Agpmpgy
iz	iz	Sg
proračuna	proračun	Ncmsg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
«	«	Z
,	,	Z

Prilog	prilog	Ncmsn
V.	V.	Mro
»	»	Z
Specifični	specifičan	Agpmpny
kriteriji	kriterij	Ncmpn
za	za	Sa
ulaganje	ulaganje	Ncnsa
u	u	Sa
poljoprivrednu	poljoprivredni	Agpfsay
mehanizaciju	mehanizacija	Ncfsa
«	«	Z
,	,	Z

Prilog	prilog	Ncmsn
VI	vi	Pp2-pn
.	.	Z

»	»	Z
Uputa	uputa	Ncfsn
za	za	Sa
objavu	objava	Ncfsa
poziva	pozivati	Vmr3s
na	na	Sa
dostavu	dostava	Ncfsa
ponuda	ponuda	Ncfpg
«	«	Z
,	,	Z

Prilog	prilog	Ncmsn
VII	vii	Mrc
.	.	Z

»	»	Z
Popis	popis	Ncmsn
dokumentacije	dokumentacija	Ncfsg
u	u	Sl
slučajevima	slučaj	Ncmpl
kad	kad	Cs
se	sebe	Px--sa
provodi	provoditi	Vmr3s
postupak	postupak	Ncmsn
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
sukladno	sukladno	Rgp
posebnim	poseban	Agpmpiy
propisima	propis	Ncmpi
koji	koji	Pi-mpn
uređuju	uređivati	Vmr3p
to	taj	Pd-nsa
područje	područje	Ncnsa
te	te	Cc
način	način	Ncmsn
predaje	predaja	Ncfsg
dokumentacije	dokumentacija	Ncfsg
iz	iz	Sg
postupka	postupak	Ncmsg
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
na	na	Sl
elektronskom	elektronski	Agpmsly
mediju	medij	Ncmsl
(	(	Z
CD-u	CD	Npmsl
/	/	Z
DVD-u	DVD	Npmsl
)	)	Z
«	«	Z
,	,	Z

Prilog	prilog	Ncmsn
VIII	viii	Mrc
.	.	Z

»	»	Z
Popis	popis	Ncmsn
standarda	standard	Ncmpg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
«	«	Z
.	.	Z

Članak	članak	Ncmsn
5.	5.	Mdo

U	u	Sl
okviru	okvir	Ncmsl
Podmjere	Podmjera	Npfsg
4.1.	4.1.	Mdo
potpora	potpora	Ncfsn
se	sebe	Px--sa
dodjeljuje	dodjeljivati	Vmr3s
za	za	Sa
operacije	operacija	Ncfpa
:	:	Z

a	a	Cc
)	)	Z
4.1.1.	4.1.1.	Mds

Restrukturiranje	restrukturiranje	Ncnsn
,	,	Z
modernizacija	modernizacija	Ncfsn
i	i	Cc
povećanje	povećanje	Ncnsa
konkurentnosti	konkurentnost	Ncfsg
poljoprivrednih	poljoprivredni	Agpnpgy
gospodarstava	gospodarstvo	Ncnpg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
Operacija	operacija	Ncfsn
4.1.1.	4.1.1.	Mdo
)	)	Z
,	,	Z

b	b	Npmsn
)	)	Z
4.1.2.	4.1.2.	Mds

Zbrinjavanje	zbrinjavanje	Ncnsn
,	,	Z
rukovanje	rukovanje	Ncnsa
i	i	Cc
korištenje	korištenje	Ncnsa
stajskog	stajski	Agpnsgy
gnojiva	gnojivo	Ncnsg
u	u	Sl
cilju	cilj	Ncmsl
smanjenja	smanjenje	Ncnsg
štetnog	štetan	Agpmsgy
utjecaja	utjecaj	Ncmsg
na	na	Sa
okoliš	okoliš	Ncmsan
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
Operacija	operacija	Ncfsn
4.1.2.	4.1.2.	Mdo
)	)	Z
i	i	Cc

c	C	Npmsn
)	)	Z
4.1.3.	4.1.3.	Mds

Korištenje	korištenje	Ncnsn
obnovljivih	obnovljiv	Agpmpgy
izvora	izvor	Ncmpg
energije	energija	Ncfsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly

