zatvorenim	zatvoren	Agpnsiy
vrlo	vrlo	Rgp
teškim	težak	Agpmsiy
KK		Ncmsi
1,06	1,06	Mdc
19.875,00	19.875,00	Mdc
H61B	H61B	Y
Maligna	maligan	Agpfsny
bolest	bolest	Ncfsn
hepatobilijarnog	hepatobilijarni	Agpmsgy
sustava	sustav	Ncmsg
i	i	Cc
gušterače	gušterača	Ncfsg
,	,	Z
dob	dob	Ncfsn
>	>	Z
69	69	Mdc
godina	godina	Ncfpg
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
,	,	Z
ili	ili	Cc
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpmpgy
KK	k	Ncmpg
1,32	1,32	Mdc
24.750,00	24.750,00	Mdc
H62A	h62a	Agpmpny
Poremećaji	poremećaj	Ncmpn
gušterače	gušterača	Ncfsg
,	,	Z
osim	osim	Sg
maligne	maligan	Agpfsgy
bolesti	bolest	Ncfsg
,	,	Z
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
1,34	1,34	Mdc
25.125,00	25.125,00	Mdc
H62B	h62b	Agpmpny
Poremećaji	poremećaj	Ncmpn
gušterače	gušterača	Ncfsg
,	,	Z
osim	osim	Sg
maligne	maligan	Agpfsgy
bolesti	bolest	Ncfsg
,	,	Z
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,91	0,91	Mdc
17.062,50	17.062,50	Mdc
H63A	h63a	Agpmpny
Poremećaji	poremećaj	Ncmpn
jetre	jetra	Ncfsg
,	,	Z
osim	osim	Sg
maligne	maligan	Agpfsgy
bolesti	bolest	Ncfsg
,	,	Z
ciroze	ciroza	Ncfsg
i	i	Cc
alkoholnog	alkoholni	Agpmsgy
hepatitisa	hepatitis	Ncmsg
,	,	Z
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
1,12	1,12	Mdc
21.000,00	21.000,00	Mdc
H63B	h63b	Agpmpny
Poremećaji	poremećaj	Ncmpn
jetre	jetra	Ncfsg
,	,	Z
osim	osim	Sg
maligne	maligan	Agpfsgy
bolesti	bolest	Ncfsg
,	,	Z
ciroze	ciroza	Ncfsg
i	i	Cc
alkoholnog	alkoholni	Agpmsgy
hepatitisa	hepatitis	Ncmsg
,	,	Z
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,61	0,61	Mdc
11.437,50	11.437,50	Mdc
H64A	h64a	Agpmpny
Poremećaji	poremećaj	Ncmpn
bilijarnog	bilijaran	Agpmsgy
sustava	sustav	Ncmsg
s	sa	Si
KK		Ncmsi
1,5	1,5	Mdc
28.125,00	28.125,00	Mdc
H64B	h64b	Agpmpny
Poremećaji	poremećaj	Ncmpn
bilijarnog	bilijaran	Agpmsgy
sustava	sustav	Ncmsg
bez	bez	Sg
KK	K	Npmsg
0,61	0,61	Mdc
11.437,50	11.437,50	Mdc
I01Z	I01Z	Y
Obostrani	obostran	Agpmsny
ili	ili	Cc
višestruki	višestruk	Agpmpny
veliki	velik	Agpmpny
postupci	postupak	Ncmpn
na	na	Sl
zglobovima	zglob	Ncmpl
donjih	donji	Agpnpgy
okrajina	okrajino	Ncnpg
5,76	5,76	Mdc
108.000,00	108.000,00	Mdc
I02A	i02	Ncmpg
Mikrovaskularni	mikrovaskularan	Agpmsny
prijenos	prijenos	Ncmsn
tkiva	tkivo	Ncnsg
ili	ili	Cc
presatka	presatak	Ncmsg
kože	koža	Ncfsg
,	,	Z
isključujući	isključivati	Rr
šaku	šaka	Ncfsa
,	,	Z
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
7,76	7,76	Mdc
145.500,00	145.500,00	Mdc
I02B	i02i	Agpfsgy
Presadak	presadak	Agpfsgy
kože	koža	Ncfsg
,	,	Z
isključujući	isključivati	Rr
šaku	šaka	Ncfsa
,	,	Z
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
2,49	2,49	Mdc
46.687,50	46.687,50	Mdc
I03A	i03i	Agpfsny
Revizija	revizija	Ncfsn
kuka	kukati	Vmr3s
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
4,86	4,86	Mdc
91.125,00	91.125,00	Mdc
I03B	i03	Aspfsny
Zamjena	zamjena	Ncfsn
kuka	kukati	Vmr3s
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
ili	ili	Cc
revizija	revizija	Ncfsn
kuka	kukati	Vmr3s
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
3,19	3,19	Mdc
59.812,50	59.812,50	Mdc
I03C	i03	Aspfsny
Zamjena	zamjena	Ncfsn
kuka	kukati	Vmr3s
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
2,82	2,82	Mdc
52.875,00	52.875,00	Mdc
I04Z	I04Z	Pi-fsn
Zamjena	zamjena	Ncfsn
ili	ili	Cc
ponovno	ponovan	Agpnsay
povezivanje	povezivanje	Ncnsa
koljena	koljeno	Ncnsg
3,72	3,72	Mdc
69.750,00	69.750,00	Mdc
I05Z	i05i	Agpfpny
Ostale	ostali	Agpfpny
zamjene	zamjena	Ncfpn
velikih	velik	Agpmpgy
zglobova	zglob	Ncmpg
i	i	Cc
postupci	postupak	Ncmpn
ponovnog	ponovan	Agpnsgy
povezivanja	povezivanje	Ncnsg
okrajina	okrajin	Ncmsg
3,93	3,93	Mdc
73.687,50	73.687,50	Mdc
I06Z	I06Z	Sa
Spinalna	spinalan	Agpfsny
fuzija	fuzija	Ncfsn
s	sa	Si
deformitetom	deformitet	Ncmsi
4,49	4,49	Mdc
84.187,50	84.187,50	Mdc
I07Z	I07Z	Pi-fsn
Amputacija	amputacija	Ncfsn
1,38	1,38	Mdc
25.875,00	25.875,00	Mdc
I08A	I08A	Pd-mpn
Ostali	ostali	Agpmpny
postupci	postupak	Ncmpn
na	na	Sl
kuku	kuk	Ncmsl
i	i	Cc
femuru	femur	Ncmsl
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
1,93	1,93	Mdc
36.187,50	36.187,50	Mdc
I08B	I08B	Pd-mpn
Ostali	ostali	Agpmpny
postupci	postupak	Ncmpn
na	na	Sl
kuku	kuk	Ncmsl
i	i	Cc
femuru	femur	Ncmsl
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
1,6	1,6	Mdc
30.000,00	30.000,00	Mdc
I09A	I09A	Sa
Spinalna	spinalan	Agpfsny
fuzija	fuzija	Ncfsn
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
5,18	5,18	Mdc
97.125,00	97.125,00	Mdc
I09B	I09B	Y
Spinalna	spinalan	Agpfsny
fuzija	fuzija	Ncfsn
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
3,04	3,04	Mdc
57.000,00	57.000,00	Mdc
I10A	I10A	Pd-mpn
Ostali	ostali	Agpmpny
postupci	postupak	Ncmpn
na	na	Sl
leđima	leđa	Ncnpl
i	i	Cc
vratu	vrat	Ncmsl
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
2,34	2,34	Mdc
43.875,00	43.875,00	Mdc
I10B	I10B	Pd-mpn
Ostali	ostali	Agpmpny
postupci	postupak	Ncmpn
na	na	Sl
leđima	leđa	Ncnpl
i	i	Cc
vratu	vrat	Ncmsl
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
1,12	1,12	Mdc
21.000,00	21.000,00	Mdc
I11Z	I11Z	Var3p
Postupci	postupak	Ncmpn
za	za	Sa
produljenje	produljenje	Ncnsa
okrajina	okrajin	Ncmpg
0,59	0,59	Mdc
11.062,50	11.062,50	Mdc
I12A	i12i	Agpfsny
Infekcija	infekcija	Ncfsn
/		Agpfpgy
upala	upala	Ncfpg
kostiju	kost	Ncfpg
i	i	Cc
zglobova	zglob	Ncmpg
s	sa	Si
raznim	razni	Agpmpiy
postupcima	postupak	Ncmpi
na	na	Sl
mišićnom	mišićni	Agpmsly
sustavu	sustav	Ncmsl
i	i	Cc
vezivnom	vezivni	Agpnsly
tkivu	tkivo	Ncnsl
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmsiy
KK		Ncmsi
2,96	2,96	Mdc
55.500,00	55.500,00	Mdc
I12B	I12B	Pi-fsn
Infekcija	infekcija	Ncfsn
/		Agpfpgy
upala	upala	Ncfpg
kostiju	kost	Ncfpg
i	i	Cc
zglobova	zglob	Ncmpg
s	sa	Si
raznim	razni	Agpmpiy
postupcima	postupak	Ncmpi
na	na	Sl
mišićnom	mišićni	Agpmsly
sustavu	sustav	Ncmsl
i	i	Cc
vezivnom	vezivni	Agpnsly
tkivu	tkivo	Ncnsl
s	sa	Si
teškim	težak	Agpmpiy
KK	k	Ncmpi
2,11	2,11	Mdc
39.562,50	39.562,50	Mdc
I12C	I12C	Pi-fsn
Infekcija	infekcija	Ncfsn
/		Agpfpgy
upala	upala	Ncfpg
kostiju	kost	Ncfpg
i	i	Cc
zglobova	zglob	Ncmpg
s	sa	Si
raznim	razni	Agpmpiy
postupcima	postupak	Ncmpi
na	na	Sl
mišićnom	mišićni	Agpmsly
sustavu	sustav	Ncmsl
i	i	Cc
vezivnom	vezivni	Agpnsly
tkivu	tkivo	Ncnsl
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,86	0,86	Mdc
16.125,00	16.125,00	Mdc
I13A	i13a	Mlompn
Postupci	postupak	Ncmpn
na	na	Sl
humerusu	humerus	Ncmsl
,	,	Z
tibiji	tibija	Ncfsl
,	,	Z
fibuli	fibula	Ncfsl
i	i	Cc
gležnju	gležanj	Ncmsl
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
2,29	2,29	Mdc
42.937,50	42.937,50	Mdc
I13B	i13b	Agpmpny
Postupci	postupak	Ncmpn
na	na	Sl
humerusu	humerus	Ncmsl
,	,	Z
tibiji	tibija	Ncfsl
,	,	Z
fibuli	fibula	Ncfsl
i	i	Cc
gležnju	gležanj	Ncmsl
,	,	Z
dob	dob	Ncfsn
>	>	Z
59	59	Mdc
godina	godina	Ncfpg
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
1,1	1,1	Mdc
20.625,00	20.625,00	Mdc
I13C	i13c	Agpmpny
Postupci	postupak	Ncmpn
na	na	Sl
humerusu	humerus	Ncmsl
,	,	Z
tibiji	tibija	Ncfsl
,	,	Z
fibuli	fibula	Ncfsl
i	i	Cc
gležnju	gležanj	Ncmsl
,	,	Z
dob	dob	Ncfsn
<	<	Z
60	60	Mdc
godina	godina	Ncfpg
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,93	0,93	Mdc
17.437,50	17.437,50	Mdc

