stupa	stupati	Vmr3s
livadni	livadni	Agpmsayn
plavac	plavac	Ncmsan
(	(	Z
Phengaris	Phengaris	Npmsn
nausithous	nausithous	Xf
)	)	Z
i	i	Cc
močvarni	močvaran	Agpmsny
okaš	okaš	Ncmsn
(	(	Z
Coenonympha	Coenonympha	Xf
oedippus	oedippus	Xf
)	)	Z
te	te	Cc
su	biti	Var3p
stanište	stanište	Ncnsn
močvarnog	močvaran	Agpmsgy
plavca	plavac	Ncmsg
(	(	Z
Phengaris	Phengaris	Npmsn
alcon	alcon	Xf
alcon	alcon	Xf
)	)	Z

Tablica	tablica	Ncfsn
4.	4.	Mdo
–	–	Z
Popis	popis	Ncmsn
biljnih	biljan	Agpfpgy
vrsta	vrsta	Ncfpg
za	za	Sa
cvjetne	cvjetan	Agpmpay
i	i	Cc
travne	travan	Agpfsgy
trake	traka	Ncfsg

Tablica	tablica	Ncfsn
5.	5.	Mdo
–	–	Z
Popis	popis	Ncmsn
ugroženih	ugroziti	Appmpgy
izvornih	izvoran	Agpmpgy
i	i	Cc
zaštićenih	zaštititi	Agpfpgy
pasmina	pasmina	Ncfpg
domaćih	domaći	Agpfpgy
životinja	životinja	Ncfpg

Tablica	tablica	Ncfsn
6.	6.	Mdo
–	–	Z
Iznosi	iznos	Ncmpn
potpore	potpora	Ncfsg

Tablica	tablica	Ncfsn
7.	7.	Mdo
–	–	Z
Ugrožene	ugroziti	Appfpny
izvorne	izvoran	Agpfpny
i	i	Cc
tradicijske	tradicijski	Agpfsgy
voćne	voćni	Agpfsgy
vrste	vrsta	Ncfsg

Tablica	tablica	Ncfsn
8.	8.	Mdo
–	–	Z
Umanjenja	umanjenje	Ncnsg
za	za	Sa
kršenje	kršenje	Ncnsa

Obrazac	obrazac	Ncmsn
1.	1.	Mdo
–	–	Z
Obrazac	obrazac	Ncmsn
Evidencija	evidencija	Ncfsn
o	o	Sl
provedbi	provedba	Ncfsl
M10	m1	Ncmsl
,	,	Z
operacija	operacija	Ncfsn
10.1.1.	10.1.1.	Mds

Obrazac	obrazac	Ncmsn
2.	2.	Mdo
–	–	Z
Obrazac	obrazac	Ncmsn
Evidencija	evidencija	Ncfsn
o	o	Sl
provedbi	provedba	Ncfsl
M10	m1	Ncmsl
,	,	Z
operacija	operacija	Ncfsn
10.1.2.	10.1.2.	Mds

Obrazac	obrazac	Ncmsn
3.	3.	Mdo
–	–	Z
Obrazac	obrazac	Ncmsn
Evidencija	evidencija	Ncfsn
o	o	Sl
provedbi	provedba	Ncfsl
M10	m1	Ncmsl
,	,	Z
operacija	operacija	Ncfsn
10.1.3.	10.1.3.	Mds

Obrazac	obrazac	Ncmsn
4.	4.	Mdo
–	–	Z
Obrazac	obrazac	Ncmsn
Evidencija	evidencija	Ncfsn
o	o	Sl
provedbi	provedba	Ncfsl
M10	m1	Ncmsl
,	,	Z
operacija	operacija	Ncfsn
10.1.4.	10.1.4.	Mds

Obrazac	obrazac	Ncmsn
5.	5.	Mdo
–	–	Z
Obrazac	obrazac	Ncmsn
Evidencija	evidencija	Ncfsn
o	o	Sl
provedbi	provedba	Ncfsl
M10	m1	Ncmsl
,	,	Z
operacija	operacija	Ncfsn
10.1.5.	10.1.5.	Mds

Obrazac	obrazac	Ncmsn
6.	6.	Mdo
–	–	Z
Obrazac	obrazac	Ncmsn
Evidencija	evidencija	Ncfsn
o	o	Sl
provedbi	provedba	Ncfsl
M10	m1	Ncmsl
,	,	Z
operacija	operacija	Ncfsn
10.1.6.	10.1.6.	Mds

Obrazac	obrazac	Ncmsn
7.	7.	Mdo
–	–	Z
Obrazac	obrazac	Ncmsn
Evidencija	evidencija	Ncfsn
o	o	Sl
provedbi	provedba	Ncfsl
M10	m1	Ncmsl
,	,	Z
operacija	operacija	Ncfsn
10.1.7.	10.1.7.	Mds

Obrazac	obrazac	Ncmsn
8.	8.	Mdo
–	–	Z
Obrazac	obrazac	Ncmsn
Evidencija	evidencija	Ncfsn
o	o	Sl
provedbi	provedba	Ncfsl
M10	m1	Ncmsl
,	,	Z
operacija	operacija	Ncfsn
10.1.8.	10.1.8.	Mds

Obrazac	obrazac	Ncmsn
9.	9.	Mdo
–	–	Z
Obrazac	obrazac	Ncmsn
Evidencija	evidencija	Ncfsn
o	o	Sl
provedbi	provedba	Ncfsl
M10	m1	Ncmsl
,	,	Z
operacija	operacija	Ncfsn
10.1.9.	10.1.9.	Mds

Obrazac	obrazac	Ncmsn
10.	10.	Mdo
–	–	Z
Obrazac	obrazac	Ncmsn
Evidencija	evidencija	Ncfsn
o	o	Sl
provedbi	provedba	Ncfsl
M11	m1	Ncmsl
,	,	Z
operacija	operacija	Ncfsn
11.1.	11.1.	Mds

Obrazac	obrazac	Ncmsn
11.	11.	Mdo
–	–	Z
Obrazac	obrazac	Ncmsn
Evidencija	evidencija	Ncfsn
o	o	Sl
provedbi	provedba	Ncfsl
M11	m1	Ncmsl
,	,	Z
operacija	operacija	Ncfsn
11.2.	11.2.	Mds

Obrazac	obrazac	Ncmsn
12.	12.	Mdo
–	–	Z
Obrazac	obrazac	Ncmsn
Potvrdnica	potvrdnica	Ncfsn

PRILOG	prilog	Ncmsn
1	1	Mdc
–	–	Z
PRILOG	prilog	Ncmsn
4	4	Mdc

