najvažnijih	važan	Agsmpgy
izvješćivanje	izvješćivanje	Ncnsa
javnosti	javnost	Ncfsg
o	o	Sl
razini	razina	Ncfsl
sigurnosti	sigurnost	Ncfsg
u	u	Sl
zrakoplovstvu	zrakoplovstvo	Ncnsl
.	.	Z

5.2.1.1	5.2.1.1	Agpmsny
Zakon	zakon	Ncmsn
o	o	Sl
zračnom	zračan	Agpmsly
prometu	promet	Ncmsl
propisuje	propisivati	Vmr3s
da	da	Cs
svaka	svaki	Pi-fsn
osoba	osoba	Ncfsn
za	za	Sa
koju	koji	Pi-fsa
je	biti	Var3s
posebnim	poseban	Agpmsiy
propisom	propis	Ncmsi
donesenim	donesen	Agpmsiy
na	na	Sl
temelju	temelj	Ncmsl
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
utvrđena	utvrditi	Appfsny
obveza	obveza	Ncfpg
izvješćivanja	izvješćivanje	Ncnsg
,	,	Z
a	a	Cc
koja	koji	Pi-fsn
sazna	saznati	Vmr3s
za	za	Sa
nesreću	nesreća	Ncfsa
,	,	Z
ozbiljnu	ozbiljan	Agpfsay
nezgodu	nezgoda	Ncfsa
ili	ili	Cc
nezgodu	nezgoda	Ncfsa
zrakoplova	zrakoplov	Ncmpg
,	,	Z
obvezna	obvezan	Agpfsny
je	biti	Var3s
o	o	Sl
tome	taj	Pd-nsl
odmah	odmah	Rgp
izvijestiti	izvijestiti	Vmn
ministarstvo	ministarstvo	Ncnsa
nadležno	nadležan	Agpnsay
za	za	Sa
unutarnje	unutarnji	Agpmpay
poslove	posao	Ncmpa
ili	ili	Cc
nadležnu	nadležan	Agpfsay
kontrolu	kontrola	Ncfsa
zračnog	zračan	Agpmsgy
prometa	promet	Ncmsg
na	na	Sl
najbližem	blizak	Agsmsly
aerodromu	aerodrom	Ncmsl
,	,	Z
ili	ili	Cc
središnje	središnji	Agpnsay
tijelo	tijelo	Ncnsa
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležno	nadležan	Agpnsny
za	za	Sa
zaštitu	zaštita	Ncfsa
i	i	Cc
spašavanje	spašavanje	Ncnsa
putem	put	Sg
pozivnog	pozivni	Agpmsgy
broja	broj	Ncmsg
112	112	Mdc
za	za	Sa
hitne	hitan	Agpfpay
službe	služba	Ncfpa
ili	ili	Cc
Agenciju	agencija	Ncfsa
za	za	Sa
istraživanje	istraživanje	Ncnsa
.	.	Z

Nadalje	nadalje	Rgp
,	,	Z
svaka	svaki	Pi-fsn
osoba	osoba	Ncfsn
za	za	Sa
koju	koji	Pi-fsa
je	biti	Var3s
propisana	propisati	Appfsny
obveza	obveza	Ncfsn
izvješćivanja	izvješćivanje	Ncnsg
,	,	Z
koja	koji	Pi-fsn
je	biti	Var3s
u	u	Sl
okviru	okvir	Ncmsl
obavljanja	obavljanje	Ncnsg
zadaća	zadaća	Ncfpg
iz	iz	Sg
svoje	svoj	Px-fsg
nadležnosti	nadležnost	Ncfsg
sudjelovala	sudjelovati	Vmp-sf
u	u	Sl
ili	ili	Cc
saznala	saznati	Vmp-sf
za	za	Sa
događaj	događaj	Ncmsan
povezan	povezan	Agpmsann
sa	sa	Si
sigurnošću	sigurnost	Ncfsi
,	,	Z
a	a	Cc
izvješćivanje	izvješćivanje	Ncnsn
kojeg	koji	Pi-nsg
je	biti	Var3s
obvezno	obvezan	Agpnsny
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
posebnim	poseban	Agpmsiy
propisom	propis	Ncmsi
kojim	koji	Pi-msi
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
izvješćivanje	izvješćivanje	Ncnsn
događaja	događaj	Ncmpg
povezanih	povezan	Agpmpgy
sa	sa	Si
sigurnošću	sigurnost	Ncfsi
,	,	Z
obvezna	obvezan	Agpfsny
je	biti	Var3s
o	o	Sl
tome	taj	Pd-nsl
na	na	Sa
propisani	propisati	Agpmsayn
način	način	Ncmsan
izvijestiti	izvijestiti	Vmn
Agenciju	agencija	Ncfsa
i	i	Cc
Agenciju	agencija	Ncfsa
za	za	Sa
istraživanje	istraživanje	Ncnsa
.	.	Z

Dodatno	dodatno	Rgp
,	,	Z
svaka	svaki	Pi-fsn
osoba	osoba	Ncfsn
bi	biti	Vaa3s
trebala	trebati	Vmp-sf
dobrovoljno	dobrovoljno	Rgp
izvijestiti	izvijestiti	Vmn
Agenciju	agencija	Ncfsa
i	i	Cc
Agenciju	agencija	Ncfsa
za	za	Sa
istraživanje	istraživanje	Ncnsa
o	o	Sl
svim	sav	Agpmply
događajima	događaj	Ncmpl
za	za	Sa
koje	koji	Pi-mpa
smatra	smatrati	Vmr3s
da	da	Cs
predstavljaju	predstavljati	Vmr3p
stvarnu	stvaran	Agpfsay
ili	ili	Cc
potencijalnu	potencijalan	Agpfsay
opasnost	opasnost	Ncfsa
za	za	Sa
sigurnost	sigurnost	Ncfsa
zračnog	zračan	Agpmsgy
prometa	promet	Ncmsg
.	.	Z

5.2.1.1.1	5.2.1.1.i	Agpfsny
Uredba	uredba	Ncfsn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
996/2010	996/2010	Mdc
o	o	Sl
istragama	istraga	Ncfpl
i	i	Cc
sprečavanju	sprečavanje	Ncnsl
nesreća	nesreća	Ncfpg
i	i	Cc
nezgoda	nezgoda	Ncfsn
u	u	Sl
civilnom	civilan	Agpnsly
zrakoplovstvu	zrakoplovstvo	Ncnsl
definira	definirati	Vmr3s
zahtjeve	zahtjev	Ncmpa

