G07B	g07i	Agpfsny
sustava	sustav	Ncmsg
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
1,27	1,27	Mdc
23.812,50	23.812,50	Mdc
G61A	g61i	Agpnsny
Krvarenje	krvarenje	Ncnsn
iz	iz	Sg
gastrointestinalnog	gastrointestinalan	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
dob	dob	Ncfsn
>	>	Z
64	64	Mdc
godine	godina	Ncfsg
,	,	Z
ili	ili	Cc
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
1,27	1,27	Mdc
23.812,50	23.812,50	Mdc
G61B	g61i	Agpnsny
Krvarenje	krvarenje	Ncnsn
iz	iz	Sg
gastrointestinalnog	gastrointestinalan	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
dob	dob	Ncfsn
<	<	Z
65	65	Mdc
godina	godina	Ncfpg
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,64	0,64	Mdc
12.000,00	12.000,00	Mdc
G62Z	G62Z	Pd-mpn
Komplicirani	kompliciran	Agpmsny
peptički	peptički	Agpmsny
vrijed	vrijed	Ncmsn
1,75	1,75	Mdc
32.812,50	32.812,50	Mdc
G63Z	g63z	Agpmsny
Nekomplicirani	nekompliciran	Agpmsny
peptički	peptički	Agpmsny
vrijed	vrijed	Ncmsn
0,74	0,74	Mdc
13.875,00	13.875,00	Mdc
G64Z	G64Z	Sa
Upalna	upalni	Agpfsny
bolest	bolest	Ncfsn
crijeva	crijevo	Ncnsg
0,87	0,87	Mdc
16.312,50	16.312,50	Mdc
G65A	g65i	Agpfsny
Opstrukcija	opstrukcija	Ncfsn
gastrointestinalnog	gastrointestinalan	Agpmsgy
sustava	sustav	Ncmsg
s	sa	Si
KK		Ncmsi
1,32	1,32	Mdc
24.750,00	24.750,00	Mdc
G65B	G65B	Pi-fsn
Opstrukcija	opstrukcija	Ncfsn
gastrointestinalnog	gastrointestinalan	Agpmsgy
sustava	sustav	Ncmsg
bez	bez	Sg
KK	K	Npmsg
0,73	0,73	Mdc
13.687,50	13.687,50	Mdc
G66A	G66A	Sa
Bol	bol	Ncfsa
u	u	Sl
trbuhu	trbuh	Ncmsl
ili	ili	Cc
mezenterijski	mezenterijska	Ncfsl
adenitis	adenitis	Ncmsn
s	sa	Si
KK		Npmsi
0,72	0,72	Mdc
13.500,00	13.500,00	Mdc
G66B	G66B	Sa
Bol	bol	Ncfsa
u	u	Sl
trbuhu	trbuh	Ncmsl
ili	ili	Cc
mezenterijski	mezenterijska	Ncfsl
adenitis	adenitis	Ncmsn
bez	bez	Sg
KK	K	Npmsg
0,34	0,34	Mdc
6.375,00	6.375,00	Mdc
G67A	g67a	Agpmsny
Ezofagitis	ezofagitis	Ncmsn
,	,	Z
gastroenteritis	gastroenteritis	Ncmsn
i	i	Cc
razni	razni	Agpmpny
poremećaji	poremećaj	Ncmpn
probavnog	probavni	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
dob	dob	Ncfsn
>	>	Z
9	9	Mdc
godina	godina	Ncfpg
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
0,7	0,7	Mdc
13.125,00	13.125,00	Mdc
G67B	g67b	Agpmsny
Ezofagitis	ezofagitis	Ncmsn
,	,	Z
gastroenteritis	gastroenteritis	Ncmsn
i	i	Cc
razni	razni	Agpmpny
poremećaji	poremećaj	Ncmpn
probavnog	probavni	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
dob	dob	Ncfsn
>	>	Z
9	9	Mdc
godina	godina	Ncfpg
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,31	0,31	Mdc
5.812,50	5.812,50	Mdc
G68A	g68a	Agpmsny
Gastroenteritis	gastroenteritis	Ncmsn
,	,	Z
dob	dob	Ncfsn
<	<	Z
10	10	Mdc
godina	godina	Ncfpg
s	sa	Si
KK		Npmsi
0,48	0,48	Mdc
9.000,00	9.000,00	Mdc
G68B	g68b	Agpmsny
Gastroenteritis	gastroenteritis	Ncmsn
,	,	Z
dob	dob	Ncfsn
<	<	Z
10	10	Mdc
godina	godina	Ncfpg
bez	bez	Sg
KK	K	Npmsg
0,27	0,27	Mdc
5.062,50	5.062,50	Mdc
G69Z	g69z	Agpmsny
Ezofagitis	ezofagitis	Ncmsn
i	i	Cc
razni	razni	Agpmpny
poremećaji	poremećaj	Ncmpn
probavnog	probavni	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
dob	dob	Ncfsn
<	<	Z
10	10	Mdc
godina	godina	Ncfpg
0,31	0,31	Mdc
5.812,50	5.812,50	Mdc
G70A	G70A	Pd-mpn
Ostali	ostali	Agpmpny
poremećaji	poremećaj	Ncmpn
probavnog	probavni	Agpmsgy
sustava	sustav	Ncmsg
s	sa	Si
KK		Ncmsi
1,25	1,25	Mdc
23.437,50	23.437,50	Mdc
G70B	G70B	Pd-mpn
Ostali	ostali	Agpmpny
poremećaji	poremećaj	Ncmpn
probavnog	probavni	Agpmsgy
sustava	sustav	Ncmsg
bez	bez	Sg
KK	K	Npmsg
0,44	0,44	Mdc
8.250,00	8.250,00	Mdc
H01A	h01a	Mlompn
Postupci	postupak	Ncmpn
na	na	Sl
gušterači	gušterača	Ncfsl
,	,	Z
jetri	jetra	Ncfsl
i	i	Cc
spojevima	spoj	Ncmpl
(	(	Z
shuntovima	shuntov	Agpfpiy
)	)	Z
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmsiy
KK		Ncmsi
5,63	5,63	Mdc
105.562,50	105.562,50	Mdc
H01B	h01b	Agpmpny
Postupci	postupak	Ncmpn
na	na	Sl
gušterači	gušterača	Ncfsl
,	,	Z
jetri	jetra	Ncfsl
i	i	Cc
spojevima	spoj	Ncmpl
(	(	Z
shuntovima	shunt	Ncmpl
)	)	Z
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpmpgy
KK	k	Ncmpg
3,65	3,65	Mdc
68.437,50	68.437,50	Mdc
H02A	H02A	Pd-mpn
Veliki	velik	Agpmpny
postupci	postupak	Ncmpn
na	na	Sl
žučnom	žučan	Agpmsly
sustavu	sustav	Ncmsl
,	,	Z
s	sa	Si
malignom	maligan	Agpfsiy
bolesti	bolest	Ncfsi
,	,	Z
ili	ili	Cc
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmsiy
KK		Ncmsi
4,16	4,16	Mdc
78.000,00	78.000,00	Mdc
H02B	H02B	Pd-mpn
Veliki	velik	Agpmpny
postupci	postupak	Ncmpn
na	na	Sl
žučnom	žučan	Agpmsly
sustavu	sustav	Ncmsl
,	,	Z
bez	bez	Sg
maligne	maligan	Agpfsgy
bolesti	bolest	Ncfsg
,	,	Z
s	sa	Si
teškim	težak	Agpmpiy
ili	ili	Cc
umjerenim	umjeren	Agpfpiy
KK		Ncfpi
2,22	2,22	Mdc
41.625,00	41.625,00	Mdc
H02C	H02C	Pd-mpn
Veliki	velik	Agpmpny
postupci	postupak	Ncmpn
na	na	Sl
žučnom	žučan	Agpmsly
sustavu	sustav	Ncmsl
,	,	Z
bez	bez	Sg
maligne	maligan	Agpfsgy
bolesti	bolest	Ncfsg
,	,	Z
bez	bez	Sg
KK	kk	Rgp
1,86	1,86	Mdc
34.875,00	34.875,00	Mdc
H05A	H05A	Pd-mpn
Dijagnostički	dijagnostički	Agpmpny
postupci	postupak	Ncmpn
na	na	Sl
hepatobilijarnom	hepatobilijarni	Agpmsly
sustavu	sustav	Ncmsl
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
2,65	2,65	Mdc
49.687,50	49.687,50	Mdc
H05B	H05B	Pd-mpn
Dijagnostički	dijagnostički	Agpmpny
postupci	postupak	Ncmpn
na	na	Sl
hepatobilijarnom	hepatobilijarni	Agpmsly
sustavu	sustav	Ncmsl
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
1,74	1,74	Mdc
32.625,00	32.625,00	Mdc
H06Z	H06Z	Sa
Ostali	ostali	Agpmpny
operativni	operativan	Agpmpny
postupci	postupak	Ncmpn
na	na	Sl
hepatobilijarnom	hepatobilijarni	Agpmsly
sustavu	sustav	Ncmsl
i	i	Cc
gušterači	gušterača	Ncfsl
1,1	1,1	Mdc
20.625,00	20.625,00	Mdc
H07A	h07	Ncmpg
Otvorena	otvoriti	Appfsny
kolecistektomija	kolecistektomija	Ncfsn
sa	sa	Si
zatvorenim	zatvoren	Agpnsiy
ispitivanjem	ispitivanje	Ncnsi
prohodnosti	prohodnost	Ncfsg
ductus	ductua	Ncfsg
choledocus	choledocui	Agpfsgy
ili	ili	Cc
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmsiy
KK		Ncmsi
1,79	1,79	Mdc
33.562,50	33.562,50	Mdc
H07B	H07B	Pi-fsn
Otvorena	otvoriti	Appfsny
kolecistektomija	kolecistektomija	Ncfsn
,	,	Z
bez	bez	Sg
zatvorenog	zatvoren	Agpnsgy
ispitivanja	ispitivanje	Ncnsg
prohodnosti	prohodnost	Ncfsg
ductus	ductua	Ncfsg
choledocusa	choledocus	Ncmpg
,	,	Z
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpmpgy
KK	k	Ncmpg
1,05	1,05	Mdc
19.687,50	19.687,50	Mdc
H08A	h08i	Agpfsny
Laparoskopska	laparoskopski	Agpfsny
kolecistektomija	kolecistektomija	Ncfsn
sa	sa	Sg

