normama	norma	Ncfpl
jeziku	jezik	Ncmsl
.	.	Z

Sve	sav	Agpfpny
upute	uputa	Ncfpn
i	i	Cc
informacije	informacija	Ncfpa
te	te	Cc
svako	svaki	Pi-nsn
označavanje	označavanje	Ncnsn
mora	morati	Vmr3s
biti	biti	Van
jasno	jasan	Agpnsny
,	,	Z
razumljivo	razumljiv	Agpnsny
i	i	Cc
lako	lako	Rgp
shvatljivo	shvatljiv	Agpnsny
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
Ako	ako	Cs
proizvođač	proizvođač	Ncmsn
smatra	smatrati	Vmr3s
ili	ili	Cc
ima	imati	Vmr3s
razloga	razlog	Ncmpg
vjerovati	vjerovati	Vmn
da	da	Cs
vaga	vaga	Ncfsn
koju	koji	Pi-fsa
je	biti	Var3s
stavio	staviti	Vmp-sm
na	na	Sa
tržište	tržište	Ncnsa
nije	biti	Var3s
sukladna	sukladan	Agpfsny
s	sa	Si
propisanim	propisati	Agpmpiy
zahtjevima	zahtjev	Ncmpi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
mora	morati	Vmr3s
bez	bez	Sg
odgode	odgoda	Ncfsg
poduzeti	poduzeti	Vmn
popravne	popravni	Agpfpay
radnje	radnja	Ncfpa
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
vagu	vaga	Ncfsa
uskladilo	uskladiti	Vmp-sn
ili	ili	Cc
,	,	Z
prema	prema	Sl
potrebi	potreba	Ncfsl
povuklo	povući	Vmp-sn
s	sa	Sg
tržišta	tržište	Ncnsg
ili	ili	Cc
opozvalo	opozvati	Vmp-sn
.	.	Z

Ako	ako	Cs
vaga	vaga	Ncfsn
predstavlja	predstavljati	Vmr3s
rizik	rizik	Ncmsan
,	,	Z
proizvođač	proizvođač	Ncmsn
o	o	Sl
tome	taj	Pd-nsl
bez	bez	Sg
odgode	odgoda	Ncfsg
mora	morati	Vmr3s
obavijestiti	obavijestiti	Vmn
Državni	državni	Agpmsny
zavod	zavod	Ncmsn
za	za	Sa
mjeriteljstvo	mjeriteljstvo	Ncnsa
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
središnje	središnji	Agpnsny
tijelo	tijelo	Ncnsn
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležno	nadležan	Agpnsny
za	za	Sa
mjeriteljstvo	mjeriteljstvo	Ncnsa
)	)	Z
kao	kao	Cs
i	i	Cc
nadležna	nadležan	Agpnpay
nacionalna	nacionalan	Agpnpay
tijela	tijelo	Ncnpa
onih	onaj	Agpfpgy
država	država	Ncfpg
članica	članica	Ncfpg
u	u	Sl
kojima	koji	Pi-fpl
je	biti	Var3s
stavio	staviti	Vmp-sm
vagu	vaga	Ncfsa
na	na	Sa
raspolaganje	raspolaganje	Ncnsa
na	na	Sl
tržištu	tržište	Ncnsl
navodeći	navoditi	Rr
podatke	podatak	Ncmpa
,	,	Z
posebno	posebno	Rgp
o	o	Sl
nesukladnosti	nesukladnost	Ncfsl
vage	vaga	Ncfsg
i	i	Cc
o	o	Sl
svim	sav	Agpnply
poduzetim	poduzet	Agpfply
popravnim	popravni	Agpfply
radnjama	radnja	Ncfpl
.	.	Z

(	(	Z
12	12	Mdc
)	)	Z
Proizvođač	proizvođač	Ncmsn
je	biti	Var3s
obvezan	obvezan	Agpmsnn
na	na	Sa
opravdan	opravdati	Agpmsayn
zahtjev	zahtjev	Ncmsan
središnjeg	središnji	Agpnsgy
tijela	tijelo	Ncnsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležnog	nadležan	Agpmsgy
za	za	Sa
mjeriteljstvo	mjeriteljstvo	Ncnsa
,	,	Z
osigurati	osigurati	Vmn
sve	sav	Agpmpay
podatke	podatak	Ncmpa
i	i	Cc
dokumente	dokument	Ncmpa
,	,	Z
u	u	Sl
papirnatom	papirnat	Agpmsly
ili	ili	Cc
elektroničkom	elektronički	Agpmsly
obliku	oblik	Ncmsl
,	,	Z
nužne	nužan	Agpfpny
za	za	Sa
dokazivanje	dokazivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
vage	vaga	Ncfsg
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
na	na	Sl
hrvatskom	hrvatski	Agpmsly
jeziku	jezik	Ncmsl
ili	ili	Cc
na	na	Sl
nekom	neki	Pi-msl
drugom	drugi	Agpmsly
jeziku	jezik	Ncmsl
lako	lako	Rgp
razumljivom	razumljiv	Agpnsly
tom	taj	Pd-nsl
tijelu	tijelo	Ncnsl
.	.	Z

Proizvođač	proizvođač	Ncmsn
mora	morati	Vmr3s
na	na	Sa
zahtjev	zahtjev	Ncmsan
središnjeg	središnji	Agpnsgy
tijela	tijelo	Ncnsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležnog	nadležan	Agpmsgy
za	za	Sa
mjeriteljstvo	mjeriteljstvo	Ncnsa
surađivati	surađivati	Vmn
na	na	Sl
svakoj	svaki	Pi-fsl
poduzetoj	poduzet	Agpfsly
radnji	radnja	Ncfsl
kako	kako	Cs
bi	biti	Vaa3p
se	sebe	Px--sa
uklonili	ukloniti	Vmp-pm
rizici	rizik	Ncmpn
koje	koji	Pi-mpa
predstavlja	predstavljati	Vmr3s
vaga	vaga	Ncfsn
koju	koji	Pi-fsa
je	biti	Var3s
stavio	staviti	Vmp-sm
na	na	Sa
tržište	tržište	Ncnsa
.	.	Z

Obveze	obveza	Ncfpn
ovlaštenog	ovlašten	Agpmsgy
zastupnika	zastupnik	Ncmsg

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Proizvođač	proizvođač	Ncmsn
može	moći	Vmr3s
na	na	Sl
temelju	temelj	Ncmsl
pisanog	pisan	Agpnsgy
ovlaštenja	ovlaštenje	Ncnsg
ovlastiti	ovlastiti	Vmn
fizičku	fizički	Agpfsay
ili	ili	Cc
pravnu	pravni	Agpfsay
osobu	osoba	Ncfsa
osnovanu	osnovati	Appfsay
u	u	Sl
Europskoj	europski	Agpfsly
uniji	unija	Ncfsl
za	za	Sa
svog	svoj	Px-msay
ovlaštenog	ovlašten	Agpmsgy
zastupnika	zastupnik	Ncmsg
.	.	Z

Obveze	obveza	Ncfpn
iz	iz	Sg
članka	članak	Ncmsg
8.	8.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
obveza	obveza	Ncfpg
sastavljanja	sastavljanje	Ncnsg
tehničke	tehnički	Agpfsgy
dokumentacije	dokumentacija	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
8.	8.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
ne	ne	Qz
mogu	moći	Vmr3p
biti	biti	Van
sadržane	sadržati	Appfpny
u	u	Sl
pismenom	pismen	Agpnsly
ovlaštenju	ovlaštenje	Ncnsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ovlašteni	ovlašten	Agpmsny
zastupnik	zastupnik	Ncmsn
je	biti	Var3s
obvezan	obvezan	Agpmsnn
provoditi	provoditi	Vmn
zadaće	zadaća	Ncfpa
specificirane	specificirati	Appfsgy
u	u	Sl
ovlaštenju	ovlaštenje	Ncnsl
koje	koji	Pi-nsn
mu	on	Pp3msd
je	biti	Var3s
dao	dati	Vmp-sm
proizvođač	proizvođač	Ncmsn
.	.	Z

Tim	tim	Ncmsn
se	sebe	Px--sa
ovlaštenjem	ovlaštenje	Ncnsi
mora	morati	Vmr3s
omogućiti	omogućiti	Vmn
ovlaštenom	ovlašten	Agpmsdy
zastupniku	zastupnik	Ncmsd
najmanje	malo	Rgs
sljedeće	sljedeći	Agpfsgy
:	:	Z

–	–	Cs
da	da	Cs
drži	držati	Vmr3s
EU	E	Npmsd
izjavu	izjava	Ncfsa
o	o	Sl
sukladnosti	sukladnost	Ncfsl
i	i	Cc
tehničku	tehnički	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
na	na	Sl
raspolaganju	raspolaganje	Ncnsl
mjeriteljskoj	mjeriteljski	Agpfsly
inspekciji	inspekcija	Ncfsl
središnjeg	središnji	Agpnsgy
tijela	tijelo	Ncnsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležnog	nadležan	Agpmsgy
za	za	Sa
mjeriteljstvo	mjeriteljstvo	Ncnsa
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
deset	deset	Mlc
(	(	Z
10	10	Mdc
)	)	Z
godina	godina	Ncfpg
od	od	Sg
dana	dan	Ncmpg
stavljanja	stavljanje	Ncnsg
vage	vaga	Ncfsg
na	na	Sa

