obavještava	obavještavati	Vmr3s
Agencijom	agencija	Ncfsi
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
provjeru	provjera	Ncfsa
postojanja	postojanje	Ncnsg
i	i	Cc
valjanosti	valjanost	Ncfsg
polica	polica	Ncfpg
obveznog	obvezan	Agpnsgy
osiguranja	osiguranje	Ncnsg
vlasnika	vlasnik	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
korisnika	korisnik	Ncmpg
motornih	motoran	Agpnpgy
vozila	vozilo	Ncnpg
od	od	Sg
odgovornosti	odgovornost	Ncfsg
za	za	Sa
štete	šteta	Ncfsg
nanesene	nanijeti	Appfsgy
trećim	treći	Mlofpd
osobama	osoba	Ncfpd
(	(	Z
osiguranja	osiguranje	Ncnsg
od	od	Sg
automobilske	automobilski	Agpfsgy
odgovornosti	odgovornost	Ncfsg
)	)	Z
.	.	Z

Imenovanje	imenovanje	Ncnsn
predstavnika	predstavnik	Ncmpg
samo	samo	Rgp
po	po	Sl
sebi	sebe	Px--sl
ne	ne	Qz
predstavlja	predstavljati	Vmr3s
osnivanje	osnivanje	Ncnsa
podružnice	podružnica	Ncfsg
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Od	od	Sg
predstavnika	predstavnik	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
može	moći	Vmr3s
se	sebe	Px--sa
tražiti	tražiti	Vmn
da	da	Cs
poduzima	poduzimati	Vmr3s
samo	samo	Rgp
aktivnosti	aktivnost	Ncfpg
za	za	Sa
koje	koji	Pi-fpa
je	biti	Var3s
ovlašten	ovlastiti	Appmsnn
od	od	Sg
strane	strana	Ncfsg
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
koje	koji	Pi-nsn
ga	on	Pp3msa
je	biti	Var3s
imenovalo	imenovati	Vmp-sn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Kad	kad	Cs
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
propusti	propustiti	Vmr3s
imenovati	imenovati	Vmn
predstavnika	predstavnik	Ncmpg
,	,	Z
Agencija	agencija	Ncfsn
može	moći	Vmr3s
predstavniku	predstavnik	Ncmsd
za	za	Sa
rješavanje	rješavanje	Ncnsa
odštetnih	odštetni	Agpmpgy
zahtjeva	zahtjev	Ncmpg
,	,	Z
imenovanom	imenovati	Appmsly
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpl
Zakona	zakon	Ncmsg
o	o	Sl
obveznim	obvezan	Agpnply
osiguranjima	osiguranje	Ncnpl
u	u	Sl
prometu	promet	Ncmsl
,	,	Z
dati	dati	Vmn
suglasnost	suglasnost	Ncfsa
za	za	Sa
preuzimanje	preuzimanje	Ncnsa
funkcije	funkcija	Ncfsg
predstavnika	predstavnik	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Jezik	jezik	Ncmsn

Članak	članak	Ncmsn
71.	71.	Mdo

Agencija	agencija	Ncfsn
može	moći	Vmr3s
zahtijevati	zahtijevati	Vmn
da	da	Cs
joj	on	Pp3fsd
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
koje	koji	Pi-nsn
posluje	poslovati	Vmr3s
na	na	Sl
području	područje	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
dostavlja	dostavljati	Vmr3s
informacije	informacija	Ncfpa
o	o	Sl
poslovanju	poslovanje	Ncnsl
,	,	Z
koje	koji	Pi-nsn
je	biti	Var3s
ovlaštena	ovlastiti	Appfsny
zahtijevati	zahtijevati	Vmn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
ovim	ovaj	Pd-msi
Zakonom	zakon	Ncmsi
,	,	Z
na	na	Sl
hrvatskom	hrvatski	Agpmsly
jeziku	jezik	Ncmsl
.	.	Z

Prethodna	prethodan	Agpfsny
obavijest	obavijest	Ncfsn
i	i	Cc
prethodna	prethodan	Agpfsny
suglasnost	suglasnost	Ncfsn

Članak	članak	Ncmsn
72.	72.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
koje	koji	Pi-nsn
namjerava	namjeravati	Vmr3s
obavljati	obavljati	Vmn
djelatnost	djelatnost	Ncfsa
osiguranja	osiguranje	Ncnsg
na	na	Sl
području	područje	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
dužno	dužan	Agpnsny
je	biti	Var3s
Agenciji	agencija	Ncfsl
,	,	Z
na	na	Sa
njezin	njezin	Agpmsayn
zahtjev	zahtjev	Ncmsan
,	,	Z
dostaviti	dostaviti	Vmn
obavijest	obavijest	Ncfsa
o	o	Sl
uvjetima	uvjet	Ncmpl
osiguranja	osiguranje	Ncnsg
i	i	Cc
drugim	drugi	Mlompi
dokumentima	dokument	Ncmpi
u	u	Sa
svrhu	svrha	Ncfsa
provjere	provjera	Ncfsg
usklađenosti	usklađenost	Ncfsg
s	sa	Si
propisima	propis	Ncmpi
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
koji	koji	Pi-mpn
se	sebe	Px--sa

