niža	nizak	Agcfsny
postoje	postojati	Vmr3p
prije	prije	Sg
21.	21.	Mdo
ožujka	ožujak	Ncmsg
2016.	2016.	Mdo
,	,	Z
kako	kako	Cs
je	biti	Var3s
ranije	rano	Rgc
primijetio	primijetiti	Vmp-sm
ESB	ESB	Npmsn
[	[	Z
7	7	Mdc
]	]	Z
,	,	Z
povratno	povratan	Agpnsny
djelovanje	djelovanje	Ncnsn
prijedloga	prijedlog	Ncmsg
zakona	zakon	Ncmsg
nije	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
općim	opći	Agpmsiy
ciljem	cilj	Ncmsi
i	i	Cc
načelima	načelo	Ncnpl
članka	članak	Ncmsg
25.	25.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
Direktive	direktiva	Ncfsg
2014/17	2014/17	Mdc
/	/	Z
EU	E	Npmsg
.	.	Z

Ova	ovaj	Pd-fsn
Direktiva	direktiva	Ncfsn
omogućava	omogućavati	Vmr3s
državama	država	Ncfpi
članicama	članica	Ncfpd
da	da	Cs
mogu	moći	Vmr3p
dodatno	dodatno	Rgp
regulirati	regulirati	Vmn
kredite	kredit	Ncmpa
u	u	Sl
stranoj	stran	Agpfsly
valuti	valuta	Ncfsl
,	,	Z
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
se	sebe	Px--sa
takvi	takav	Pd-mpn
propisi	propis	Ncmpn
ne	ne	Qz
primjenjuju	primjenjivati	Vmr3p
retroaktivno	retroaktivno	Rgp
.	.	Z

3.2.2	3.2.2	Mdc
Na	na	Sl
hrvatskim	hrvatski	Agpmply
je	biti	Var3s
nadležnim	nadležan	Agpnply
tijelima	tijelo	Ncnpl
da	da	Cs
ocijene	ocijeniti	Vmr3p
je	biti	Var3s
li	li	Qq
karakter	karakter	Ncmsn
povratnog	povratan	Agpnsgy
djelovanja	djelovanje	Ncnsg
prijedloga	prijedlog	Ncmsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
hrvatskim	hrvatski	Agpmpiy
zakonskim	zakonski	Agpmpiy
i	i	Cc
ustavnim	ustavan	Agpnply
načelima	načelo	Ncnpl
.	.	Z

Međutim	međutim	Rgp
,	,	Z
ESB	ESB	Npmsn
primjećuje	primjećivati	Vmr3s
da	da	Cs
će	htjeti	Var3s
uvođenje	uvođenje	Ncnsn
mjera	mjera	Ncfpg
s	sa	Si
povratnim	povratan	Agpnsiy
djelovanjem	djelovanje	Ncnsi
kao	kao	Cs
što	što	Cs
je	biti	Var3s
prijedlog	prijedlog	Ncmsn
zakona	zakon	Ncmsg
,	,	Z
umanjiti	umanjiti	Vmn
pravnu	pravni	Agpfsay
sigurnost	sigurnost	Ncfsa
te	te	Cc
da	da	Cs
nije	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
načelom	načelo	Ncnsi
opravdanih	opravdati	Appmpgy
»	»	Z
(	(	Z
legitimnih	legitiman	Agpmpgy
–	–	Z
op.	op.	Y
Ustavnog	ustavan	Agpmsgy
suda	sud	Ncmsg
)	)	Z
«	«	Z
očekivanja	očekivanje	Ncnsg
.	.	Z

3.3	3.3	Agpmsny
Kriterij	kriterij	Ncmsn
podobnosti	podobnost	Ncfsg

ESB	ESB	Npmsn
primjećuje	primjećivati	Vmr3s
da	da	Cs
prijedlog	prijedlog	Ncmsn
zakona	zakon	Ncmsg
ne	ne	Qz
predviđa	predviđati	Vmr3s
posebne	poseban	Agpmpay
kriterije	kriterij	Ncmpa
za	za	Sa
dužnike	dužnik	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
podobni	podoban	Agpmpny
za	za	Sa
sudjelovanje	sudjelovanje	Ncnsa
u	u	Sl
konverziji	konverzija	Ncfsl
,	,	Z
što	što	Pi3n-n
daje	davati	Vmr3s
razlog	razlog	Ncmsan
za	za	Sa
zabrinutost	zabrinutost	Ncfsa
u	u	Sl
pogledu	pogled	Ncmsl
svrhe	svrha	Ncfsg
prijedloga	prijedlog	Ncmsg
zakona	zakon	Ncmsg
.	.	Z

ESB	ESB	Npmsn
naročito	naročito	Rgp
primjećuje	primjećivati	Vmr3s
da	da	Cs
bi	biti	Vaa3s
bila	biti	Vap-sf
primjerena	primjeren	Agpfsny
primjena	primjena	Ncfsn
određenih	određen	Agpmpgy
ciljanih	ciljati	Agpmpgy
kriterija	kriterij	Ncmpg
kao	kao	Cs
što	što	Cs
su	biti	Var3p
,	,	Z
na	na	Sa
primjer	primjer	Ncmsan
,	,	Z
vezanje	vezanje	Ncnsa
prava	pravo	Ncnsg
na	na	Sa
konverziju	konverzija	Ncfsa
sa	sa	Si
stvarnim	stvaran	Agpmsiy
prihodovnim	prihodovan	Agpnsiy
stanjem	stanje	Ncnsi
dužnika	dužnik	Ncmpg
ili	ili	Cc
odnos	odnos	Ncmsan
vrijednosti	vrijednost	Ncfsg
i	i	Cc
kreditnog	kreditan	Agpmsgy
plasmana	plasman	Ncmsg
(	(	Z
eng.	eng.	Y

LTV	ltv	Mrc
–	–	Z
loan	loan	Sa
to	taj	Pd-nsa
value	valui	Agpnsay
(	(	Z
LTV	LTV	Npmsn
)	)	Z
ratio	ratiti	Vmp-sm
)	)	Z
.	.	Z

3.4	3.4	Agpmpny
Učinci	učinak	Ncmpn
na	na	Sa
bankarski	bankarski	Agpmsayn
sektor	sektor	Ncmsan

3.4.1	3.4.1	Npmsn
ESB	ESB	Npmsn
primjećuje	primjećivati	Vmr3s
da	da	Cs
će	htjeti	Var3s
provođenje	provođenje	Ncnsn
prijedloga	prijedlog	Ncmsg
zakona	zakon	Ncmsg
dovesti	dovesti	Vmn
do	do	Sg
financijskih	financijski	Agpmpgy
troškova	trošak	Ncmpg
za	za	Sa
bankarski	bankarski	Agpmsayn
sektor	sektor	Ncmsan
.	.	Z

Ovo	ovaj	Pd-nsn
će	htjeti	Var3s
pak	pak	Qo
dovesti	dovesti	Vmn
do	do	Sg
negativnog	negativan	Agpmsgy
učinka	učinak	Ncmsg
na	na	Sa
profitabilnost	profitabilnost	Ncfsa
,	,	Z
kapitalizaciju	kapitalizacija	Ncfsa
i	i	Cc
buduće	budući	Agpmpay
kreditne	kreditan	Agpmpay
kapacitete	kapacitet	Ncmpa
pogođenih	pogoditi	Appfpgy
kreditnih	kreditan	Agpfpgy
institucija	institucija	Ncfpg
.	.	Z

Ocjena	ocjena	Ncfsn
učinaka	učinak	Ncmpg
sačinjena	sačiniti	Appfsny
po	po	Sl
HNB-u	HNB	Npmsl
[	[	Z
8	8	Mdc
]	]	Z
ukazuje	ukazivati	Vmr3s
da	da	Cs
troškovi	trošak	Ncmpn
konverzije	konverzija	Ncfsg
za	za	Sa
banke	banka	Ncfpa
mogu	moći	Vmr3p
doseći	doseći	Vmn
oko	oko	Rgp
8	8	Mdc
milijarda	milijarda	Ncfpg
HRK	HRK	Npmsn
8	8	Mdc
ili	ili	Cc
1.1	1.1	Mdc
milijarde	milijarda	Ncfsg
EUR	EUR	Npmsn
,	,	Z
čime	što	Pi3n-i
bi	biti	Vaa3s
se	sebe	Px--sa
nametnuli	nametnuti	Vmp-pm
gubici	gubitak	Ncmpn
za	za	Sa
bankarski	bankarski	Agpmsayn
sektor	sektor	Ncmsan
koji	koji	Pi-msan
odgovaraju	odgovarati	Vmr3p
otprilike	otprilike	Rgp
trogodišnjoj	trogodišnji	Agpfsly
očekivanoj	očekivati	Appfsly
dobiti	dobiti	Vmn
.	.	Z

Predviđene	predvidjeti	Agpfpny
mjere	mjera	Ncfpn
će	htjeti	Var3p
uglavnom	uglavnom	Rgp
utjecati	utjecati	Vmn
na	na	Sa
osam	osam	Mlc
najvećih	velik	Agsfpgy
banaka	banka	Ncfpg
u	u	Sl
Hrvatskoj	Hrvatska	Npfsl
,	,	Z
koje	koji	Pi-fpn
drže	držati	Vmr3p
oko	oko	Ncnsa
90	90	Mdc
%	%	Z
imovine	imovina	Ncfsg
bankarskog	bankarski	Agpmsgy
sektora	sektor	Ncmsg
u	u	Sl
Hrvatskoj	Hrvatska	Npfsl
,	,	Z
s	sa	Si
talijanskim	talijanski	Agpfpiy
,	,	Z
austrijskim	austrijski	Agpfpiy
i	i	Cc
francuskim	francuski	Agpfply
bankama	banka	Ncfpl
među	među	Si
najvećim	velik	Agpfpiy
institucijama	institucija	Ncfpi
.	.	Z

3.4.2.	3.4.2.	Mdo

Potrebno	potreban	Agpnsny
je	biti	Var3s
također	također	Rgp
navesti	navesti	Vmn
da	da	Cs
će	htjeti	Var3s
restrukturiranje	restrukturiranje	Ncnsn
dovesti	dovesti	Vmn
do	do	Sg
jednokratnog	jednokratan	Agpnsgy
povećanja	povećanje	Ncnsg
operativnih	operativan	Agpmpgy
troškova	trošak	Ncmpg
za	za	Sa
pogođene	pogoditi	Agpfpay
kreditne	kreditan	Agpfpay
institucije	institucija	Ncfpa
u	u	Sl
Hrvatskoj	Hrvatska	Npfsl
,	,	Z
posebno	posebno	Rgp
zbog	zbog	Sg
popuštanja	popuštanje	Ncnsg
u	u	Sl
postojećem	postojeći	Agpnsly
ograničavanju	ograničavanje	Ncnsl
rizika	rizik	Ncmsg
i	i	Cc
zbog	zbog	Sg
dodatnih	dodatan	Agpfpgy
potreba	potreba	Ncfpg
za	za	Si
refinanciranjem	refinanciranje	Ncnsi
i	i	Cc
ograničavanjem	ograničavanje	Ncnsi
rizika	rizik	Ncmsg
u	u	Sl
eurima	euro	Ncmpl
te	te	Cc
zbog	zbog	Sg
troškova	trošak	Ncmpg
povezanih	povezan	Agpmpgy
s	sa	Si
obvezom	obveza	Ncfsi
obavješćivanja	obavješćivanje	Ncnsg
svakog	svaki	Pi-msg
dužnika	dužnik	Ncmsg
pojedinačno	pojedinačno	Rgp
,	,	Z
a	a	Cc
što	što	Pi3n-a
će	htjeti	Var3s
opteretiti	opteretiti	Vmn
resurse	resurs	Ncmpa
banaka	banak	Ncmpg
.	.	Z

3.5	3.5	Agpmpny
Učinci	učinak	Ncmpn
na	na	Sa
financijsku	financijski	Agpfsay
stabilnost	stabilnost	Ncfsa

3.5.1.	3.5.1.	Mdo

ESB	ESB	Npmsn
je	biti	Var3s
istaknuo	istaknuti	Vmp-sm
u	u	Sa
nekoliko	nekoliko	Rgp
navrata	navrat	Ncmpg
rizike	rizik	Ncmpa
povezane	povezan	Agpfsgy
s	sa	Si
kreditima	kredit	Ncmpi
u	u	Sl
stranoj	stran	Agpfsly
valuti	valuta	Ncfsl
[	[	Z
9	9	Mdc
]	]	Z
.	.	Z

Posebice	posebice	Rgp
,	,	Z
oni	oni	Pp3mpn
predstavljaju	predstavljati	Vmr3p
glavni	glavni	Agpmsayn
rizik	rizik	Ncmsan
financijskoj	financijski	Agpfsly
stabilnosti	stabilnost	Ncfsl
u	u	Sa
nekoliko	nekoliko	Rgp
država	država	Ncfpg
članica	članica	Ncfpg
,	,	Z
gdje	gdje	Cs
je	biti	Var3s
udio	udjel	Ncmsn
kredita	kredit	Ncmsg
u	u	Sl
stranoj	stran	Agpfsly
valuti	valuta	Ncfsl
relativno	relativno	Rgp
visok	visok	Agpmsnn
.	.	Z

ESB	ESB	Npmsn
ukazuje	ukazivati	Vmr3s
u	u	Sl
tom	taj	Pd-msl
pogledu	pogled	Ncmsl
na	na	Sa
analizu	analiza	Ncfsa
takvih	takav	Pd-mpg
rizika	rizik	Ncmpg
koju	koji	Pi-fsa
je	biti	Var3s
napravio	napraviti	Vmp-sm
Europski	europski	Agpmsny
odbor	odbor	Ncmsn
za	za	Sa
sistemske	sistemski	Agpmpay
rizike	rizik	Ncmpa
(	(	Z
ESRB	ESRB	Npmsn
)	)	Z
te	te	Cc
na	na	Sa
preporuke	preporuka	Ncfpa
ESRB-a	ESRB	Npmsg
za	za	Sa
suočavanje	suočavanje	Ncnsa
s	sa	Si
takvim	takav	Pd-mpi
rizicima	rizik	Ncmpi
,	,	Z
navedene	navesti	Appfpny
u	u	Sl
Preporuci	preporuka	Ncfsl
ESRB	ESRB	Npmsn
/	/	Z
2011/1	2011/1	Mdc
od	od	Sg
21.	21.	Mdo
rujna	rujan	Ncmsg
2011.	2011.	Mdo
o	o	Sl
kreditiranju	kreditiranje	Ncnsl
u	u	Sl
stranim	stran	Agpfply
valutama	valuta	Ncfpl
[	[	Z
10	10	Mdc
]	]	Z
.	.	Z

3.5.2	3.5.2	Mdc
Doista	doista	Rgp
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
Hrvatske	Hrvatska	Npfsg
,	,	Z
prevladava	prevladavati	Vmr3s
kreditiranje	kreditiranje	Ncnsa
u	u	Sl
stranoj	stran	Agpfsly
valuti	valuta	Ncfsl
,	,	Z
s	sa	Si
gotovo	gotovo	Rgp
70	70	Mdc
%	%	Z
kreditnog	kreditan	Agpmsgy
portfelja	portfelj	Ncmsg
banaka	banka	Ncfpg
denominiranih	denominirati	Appmpgy
u	u	Sl
stranoj	stran	Agpfsly
valuti	valuta	Ncfsl
ili	ili	Cc
vezanih	vezati	Appmpgy
uz	uz	Sa
stranu	stran	Agpfsay
valutu	valuta	Ncfsa
,	,	Z
posebice	posebice	Rgp
u	u	Sl
eurima	euro	Ncmpl
.	.	Z

Nadalje	nadalje	Rgp
,	,	Z
značajni	značajan	Agpmpny
zaštitni	zaštitni	Agpmpny
slojevi	sloj	Ncmpn
kapitala	kapital	Ncmsg
podupiru	podupirati	Vmr3p
mogućnosti	mogućnost	Ncfsg
apsorbiranja	apsorbiranje	Ncnsg
šokova	šok	Ncmpg
od	od	Sg
strane	strana	Ncfsg
hrvatskog	hrvatski	Agpmsgy
bankarskog	bankarski	Agpmsgy
sektora	sektor	Ncmsg
.	.	Z

Naime	naime	Qo
,	,	Z
na	na	Sl
razini	razina	Ncfsl
sektora	sektor	Ncmsg
,	,	Z
procjena	procjena	Ncfsn
učinka	učinak	Ncmsg
HNB-a	HNB	Npmsg
ukazuje	ukazivati	Vmr3s
na	na	Sa
smanjenje	smanjenje	Ncnsa
u	u	Sl
omjeru	omjer	Ncmsl
adekvatnosti	adekvatnost	Ncfsg
kapitala	kapital	Ncmsg
sa	sa	Si

