prikladan	prikladan	Agpmsann
djeca	dijete	Ncnpn
i	i	Cc
mladi	mlad	Agpmpny
078	078	Mdc
ruralno	ruralan	Agpnsny
stanovništvo	stanovništvo	Ncnsn
079	079	Mdc
seksualne	seksualan	Agpfsgy
i	i	Cc
rodne	rodan	Agpfsgy
manjine	manjina	Ncfsg
080	080	Mdc
sindikati	sindikat	Ncmpn
081	081	Mdc
slijepe	slijep	Agpfpny
i	i	Cc
slabovidne	slabovidan	Agpfpny
osobe	osoba	Ncfpn
082	082	Mdc
sportaši	sportaš	Ncmpn
083	083	Mdc

