Ostala	ostali	Agpnpay
Radnik	radnik	Ncmsn
može	moći	Vmr3s
koristiti	koristiti	Vmn
tako	tako	Rgp
ostvarene	ostvariti	Agpmpay
slobodne	slobodan	Agpmpay
sate	sat	Ncmpa
,	,	Z
odnosno	odnosno	Rgp
slobodne	slobodan	Agpmpay
dane	dan	Ncmpa
na	na	Sa
način	način	Ncmsan
da	da	Cs
njihovo	njihov	Ps3nsn
korištenje	korištenje	Ncnsn
ne	ne	Qz
remeti	remetiti	Vmr3s
redoviti	redovit	Agpmsny
proces	proces	Ncmsn
rada	rad	Ncmsg
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Poslodavac	poslodavac	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
voditi	voditi	Vmn
evidenciju	evidencija	Ncfsa
o	o	Sl
broju	broj	Ncmsl
sati	sat	Ncmpg
obavljenog	obaviti	Agpmsgy
prekovremenog	prekovremeni	Agpmsgy
rada	rad	Ncmsg
tjedno	tjedno	Rgp
i	i	Cc
tijekom	tijekom	Sg
mjeseca	mjesec	Ncmsg
i	i	Cc
to	taj	Pd-nsa
iskazati	iskazati	Vmn
u	u	Sl
obračunu	obračun	Ncmsl
plaće	plaća	Ncfsg
radnika	radnik	Ncmpg
za	za	Sa
pojedini	pojedini	Agpmsayn
mjesec	mjesec	Ncmsan
.	.	Z

Rad	rad	Ncmsn
u	u	Sl
smjenama	smjena	Ncfpl

Članak	članak	Ncmsn
37.	37.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Radom	rad	Ncmsi
u	u	Sl
smjeni	smjena	Ncfsl
,	,	Z
u	u	Sl
smislu	smisao	Ncmsl
ovog	ovaj	Pd-msg
Ugovora	ugovor	Ncmsg
,	,	Z
smatra	smatrati	Vmr3s
se	sebe	Px--sa
rad	rad	Ncmsn
koji	koji	Pi-msn
se	sebe	Px--sa
tijekom	tijekom	Sg
cijele	cijel	Agpfsgy
godine	godina	Ncfsg
ili	ili	Cc
najmanje	malo	Rgs
pet	pet	Mlc
mjeseci	mjesec	Ncmpg
u	u	Sl
toku	tok	Ncmsl
jedne	jedan	Agpfsgy
godine	godina	Ncfsg
obavlja	obavljati	Vmr3s
u	u	Sa
dvije	dva	Mlcf-a
ili	ili	Cc
više	mnogo	Rgc
smjena	smjena	Ncfpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
rad	rad	Ncmsn
organiziran	organizirati	Appmsnn
u	u	Sl
smjenama	smjena	Ncfpl
,	,	Z
može	moći	Vmr3s
se	sebe	Px--sa
organizirati	organizirati	Vmn
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
:	:	Z

I.	I.	Y
smjena	smjena	Ncfpg
obavlja	obavljati	Vmr3s
od	od	Sg
06	06	Mdc
sati	sat	Ncmpg
do	do	Sg
14	14	Mdc
sati	sat	Ncmpg
,	,	Z

II	ii	Mrc
.	.	Z
smjena	smjena	Ncfpg
obavlja	obavljati	Vmr3s
od	od	Sg
14	14	Mdc
sati	sat	Ncmpg
do	do	Sg
22	22	Mdc
sata	sat	Ncmsg
,	,	Z

III	III	Mrc
.	.	Z
smjena	smjena	Ncfpg
obavlja	obavljati	Vmr3s
od	od	Sg
22	22	Mdc
sata	sat	Ncmsg
do	do	Sg
06	06	Mdc
sati	sat	Ncmpg
idućeg	idući	Agpmsgy
dana	dan	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Zbog	zbog	Sg
potrebe	potreba	Ncfsg
posla	posao	Ncmsg
rad	rad	Ncmsn
se	sebe	Px--sa
može	moći	Vmr3s
organizirati	organizirati	Vmn
i	i	Qo
u	u	Sl
međusmjenama	međusmjena	Ncfpl
te	te	Cc
organizirati	organizirati	Vmn
i	i	Cc
na	na	Sa
drugačiji	drugačiji	Agpmsayn
način	način	Ncmsan
,	,	Z
a	a	Cc
o	o	Sl
čemu	što	Pi3n-l
odluku	odluka	Ncfsa
donosi	donositi	Vmr3s
Poslodavac	Poslodavac	Npmsn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Rad	rad	Ncmsn
u	u	Sl
drugoj	drugi	Mlofsl
smjeni	smjena	Ncfsl
je	biti	Var3s
rad	rad	Ncmsn
koji	koji	Pi-msn
se	sebe	Px--sa
kontinuirano	kontinuirano	Rgp
obavlja	obavljati	Vmr3s
u	u	Sl
vremenu	vrijeme	Ncnsl
od	od	Sg
14,00	14,00	Mdc
do	do	Sg
22,00	22,00	Mdc
sata	sat	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Rad	rad	Ncmsn
u	u	Sl
trećoj	treći	Mlofsl
smjeni	smjena	Ncfsl
je	biti	Var3s
rad	rad	Ncmsn
koji	koji	Pi-msn
se	sebe	Px--sa
kontinuirano	kontinuirano	Rgp
obavlja	obavljati	Vmr3s
u	u	Sl
vremenu	vrijeme	Ncnsl
od	od	Sg
22,00	22,00	Mdc
sata	sat	Ncmsg
do	do	Sg
06,00	06,00	Mdc
sati	sat	Ncmpg
idućeg	idući	Agpmsgy
dana	dan	Ncmsg
.	.	Z

Rad	rad	Ncmsn
u	u	Sl
trećoj	treći	Mlofsl
smjeni	smjena	Ncfsl
smatra	smatrati	Vmr3s
se	sebe	Px--sa
noćnim	noćni	Agpmsiy
radom	rad	Ncmsi
.	.	Z

Članak	članak	Ncmsn
38.	38.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Kada	kada	Rgp
za	za	Sa
to	taj	Pd-nsa
postoji	postojati	Vmr3s
opravdana	opravdati	Appfsny
potreba	potreba	Ncfsn
posla	posao	Ncmsg
,	,	Z
Poslodavac	poslodavac	Ncmsn
može	moći	Vmr3s
utvrditi	utvrditi	Vmn
da	da	Cs
se	sebe	Px--sa
poslovi	posao	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
inače	inače	Rgp
redovno	redovno	Rgp
ne	ne	Qz
obavljaju	obavljati	Vmr3p
u	u	Sl
smjenama	smjena	Ncfpl
,	,	Z
u	u	Sl
određenom	određen	Agpnsly
vremenskom	vremenski	Agpnsly
razdoblju	razdoblje	Ncnsl
obavljaju	obavljati	Vmr3p
u	u	Sl
smjenama	smjena	Ncfpl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Radniku	radnik	Ncmsd
na	na	Sl
poslovima	posao	Ncmpl
koji	koji	Pi-mpn
se	sebe	Px--sa
inače	inače	Rgp
ne	ne	Qz
obavljaju	obavljati	Vmr3p
u	u	Sl
smjenama	smjena	Ncfpl
može	moći	Vmr3s
se	sebe	Px--sa
iznimno	iznimno	Rgp
izdati	izdati	Vmn
radni	radni	Agpmsayn
nalog	nalog	Ncmsan
da	da	Cs
poslove	posao	Ncmpa
obavi	obaviti	Vmr3s
u	u	Sl
drugoj	drugi	Mlofsl
ili	ili	Cc
trećoj	treći	Mlofsl
smjeni	smjena	Ncfsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Za	za	Sa
rad	rad	Ncmsan
na	na	Sa
način	način	Ncmsan
iz	iz	Sg
prethodnog	prethodan	Agpmsgy
stavka	stavak	Ncmsg
radnik	radnik	Ncmsn
ostvaruje	ostvarivati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
povećanu	povećan	Agpfsay
plaću	plaća	Ncfsa
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpi
ovog	ovaj	Pd-msg
Ugovora	ugovor	Ncmsg
,	,	Z
ali	ali	Cc
ne	ne	Qz
i	i	Qo
na	na	Sa
povećani	povećan	Agpmsayn
broj	broj	Ncmsan
dana	dan	Ncmpg
godišnjeg	godišnji	Agpmsgy
odmora	odmor	Ncmsg
.	.	Z

Dežurstva	dežurstvo	Ncnpn

Članak	članak	Ncmsn
39.	39.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Poslodavac	poslodavac	Ncmsn
može	moći	Vmr3s
odrediti	odrediti	Vmn
radniku	radnik	Ncmsd
,	,	Z
zaposlenom	zaposlen	Agpmsly
s	sa	Si
opisom	opis	Ncmsi
poslova	posao	Ncmpg
radnog	radni	Agpnsgy
mjesta	mjesto	Ncnsg
operativne	operativan	Agpfsgy
naravi	narav	Ncfsg
,	,	Z
pripravnost	pripravnost	Ncfsn
poziva	pozivati	Vmr3s
kući	kuća	Ncfsl
(	(	Z
dežurstvo	dežurstvo	Ncnsn
)	)	Z
kao	kao	Cs
mjeru	mjera	Ncfsa
kojom	koji	Pi-fsi
se	sebe	Px--sa
otklanja	otklanjati	Vmr3s
rizik	rizik	Ncmsn
predvidive	predvidiv	Agpfsgy
štete	šteta	Ncfsg
za	za	Sa
Poslodavca	Poslodavc	Npmsay
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Vrijeme	vrijeme	Ncnsn
provedeno	provesti	Appnsny
u	u	Sl
pripravnosti	pripravnost	Ncfsl
(	(	Z
kod	kod	Sg
kuće	kuća	Ncfsg
)	)	Z
ne	ne	Qz
smatra	smatrati	Vmr3s
se	sebe	Px--sa
radnim	radni	Agpnsiy
vremenom	vrijeme	Ncnsi
,	,	Z
a	a	Cc
radnik	radnik	Ncmsn
za	za	Sa
vrijeme	vrijeme	Ncnsa
u	u	Sl
pripravnosti	pripravnost	Ncfsl
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
naknadu	naknada	Ncfsa
utvrđenu	utvrditi	Appfsay
ovim	ovaj	Pd-msi
Ugovorom	ugovor	Ncmsi
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Za	za	Sa
vrijeme	vrijeme	Ncnsa
dežurstva	dežurstvo	Ncnsg
radnik	radnik	Ncmsn
ne	ne	Qz
mora	morati	Vmr3s
biti	biti	Van
prisutan	prisutan	Agpmsnn
u	u	Sl
radnim	radni	Agpmply
prostorima	prostor	Ncmpl
Poslodavca	Poslodavc	Npmsg
,	,	Z
ali	ali	Cc
mora	morati	Vmr3s
biti	biti	Van

