bilo	bilo	Qo
predmetnog	predmetni	Agpmsgy
društava	društvo	Ncmsg
da	da	Cs
potrebni	potreban	Agpmsny
solventni	solventan	Agpmsny
kapital	kapital	Ncmsn
ponovno	ponovno	Rgp
izračunava	izračunavati	Vmr3s
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
standardnom	standardan	Agpfsiy
formulom	formula	Ncfsi
.	.	Z

Značajna	značajan	Agpnpny
odstupanja	odstupanje	Ncnpn
od	od	Sg
pretpostavki	pretpostavka	Ncfpg
na	na	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
temelji	temeljiti	Vmr3s
izračun	izračun	Ncmsn
prema	prema	Sl
standardnoj	standardan	Agpfsly
formuli	formula	Ncfsl

Članak	članak	Ncmsn
149.	149.	Mdo

Kad	kad	Cs
nije	biti	Var3s
primjereno	primjeren	Agpnsny
izračunavati	izračunavati	Vmn
potrebni	potreban	Agpmsayn
solventni	solventan	Agpmsayn
kapital	kapital	Ncmsan
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
standardnom	standardan	Agpfsiy
formulom	formula	Ncfsi
jer	jer	Cs
profil	profil	Ncmsn
rizičnosti	rizičnost	Ncfsg
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
značajno	značajno	Rgp
odstupa	odstupati	Vmr3s
od	od	Sg
pretpostavki	pretpostavka	Ncfpg
na	na	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
temelji	temeljiti	Vmr3s
izračun	izračun	Ncmsn
prema	prema	Sl
standardnoj	standardan	Agpfsly
formuli	formula	Ncfsl
,	,	Z
Agencija	agencija	Ncfsn
može	moći	Vmr3s
zahtijevati	zahtijevati	Vmn
od	od	Sg
predmetnog	predmetni	Agpnsgy
društva	društvo	Ncnsg
da	da	Cs
za	za	Sa
izračun	izračun	Ncmsan
potrebnog	potreban	Agpmsgy
solventnog	solventan	Agpmsgy
kapitala	kapital	Ncmsg
ili	ili	Cc
njegovih	njegov	Ps3mpg
relevantnih	relevantan	Agpmpgy
modula	modul	Ncmpg
rizika	rizik	Ncmsg
upotrebljava	upotrebljavati	Vmr3s
unutarnji	unutarnji	Agpmsayn
model	model	Ncmsan
.	.	Z

Test	test	Ncmsn
upotrebljivosti	upotrebljivost	Ncfsg

Članak	članak	Ncmsn
150.	150.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
dokazati	dokazati	Vmn
da	da	Cs
njihov	njihov	Ps3msn
unutarnji	unutarnji	Agpmsny
model	model	Ncmsn
ima	imati	Vmr3s
široku	širok	Agpfsay
primjenu	primjena	Ncfsa
i	i	Cc
da	da	Cs
ima	imati	Vmr3s
važnu	važan	Agpfsay
ulogu	uloga	Ncfsa
u	u	Sl
njihovu	njihov	Ps3msl
sustavu	sustav	Ncmsl
upravljanja	upravljanje	Ncnsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
a	a	Cc
posebno	posebno	Rgp
u	u	Sl
:	:	Z

1.	1.	Mdo
sustavu	sustav	Ncmsl
upravljanja	upravljanje	Ncnsg
rizicima	rizik	Ncmpi
iz	iz	Sg
članka	članak	Ncmsg
94.	94.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
i	i	Cc
postupcima	postupak	Ncmpi
odlučivanja	odlučivanje	Ncnsg

2.	2.	Mdo
postupcima	postupak	Ncmpi
procjene	procjena	Ncfsg
ekonomskog	ekonomski	Agpnsgy
i	i	Cc
solventnog	solventan	Agpmsgy
kapitala	kapital	Ncmsg
te	te	Cc
procesa	proces	Ncmsg
njihove	njihov	Ps3fsg
alokacije	alokacija	Ncfsg
,	,	Z
uključujući	uključivati	Rr
procjenu	procjena	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
96.	96.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
dodatno	dodatan	Agpnsny
dokazati	dokazati	Vmn
da	da	Cs
je	biti	Var3s
učestalost	učestalost	Ncfsn
izračuna	izračun	Ncmsg
potrebnog	potreban	Agpmsgy
solventnog	solventan	Agpmsgy
kapitala	kapital	Ncmsg
uporabom	uporaba	Ncfsi
unutarnjeg	unutarnji	Agpmsgy
modela	model	Ncmsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
učestalošću	učestalost	Ncfsi
kojom	koji	Pi-fsi
upotrebljavaju	upotrebljavati	Vmr3p
svoj	svoj	Px-msan
unutarnji	unutarnji	Agpmsayn
model	model	Ncmsan
za	za	Sa
druge	drugi	Agpfpay
svrhe	svrha	Ncfpa
navedene	navesti	Appfpny
u	u	Sl
stavku	stavak	Ncmsl
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Uprava	uprava	Ncfsn
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
dužna	dužan	Agpfsny
je	biti	Var3s
osigurati	osigurati	Vmn
,	,	Z
a	a	Cc
nadzorni	nadzorni	Agpmsny
odbor	odbor	Ncmsn
nadzirati	nadzirati	Vmn
,	,	Z
kontinuiranu	kontinuiran	Agpfsay
primjerenost	primjerenost	Ncfsa
strukture	struktura	Ncfsg
i	i	Cc
funkcionalnosti	funkcionalnost	Ncfsg
unutarnjeg	unutarnji	Agpmsgy
modela	model	Ncmsg
te	te	Cc
osigurati	osigurati	Vmn
da	da	Cs
unutarnji	unutarnji	Agpmsny
model	model	Ncmsn
kontinuirano	kontinuirano	Rgp
primjereno	primjeriti	Appnsny
odražava	odražavati	Vmr3s
profil	profil	Ncmsan
rizičnosti	rizičnost	Ncfsg
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
.	.	Z

Standardi	standard	Ncmpn
statističke	statistički	Agpfsgy
kvalitete	kvaliteta	Ncfsg

Članak	članak	Ncmsn
151.	151.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Metode	metoda	Ncfpn
koje	koji	Pi-fpn
se	sebe	Px--sa
upotrebljavaju	upotrebljavati	Vmr3p
za	za	Sa
izračun	izračun	Ncmsan
prognoze	prognoza	Ncfsg
distribucije	distribucija	Ncfsg
vjerojatnosti	vjerojatnost	Ncfsg
moraju	morati	Vmr3p
se	sebe	Px--sa
temeljiti	temeljiti	Vmn
na	na	Sl
primjerenim	primjeren	Agpmply
,	,	Z
primjenjivim	primjenjiv	Agpfply
i	i	Cc
relevantnim	relevantan	Agpmpiy
aktuarskim	aktuarski	Agpmpiy
i	i	Cc
statističkim	statistički	Agpfply
tehnikama	tehnika	Ncfpl
te	te	Cc
moraju	morati	Vmr3p
biti	biti	Van
usklađene	uskladiti	Appfpny
s	sa	Si
metodama	metoda	Ncfpi
koje	koji	Pi-fpn
se	sebe	Px--sa
upotrebljavaju	upotrebljavati	Vmr3p
za	za	Sa
izračun	izračun	Ncmsan
tehničkih	tehnički	Agpfpgy
pričuva	pričuva	Ncfpg
.	.	Z

Navedene	naveden	Agpfpny
metode	metoda	Ncfpn
moraju	morati	Vmr3p
se	sebe	Px--sa
temeljiti	temeljiti	Vmn
na	na	Sl
aktualnim	aktualan	Agpmply
i	i	Cc
vjerodostojnim	vjerodostojan	Agpfply
informacijama	informacija	Ncfpl
te	te	Cc
realnim	realan	Agpfply
pretpostavkama	pretpostavka	Ncfpl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
biti	biti	Van
u	u	Sl
mogućnosti	mogućnost	Ncfsl
Agenciji	Agencija	Npfsl
opravdati	opravdati	Vmn
pretpostavke	pretpostavka	Ncfpa
na	na	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
temelji	temeljiti	Vmr3s
njihov	njihov	Ps3msn
unutarnji	unutarnji	Agpmsny
model	model	Ncmsn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Podaci	podatak	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
upotrebljavaju	upotrebljavati	Vmr3p
za	za	Sa
unutarnji	unutarnji	Agpmsayn
model	model	Ncmsan
moraju	morati	Vmr3p
biti	biti	Van
točni	točan	Agpmpny
,	,	Z
potpuni	potpun	Agpmpny
i	i	Cc
primjereni	primjeriti	Appmpny
.	.	Z

Društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
ažurirati	ažurirati	Vmn
podatke	podatak	Ncmpa
koje	koji	Pi-mpa
upotrebljava	upotrebljavati	Vmr3s
u	u	Sl
izračunu	izračun	Ncmsl
prognoze	prognoza	Ncfsg
distribucije	distribucija	Ncfsg
vjerojatnosti	vjerojatnost	Ncfsg
najmanje	malo	Rgs
jedanput	jedanput	Rgp
godišnje	godišnji	Agpnsny
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Za	za	Sa
izračun	izračun	Ncmsan
prognoze	prognoza	Ncfsg
distribucije	distribucija	Ncfsg
vjerojatnosti	vjerojatnost	Ncfsg
nije	biti	Var3s
propisana	propisati	Appfsny
posebna	poseban	Agpfsny
metoda	metoda	Ncfsn
.	.	Z

Neovisno	neovisan	Agpnsny
o	o	Sl
odabranoj	odabrati	Agpfsly
metodi	metoda	Ncfsl
izračuna	izračun	Ncmsg
,	,	Z
sposobnost	sposobnost	Ncfsn
unutarnjeg	unutarnji	Agpmsgy
modela	model	Ncmsg
da	da	Cs
ocijeni	ocijeniti	Vmr3s
značajnost	značajnost	Ncfsn
rizika	rizik	Ncmsg
mora	morati	Vmr3s
biti	biti	Van
takva	takav	Pd-fsn
da	da	Cs
navedeni	naveden	Agpmsny
unutarnji	unutarnji	Agpmsny
model	model	Ncmsn
ima	imati	Vmr3s
široku	širok	Agpfsay
primjenu	primjena	Ncfsa
i	i	Cc
važnu	važan	Agpfsay
ulogu	uloga	Ncfsa
u	u	Sl
sustavu	sustav	Ncmsl
upravljanja	upravljanje	Ncnsg
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
,	,	Z
i	i	Cc
to	to	Qo
posebice	posebice	Rgp
u	u	Sl
sustavu	sustav	Ncmsl
upravljanja	upravljanje	Ncnsg
rizicima	rizik	Ncmpi
,	,	Z
postupcima	postupak	Ncmpi
odlučivanja	odlučivanje	Ncnsg
te	te	Cc
alokaciji	alokacija	Ncfsl
kapitala	kapital	Ncmsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
150.	150.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Unutarnji	unutarnji	Agpmsny
model	model	Ncmsn
mora	morati	Vmr3s
obuhvaćati	obuhvaćati	Vmn
sve	sav	Agpmpay
značajne	značajan	Agpmpay
rizike	rizik	Ncmpa
kojima	koji	Pi-mpi
je	biti	Var3s
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
izloženo	izložiti	Appnsny
te	te	Cc
mora	morati	Vmr3s
najmanje	malo	Rgs
obuhvaćati	obuhvaćati	Vmn
rizike	rizik	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
131.	131.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Što	što	Pi3n-n
se	sebe	Px--sa
tiče	ticati	Vmr3s

