Županja	Županja	Npfsn
VETERINARSTVO	veterinarstvo	Ncnsa
I	i	Cc
SIGURNOST	sigurnost	Ncfsn
HRANE	hrana	Ncfsg
Neposredno	neposredno	Rgp
u	u	Sl
Upravi	uprava	Ncfsl
1	1	Mdc
10.1.	10.1.	Mds

Sektor	sektor	Ncmsn
za	za	Sa
upravne	upravan	Agpmpay
,	,	Z
europske	europski	Agpfsgy
i	i	Cc
financijske	financijski	Agpmpay
poslove	posao	Ncmpa
1	1	Mdc
Neposredno	neposredan	Agpnsny
u	u	Sl
Sektoru	sektor	Ncmsl
1	1	Mdc
10.1.1.	10.1.1.	Mds

Služba	služba	Ncfsn
za	za	Sa
upravne	upravan	Agpmpay
i	i	Cc
europske	europski	Agpmpay
poslove	posao	Ncmpa
1	1	Mdc
10.1.1.1.	10.1.1.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
upravne	upravan	Agpmpay
poslove	posao	Ncmpa
3	3	Mdc
10.1.1.2.	10.1.1.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
europske	europski	Agpmpay
poslove	posao	Ncmpa
3	3	Mdc
10.1.2.	10.1.2.	Mdo

Služba	služba	Ncfsn
za	za	Sa
troškove	trošak	Ncmpa
u	u	Sl
veterinarstvu	veterinarstvo	Ncnsl
i	i	Cc
financiranje	financiranje	Ncnsa
službenih	služben	Agpfpgy
kontrola	kontrola	Ncfpg
1	1	Mdc
10.1.2.1.	10.1.2.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
troškove	trošak	Ncmpa
u	u	Sl
veterinarstvu	veterinarstvo	Ncnsl
4	4	Mdc
10.1.2.2.	10.1.2.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
financiranje	financiranje	Ncnsa
službenih	služben	Agpfpgy
kontrola	kontrola	Ncfpg
4	4	Mdc
10.2.	10.2.	Mdo

Sektor	sektor	Ncmsn
za	za	Sa
zaštitu	zaštita	Ncfsa
zdravlja	zdravlje	Ncnsg
životinja	životinja	Ncfpg
1	1	Mdc
Neposredno	neposredan	Agpnsny
u	u	Sl
Sektoru	sektor	Ncmsl
1	1	Mdc
10.2.1.	10.2.1.	Mds

Služba	služba	Ncfsn
za	za	Sa
veterinarsku	veterinarski	Agpfsay
epidemiologiju	epidemiologija	Ncfsa
1	1	Mdc
10.2.1.1.	10.2.1.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
analizu	analiza	Ncfsa
podataka	podatak	Ncmpg
,	,	Z
izvješćivanje	izvješćivanje	Ncnsn
,	,	Z
krizno	krizan	Agpnsny
planiranje	planiranje	Ncnsn
i	i	Cc
procjenu	procjena	Ncfsa
rizika	rizik	Ncmsg
6	6	Mdc
10.2.1.2.	10.2.1.2a	Ncfsg

Odjel	odjel	Ncmsn
za	za	Sa
programiranje	programiranje	Ncnsa
,	,	Z
zoonoze	zoonoze	Ncfpa
i	i	Cc
antimikrobnu	antimikroban	Agpfsay
rezistenciju	rezistencija	Ncfsa
7	7	Mdc
10.2.2.	10.2.2.	Mdo

Služba	služba	Ncfsn
za	za	Sa
organizaciju	organizacija	Ncfsa
provedbe	provedba	Ncfsg
veterinarske	veterinarski	Agpfsgy
djelatnosti	djelatnost	Ncfsg
1	1	Mdc
10.2.2.1.	10.2.2.1.	Y

Odjel	odjel	Ncmsn
za	za	Sa
zaštitu	zaštita	Ncfsa
životinja	životinja	Ncfpg
4	4	Mdc
10.2.2.2.	10.2.2.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
organizaciju	organizacija	Ncfsa
veterinarske	veterinarski	Agpfsgy
službe	služba	Ncfsg
,	,	Z
označavanje	označavanje	Ncnsn
životinja	životinja	Ncfpg
i	i	Cc
SVIS	SVIS	Npmsn
(	(	Z
Središnji	središnji	Agpmsny
veterinarski	veterinarski	Agpmsny
informacijski	informacijski	Agpmsny
sustav	sustav	Ncmsn
)	)	Z
7	7	Mdc
10.3.	10.3.	Mds

Sektor	sektor	Ncmsn
veterinarskog	veterinarski	Agpnsgy
javnog	javan	Agpnsgy
zdravstva	zdravstvo	Ncnsg
i	i	Cc
sigurnosti	sigurnost	Ncfsg
hrane	hrana	Ncfsg
1	1	Mdc
Neposredno	neposredan	Agpnsny
u	u	Sl
Sektoru	sektor	Ncmsl
1	1	Mdc
10.3.1.	10.3.1.	Mds

Služba	služba	Ncfsn
za	za	Sa
sigurnost	sigurnost	Ncfsa
hrane	hrana	Ncfsg
1	1	Mdc
10.3.1.1.	10.3.1.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
opće	opći	Agpmpay
principe	princip	Ncmpa
sigurnosti	sigurnost	Ncfsg
hrane	hrana	Ncfsg
3	3	Mdc
10.3.1.2.	10.3.1.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
sigurnost	sigurnost	Ncfsa
hrane	hrana	Ncfsg
životinjskog	životinjski	Agpnsgy
podrijetla	podrijetlo	Ncnsg
4	4	Mdc
10.3.1.3.	10.3.1.3.	Mds

Odjel	odjel	Ncmsn
za	za	Sa
registraciju	registracija	Ncfsa
i	i	Cc
odobravanje	odobravanje	Ncnsa
objekata	objekt	Ncmpg
u	u	Sl
poslovanju	poslovanje	Ncnsl
s	sa	Si
hranom	hrana	Ncfsi
životinjskog	životinjski	Agpnsgy
podrijetla	podrijetlo	Ncnsg
4	4	Mdc
10.3.1.4.	10.3.1.4.	Mds

Odjel	odjel	Ncmsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
incidentima	incident	Ncmpi
i	i	Cc
sustavom	sustav	Ncmsi
brzog	brz	Agpnsgy
uzbunjivanja	uzbunjivanje	Ncnsg
za	za	Sa
hranu	hrana	Ncfsa
i	i	Cc
hranu	hrana	Ncfsa
za	za	Sa
životinje	životinja	Ncfpa
3	3	Mdc
10.3.2.	10.3.2.	Mdo

Služba	služba	Ncfsn
za	za	Sa
veterinarsko-medicinske	veterinarsko-medicinski	Agpmpay
proizvode	proizvod	Ncmpa
,	,	Z
hranu	hrana	Ncfsa
za	za	Sa
životinje	životinja	Ncfpa
i	i	Cc
nusproizvode	nusproizvod	Ncmpa
životinjskog	životinjski	Agpnsgy
podrijetla	podrijetlo	Ncnsg
1	1	Mdc
10.3.2.1.	10.3.2.1.	Mds

Odjel	odjel	Ncmsn
za	za	Sa
veterinarsko-medicinske	veterinarsko-medicinski	Agpmpay
proizvode	proizvod	Ncmpa
i	i	Cc
monitoring	monitoring	Ncmsan
rezidua	rezidu	Ncmsg
6	6	Mdc
10.3.2.2.	10.3.2.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
hranu	hrana	Ncfsa
za	za	Sa
životinje	životinja	Ncfpa
,	,	Z
nusproizvode	nusproizvod	Ncmpa
životinjskog	životinjski	Agpnsgy
podrijetla	podrijetlo	Ncnsg
i	i	Cc
zaštitu	zaštita	Ncfsa
okoliša	okoliš	Ncmsg
5	5	Mdc
10.4.	10.4.	Mds

Sektor	sektor	Ncmsn
veterinarske	veterinarski	Agpfsgy
inspekcije	inspekcija	Ncfsg
1	1	Mdc
Neposredno	neposredan	Agpnsny
u	u	Sl
Sektoru	sektor	Ncmsl
1	1	Mdc
10.4.1.	10.4.1.	Mds

Služba	služba	Ncfsn
veterinarske	veterinarski	Agpfsgy
inspekcije	inspekcija	Ncfsg
1	1	Mdc
Neposredno	neposredan	Agpnsny
u	u	Sl
Službi	služba	Ncfsl
1	1	Mdc
10.4.1.1.	10.4.1.1.	Mds

Odjel	odjel	Ncmsn
–	–	Z
veterinarski	veterinarski	Agpmsny
ured	ured	Ncmsn
Bjelovar	Bjelovar	Npmsn
1	1	Mdc
Neposredno	neposredan	Agpnsny
u	u	Sl
Odjelu	odjel	Ncmsl
1	1	Mdc
Ispostava	ispostava	Ncfsn
Bjelovar	Bjelovar	Npmsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
6	6	Mdc
Ispostava	ispostava	Ncfsn
Daruvar	Daruvar	Npmsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
3	3	Mdc
Ispostava	Ispostava	Npfsn
Čazma	Čazma	Npfsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
3	3	Mdc
Ispostava	ispostava	Ncfsn
Grubišno	grubišan	Agpnsny
Polje	polje	Ncnsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
2	2	Mdc
Ispostava	Ispostava	Npfsn
Garešnica	Garešnica	Npfsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
2	2	Mdc
10.4.1.2.	10.4.1.2.	Y

Odjel	odjel	Ncmsn
–	–	Z
veterinarski	veterinarski	Agpmsny
ured	ured	Ncmsn
Osijek	osijek	Ncmsn
1	1	Mdc
Neposredno	neposredan	Agpnsny
u	u	Sl
Odjelu	odjel	Ncmsl
1	1	Mdc
Ispostava	ispostava	Ncfsn
Osijek	osijek	Ncmsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
6	6	Mdc
Ispostava	ispostava	Ncfpg
Donji	donji	Agpmsny
Miholjac	Miholjac	Npmsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
2	2	Mdc
Ispostava	ispostava	Ncfsn
Beli	Beli	Npmsn
Manastir	Manastir	Npmsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
3	3	Mdc
Ispostava	ispostava	Ncfsn
Đakovo	Đakovo	Npnsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
3	3	Mdc
Ispostava	ispostava	Ncfsn
Našice	Našica	Npfpn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
2	2	Mdc
Ispostava	ispostava	Ncfsn
Valpovo	Valpovo	Npnsa
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
4	4	Mdc
Ispostava	ispostava	Ncfsn
Vukovar	Vukovar	Npmsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
2	2	Mdc
Ispostava	ispostava	Ncfsn
Vinkovci	Vinkovca	Npfsl
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
4	4	Mdc
Ispostava	ispostava	Ncfsn
Županja	županje	Ncnsg
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
3	3	Mdc
10.4.1.3.	10.4.1.3.	Y

Odjel	odjel	Ncmsn
–	–	Z
veterinarski	veterinarski	Agpmsny
ured	ured	Ncmsn
Rijeka	Rijeka	Npfsn
1	1	Mdc
Neposredno	neposredan	Agpnsny
u	u	Sl
Odjelu	odjel	Ncmsl
1	1	Mdc
Ispostava	ispostava	Ncfsn
Rijeka	Rijeka	Npfsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
6	6	Mdc
Ispostava	ispostava	Ncfsn
Pula	Pula	Npfsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
5	5	Mdc
Ispostava	ispostava	Ncfsn
Labin	Labin	Npmsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
2	2	Mdc
Ispostava	ispostava	Ncfsn
Pazin	Pazin	Npmsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
1	1	Mdc
Ispostava	ispostava	Ncfsn
Poreč	Poreč	Npmsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
3	3	Mdc
Ispostava	ispostava	Ncfsn
Rovinj	Rovinj	Npmsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
1	1	Mdc
Ispostava	Ispostava	Npfsn
Gospić	Gospić	Npmsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
3	3	Mdc
Ispostava	ispostava	Ncfsn
Krk	Krk	Npmsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
1	1	Mdc
10.4.1.4.	10.4.1.4.	Y

Odjel	odjel	Ncmsn
–	–	Z
veterinarski	veterinarski	Agpmsny
ured	ured	Ncmsn
Požega	Požega	Npfsn
1	1	Mdc
Ispostava	Ispostava	Npfsn
Slavonski	slavonski	Agpmsny
Brod	brod	Ncmsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
4	4	Mdc
Ispostava	ispostava	Ncfsn
Nova	nov	Agpfsny
Gradiška	Gradiška	Npfsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
2	2	Mdc
Ispostava	Ispostava	Npfsn
Požega	Požega	Npfsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
3	3	Mdc
Ispostava	ispostava	Ncfsn
Pakrac	Pakrac	Npmsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
1	1	Mdc
Ispostava	ispostava	Ncfsn
Virovitica	Virovitica	Npfsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
3	3	Mdc
Ispostava	ispostava	Ncfsn
Slatina	Slatina	Npfsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
2	2	Mdc
Ispostava	Ispostava	Npfsn
Orahovica	Orahovica	Npfsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
2	2	Mdc
10.4.1.5.	10.4.1.5.	Y

Odjel	odjel	Ncmsn
–	–	Z
veterinarski	veterinarski	Agpmsny
ured	ured	Ncmsn
Split	Split	Npmsn
1	1	Mdc
Neposredno	neposredan	Agpnsny
u	u	Sl
Odjelu	odjel	Ncmsl
1	1	Mdc
Ispostava	ispostava	Ncfsn
Split	Split	Npmsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
9	9	Mdc
Ispostava	Ispostava	Npfsn
Imotski	imotski	Agpmsny
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
3	3	Mdc

