dodatna	dodatan	Agpnsgy
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanje	plaćanje	Ncnsa
će	htjeti	Var3s
poslati	poslati	Vmn
Zahtjev	zahtjev	Ncmsan
za	za	Sa
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
preporučenom	preporučiti	Agpfsiy
poštom	pošta	Ncfsi
s	sa	Si
povratnicom	povratnica	Ncfsi
.	.	Z

Odabrani	odabrati	Appmpny
LAG	lti	Appnsny
je	biti	Var3s
dužan	dužan	Agpmsnn
dostaviti	dostaviti	Vmn
traženo	tražen	Agpnsay
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
preporučenom	preporučiti	Agpfsiy
poštom	pošta	Ncfsi
s	sa	Si
povratnicom	povratnica	Ncfsi
ili	ili	Cc
neposredno	neposredno	Rgp
u	u	Sa
Agenciju	agencija	Ncfsa
za	za	Sa
plaćanja	plaćanje	Ncnpa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
sedam	sedam	Mlc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmpg
zaprimanja	zaprimanje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
odabrani	odabrati	Agpmsny
LAG	LAG	Npmsn
nije	biti	Var3s
preuzeo	preuzeti	Vmp-sm
Zahtjev	zahtjev	Ncmsan
za	za	Sa
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
prilikom	prilikom	Sg
prve	prvi	Mlofsg
dostave	dostava	Ncfsg
,	,	Z
Zahtjev	zahtjev	Ncmsn
za	za	Sa
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
će	htjeti	Var3s
se	sebe	Px--sa
objaviti	objaviti	Vmn
na	na	Sl
oglasnoj	oglasni	Agpfsly
ploči	ploča	Ncfsl
u	u	Sl
sjedištu	sjedište	Ncnsl
Agencije	agencija	Ncfsg
za	za	Sg
plaćanja	plaćanje	Ncnsg
te	te	Cc
će	htjeti	Var3s
se	sebe	Px--sa
dostava	dostava	Ncfsn
smatrati	smatrati	Vmn
obavljenom	obaviti	Ncfsi
istekom	istek	Sg
petog	peti	Agpmsgy
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmpg
stavljanja	stavljanje	Ncnsg
na	na	Sa
oglasnu	oglasni	Agpfsay
ploču	ploča	Ncfsa
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
odabrani	odabrati	Agpmsny
LAG	LAG	Npmsn
traženo	tražen	Agpnsny
obrazloženje	obrazloženje	Ncnsn
/	/	Z
ispravak	ispravak	Ncmsan
ne	ne	Qz
dostavi	dostaviti	Vmr3s
sukladno	sukladno	Rgp
stavku	stavak	Ncmsl
7.	7.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
donosi	donositi	Vmr3s
Odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
uz	uz	Sa
Zahtjev	zahtjev	Ncmsan
za	za	Sa
potporu	potpora	Ncfsa
ne	ne	Qz
učita	učitati	Vmr3s
dokumentaciju	dokumentacija	Ncfsa
propisanu	propisati	Appfsay
Natječajem	natječaj	Ncmsi
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
donijeti	donijeti	Vmn
Odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Potpuni	potpun	Agpmpny
i	i	Cc
pravovremeno	pravovremeno	Rgp
dopunjeni	dopuniti	Appmpny
Zahtjevi	zahtjev	Ncmpn
za	za	Sa
potporu	potpora	Ncfsa
ulaze	ulaziti	Vmr3p
u	u	Sa
daljnju	daljnji	Agpfsay
obradu	obrada	Ncfsa
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
procedurama	procedura	Ncfpl
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
.	.	Z

Donošenje	donošenje	Ncnsn
odluka	odluka	Ncfpg

Članak	članak	Ncmsn
52.	52.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
nakon	nakon	Sg
završene	završen	Agpfsgy
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
donijeti	donijeti	Vmn
:	:	Z

1.	1.	Mdo
Odluku	odluka	Ncfsa
o	o	Sl
odobrenju	odobrenje	Ncnsl
pripreme	priprema	Ncfsg
/	/	Z
provedbe	provedba	Ncfsg
projekta	projekt	Ncmsg
suradnje	suradnja	Ncfsg
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
ispunjavanja	ispunjavanje	Ncnsg
uvjeta	uvjet	Ncmpg
i	i	Cc
kriterija	kriterij	Ncmpg
propisanih	propisati	Appmpgy
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
i	i	Cc
Natječajem	natječaj	Ncmsi
ili	ili	Cc

2.	2.	Mdo
Odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
pripreme	priprema	Ncfsg
/	/	Z
provedbe	provedba	Ncfsg
projekta	projekt	Ncmsg
suradnje	suradnja	Ncfsg
u	u	Sl
slučaju	slučaj	Ncmsl
:	:	Z

–	–	Sg
neispunjavanja	neispunjavanje	Ncnsg
uvjeta	uvjet	Ncmpg
i	i	Cc
kriterija	kriterij	Ncmpg
propisanih	propisati	Appmpgy
Pravilnikom	pravilnik	Ncmsi
i	i	Cc
Natječajem	natječaj	Ncmsi

–	–	Z
nepotpunih	nepotpun	Agpmpgy
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa

–	–	Z
nepravovremeno	nepravovremeno	Rgp
dostavljenih	dostaviti	Appmpgy
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan

–	–	Z
utvrđene	utvrditi	Appfsgy
nepravilnosti	nepravilnost	Ncfsg

–	i	Agpnsgy
ometanja	ometanje	Ncnsg
nesmetanog	nesmetan	Agpmsgy
pristupa	pristup	Ncmsg
predstavnicima	predstavnik	Ncmpd
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
,	,	Z
Ministarstva	ministarstvo	Ncnsg
,	,	Z
ARPA-e	ARPA-a	Npfsg
,	,	Z
Europske	europski	Agpfsgy
komisije	komisija	Ncfsg
,	,	Z
Europskog	europski	Agpmsgy
revizorskog	revizorski	Agpmsgy
suda	sud	Ncmsg
i	i	Cc
OLAF-a	OLAF	Npmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Odlukom	odluka	Ncfsi
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
utvrđuje	utvrđivati	Vmr3s
se	sebe	Px--sa
:	:	Z

–	–	Agpmsny
iznos	iznos	Ncmsn
sredstava	sredstvo	Ncnpg
namijenjen	namijeniti	Appmsnn
za	za	Sa
pripremu	priprema	Ncfsa
/	/	Z
provedbu	provedba	Ncfsa
projekta	projekt	Ncmsg
suradnje	suradnja	Ncfsg

–	–	Agpmsny
cilj	cilj	Ncmsn
,	,	Z
tip	tip	Ncmsn
i	i	Cc
tematsko	tematski	Agpnsay
područje	područje	Ncnsa
planiranog	planiran	Agpmsgy
projekta	projekt	Ncmsg
suradnje	suradnja	Ncfsg

–	–	Z
nositelj	nositelj	Ncmsn
projekta	projekt	Ncmsg
i	i	Cc
partner	partner	Ncmsn
/	/	Z
i	i	Cc
u	u	Sl
pripremi	priprema	Ncfsl
/	/	Z
provedbi	provedba	Ncfsl
projekta	projekt	Ncmsg
suradnje	suradnja	Ncfsg

–	–	Sg
obveza	obveza	Ncfpg
provođenja	provođenje	Ncnsg
pripremnih	pripreman	Agpfpgy
aktivnosti	aktivnost	Ncfpg
u	u	Sa
svrhu	svrha	Ncfsa
projekta	projekt	Ncmsg
suradnje	suradnja	Ncfsg
kao	kao	Cs
i	i	Qo
samo	sam	Agpnsny
provođenje	provođenje	Ncnsn
projekta	projekt	Ncmsg
suradnje	suradnja	Ncfsg
na	na	Sl
području	područje	Ncnsl
partnera	partner	Ncmpg
koji	koji	Pi-mpn
planiraju	planirati	Vmr3p
sudjelovati	sudjelovati	Vmn
ili	ili	Cc
sudjeluju	sudjelovati	Vmr3p
u	u	Sl
projektu	projekt	Ncmsl
suradnje	suradnja	Ncfsg

–	i	Agpfsny
obveza	obveza	Ncfsn
nastanka	nastanak	Ncmsg
troškova	trošak	Ncmpg
pripremnih	pripreman	Agpfpgy
aktivnosti	aktivnost	Ncfpg
projekta	projekt	Ncmsg
suradnje	suradnja	Ncfsg
u	u	Sl
razdoblju	razdoblje	Ncnsl
ne	ne	Qz
dužem	dug	Vmr1s
od	od	Sg
18	18	Mdc
mjeseci	mjesec	Ncmpg
od	od	Sg
donošenja	donošenje	Ncnsg
Odluke	odluka	Ncfsg
o	o	Sl
pokretanju	pokretanje	Ncnsl
pripremnih	pripreman	Agpfpgy
aktivnosti	aktivnost	Ncfpg
za	za	Sa
provedbu	provedba	Ncfsa
planiranog	planiran	Agpmsgy
projekta	projekt	Ncmsg
suradnje	suradnja	Ncfsg

–	i	Agpfsny
obveza	obveza	Ncfsn
završetka	završetak	Ncmsg
projekta	projekt	Ncmsg
suradnje	suradnja	Ncfsg
najkasnije	kasno	Rgs
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
36	36	Mdc
mjeseci	mjesec	Ncmpg
od	od	Sg
dana	dan	Ncmpg
sklapanja	sklapanje	Ncnsg
Sporazuma	sporazum	Ncmsg
o	o	Sl
suradnji	suradnja	Ncfsl

–	i	Agpfsny
obveza	obveza	Ncfsn
da	da	Cs
ukoliko	ukoliko	Cs
se	sebe	Px--sa
projekt	projekt	Ncmsn
suradnje	suradnja	Ncfsg
planira	planirati	Vmr3s
i	i	Qo
/	/	Z
ili	ili	Cc
provodi	provoditi	Vmr3s
izvan	izvan	Sg
granica	granica	Ncfpg
EU	E	Npmsg
prihvatljive	prihvatljiv	Agpfpny
su	biti	Var3p
one	onaj	Pd-fpn
aktivnosti	aktivnost	Ncfpn
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
samo	samo	Rgp
na	na	Sa
ruralno	ruralan	Agpnsay
područje	područje	Ncnsa

–	–	Sg
obveza	obveza	Ncfpg
provođenja	provođenje	Ncnsg
ciljeva	cilj	Ncmpg
,	,	Z
rezultata	rezultat	Ncmpg
,	,	Z
aktivnosti	aktivnost	Ncfsg
i	i	Cc
financijskog	financijski	Agpmsgy
plana	plan	Ncmsg
projekta	projekt	Ncmsg
navedenih	naveden	Agpmpgy
u	u	Sl
sklopljenom	sklopiti	Agpmsly
Sporazumu	sporazum	Ncmsl
u	u	Sl
suradnji	suradnja	Ncfsl
za	za	Sa
sve	sav	Agpmpay
partnere	partner	Ncmpa
projekta	projekt	Ncmsg
suradnje	suradnja	Ncfsg

–	i	Agpnsny
obavještavanje	obavještavanje	Ncnsn
Upravljačkog	upravljački	Agpnsgy
tijela	tijelo	Ncnsg
o	o	Sl
svakom	svaki	Pi-msl
projektu	projekt	Ncmsl
transnacionalne	transnacionalan	Agpfsgy
suradnje	suradnja	Ncfsg

–	–	Z
zabrana	zabrana	Ncfsn
poduzimanja	poduzimanje	Ncnsg
radnji	radnja	Ncfpg
koje	koji	Pi-fpn
bi	biti	Vaa3p
mogle	moći	Vmp-pf
dovesti	dovesti	Vmn
do	do	Sg
dvostrukog	dvostruk	Agpnsgy
financiranja	financiranje	Ncnsg
istih	isti	Agpmpgy
troškova	trošak	Ncmpg
iz	iz	Sg
proračuna	proračun	Ncmsg
EU	E	Npmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
su	biti	Var3p
partneri	partner	Ncmpn
kod	kod	Sg
pripreme	priprema	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
provedbe	provedba	Ncfpa
projekata	projekat	Ncmpg
suradnje	suradnja	Ncfsg
odabrani	odabrati	Appmpny
LAG-ovi	lag-	Ncmpn
,	,	Z
istima	isti	Agpmpdy
se	sebe	Px--sa
dostavljaju	dostavljati	Vmr3p
Odluke	odluka	Ncfpn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ali	ali	Cc
isti	isti	Agpmsny
nemaju	nemati	Vmr3p
pravo	pravo	Ncnsa
podnijeti	podnijeti	Vmn
prigovor	prigovor	Ncmsan
.	.	Z

Promjene	promjena	Ncfpn
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa

Članak	članak	Ncmsn
53.	53.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Promjene	promjena	Ncfpn
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
podrazumijevaju	podrazumijevati	Vmr3p
promjenu	promjena	Ncfsa

