F21B	F21B	Pd-mpn
Infektivni	infektivan	Agpmsny
endokarditis	endokarditis	Ncmsn
2,41	2,41	Mdc
45.187,50	45.187,50	Mdc
F62A	f62i	Agpnsny
Zatajenje	zatajenje	Ncnsn
srca	srce	Ncnsg
i	i	Cc
šok	šok	Ncmsan
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmsiy
KK		Ncmsi
0,8	0,8	Mdc
15.000,00	15.000,00	Mdc
F62B	f62i	Agpnsny
Zatajenje	zatajenje	Ncnsn
srca	srce	Ncnsg
i	i	Cc
šok	šok	Ncmsan
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpmpgy
KK	k	Ncmpg
0,49	0,49	Mdc
9.187,50	9.187,50	Mdc
F63A	F63A	Var3s
Venska	venski	Agpfsny
tromboza	tromboza	Ncfsn
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
0,93	0,93	Mdc
17.437,50	17.437,50	Mdc
F63B	F63B	Var3s
Venska	venski	Agpfsny
tromboza	tromboza	Ncmsn
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,7	0,7	Mdc
13.125,00	13.125,00	Mdc
F64Z	F64Z	Y
Vrijed	Vrijed	Xf
(	(	Z
ulkus	ulkus	Ncmsn
)	)	Z
kože	koža	Ncfsg
zbog	zbog	Sg
poremećaja	poremećaj	Ncmsg
cirkulacije	cirkulacija	Ncfsg
0,73	0,73	Mdc
13.687,50	13.687,50	Mdc
F65A	f65	Ncmpg
Poremećaj	poremećaj	Ncmsn
perifernih	periferan	Agpfpgy
krvnih	krvni	Agpfpgy
žila	žila	Ncfpg
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
1,31	1,31	Mdc
24.562,50	24.562,50	Mdc
F65B	f65b	Agpmsny
Poremećaj	poremećaj	Ncmsn
perifernih	periferan	Agpfpgy
krvnih	krvni	Agpfpgy
žila	žila	Ncfpg
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,91	0,91	Mdc
17.062,50	17.062,50	Mdc
F66A	f66	Ncmpg
Ateroskleroza	ateroskleroza	Ncfsn
koronarnih	koronarni	Agpfpgy
krvnih	krvni	Agpfpgy
žila	žila	Ncfpg
s	sa	Si
KK		Npmsi
0,97	0,97	Mdc
18.187,50	18.187,50	Mdc
F66B	f66i	Agpfsny
Ateroskleroza	ateroskleroza	Ncfsn
koronarnih	koronarni	Agpfpgy
krvnih	krvni	Agpfpgy
žila	žila	Ncfpg
bez	bez	Sg
KK	K	Npmsg
0,44	0,44	Mdc
8.250,00	8.250,00	Mdc
F67A	F67A	Pi-fsn
Hipertenzija	hipertenzija	Ncfsn
s	sa	Si
KK		Npmsi
1	1	Mdc
18.750,00	18.750,00	Mdc
F67B	f67i	Agpfsny
Hipertenzija	hipertenzija	Ncfsn
bez	bez	Sg
KK	K	Npmsg
0,44	0,44	Mdc
8.250,00	8.250,00	Mdc
F68Z	F68Z	Sa
Kongenitalna	kongenitalan	Agpfsny
bolest	bolest	Ncfsn
srca	srce	Ncnsg
0,91	0,91	Mdc
17.062,50	17.062,50	Mdc
F69A	f69	Ncmpg
Poremećaji	poremećaj	Ncmpn
zalistaka	zalistak	Ncmpg
srca	srce	Ncnsg
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmsiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
1,56	1,56	Mdc
29.250,00	29.250,00	Mdc
F69B	f69b	Agpmpny
Poremećaji	poremećaj	Ncmpn
zalistaka	zalistak	Ncmpg
srca	srce	Ncnsg
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,44	0,44	Mdc
8.250,00	8.250,00	Mdc
F70A	f70	Ncmpg
Značajna	značajan	Agpfsny
aritmija	aritmija	Ncfsn
i	i	Cc
zastoj	zastoj	Ncmsn
rada	rad	Ncmsg
srca	srce	Ncnsg
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmsiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
1,37	1,37	Mdc
25.687,50	25.687,50	Mdc
F70B	F70B	Y
Značajna	značajan	Agpfsny
aritmija	aritmija	Ncfsn
i	i	Cc
zastoj	zastoj	Ncmsn
rada	rad	Ncmsg
srca	srce	Ncnsg
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
1,01	1,01	Mdc
18.937,50	18.937,50	Mdc
F71A	f71i	Agpfsny
Aritmija	aritmija	Ncfsn
manjeg	mali	Agpnsgy
značenja	značenje	Ncnsg
i	i	Cc
poremećaji	poremećaj	Ncmpn
provođenja	provođenje	Ncnsg
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
1,11	1,11	Mdc
20.812,50	20.812,50	Mdc
F71B	F71B	Pi-fsn
Aritmija	aritmija	Ncfsn
manjeg	mali	Agpnsgy
značenja	značenje	Ncnsg
i	i	Cc
poremećaji	poremećaj	Ncmpn
provođenja	provođenje	Ncnsg
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,41	0,41	Mdc
7.687,50	7.687,50	Mdc
F72A	f72	Ncmpg
Nestabilna	nestabilan	Agpfsny
angina	angina	Ncfsn
pectoris	pectoris	Var1s
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
1,03	1,03	Mdc
19.312,50	19.312,50	Mdc
F72B	F72B	Y
Nestabilna	nestabilan	Agpfsny
angina	angina	Ncfsn
pectoris	pectoris	Agpfpgy
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,51	0,51	Mdc
9.562,50	9.562,50	Mdc
F73A	f73i	Agpfsny
Sinkopa	sinkopa	Ncfsn
i	i	Cc
kolaps	kolaps	Ncmsan
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
0,63	0,63	Mdc
11.812,50	11.812,50	Mdc
F73B	F73B	Pi-fsn
Sinkopa	sinkopa	Ncfsn
i	i	Cc
kolaps	kolaps	Ncmsan
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,4	0,4	Mdc
7.500,00	7.500,00	Mdc
F74Z	F74Z	Sa
Bol	bol	Ncfsa
u	u	Sl
prsima	prsa	Ncnpl
0,38	0,38	Mdc
7.125,00	7.125,00	Mdc
F75A	F75A	Pd-mpn
Ostali	ostali	Agpmpny
poremećaji	poremećaj	Ncmpn
cirkulacijskog	cirkulacijski	Agpmsgy
sustava	sustav	Ncmsg
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmsiy
KK		Ncmsi
0,96	0,96	Mdc
18.000,00	18.000,00	Mdc
F75B	F75B	Pd-mpn
Ostali	ostali	Agpmpny
poremećaji	poremećaj	Ncmpn
cirkulacijskog	cirkulacijski	Agpmsgy
sustava	sustav	Ncmsg
s	sa	Si
teškim	težak	Agpmpiy
KK	k	Ncmpi
0,85	0,85	Mdc
15.937,50	15.937,50	Mdc
F75C	F75C	Pd-mpn
Ostali	ostali	Agpmpny
poremećaji	poremećaj	Ncmpn
cirkulacijskog	cirkulacijski	Agpmsgy
sustava	sustav	Ncmsg
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,82	0,82	Mdc
15.375,00	15.375,00	Mdc
G01A	g01	Ncmpg
Resekcija	resekcija	Ncfsn
rektuma	rektum	Ncmsg
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmsiy
KK		Ncmsi
4,59	4,59	Mdc
86.062,50	86.062,50	Mdc
G01B	G01	Npmpg
Resekcija	resekcija	Ncfsn
rektuma	rektum	Ncmsg
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpmpgy
KK	k	Ncmpg
2,8	2,8	Mdc
52.500,00	52.500,00	Mdc
G02A	G02A	Pd-mpn
Veliki	velik	Agpmpny
postupci	postupak	Ncmpn
na	na	Sl
tankom	tanak	Agpmsly
i	i	Cc
debelom	debeo	Agpnsly
crijevu	crijevo	Ncnsl
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmsiy
KK		Ncmsi
3	3	Mdc
56.250,00	56.250,00	Mdc
G02B	G02B	Pd-mpn
Veliki	velik	Agpmpny
postupci	postupak	Ncmpn
na	na	Sl
tankom	tanak	Agpmsly
i	i	Cc
debelom	debeo	Agpnsly
crijevu	crijevo	Ncnsl
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpmpgy
KK	k	Ncmpg
2,56	2,56	Mdc
48.000,00	48.000,00	Mdc
G03A	g03a	Mlompn
Postupci	postupak	Ncmpn
na	na	Sl
želucu	želudac	Ncmsl
,	,	Z
jednjaku	jednjak	Ncmsl
i	i	Cc
dvaneastniku	dvaneastnik	Ncmsl
s	sa	Si
malignom	maligan	Agpfsiy
bolešću	bolest	Ncfsi
3,48	3,48	Mdc
65.250,00	65.250,00	Mdc
G03B	g03b	Agpmpny
Postupci	postupak	Ncmpn
na	na	Sl
želucu	želudac	Ncmsl
,	,	Z
jednjaku	jednjak	Ncmsl
i	i	Cc
dvaneastniku	dvaneastnik	Ncmsl
,	,	Z
bez	bez	Sg
maligne	maligan	Agpfsgy
bolesti	bolest	Ncfsg
,	,	Z
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
2,18	2,18	Mdc
40.875,00	40.875,00	Mdc
G03C	g03c	Agpmpny
Postupci	postupak	Ncmpn
na	na	Sl
želucu	želudac	Ncmsl
,	,	Z
jednjaku	jednjak	Ncmsl
i	i	Cc
dvanaestniku	dvanaestnik	Ncmsl
,	,	Z
bez	bez	Sg
maligne	maligan	Agpfsgy
bolesti	bolest	Ncfsg
,	,	Z
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
1,4	1,4	Mdc
26.250,00	26.250,00	Mdc
G04A	G04	Npmsg
Adhezioliza	Adhezioliz	Npmsg
peritoneuma	peritoneum	Ncmsg
,	,	Z
dob	dob	Ncfsn
>	>	Z
49	49	Mdc
godina	godina	Ncfpg
s	sa	Si
KK		Npmsi
2,32	2,32	Mdc
43.500,00	43.500,00	Mdc
G04B	G04	Npmsay
Adhezioliza	Adhezioliz	Npmsay
peritoneuma	peritoneum	Ncmpg
,	,	Z
dob	dob	Ncfsn
>	>	Z
49	49	Mdc
godina	godina	Ncfpg
,	,	Z
ili	ili	Cc
KK	KK	Npmsn
1,96	1,96	Mdc
36.750,00	36.750,00	Mdc
G04C	G04C	Npfsn
Adhezioliza	Adhezioliza	Npfsn
peritoneuma	peritoneum	Agpfsny
,	,	Z
dob	dob	Ncfsn
<	<	Z
50	50	Mdc
godina	godina	Ncfpg
bez	bez	Sg
KK	K	Npmsg
0,81	0,81	Mdc
15.187,50	15.187,50	Mdc
G05A	G05A	Qo
Manji	mali	Agcmpny
postupci	postupak	Ncmpn
na	na	Sl
tankom	tanak	Agpmsly
i	i	Cc
debelom	debeo	Agpnsly
crijevu	crijevo	Ncnsl
s	sa	Si
KK		Npmsi
1,84	1,84	Mdc
34.500,00	34.500,00	Mdc
G05B	g05b	Mlompn
Manji	mali	Agcmpny
postupci	postupak	Ncmpn
na	na	Sl
tankom	tanak	Agpmsly
i	i	Cc
debelom	debeo	Agpnsly
crijevu	crijevo	Ncnsl
bez	bez	Sg
KK	ki	Agpfsgy
1,13	1,13	Mdc
21.187,50	21.187,50	Mdc
G06Z	G06Z	Sa
Postupak	postupak	Ncmsan
pilorotomije	pilorotomija	Ncfsg
1,01	1,01	Mdc
18.937,50	18.937,50	Mdc
G07A	G07A	Pi-fsn
Apendektomija	apendektomija	Ncfsn
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
1,31	1,31	Mdc
24.562,50	24.562,50	Mdc

