nazivaju	nazivati	Vmr3p
osobe	osoba	Ncfsg
za	za	Sa
farmakovigilanciju	farmakovigilancija	Ncfsa
Glavni	glavni	Agpmpny
ispitivači	ispitivač	Ncmpn
i	i	Cc
ustanove	ustanova	Ncfpn
u	u	Sl
kojima	koji	Pi-fpl
će	htjeti	Var3s
se	sebe	Px--sa
neintervencijsko	neintervencijski	Agpnsny
ispitivanje	ispitivanje	Ncnsn
provoditi	provoditi	Vmn
(	(	Z
nazivi	naziv	Ncmpn
ustanova	ustanova	Ncfpg
i	i	Cc
imena	ime	Ncnsg
ispitivača	ispitivač	Ncmpg
)	)	Z
:	:	Z
Ciljevi	cilj	Ncmpn
ispitivanja	ispitivanje	Ncnsg
:	:	Z
Uključni	uključan	Agpmpny
kriteriji	kriterij	Ncmpn
:	:	Z
Kriteriji	kriterij	Ncmpn
isključivanja	isključivanje	Ncnsg
:	:	Z
Predviđeni	predvidjeti	Agpmsny
broj	broj	Ncmsn
bolesnika	bolesnik	Ncmpg
koji	koji	Pi-mpn
će	htjeti	Var3p
biti	biti	Van
praćeni	pratiti	Appmpny
:	:	Z
Predviđeno	predvidjeti	Agpnsny
trajanje	trajanje	Ncnsn
ispitivanja	ispitivanje	Ncnsg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
:	:	Z
Države	država	Ncfpn
u	u	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
već	već	Rgp
provodi	provoditi	Vmr3s
predmetno	predmetno	Rgp
neintervencijsko	neintervencijski	Agpnsny
ispitivanje	ispitivanje	Ncnsn
Države	država	Ncfsg
u	u	Sl
kojima	koji	Pi-fpl
je	biti	Var3s
podnesen	podnijeti	Appmsnn
zahtjev	zahtjev	Ncmsn
za	za	Sa
provođenje	provođenje	Ncnsa
predmetnog	predmetni	Agpnsgy
neintervencijskog	neintervencijski	Agpnsgy
ispitivanja	ispitivanje	Ncnsg
Broj	broj	Ncmsn
EU	E	Npmsg
PAS	pas	Ncmsn
registra	registar	Ncmsg
*	*	Z
Zajednički	zajednički	Agpmsny
PASS**	PASS**	Npmsn

*	*	Z
naznačiti	naznačiti	Vmn
je	biti	Var3s
li	li	Qq
PASS	pass	Ncmsn
registriran	registrirati	Appmsnn
u	u	Sa
EU	E	Npmsl
PAS	pas	Ncmsn
registru	registar	Ncmsl

**	**	Pq3m-n
u	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
više	mnogo	Rgc
nositelja	nositelj	Ncmpg
odobrenja	odobrenje	Ncnsg
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
planiranju	planiranje	Ncnsl
i	i	Cc
provođenju	provođenje	Ncnsl
PASS-a	PASS	Npmsg

Dostavljena	dostaviti	Appfsny
dokumentacija	dokumentacija	Ncfsn
(	(	Z
ispunjava	ispunjavati	Vmr3s
podnositelj	podnositelj	Ncmsn
zahtjeva	zahtjev	Ncmpg
)	)	Z

Plan	plan	Ncmsn
ispitivanja	ispitivanje	Ncnsg
(	(	Z
oznaka	oznaka	Ncfsn
,	,	Z
verzija	verzija	Ncfsn
i	i	Cc
datum	datum	Ncmsan
)	)	Z
:	:	Z
Test	test	Ncmsn
lista	list	Ncmsg
(	(	Z
verzija	verzija	Ncfsn
i	i	Cc
datum	datum	Ncmsn
)	)	Z
:	:	Z
Odobreni	odobren	Agpmsny
sažetak	sažetak	Ncmsn
opisa	opis	Ncmsg
svojstava	svojstvo	Ncnpg
lijeka	lijek	Ncmsg
na	na	Sl
hrvatskom	hrvatski	Agpmsly
jeziku	jezik	Ncmsl
(	(	Z
datum	datum	Ncmsn
odobrenja	odobrenje	Ncnsg
)	)	Z
:	:	Z
Odobrena	odobriti	Appfsny
uputa	uputa	Ncfsn
o	o	Sl
lijeku	lijek	Ncmsl
na	na	Sl
hrvatskom	hrvatski	Agpmsly
jeziku	jezik	Ncmsl
(	(	Z
datum	datum	Ncmsn
odobrenja	odobrenje	Ncnsg
)	)	Z
:	:	Z
Rješenje	rješenje	Ncnsn
o	o	Sl
odobrenju	odobrenje	Ncnsl
za	za	Sa
stavljanje	stavljanje	Ncnsa
lijeka	lijek	Ncmsg
u	u	Sa
promet	promet	Ncmsan
(	(	Z
datum	datum	Ncmsn
)	)	Z
:	:	Z
Informirani	informirati	Agpmsny
pristanak	pristanak	Ncmsn
za	za	Sa
bolesnika	bolesnik	Ncmsay
na	na	Sl
hrvatskom	hrvatski	Agpmsly
jeziku	jezik	Ncmsl
(	(	Z
verzija	verzija	Ncfsn
i	i	Cc
datum	datum	Ncmsn
)	)	Z
:	:	Z
Izvornik	izvornik	Ncmsn
informiranog	informirati	Agpmsgy
pristanka	pristanak	Ncmsg
na	na	Sl
engleskom	engleski	Agpmsly
jeziku	jezik	Ncmsl
(	(	Z
verzija	verzija	Ncfsn
i	i	Cc
datum	datum	Ncmsn
)	)	Z
,	,	Z
ako	ako	Cs
je	biti	Var3s
primjenjivo	primjenjiv	Agpnsny
:	:	Z
Financijski	financijski	Agpmsny
plan	plan	Ncmsn
ispitivanja	ispitivanje	Ncnsg
:	:	Z
Prijedlog	prijedlog	Ncmsn
obavijesti	obavijest	Ncfsg
ravnateljstvu	ravnateljstvo	Ncnsd
ustanove	ustanova	Ncfsg
o	o	Sl
provođenju	provođenje	Ncnsl
neintervencijskog	neintervencijski	Agpnsgy
ispitivanja	ispitivanje	Ncnsg
Ostala	ostali	Agpfsny
dokumentacija	dokumentacija	Ncfsn
(	(	Z
nabrojati	nabrojati	Vmn
,	,	Z
uz	uz	Sa
navođenje	navođenje	Ncnsa
verzije	verzija	Ncfsg
i	i	Cc
datuma	datum	Ncmsg
dokumenata	dokument	Ncmpg
)	)	Z
:	:	Z
Mišljenje	mišljenje	Ncnsn
SEP-a	SEP	Npmsg

Potpis	potpis	Ncmsn
odgovorne	odgovoran	Agpfsgy
osobe	osoba	Ncfsg
podnositelja	podnositelj	Ncmpg
zahtjeva	zahtjev	Ncmpg
i	i	Cc
datum	datum	Ncmsan

__________________________	__________________________	Ncfsn

[	[	Z
1	1	Mdc
]	]	Z
Ovom	ovaj	Pd-fsi
Direktivom	direktiva	Ncfsi
ne	ne	Qz
regulira	regulirati	Vmr3s
se	sebe	Px--sa
neintervencijsko	neintervencijski	Agpnsny
ispitivanje	ispitivanje	Ncnsn
lijeka	lijek	Ncmsg
.	.	Z

