izmjenama	izmjena	Ncfpi
ZID-a	ZID	Npmsg
ZSPNC-a	ZSPNC	Npmsg
/	/	Z
15	15	Mdc
propisano	propisati	Appnsny
je	biti	Var3s
:	:	Z

»	»	Z
Članak	članak	Ncmsn
18.	18.	Mdo

Ovaj	ovaj	Pd-msn
Zakon	zakon	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
prvoga	prvi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
'	'	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
'	'	Z
.	.	Z
«	«	Z

Iz	iz	Sg
navedenog	naveden	Agpnsgy
slijedi	slijediti	Vmr3s
da	da	Cs
su	biti	Var3p
članci	članak	Ncmpn
221.	221.	Mdo
stavci	stavak	Ncmpn
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
i	i	Cc
285.	285.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
točka	točka	Ncfsn
3.	3.	Mdo
ZSPNC-a	ZSPNC	Npmsg
prestali	prestati	Vmp-pm
važiti	važiti	Vmn
11.	11.	Mdo
lipnja	lipanj	Ncmsg
2015.	2015.	Mdo
,	,	Z
kada	kada	Rgp
je	biti	Var3s
stupio	stupiti	Vmp-sm
na	na	Sa
snagu	snaga	Ncfsa
ZID	zid	Ncmsn
ZSPNC-a	ZSPNC	Npmsg
/	/	Z
15.	15.	Mdo

4.	4.	Mdo
Člancima	članak	Ncmpi
32.	32.	Mdo
i	i	Cc
61.	61.	Mdo

Ustavnog	ustavan	Agpmsgy
zakona	zakon	Ncmsg
propisano	propisati	Appnsny
je	biti	Var3s
:	:	Z

»	»	Z
Članak	članak	Ncmsn
32.	32.	Mdo

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
će	htjeti	Var3s
rješenjem	rješenje	Ncnsi
odbaciti	odbaciti	Vmn
...	...	Z
prijedlog	prijedlog	Ncmsan
...	...	Z
kad	kad	Cs
ne	ne	Qz
postoje	postojati	Vmr3p
pretpostavke	pretpostavka	Ncfpa
za	za	Sa
odlučivanje	odlučivanje	Ncnsa
o	o	Sl
biti	bit	Ncfsl
stvari	stvar	Ncfsg
.	.	Z
«	«	Z

»	»	Z
Članak	članak	Ncmsn
61.	61.	Mdo

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
može	moći	Vmr3s
obustaviti	obustaviti	Vmn
postupak	postupak	Ncmsan
ako	ako	Cs
podnositelj	podnositelj	Ncmsn
zahtjeva	zahtjev	Ncmpg
...	...	Z
odustane	odustati	Vmr3s
,	,	Z
a	a	Cc
mora	morati	Vmr3s
u	u	Sl
slučajevima	slučaj	Ncmpl
kad	kad	Rgp
prestanu	prestati	Vmr3p
postojati	postojati	Vmn
pretpostavke	pretpostavka	Ncfpa
za	za	Sa
vođenje	vođenje	Ncnsa
postupka	postupak	Ncmsg
.	.	Z
«	«	Z

Prestankom	prestanak	Ncmsi
važenja	važenje	Ncnsg
preostalog	preostao	Agpmsgy
osporenog	osporiti	Agpmsgy
dijela	dio	Ncmsg
članka	članak	Ncmsg
221.	221.	Mdo
stavaka	stavak	Ncmpg
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
člankom	članak	Ncmsi
285.	285.	Mdo
stavkom	stavak	Ncmsi
1.	1.	Mdo
točkom	točka	Ncfsi
3.	3.	Mdo
ZSPNC-a	ZSPNC	Npmsg
prestale	prestati	Vmp-pf
su	biti	Var3p
postojati	postojati	Vmn
pretpostavke	pretpostavka	Ncfpa
za	za	Sa
odlučivanje	odlučivanje	Ncnsa
o	o	Sl
biti	bit	Ncfsl
stvari	stvar	Ncfsg
.	.	Z

Stoga	stoga	Rgp
je	biti	Var3s
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
zahtjev	zahtjev	Ncmsan
podnositelja	podnositelj	Ncmpg
postupak	postupak	Ncmsan
obustavio	obustaviti	Vmp-sm
,	,	Z
a	a	Cc
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
prijedloge	prijedlog	Ncmpa
predlagatelja	predlagatelj	Ncmpg
iste	isti	Agpfsgy
je	biti	Var3s
odbacio	odbaciti	Vmp-sm
.	.	Z

5.	5.	Mdo
Stoga	stoga	Rgp
je	biti	Var3s
,	,	Z
na	na	Sl
temelju	temelj	Ncmsl
članaka	članak	Ncmpg
32.	32.	Mdo
i	i	Cc
61.	61.	Mdo

Ustavnog	ustavan	Agpmsgy
zakona	zakon	Ncmsg
,	,	Z
riješeno	riješiti	Appnsny
kao	kao	Cs
u	u	Sl
točkama	točka	Ncfpl
I.		Agpfply
i	i	Cc
II	ii	Mrc
.	.	Z
izreke	izreka	Ncfpa
.	.	Z

6.	6.	Mdo
Odluka	odluka	Ncfsn
o	o	Sl
objavi	objava	Ncfsl
rješenja	rješenje	Ncnsg
(	(	Z
točka	točka	Ncfsn
III	III	Mrc
.	.	Z
izreke	izreka	Ncfpn
)	)	Z
temelji	temeljiti	Vmr3s
se	sebe	Px--sa
na	na	Sl
članku	članak	Ncmsl
29.	29.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
Ustavnog	ustavan	Agpmsgy
zakona	zakon	Ncmsg
.	.	Z

Broj	broj	Ncmsn
:	:	Z
U-I-1716	U-I-1716	X
/	/	Z
2015	2015	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
24.	24.	Mdo
srpnja	srpanj	Ncmsg
2015.	2015.	Mdo

USTAVNI	ustavan	Agpmsny
SUD	sud	Ncmsn
REPUBLIKE	republika	Ncfsg
HRVATSKE	hrvatski	Agpfsgy

Predsjednica	predsjednica	Ncfsn
dr.	dr.	Y
sc.	sc.	Y
Jasna	Jasna	Npfsn
Omejec	Omejec	Npfsn
,	,	Z
v.	v.	Y
r.	r.	Y

