zaprimljenog	zaprimiti	Agpmsgy
Ministarstva	ministarstvo	Ncnsg
i	i	Cc
HPA	HP	Npmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Promjene	promjena	Ncfsg
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
dodatne	dodatan	Agpmpay
podatke	podatak	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
stavka	stavak	Ncmsg
6.	6.	Mdo
točke	točka	Ncfsg
2.	2.	Mdo
podtočke	podtočka	Ncfsg
(	(	Z
c	C	Npmsn
)	)	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
evidentiraju	evidentirati	Vmr3p
se	sebe	Px--sa
na	na	Sl
temelju	temelj	Ncmsl
godišnje	godišnji	Agpfsgy
prijave	prijava	Ncfsg
za	za	Sa
životinje	životinja	Ncfpa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
posebnim	poseban	Agpmpiy
propisima	propis	Ncmpi
o	o	Sl
označavanju	označavanje	Ncnsl
i	i	Cc
registraciji	registracija	Ncfsl
svinja	svinja	Ncfpg
te	te	Cc
ovaca	ovca	Ncfpg
i	i	Cc
koza	koza	Ncfpg
,	,	Z
a	a	Cc
koju	koji	Pi-fsa
posjednik	posjednik	Ncmsn
dostavlja	dostavljati	Vmr3s
HPA	HPA	Npfsn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Promjene	promjena	Ncfsg
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
dodatne	dodatan	Agpmpay
podatke	podatak	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
stavka	stavak	Ncmsg
6.	6.	Mdo
točke	točka	Ncfsg
3.	3.	Mdo
podtočke	podtočka	Ncfsg
(	(	Z
a	a	Cc
)	)	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
evidentiraju	evidentirati	Vmr3p
se	sebe	Px--sa
ažurno	ažurno	Rgp
preko	preko	Sg
nadležnog	nadležan	Agpmsgy
veterinarskog	veterinarski	Agpmsgy
inspektora	inspektor	Ncmsg
odnosno	odnosno	Rgp
tijekom	tijekom	Sg
obavljanja	obavljanje	Ncnsg
pregleda	pregled	Ncmsg
na	na	Sl
mjestu	mjesto	Ncnsl
otpreme	otprema	Ncfsg
kako	kako	Cs
je	biti	Var3s
to	taj	Pd-nsn
propisano	propisati	Appnsny
Pravilnikom	pravilnik	Ncmsi
o	o	Sl
veterinarskim	veterinarski	Agpmply
pregledima	pregled	Ncmpl
živih	živ	Agpfpgy
životinja	životinja	Ncfpg
u	u	Sl
unutarnjem	unutarnji	Agpmsly
prometu	promet	Ncmsl
i	i	Cc
svjedodžbi	svjedodžba	Ncfsl
o	o	Sl
zdravstvenom	zdravstven	Agpnsly
stanju	stanje	Ncnsl
i	i	Cc
mjestu	mjesto	Ncnsl
podrijetla	podrijetlo	Ncnsg
životinje	životinja	Ncfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
87/08	87/08	Mds
,	,	Z
80/12	80/12	Mdc
)	)	Z
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Promjene	promjena	Ncfsg
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
dodatne	dodatan	Agpmpay
podatke	podatak	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
stavka	stavak	Ncmsg
6.	6.	Mdo
točke	točka	Ncfsg
3.	3.	Mdo
podtočke	podtočka	Ncfsg
(	(	Z
b	b	X
)	)	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
evidentira	evidentirati	Vmr3s
ovlaštena	ovlastiti	Appfsny
veterinarska	veterinarski	Agpfsny
organizacija	organizacija	Ncfsn
,	,	Z
nadležni	nadležan	Agpmsny
veterinarski	veterinarski	Agpmsny
inspektor	inspektor	Ncmsn
ili	ili	Cc
nadležno	nadležan	Agpnsay
tijelo	tijelo	Ncnsa
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
Zakonom	zakon	Ncmsi
o	o	Sl
veterinarstvu	veterinarstvo	Ncnsl
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Promjene	promjena	Ncfsg
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
dodatne	dodatan	Agpmpay
podatke	podatak	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
stavka	stavak	Ncmsg
6.	6.	Mdo
točke	točka	Ncfsg
3.	3.	Mdo
podtočke	podtočka	Ncfsg
(	(	Z
c	C	Npmsn
)	)	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
evidentira	evidentirati	Vmr3s
nadležni	nadležan	Agpmsny
veterinarski	veterinarski	Agpmsny
inspektor	inspektor	Ncmsn
ili	ili	Cc
se	sebe	Px--sa
preuzima	preuzimati	Vmr3s
iz	iz	Sg
drugih	drugi	Mlofpg
aplikacija	aplikacija	Ncfpg
JRDŽ-a	JRDŽ	Npmsg
ili	ili	Cc
baza	baza	Ncfsn
SVIS-a	SVIS	Npmsg
.	.	Z

Deaktivacija	deaktivacija	Ncfsn
farme	farma	Ncfsg
i	i	Cc
posjednika	posjednik	Ncmpg
iz	iz	Sg
registra	registar	Ncmsg
farmi	farma	Ncfpg

Članak	članak	Ncmsn
13.	13.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Farma	farma	Ncfsn
koja	koji	Pi-fsn
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
u	u	Sl
Registru	registar	Ncmsl
farmi	farma	Ncfsl
ili	ili	Cc
u	u	Sl
ostalim	ostali	Agpmply
dijelovima	dio	Ncmpl
JRDŽ-a	JRDŽ	Npmsg
može	moći	Vmr3s
se	sebe	Px--sa
deaktivirati	deaktivirati	Vmn
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
temeljem	temelj	Ncmsi
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
od	od	Sg
strane	strana	Ncfsg
posjednika	posjednik	Ncmpg
u	u	Sl
HPA	hpa	Ncfsl
u	u	Sl
roku	rok	Ncmsl
14	14	Mdc
dana	dan	Ncmpg
od	od	Sg
odlaska	odlazak	Ncmsg
ili	ili	Cc
izlučenja	izlučenje	Ncnsg
zadnje	zadnji	Agpfsgy
životinje	životinja	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
;	;	Z

(	(	Z
b	b	X
)	)	Z
temeljem	temelj	Ncmsi
zapisnika	zapisnik	Ncmsg
nadležne	nadležan	Agpfsgy
veterinarske	veterinarski	Agpfsgy
inspekcije	inspekcija	Ncfsg
;	;	Z

(	(	Z
c	C	Npmsn
)	)	Z
temeljem	temelj	Sg
zahtjeva	zahtjev	Ncmpg
ovlaštene	ovlašten	Agpfsgy
veterinarske	veterinarski	Agpfsgy
organizacije	organizacija	Ncfsg
;	;	Z

(	(	Z
d	d	X
)	)	Z
temeljem	temelj	Sg
zahtjeva	zahtjev	Ncmpg
djelatnika	djelatnik	Ncmpg
HPA	HP	Npmsg
;	;	Z

(	(	Z
e	e	I
)	)	Z
u	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
to	taj	Pd-nsa
odredi	odrediti	Vmr3s
nadležno	nadležan	Agpnsay
tijelo	tijelo	Ncnsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Farma	farma	Ncfsn
ili	ili	Cc
pojedini	pojedini	Agpmsny
posjednik	posjednik	Ncmsn
unutar	unutar	Sg
farme	farma	Ncfsg
može	moći	Vmr3s
se	sebe	Px--sa
deaktivirati	deaktivirati	Vmn
isključivo	isključivo	Rgp
ako	ako	Cs
u	u	Sl
odgovarajućim	odgovarajući	Agpmply
registrima	registar	Ncmpl
životinja	životinja	Ncfpg
koji	koji	Pi-mpn
su	biti	Var3p
sastavni	sastavan	Agpmpny
dijelovi	dio	Ncmpn
JRDŽ-a	JRDŽ	Npmsg
ne	ne	Qz
postoji	postojati	Vmr3s
niti	niti	Qz
jedna	jedan	Mlcfsn
registrirana	registriran	Agpfsny
ovca	ovca	Ncfsn
/		Agpfpgy
koza	koza	Ncfpg
,	,	Z
govedo	govedo	Ncnsn
,	,	Z
kopitar	kopitar	Ncmsn
,	,	Z
svinja	svinja	Ncfsn
odnosno	odnosno	Rgp
životinje	životinja	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
posjednik	posjednik	Ncmsn
više	mnogo	Rgc
ne	ne	Qz
namjerava	namjeravati	Vmr3s
držati	držati	Vmn
životinje	životinja	Ncfpa
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
osim	osim	Cs
u	u	Sl
slučajevima	slučaj	Ncmpl
iz	iz	Sg
članka	članak	Ncmsg
14.	14.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Deaktivacija	deaktivacija	Ncfsn
farme	farma	Ncfsg
–	–	Z
posjednik	posjednik	Ncmsn

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Posjednik	posjednik	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
13.	13.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
(	(	Z
a	a	Cc
)	)	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
prijavu	prijava	Ncfsa
za	za	Sa
deaktivaciju	deaktivacija	Ncfsa
farme	farma	Ncfsg
na	na	Sl
obrascima	obrazac	Ncmpl
iz	iz	Sg
članka	članak	Ncmsg
12.	12.	Mdo
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
u	u	Sl
HPA	HP	Npmsl
isključivo	isključivo	Rgp
pod	pod	Si
uvjetima	uvjet	Ncmpi
navedenima	naveden	Agpmpiy
u	u	Sa
članka	članak	Ncmsg
13.	13.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
na	na	Sl
jednoj	jedan	Agpfsly
farmi	farma	Ncfsl
postoji	postojati	Vmr3s
više	mnogo	Rgc
registriranih	registriran	Agpmpgy
posjednika	posjednik	Ncmpg
,	,	Z
svi	sav	Agpmpny
moraju	morati	Vmr3p
biti	biti	Van
potpisani	potpisati	Appmpny
na	na	Sl
prijavi	prijava	Ncfsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
farma	farma	Ncfsn
mogla	moći	Vmp-sf
deaktivirati	deaktivirati	Vmn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Uz	uz	Sa
prijavu	prijava	Ncfsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
posjednik	posjednik	Ncmsn
ili	ili	Cc
svi	sav	Agpmpny
registrirani	registriran	Agpmpny
posjednici	posjednik	Ncmpn
moraju	morati	Vmr3p
priložiti	priložiti	Vmn
IKG	IKG	Npmsan
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ako	ako	Cs
su	biti	Var3p
svi	sav	Agpmpny
uvjeti	uvjet	Ncmpn
navedeni	navesti	Appmpny
u	u	Sl
stavcima	stavak	Ncmpl
1.	1.	Mdo
,	,	Z
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
zadovoljeni	zadovoljiti	Appmpny
,	,	Z
HPA	HPA	Npfsn
će	htjeti	Var3s
deaktivirati	deaktivirati	Vmn
podatke	podatak	Ncmpa
o	o	Sl
farmi	farma	Ncfsl
u	u	Sl
Registru	registar	Ncmsl
farmi	farma	Ncfpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ako	ako	Cs
pojedini	pojedini	Agpmsny
posjednik	posjednik	Ncmsn
u	u	Sl

