programskog	programski	Agpnsgy
Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Upravljačka	upravljački	Agpfsny
skupina	skupina	Ncfsn
je	biti	Var3s
tijelo	tijelo	Ncnsn
koje	koji	Pi-nsn
se	sebe	Px--sa
sastoji	sastojati	Vmr3s
od	od	Sg
najmanje	malo	Rgs
tri	tri	Mlc
člana	član	Ncmsg
koja	koji	Ncmsg
rade	raditi	Vmr3p
u	u	Sl
istim	isti	Agpfply
ili	ili	Cc
srodnim	srodan	Agpnply
područjima	područje	Ncnpl
koja	koji	Pi-npn
su	biti	Vmr3p
predmet	predmet	Ncmsan
vrednovanja	vrednovanje	Ncnsg
,	,	Z
a	a	Cc
ustrojava	ustrojavati	Vmr3s
se	sebe	Px--sa
u	u	Sl
cilju	cilj	Ncmsl
analize	analiza	Ncfsg
svih	sav	Agpmpgy
aspekata	aspekt	Ncmpg
vrednovanja	vrednovanje	Ncnsg
,	,	Z
od	od	Sg
pripreme	priprema	Ncfsg
vrednovanja	vrednovanje	Ncnsg
do	do	Sg
završnog	završan	Agpmsgy
izvještaja	izvještaj	Ncmsg
o	o	Sl
provedenom	provesti	Agpnsly
vrednovanju	vrednovanje	Ncnsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Upravljačku	upravljački	Agpfsay
skupinu	skupina	Ncfsa
imenuje	imenovati	Vmr3s
čelnik	čelnik	Ncmsn
tijela	tijelo	Ncnsg
koji	koji	Pi-msn
je	biti	Var3s
nositelj	nositelj	Ncmsn
izrade	izrada	Ncfsg
odnosno	odnosno	Rgp
provedbe	provedba	Ncfsg
planskog	planski	Agpmsgy
dokumenta	dokument	Ncmsg
nakon	nakon	Sg
donošenja	donošenje	Ncnsg
odluke	odluka	Ncfsg
o	o	Sl
početku	početak	Ncmsl
postupka	postupak	Ncmsg
vrednovanja	vrednovanje	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Najvažniji	važan	Agsmpny
zadaci	zadatak	Ncmpn
upravljačke	upravljački	Agpfsgy
skupine	skupina	Ncfsg
su	biti	Var3p
:	:	Z
usmjeravanje	usmjeravanje	Ncnsa
aktivnosti	aktivnost	Ncfsg
vrednovanja	vrednovanje	Ncnsg
,	,	Z
nadziranje	nadziranje	Ncnsa
svih	sav	Agpmpgy
ključnih	ključan	Agpmpgy
koraka	korak	Ncmpg
tijekom	tijekom	Sg
cijelog	cijel	Agpmsgy
procesa	proces	Ncmsg
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
osigurala	osigurati	Vmp-sf
uspješna	uspješan	Agpfsny
realizacija	realizacija	Ncfsn
vrednovanja	vrednovanje	Ncnsg
,	,	Z
osiguravanje	osiguravanje	Ncnsa
usklađenosti	usklađenost	Ncfsg
politike	politika	Ncfsg
,	,	Z
pružanje	pružanje	Ncnsa
stručnog	stručan	Agpmsgy
doprinosa	doprinos	Ncmsg
tijekom	tijekom	Sg
vrednovanja	vrednovanje	Ncnsg
,	,	Z
omogućavanje	omogućavanje	Ncnsa
dostupnosti	dostupnost	Ncfsg
potrebnih	potreban	Agpfpgy
informacija	informacija	Ncfpg
,	,	Z
jamčenje	jamčenje	Ncnsn
nepristranosti	nepristranost	Ncfsg
i	i	Cc
korisnosti	korisnost	Ncfsg
vrednovanja	vrednovanje	Ncnsg
,	,	Z
pružanje	pružanje	Ncnsa
stalne	stalan	Agpfsgy
kontrole	kontrola	Ncfsg
kvalitete	kvaliteta	Ncfsg
,	,	Z
poticanje	poticanje	Ncnsa
i	i	Cc
udruživanje	udruživanje	Ncnsa
znanja	znanje	Ncnsg
.	.	Z

Izvještavanje	izvještavanje	Ncnsn
o	o	Sl
vrednovanju	vrednovanje	Ncnsl

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nositelj	nositelj	Ncmsn
izrade	izrada	Ncfsg
odnosno	odnosno	Rgp
provedbe	provedba	Ncfsg
planskog	planski	Agpmsgy
dokumenta	dokument	Ncmsg
dužan	dužan	Agpmsnn
je	biti	Var3s
objaviti	objaviti	Vmn
završni	završan	Agpmsayn
izvještaj	izvještaj	Ncmsan
o	o	Sl
provedenom	provesti	Agpnsly
vrednovanju	vrednovanje	Ncnsl
putem	put	Sg
svojih	svoj	Px-fpg
Internet	internet	Ncmsn
stranica	stranica	Ncfpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Preporučeni	preporučiti	Agpmsny
sadržaj	sadržaj	Ncmsn
završnog	završan	Agpmsgy
izvještaja	izvještaj	Ncmsg
nalazi	nalaziti	Vmr3s
se	sebe	Px--sa
u	u	Sl
Prilogu	Prilog	Npmsl
1	1	Mdc
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
koji	koji	Pi-msn
je	biti	Var3s
njegov	njegov	Ps3msn
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
.	.	Z

III	III	Mrc
.	.	Z

METODOLOGIJA	metodologija	Ncfsn
VREDNOVANJA	vrednovanje	Ncnsg

Ključni	ključan	Agpmpny
standardi	standard	Ncmpn
vrednovanja	vrednovanje	Ncnsg

Članak	članak	Ncmsn
16.	16.	Mdo

Postupak	postupak	Ncmsn
vrednovanja	vrednovanje	Ncnsg
temelji	temeljiti	Vmr3s
se	sebe	Px--sa
na	na	Sl
jasno	jasno	Rgp
definiranim	definirati	Agpmply
standardima	standard	Ncmpl
što	što	Pi3n-n
uključuje	uključivati	Vmr3s
:	:	Z

–	–	Sa
organiziranje	organiziranje	Ncnsa
vrednovanja	vrednovanje	Ncnsg
na	na	Sa
način	način	Ncmsan
da	da	Cs
ispunjavaju	ispunjavati	Vmr3p
svoju	svoj	Px-fsa
svrhu	svrha	Ncfsa
–	–	Z
treba	trebati	Vmr3s
jasno	jasno	Rgp
definirati	definirati	Vmn
tko	tko	Pi3m-n
je	biti	Var3s
odgovoran	odgovoran	Agpmsnn
za	za	Sa
upravljanje	upravljanje	Ncnsa
aktivnostima	aktivnost	Ncfpi
vrednovanja	vrednovanje	Ncnsg
,	,	Z
proporcionalno	proporcionalno	Rgp
rasporediti	rasporediti	Vmn
ljudske	ljudski	Agpmpay
i	i	Cc
financijske	financijski	Agpmpay
resurse	resurs	Ncmpa
te	te	Cc
odrediti	odrediti	Vmn
procedure	procedura	Ncfpa
za	za	Sa
dionike	dionik	Ncmpa
uključene	uključiti	Appmpay
u	u	Sa
provedbu	provedba	Ncfsa
kao	kao	Cs
i	i	Qo
širenje	širenje	Ncnsn
i	i	Cc
korištenje	korištenje	Ncnsa
rezultata	rezultat	Ncmpg
vrednovanja	vrednovanje	Ncnsg

–	–	Sa
planiranje	planiranje	Ncnsa
vrednovanja	vrednovanje	Ncnsg
na	na	Sa
transparentan	transparentan	Agpmsann
način	način	Ncmsan
kako	kako	Cs
bi	biti	Vaa3p
rezultati	rezultat	Ncmpn
vrednovanja	vrednovanje	Ncnsg
bili	biti	Vap-pm
dostupni	dostupan	Agpmpny
na	na	Sa
vrijeme	vrijeme	Ncnsa
–	–	Z
treba	trebati	Vmr3s
pripremiti	pripremiti	Vmn
program	program	Ncmsan
vrednovanja	vrednovanje	Ncnsg
u	u	Sl
konzultaciji	konzultacija	Ncfsl
s	sa	Si
relevantnim	relevantan	Agpmpiy
dionicima	dionik	Ncmpi
,	,	Z
periodično	periodično	Rgp
vrednovati	vrednovati	Vmn
sve	sav	Agpfpay
aktivnosti	aktivnost	Ncfpa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
dodijeljenim	dodijeljen	Agpmpiy
sredstvima	sredstvo	Ncmpi
i	i	Cc
očekivanim	očekivati	Agpmsiy
učinkom	učinak	Ncmsi
,	,	Z
a	a	Cc
trajanje	trajanje	Ncnsn
postupka	postupak	Ncmsg
vrednovanja	vrednovanje	Ncnsg
treba	trebati	Vmr3s
omogućiti	omogućiti	Vmn
da	da	Cs
se	sebe	Px--sa
rezultati	rezultat	Ncmpn
vrednovanja	vrednovanje	Ncnsg
pravovremeno	pravovremeno	Rgp
integriraju	integrirati	Vmr3p
u	u	Sa
odluke	odluka	Ncfpa
vezane	vezan	Agpfpay
za	za	Sa
formiranje	formiranje	Ncnsa
i	i	Cc
izmjenu	izmjena	Ncfsa
aktivnosti	aktivnost	Ncfsg

–	i	Agpnsny
osiguravanje	osiguravanje	Ncnsn
ciljeva	cilj	Ncmpg
vrednovanja	vrednovanje	Ncnsg
te	te	Cc
primjerenih	primjeren	Agpfpgy
metoda	metoda	Ncfpg
i	i	Cc
sredstava	sredstvo	Ncnpg
za	za	Sa
upravljanje	upravljanje	Ncnsa
procesom	proces	Ncmsi
vrednovanja	vrednovanje	Ncnsg
i	i	Cc
dobivenim	dobiven	Agpmpiy
rezultatima	rezultat	Ncmpi
–	–	Z
treba	trebati	Vmr3s
ustrojiti	ustrojiti	Vmn
upravljačku	upravljački	Agpfsay
skupinu	skupina	Ncfsa
za	za	Sa
svako	svaki	Agpnsay
vrednovanje	vrednovanje	Ncnsa
koja	koji	Pi-fsn
bi	biti	Vaa3s
davala	davati	Vmp-sf
savjete	savjet	Ncmpa
vezane	vezan	Agpmpay
za	za	Sa
opis	opis	Ncmsan
posla	posao	Ncmsg
,	,	Z
pružala	pružati	Vmp-sf
potporu	potpora	Ncfsa
prilikom	prilikom	Sg
realizacije	realizacija	Ncfsg
vrednovanja	vrednovanje	Ncnsg
te	te	Cc
sudjelovala	sudjelovati	Vmp-sf
u	u	Sl
ocjenjivanju	ocjenjivanje	Ncnsl
kvalitete	kvaliteta	Ncfsg
vrednovanja	vrednovanje	Ncnsg

–		Agcnsay
omogućavanje	omogućavanje	Ncnsa
pouzdanih	pouzdan	Agpmpgy
i	i	Cc
jasnih	jasan	Agpmpgy
rezultata	rezultat	Ncmpg
vrednovanja	vrednovanje	Ncnsg
–	–	Z
rezultati	rezultat	Ncmpn
se	sebe	Px--sa
trebaju	trebati	Vmr3p
potkrijepiti	potkrijepiti	Vmn
čvrstim	čvrst	Agpmpiy
dokazima	dokaz	Ncmpi
i	i	Cc
detaljnom	detaljan	Agpfsiy
analizom	analiza	Ncfsi
,	,	Z
osobe	osoba	Ncfpn
koje	koji	Pi-fpn
sudjeluju	sudjelovati	Vmr3p
u	u	Sl
aktivnostima	aktivnost	Ncfpl
vrednovanja	vrednovanje	Ncnsg
moraju	morati	Vmr3p
se	sebe	Px--sa
pridržavati	pridržavati	Vmn
pravila	pravilo	Ncnpn
i	i	Cc
načela	načelo	Ncnpa
vezanih	vezati	Appnpgy
uz	uz	Sa
sukob	sukob	Ncmsan
interesa	interes	Ncmsg
,	,	Z
izvršitelji	izvršitelj	Ncmpn
vrednovanja	vrednovanje	Ncnsg
moraju	morati	Vmr3p
imati	imati	Vmn
slobodu	sloboda	Ncfsa
da	da	Cs
dobivene	dobiti	Appmpay
rezultate	rezultat	Ncmpa
prezentiraju	prezentirati	Vmr3p
samostalno	samostalno	Rgp
bez	bez	Sg
ikakvih	ikakav	Pi-fpg
nagodbi	nagodba	Ncfpg
ili	ili	Cc
ometanja	ometanje	Ncnsg
.	.	Z

Kriteriji	kriterij	Ncmpn
vrednovanja	vrednovanje	Ncnsg

Članak	članak	Ncmsn
17.	17.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Svrha	svrha	Ncfsn
kriterija	kriterij	Ncmpg
vrednovanja	vrednovanje	Ncnsg
je	biti	Var3s
pružiti	pružiti	Vmn
nositelju	nositelj	Ncmsl
izrade	izrada	Ncfsg
odnosno	odnosno	Rgp
provedbe	provedba	Ncfsg
planskog	planski	Agpmsgy
dokumenta	dokument	Ncmsg
osnovne	osnovan	Agpfsgy
informacije	informacija	Ncfsg
i	i	Cc
saznanja	saznanje	Ncnsg
koje	koji	Pi-fpn
mu	on	Pp3msd
omogućavaju	omogućavati	Vmr3p
razumijevanje	razumijevanje	Ncnsa
stanja	stanje	Ncnsg
i	i	Cc
utvrđivanje	utvrđivanje	Ncnsa
daljnjeg	daljnji	Agpnsgy
postupanja	postupanje	Ncnsg
.	.	Z

