kontrole	kontrola	Ncfpn
samovoljno	samovoljan	Agpnsny
(	(	Z
arbitrarno	arbitrarno	Rgp
)	)	Z
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
nadležni	nadležan	Agpmpny
sudovi	sud	Ncmpn
nisu	biti	Var3p
podnositelju	podnositelj	Ncmsl
pružili	pružiti	Vmp-pm
stvarnu	stvaran	Agpfsay
i	i	Cc
učinkovitu	učinkovit	Agpfsay
sudsku	sudski	Agpfsay
zaštitu	zaštita	Ncfsa
od	od	Sg
nedopuštene	nedopušten	Agpfsgy
samovolje	samovolja	Ncfsg
tog	taj	Pd-nsg
tijela	tijelo	Ncnsg
.	.	Z
«	«	Z

45.	45.	Mdo

Podnositelj	podnositelj	Ncmsn
nakon	nakon	Sg
toga	taj	Pd-nsg
iznosi	iznositi	Vmr3s
svoje	svoj	Px-nsa
stajalište	stajalište	Ncnsa
o	o	Sl
prirodi	priroda	Ncfsl
utvrđene	utvrditi	Agpfsgy
povrede	povreda	Ncfsg
koja	koji	Pi-fsn
mu	on	Pp3msd
je	biti	Var3s
stavljena	staviti	Appfsny
na	na	Sa
teret	teret	Ncmsan
:	:	Z

»	ti	Vmr1s
Budući	budući	Cs
da	da	Cs
je	biti	Var3s
podnositelj	podnositelj	Ncmsn
bio	biti	Vap-sm
imenovan	imenovati	Appmsnn
članom	član	Ncmsi
nadzornog	nadzorni	Agpmsgy
odbora	odbor	Ncmsg
trgovačkog	trgovački	Agpnsgy
društva	društvo	Ncnsg
BRIJUNI	BRIJUN	Npmpn
RIVIJERA	rivijera	Ncfsn
d.o.o.	d.o.o.	Ncfpg
u	u	Sl
svojstvu	svojstvo	Ncnsl
dužnosnika	dužnosnik	Ncmpg
,	,	Z
bez	bez	Sg
primanja	primanje	Ncnsg
bilo	bilo	Qo
kakve	kakav	Pi-fsg
naknade	naknada	Ncfsg
za	za	Sa
izvršeni	izvršen	Agpmsayn
rad	rad	Ncmsan
,	,	Z
njegov	njegov	Ps3msan
rad	rad	Ncmsan
u	u	Sl
nadzornom	nadzorni	Agpmsly
odboru	odbor	Ncmsl
izvršavan	izvršavati	Appmsnn
je	biti	Var3s
u	u	Sl
javnom	javan	Agpmsly
interesu	interes	Ncmsl
i	i	Cc
nije	biti	Var3s
bio	biti	Vap-sm
povezan	povezati	Appmsnn
s	sa	Si
privatnim	privatan	Agpmsiy
interesom	interes	Ncmsi
samog	sam	Agpmsgy
podnositelja	podnositelj	Ncmsg
ni	ni	Qz
u	u	Sl
jednom	jedan	Mlcmsl
aspektu	aspekt	Ncmsl
.	.	Z

Proizlazi	proizlaziti	Vmr3s
da	da	Cs
se	sebe	Px--sa
navodna	navodni	Agpfsny
povreda	povreda	Ncfsn
koju	koji	Pi-fsa
je	biti	Var3s
učinio	učiniti	Vmp-sm
sastojala	sastojati	Vmp-sf
od	od	Sg
formalne	formalan	Agpfsgy
povrede	povreda	Ncfsg
zakona	zakon	Ncmsg
bez	bez	Sg
postojanja	postojanje	Ncnsg
opasnosti	opasnost	Ncfsg
od	od	Sg
stvarnog	stvaran	Agpmsgy
sukoba	sukob	Ncmsg
interesa	interes	Ncmsg
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
2.	2.	Mdo
ZSSI-ja	zssi-j	Ncmsg
.	.	Z
«	«	Z

46.	46.	Mdo

U	u	Sl
ustavnoj	ustavan	Agpfsly
tužbi	tužba	Ncfsl
naglasak	naglasak	Ncmsn
se	sebe	Px--sa
stavlja	stavljati	Vmr3s
na	na	Sa
izostanak	izostanak	Ncmsan
u	u	Sl
ZoSSI-ju	zossi-j	Ncmsl
:	:	Z
26/11	26/11	Mdc
-	-	Z
126/12	126/12	Mdc
prijelaznih	prijelazan	Agpfpgy
zakonskih	zakonski	Agpfpgy
odredaba	odredba	Ncfpg
za	za	Sa
zatečene	zateći	Agpmpay
dužnosnike	dužnosnik	Ncmpa
–	i	Agpmpay
članove	član	Ncmpa
NO	no	Cc
:	:	Z

»	»	Z
...	...	Z
u	u	Sl
prijelaznim	prijelazan	Agpfply
odredbama	odredba	Ncfpl
ZSSI-ja	ZSSI-j	Npmsg
nije	biti	Var3s
bio	biti	Vap-sm
propisan	propisati	Appmsnn
prijelazni	prijelazan	Agpmsny
zakonski	zakonski	Agpmsny
režim	režim	Ncmsn
,	,	Z
to	taj	Pd-nsn
jest	biti	Var3s
nisu	biti	Var3p
bila	biti	Vap-sf
propisana	propisati	Agpnpny
pravila	pravilo	Ncnpn
ponašanja	ponašanje	Ncnsg
za	za	Sa
dužnosnike	dužnosnik	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
na	na	Sa
dan	dan	Ncmsan
njegovog	njegov	Ps3nsg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
bili	biti	Vap-pm
zatečeni	zateći	Appmpny
da	da	Cs
(	(	Z
zakonito	zakonit	Agpnsny
)	)	Z
obnašaju	obnašati	Vmr3p
dužnost	dužnost	Ncfsa
člana	član	Ncmsg
nadzornog	nadzorni	Agpmsgy
odbora	odbor	Ncmsg
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
(	(	Z
kao	kao	Cs
što	što	Cs
je	biti	Var3s
to	taj	Pd-nsn
bio	biti	Vap-sm
slučaj	slučaj	Ncmsn
s	sa	Si
prijelaznom	prijelazan	Agpfsiy
odredbom	odredba	Ncfsi
članka	članak	Ncmsg
13.	13.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
izmjenama	izmjena	Ncfpl
i	i	Cc
dopunama	dopuna	Ncfpl
Zakona	zakon	Ncmsg
o	o	Sl
sprječavanju	sprječavanje	Ncnsl
sukoba	sukob	Ncmsg
interesa	interes	Ncmsg
u	u	Sl
obnašanju	obnašanje	Ncnsl
javnih	javan	Agpfpgy
dužnosti	dužnost	Ncfpg
,	,	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
br.	br.	Y
92/10	92/10	Mdc
)	)	Z
.	.	Z
(...)	(...)	Z

Štoviše	štoviše	Rgp
,	,	Z
ZSSI	ZSSI	Npmsn
je	biti	Var3s
u	u	Sl
prijelaznim	prijelazan	Agpfply
odredbama	odredba	Ncfpl
propisao	propisati	Vmp-sm
da	da	Cs
ostaju	ostajati	Vmr3p
na	na	Sl
snazi	snaga	Ncfsl
svi	sav	Agpmpny
relevantni	relevantan	Agpmpny
podzakonski	podzakonski	Agpmpny
propisi	propis	Ncmpn
koji	koji	Pi-mpn
su	biti	Var3p
do	do	Sg
tada	tada	Rgp
bili	biti	Vap-pm
doneseni	donijeti	Appmpny
na	na	Sl
temelju	temelj	Ncmsl
prijašnjeg	prijašnji	Agpmsgy
Zakona	zakon	Ncmsg
o	o	Sl
sprječavanju	sprječavanje	Ncnsl
sukoba	sukob	Ncmsg
interesa	interes	Ncmsg
u	u	Sl
obnašanju	obnašanje	Ncnsl
javnih	javan	Agpfpgy
dužnosti	dužnost	Ncfpg
,	,	Z
koji	koji	Pi-msn
je	biti	Var3s
dopuštao	dopuštati	Vmp-sm
da	da	Cs
podnositelj	podnositelj	Ncmsn
bude	biti	Var3s
član	član	Ncmsn
nadzornog	nadzorni	Agpmsgy
odbora	odbor	Ncmsg
u	u	Sl
trgovačkom	trgovački	Agpnsly
društvu	društvo	Ncnsl
...	...	Z

(...)	(...)	Ncfsn

U	u	Sl
takvoj	takav	Pd-fsl
situaciji	situacija	Ncfsl
razumno	razuman	Agpnsny
se	sebe	Px--sa
moglo	moći	Vmp-sn
i	i	Cc
moralo	morati	Vmp-sn
očekivati	očekivati	Vmn
da	da	Cs
će	htjeti	Var3s
se	sebe	Px--sa
primjena	primjena	Ncfsn
ZSSI-ja	ZSSI-j	Npmsg
na	na	Sa
zatečene	zateći	Agpfpay
situacije	situacija	Ncfpa
(	(	Z
tj.	tj.	Y
na	na	Sa
dužnosnike	dužnosnik	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
u	u	Sa
vrijeme	vrijeme	Ncnsa
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ZSSI-ja	zssi-je	Ncnsg
bili	biti	Vap-pm
zatečeni	zateći	Appmpny
na	na	Sl
dužnostima	dužnost	Ncfpl
u	u	Sl
upravnim	upravan	Agpfply
i	i	Cc
nadzornim	nadzorni	Agpmply
odborima	odbor	Ncmpl
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
prijašnjim	prijašnji	Agpmsiy
zakonom	zakon	Ncmsi
)	)	Z
tumačiti	tumačiti	Vmn
u	u	Sl
duhu	duh	Ncmsl
pravila	pravilo	Ncnpg
koja	koji	Pi-npn
su	biti	Var3p
za	za	Sa
takve	takav	Pd-fpa
iste	isti	Agpfpay
situacije	situacija	Ncfpa
bila	biti	Vap-sf
propisana	propisati	Appfsny
člankom	članak	Ncmsi
13.	13.	Mdo
prijašnjeg	prijašnji	Agpmsgy
zakona	zakon	Ncmsg
iz	iz	Sg
2010.	2010.	Mdo
godine	godina	Ncfsg
...	...	Z
«	«	Z

47.	47.	Mdo

S	sa	Si
tim	taj	Pd-nsi
u	u	Sl
vezi	veza	Ncfsl
podnositelj	podnositelj	Ncmsn
se	sebe	Px--sa
poziva	pozivati	Vmr3s
na	na	Sa
činjenicu	činjenica	Ncfsa
da	da	Cs
je	biti	Var3s
zakonodavac	zakonodavac	Ncmsn
već	već	Rgp
u	u	Sl
siječnju	siječanj	Ncmsl
2012.	2012.	Mdo
godine	godina	Ncfsg
,	,	Z
donošenjem	donošenje	Ncnsi
ZIZoSSI-ja	ZIZoSSI-j	Npmsg
:	:	Z
12/12	12/12	Mdc
,	,	Z
ispravio	ispraviti	Vmp-sm
prethodni	prethodan	Agpmsayn
propust	propust	Ncmsan
tako	tako	Cs
da	da	Cs
je	biti	Var3s
uredio	urediti	Vmp-sm
pravila	pravilo	Ncnpg
za	za	Sa
zatečene	zateći	Agpmpay
dužnosnike	dužnosnik	Ncmpa
–	i	Agpmpay
članove	član	Ncmpa
NO	no	Cc
.	.	Z

Stoga	stoga	Rgp
je	biti	Var3s
podnositelj	podnositelj	Ncmsn
mogao	moći	Vmp-sm
opravdano	opravdati	Appnsny
očekivati	očekivati	Vmn
da	da	Cs
će	htjeti	Var3s
se	sebe	Px--sa
tumačenje	tumačenje	Ncnsn
mjerodavnih	mjerodavan	Agpfpgy
zakonskih	zakonski	Agpfpgy
odredaba	odredba	Ncfpg
nastaviti	nastaviti	Vmn
u	u	Sl
smislu	smisao	Ncmsl
ranije	rano	Rgc
postojećeg	postojeći	Agpnsgy
zakonskog	zakonski	Agpnsgy
uređenja	uređenje	Ncnsg
odnosno	odnosno	Rgp
ranijih	raniji	Agpnpgy
prijelaznih	prijelazan	Agpfpgy
zakonskih	zakonski	Agpfpgy
odredaba	odredba	Ncfpg
:	:	Z

»	»	Z
4.	4.	Mdo
Kao	kao	Cs
jasan	jasan	Agpmsnn
dokaz	dokaz	Ncmsn
pravilnosti	pravilnost	Ncfsg
tog	taj	Pd-nsg
očekivanja	očekivanje	Ncnsg
,	,	Z
ali	ali	Cc
i	i	Qo
dokaz	dokaz	Ncmsn
da	da	Cs
je	biti	Var3s
zakonodavac	zakonodavac	Ncmsn
propustio	propustiti	Vmp-sm
u	u	Sl
ZSSI-ju	ZSSI-j	Npmsl
urediti	urediti	Vmn
prijelazna	prijelazan	Agpnpay
pravila	pravilo	Ncnpa
ponašanja	ponašanje	Ncnsg
za	za	Sa
takve	takav	Pd-mpa

