jedna	jedan	Mlcfsn
zahtjev	zahtjev	Ncmsan
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
svojeg	svoj	Px-msg
sustava	sustav	Ncmsg
kvalitete	kvaliteta	Ncfsg
za	za	Sa
predmetna	predmetni	Agpnpay
dizala	dizalo	Ncnpa
jednom	jednom	Rgp
prijavljenom	prijaviti	Mlcnsl
tijelu	tijelo	Ncnsl
po	po	Sl
svojem	svoj	Px-msl
izboru	izbor	Ncmsl
.	.	Z

Zahtjev	zahtjev	Ncmsn
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
:	:	Z

–	–	Agpmsny
naziv	naziv	Ncmsn
i	i	Cc
adresu	adresa	Ncfsa
proizvođača	proizvođač	Ncmpg
te	te	Cc
naziv	naziv	Ncmsn
i	i	Cc
adresu	adresa	Ncfsa
ovlaštenog	ovlašten	Agpmsgy
zastupnika	zastupnik	Ncmsg
ako	ako	Cs
je	biti	Var3s
on	on	Pp3msn
podnio	podnijeti	Vmp-sm
zahtjev	zahtjev	Ncmsan
;	;	Z

–	–	Sa
sve	sav	Agpmpay
relevantne	relevantan	Agpmpay
podatke	podatak	Ncmpa
o	o	Sl
dizalima	dizalo	Ncnpl
koja	koji	Pi-npn
će	htjeti	Var3s
se	sebe	Px--sa
ugrađivati	ugrađivati	Vmn
;	;	Z

–	i	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
o	o	Sl
sustavu	sustav	Ncmsl
kvalitete	kvaliteta	Ncfsg
;	;	Z

–	i	Agpfsay
tehničku	tehnički	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
dizala	dizalo	Ncnpg
koja	koji	Pi-npn
će	htjeti	Var3s
se	sebe	Px--sa
ugraditi	ugraditi	Vmn
;	;	Z

–	–	Sa
pisanu	pisan	Agpfsay
izjavu	izjava	Ncfsa
kojom	koji	Pi-fsi
izjavljuje	izjavljivati	Vmr3s
da	da	Cs
isti	isti	Agpmsny
zahtjev	zahtjev	Ncmsn
nije	biti	Var3s
podnesen	podnijeti	Appmsnn
niti	niti	Qo
jednom	jednom	Rgp
drugom	drugi	Mlofsi
prijavljenom	prijaviti	Agpnsly
tijelu	tijelo	Ncnsl
.	.	Z

3.2.	3.2.	Mdo

U	u	Sl
sklopu	sklop	Ncmsl
sustava	sustav	Ncmsg
kvalitete	kvaliteta	Ncfsg
svako	svaki	Pi-nsn
se	sebe	Px--sa
dizalo	dizati	Vmp-sn
pregledava	pregledavati	Vmr3s
i	i	Cc
moraju	morati	Vmr3p
biti	biti	Van
provedena	provesti	Appnpny
odgovarajuća	odgovarajući	Agpnpay
ispitivanja	ispitivanje	Ncnpa
kao	kao	Cs
što	što	Cs
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
relevantnim	relevantan	Agpfpiy
usklađenim	uskladiti	Agpfpiy
normama	norma	Ncfpi
ili	ili	Cc
istovjetna	istovjetan	Agpnpny
ispitivanja	ispitivanje	Ncnpn
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
osigurala	osigurati	Vmp-sf
njegova	njegov	Ps3fsn
sukladnost	sukladnost	Ncfsn
s	sa	Si
primjenjivim	primjenjiv	Agpmpiy
bitnim	bitan	Agpmpiy
zdravstvenim	zdravstven	Agpmpiy
i	i	Cc
sigurnosnim	sigurnosni	Agpmpiy
zahtjevima	zahtjev	Ncmpi
utvrđenima	utvrditi	Ncmpl
u	u	Sl
Prilogu	prilog	Ncmsl
I.	ii	Agpmsly

Svi	sav	Agpmpny
elementi	element	Ncmpn
,	,	Z
zahtjevi	zahtjev	Ncmpn
i	i	Cc
mjere	mjera	Ncfpa
koje	koji	Pi-fpa
je	biti	Var3s
usvojio	usvojiti	Vmp-sm
ugraditelj	ugraditelj	Ncmsan
moraju	morati	Vmr3p
se	sebe	Px--sa
sustavno	sustavno	Rgp
i	i	Cc
uredno	uredno	Rgp
dokumentirati	dokumentirati	Vmn
u	u	Sl
obliku	oblik	Ncmsl
pisanih	pisan	Agpfpgy
mjera	mjera	Ncfpg
,	,	Z
postupaka	postupak	Ncmpg
i	i	Cc
uputa	uputa	Ncfpg
.	.	Z

Ta	taj	Pd-fsn
dokumentacija	dokumentacija	Ncfsn
o	o	Sl
sustavu	sustav	Ncmsl
kvalitete	kvaliteta	Ncfsg
mora	morati	Vmr3s
omogućavati	omogućavati	Vmn
dosljedno	dosljedan	Agpnsay
tumačenje	tumačenje	Ncnsa
programa	program	Ncmpg
,	,	Z
planova	plan	Ncmpg
,	,	Z
priručnika	priručnik	Ncmpg
i	i	Cc
bilješki	bilješka	Ncfpg
o	o	Sl
kvaliteti	kvaliteta	Ncfsl
.	.	Z

Posebno	posebno	Rgp
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
odgovarajući	odgovarajući	Agpmsayn
opis	opis	Ncmsan
:	:	Z

–		Agpmpgy
ciljeva	cilj	Ncmpg
kvalitete	kvaliteta	Ncfsg
;	;	Z

–	–	Z
organizacijske	organizacijski	Agpfsgy
strukture	struktura	Ncfsg
,	,	Z
odgovornosti	odgovornost	Ncfsg
i	i	Cc
ovlasti	ovlast	Ncfsl
uprave	uprava	Ncfsg
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
kvalitetu	kvaliteta	Ncfsa
proizvoda	proizvod	Ncmpg
;	;	Z

–	–	Z
pregleda	pregled	Ncmsg
i	i	Cc
ispitivanja	ispitivanje	Ncnsg
koji	koji	Pi-mpn
će	htjeti	Var3p
se	sebe	Px--sa
obavljati	obavljati	Vmn
prije	prije	Sg
stavljanja	stavljanje	Ncnsg
na	na	Sa
tržište	tržište	Ncnsa
i	i	Cc
u	u	Sa
uporabu	uporaba	Ncfsa
,	,	Z
uključujući	uključivati	Rr
barem	barem	Qo
ispitivanja	ispitivanje	Ncnsg
određena	odrediti	Appfsny
u	u	Sl
Prilogu	prilog	Ncmsl
V.	i	Agpfsly
točki	točka	Ncfsl
3.3.	3.3.	Mds
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
;	;	Z

–	–	Sg
načina	način	Ncmpg
praćenja	praćenje	Ncnsg
učinkovitog	učinkovit	Agpnsgy
funkcioniranja	funkcioniranje	Ncnsg
sustava	sustav	Ncmsg
kvalitete	kvaliteta	Ncfsg
;	;	Z

–	i	Agpmpay
zapise	zapis	Ncmpa
o	o	Sl
kvaliteti	kvaliteta	Ncfsl
,	,	Z
kao	kao	Cs
što	što	Cs
su	biti	Var3p
izvješća	izvješće	Ncnpa
o	o	Sl
provjeri	provjera	Ncfsl
,	,	Z
podaci	podatak	Ncmpn
o	o	Sl
ispitivanju	ispitivanje	Ncnsl
i	i	Cc
kalibraciji	kalibracija	Ncfsl
,	,	Z
izvješća	izvješće	Ncnsg
o	o	Sl
stručnoj	stručan	Agpfsly
osposobljenosti	osposobljenost	Ncfsl
zaposlenika	zaposlenik	Ncmpg
.	.	Z

3.3.	3.3.	Mdo

Prijavljeno	prijaviti	Agpnsny
tijelo	tijelo	Ncnsn
mora	morati	Vmr3s
ocijeniti	ocijeniti	Vmn
sustav	sustav	Ncmsan
kvalitete	kvaliteta	Ncfsg
kako	kako	Cs
bi	biti	Vaa3s
utvrdilo	utvrditi	Vmp-sn
udovoljava	udovoljavati	Vmr3s
li	li	Qq
zahtjevima	zahtjev	Ncmpi
iz	iz	Sg
točke	točka	Ncfsg
3.2.	3.2.	Mds

Ono	on	Pp3nsn
pretpostavlja	pretpostavljati	Vmr3s

