ugašenih	ugasiti	Appmpgy
nenamjernu	nenamjeran	Agpfsay
kritičnost	kritičnost	Ncfsa
kroz	kroz	Sa
fizička	fizički	Agpnpay
sredstva	sredstvo	Ncnpa
,	,	Z
npr.	npr.	Y
kroz	kroz	Sa
odgovarajuću	odgovarajući	Agpfsay
geometriju	geometrija	Ncfsa
ili	ili	Cc
trajnim	trajan	Agpmply
apsorberima	apsorber	Ncmpl
neutrona	neutron	Ncmpg
;	;	Z

b	b	Npmsn
)	)	Z
minimalizirati	minimalizirati	Vmn
rizik	rizik	Ncmsan
od	od	Sg
gubitka	gubitak	Ncmsg
goriva	gorivo	Ncnsg
ili	ili	Cc
oštećenja	oštećenje	Ncnsg
,	,	Z
spriječiti	spriječiti	Vmn
padove	pad	Ncmpa
teških	težak	Agpmpgy
predmeta	predmet	Ncmpg
i	i	Cc
prekomjerno	prekomjeran	Agpnsny
opterećenje	opterećenje	Ncnsn
gorivih	goriv	Agpmpgy
elemenata	element	Ncmpg
;	;	Z

c	C	Npmsn
)	)	Z
skladištenje	skladištenje	Ncnsn
oštećenih	oštetiti	Agpmpgy
gorivih	goriv	Agpmpgy
elemenata	element	Ncmpg
,	,	Z
kontrola	kontrola	Ncfsn
kemijskih	kemijski	Agpmpgy
uvjeta	uvjet	Ncmpg
i	i	Cc
aktivnosti	aktivnost	Ncfsg
hlađenja	hlađenje	Ncnsg
i	i	Cc
pružanje	pružanje	Ncnsa
periodičkih	periodički	Agpmpgy
nadzora	nadzor	Ncmpg
i	i	Cc
provjeravanje	provjeravanje	Ncnsa
goriva	gorivo	Ncnsg
;	;	Z

d	d	Npmsn
)	)	Z
odgovarajuća	odgovarajući	Agpfsny
fizička	fizički	Agpfsny
zaštita	zaštita	Ncfsn
od	od	Sg
krađe	krađa	Ncfsg
ili	ili	Cc
sabotaže	sabotaža	Ncfsg
i	i	Cc
verifikacije	verifikacija	Ncfsg
identiteta	identitet	Ncmsg
pojedinih	pojedini	Agpmpgy
elemenata	element	Ncmpg
goriva	gorivo	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Projektiranje	projektiranje	Ncnsn
i	i	Cc
pogon	pogon	Ncmsan
nuklearne	nuklearan	Agpfsgy
elektrane	elektrana	Ncfsg
treba	trebati	Vmr3s
smanjiti	smanjiti	Vmn
volumen	volumen	Ncmsn
nastalog	nastao	Agpmsgy
radioaktivnog	radioaktivan	Agpmsgy
otpada	otpad	Ncmsg
.	.	Z

Sustavi	sustav	Ncmpn
za	za	Sa
rukovanje	rukovanje	Ncnsa
radioaktivnim	radioaktivan	Agpmsiy
otpadom	otpad	Ncmsi
trebaju	trebati	Vmr3p
smanjiti	smanjiti	Vmn
otpuštanje	otpuštanje	Ncnsa
i	i	Cc
pratiti	pratiti	Vmn
propisane	propisati	Agpfpay
granice	granica	Ncfpa
kroz	kroz	Sa
nadzor	nadzor	Ncmsan
i	i	Cc
praćenje	praćenje	Ncnsa
.	.	Z

Za	za	Sa
čvrsti	čvrst	Agpmsayn
i	i	Cc
tekući	tekući	Agpmsayn
radioaktivni	radioaktivan	Agpmsayn
otpad	otpad	Ncmsan
,	,	Z
potrebno	potreban	Agpnsny
je	biti	Var3s
osigurati	osigurati	Vmn
sustav	sustav	Ncmsan
za	za	Sa
rukovanje	rukovanje	Ncnsa
i	i	Cc
skladištenje	skladištenje	Ncnsa
na	na	Sl
licu	lice	Ncnsl
mjesta	mjesto	Ncnsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
smanjila	smanjiti	Vmp-sf
izloženost	izloženost	Ncfsn
osoblja	osoblje	Ncnsg
i	i	Cc
radioaktivna	radioaktivan	Agpnpny
otpuštanja	otpuštanje	Ncnpn
u	u	Sa
okoliš	okoliš	Ncmsan
,	,	Z
projektom	projekt	Ncmsi
je	biti	Var3s
potrebno	potreban	Agpnsny
osigurati	osigurati	Vmn
zaštitu	zaštita	Ncfsa
i	i	Cc
sustave	sustav	Ncmpa
radioaktivnog	radioaktivan	Agpmsgy
raspada	raspad	Ncmsg
.	.	Z

Potrebno	potreban	Agpnsny
je	biti	Var3s
osigurati	osigurati	Vmn
sredstva	sredstvo	Ncnpa
za	za	Sa
mjerenje	mjerenje	Ncnsa
radioaktivnog	radioaktivan	Agpnsgy
ispuštanja	ispuštanje	Ncnsg
u	u	Sa
okoliš	okoliš	Ncmsan
kao	kao	Cs
što	što	Cs
su	biti	Var3p
uzorkovanje	uzorkovanje	Ncnsn
i	i	Cc
praćenje	praćenje	Ncnsa
ispuštanja	ispuštanje	Ncnsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Projektom	projekt	Ncmsi
je	biti	Var3s
potrebno	potreban	Agpnsny
osigurati	osigurati	Vmn
sredstva	sredstvo	Ncnpa
za	za	Sa
rukovanje	rukovanje	Ncnsa
radioaktivnim	radioaktivan	Agpmsiy
otpadom	otpad	Ncmsi
,	,	Z
prikupljanje	prikupljanje	Ncnsa
,	,	Z
obradu	obrada	Ncfsa
,	,	Z
skladištenje	skladištenje	Ncnsa
i	i	Cc
transport	transport	Ncmsan
od	od	Sg
mjesta	mjesto	Ncnsg
.	.	Z

Sustav	sustav	Ncmsn
za	za	Sa
rukovanje	rukovanje	Ncnsa
tekućim	tekući	Agpmsiy
radioaktivnim	radioaktivan	Agpmsiy
otpadom	otpad	Ncmsi
treba	trebati	Vmr3s
osigurati	osigurati	Vmn
detekciju	detekcija	Ncfsa
propuštanja	propuštanje	Ncnsg
i	i	Cc
hvatanje	hvatanje	Ncnsa
otpuštenih	otpustiti	Agpfpgy
tvari	tvar	Ncfpg
.	.	Z

2.	2.	Mdo
SIGURNOSNA	sigurnosni	Agpfsny
KLASIFIKACIJA	klasifikacija	Ncfsn
I	i	Cc
KATEGORIZACIJA	kategorizacija	Ncfsn
STRUKTURA	struktura	Ncfpg
,	,	Z
SUSTAVA	sustav	Ncmsg
I	i	Cc
KOMPONENTI	komponenta	Ncfsl

2.1	2.i	Agpfsny
Sigurnosna	sigurnosni	Agpfsny
klasifikacija	klasifikacija	Ncfsn
struktura	struktura	Ncfpg
,	,	Z
sustava	sustav	Ncmsg
i	i	Cc
komponenti	komponenta	Ncfsl

(	(	Z
1	1	Mdc
)	)	Z
Svaki	svaki	Pi-msn
SSK	SSK	Pi-fsn
treba	trebati	Vmr3s
biti	biti	Van
klasificiran	klasificirati	Appmsnn
u	u	Sa
sigurnosnu	sigurnosni	Agpfsay
klasu	klasa	Ncfsa
prema	prema	Sl
njegovoj	njegov	Ps3fsl
sigurnosnoj	sigurnosni	Agpfsly
važnosti	važnost	Ncfsl
.	.	Z

SSK	ssi	Agpnsny
je	biti	Var3s
potrebno	potreban	Agpnsny
projektirati	projektirati	Vmn
,	,	Z
proizvesti	proizvesti	Vmn
i	i	Cc
održavati	održavati	Vmn
kako	kako	Cs
bi	biti	Vaa3p
osigurali	osigurati	Vmp-pm
pouzdanost	pouzdanost	Ncfsa
i	i	Cc
kvalitetu	kvaliteta	Ncfsa
primjerenu	primjeren	Agpfsay
važnosti	važnost	Ncfsg
SSK	sskti	Vmr3s
za	za	Sa
sigurnost	sigurnost	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Klasifikaciju	klasifikacija	Ncfsa
SSK	SSK	Npmsn
u	u	Sl
klasama	klasa	Ncfpl
sigurnosti	sigurnost	Ncfsg
prema	prema	Sl
njihovoj	njihov	Ps3fsl
važnosti	važnost	Ncfsl
za	za	Sa
sigurnost	sigurnost	Ncfsa
potrebno	potreban	Agpnsny
je	biti	Var3s
temeljiti	temeljiti	Vmn
na	na	Sl
analizama	analiza	Ncfpl
nuklearne	nuklearan	Agpfsgy
sigurnosti	sigurnost	Ncfsg
provedenim	provesti	Mlcfsi
uporabom	uporaba	Ncfsi
determinističkih	deterministički	Agpfpgy
metoda	metoda	Ncfpg
i	i	Cc
nadopunjena	nadopuniti	Appfsny
vjerojtanosnim	vjerojtanosan	Agpfpiy
metodama	metoda	Ncfpi
i	i	Cc
inženjerskom	inženjerski	Agpfsiy
procjenom	procjena	Ncfsi
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Za	za	Sa
svaku	svaki	Pi-fsa
sigurnosnu	sigurnosni	Agpfsay
klasu	klasa	Ncfsa
,	,	Z
sigurnosnom	sigurnosni	Agpfsiy
klasifikacijom	klasifikacija	Ncfsi
potrebno	potreban	Agpnsny
je	biti	Var3s
odrediti	odrediti	Vmn
:	:	Z

a	a	Cc
)	)	Z
propise	propis	Ncmpa
i	i	Cc
standarde	standard	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
primjenjuju	primjenjivati	Vmr3p
za	za	Sa
projektiranje	projektiranje	Ncnsa
,	,	Z
proizvodnju	proizvodnja	Ncfsa
,	,	Z
postavljanje	postavljanje	Ncnsa
i	i	Cc
nadzor	nadzor	Ncmsan
;	;	Z

b	b	Agpmpay
)	)	Z
uvjete	uvjet	Ncmpa
za	za	Sa
izvor	izvor	Ncmsan
napajanja	napajanje	Ncnsg
za	za	Sa
izvanredne	izvanredan	Agpfpay
situacije	situacija	Ncfpa
i	i	Cc
SSK	ssi	Agpfsgy
usklađenosti	usklađenost	Ncfsg
s	sa	Si
predviđenim	predvidjeti	Agpmpiy
okolišnim	okolišni	Agpmpiy
uvjetima	uvjet	Ncmpi
.	.	Z

c	C	Npmsn
)	)	Z
dostupnost	dostupnost	Ncfsn
/	/	Z
nedostupnost	nedostupnost	Ncfsn
sustava	sustav	Ncmsg
potrebnih	potreban	Agpmpgy
za	za	Sa
postizanje	postizanje	Ncnsa
sigurnosne	sigurnosni	Agpfsgy
funkcije	funkcija	Ncfsg
prilikom	prilikom	Sg
pokretanja	pokretanje	Ncnsg
događaja	događaj	Ncmpg
pretpostavljenih	pretpostaviti	Appmpgy
u	u	Sl
sigurnosnim	sigurnosni	Agpfply
analizama	analiza	Ncfpl
uporabom	uporaba	Ncfsi
determinističkih	deterministički	Agpfpgy
metoda	metoda	Ncfpg
;	;	Z

d	i	Agpmpay
)	)	Z
uvjete	uvjet	Ncmpa
za	za	Sa
osiguranje	osiguranje	Ncnsa
kvalitete	kvaliteta	Ncfsg
.	.	Z

2.2	2.i	Agpfsny
Kategorizacija	kategorizacija	Ncfsn
struktura	struktura	Ncfpg
,	,	Z
sustava	sustav	Ncmsg
i	i	Cc
komponenti	komponenta	Ncfsl

(	(	Z
1	1	Mdc
)	)	Z
SSK	SSK	Npmsn
može	moći	Vmr3s
se	sebe	Px--sa
kategorizirati	kategorizirati	Vmn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
SSK	ss	Ncmsl
kategorizacija	kategorizacija	Ncfsn
znači	značiti	Vmr3s
klasifikaciju	klasifikacija	Ncfsa
SSK	SSK	Npmsan
u	u	Sa
četiri	četiri	Mlc
sigurnosne	sigurnosni	Agpfsgy
kategorije	kategorija	Ncfsg
prema	prema	Sl
njihovoj	njihov	Ps3fsl
važnosti	važnost	Ncfsl
za	za	Sa
rizike	rizik	Ncmpa
određenih	određen	Agpmpgy
vjerojatnosnom	vjerojatnosno	Ncmpg
sigurnosnom	sigurnosni	Agpfsiy
procjenom	procjena	Ncfsi
:	:	Z

a	a	Cc
)	)	Z
sigurnosna	sigurnosni	Agpfsny
kategorija	kategorija	Ncfsn
jedan	jedan	Mlcmsn
(	(	Z
SC	SC	Npmsn
–	–	Z
1	1	Mdc
)	)	Z
obuhvaća	obuhvaćati	Vmr3s
SSK	ssk	Ncmsan
koji	koji	Pi-mpn
su	biti	Var3p
klasificirani	klasificirati	Appmpny
kao	kao	Cs
sigurnosno	sigurnosno	Rgp
orijentirani	orijentirati	Appmpny
na	na	Sa
postizanje	postizanje	Ncnsa
funkcije	funkcija	Ncfsg
kritične	kritičan	Agpfsgy
za	za	Sa
sigurnost	sigurnost	Ncfsa
;	;	Z

b	b	Npmsn
)	)	Z
sigurnosna	sigurnosni	Agpfsny
kategorija	kategorija	Ncfsn
dva	dva	Mlc
(	(	Z
SC	sc	Ncmsn
–	–	Z
2	2	Mdc
)	)	Z
obuhvaća	obuhvaćati	Vmr3s
SSK	ssk	Ncmsan
koji	koji	Pi-mpn
nisu	biti	Var3p
klasificirani	klasificirati	Appmpny

