reosiguranja	reosiguranje	Ncnsg
osiguranje	osiguranje	Ncnsa
života	život	Ncmsg
za	za	Sa
izračun	izračun	Ncmsan
izdataka	izdatak	Ncmpg
za	za	Sa
štete	šteta	Ncfpa
u	u	Sa
posljednje	posljednji	Agpfpay
tri	tri	Mlc
godine	godina	Ncfsg

–	–	Npmsn
GSP	GSP	Npmsn
–	–	Z
GSDO	gsdo	Agpmsayn
Izvještaj	izvještaj	Ncmsan
o	o	Sl
granici	granica	Ncfsl
solventnosti	solventnost	Ncfsg
malog	mali	Agpnsgy
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
koje	koji	Pi-nsn
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
dopunskih	dopunski	Agpnpgy
osiguranja	osiguranje	Ncnpg
uz	uz	Sa
osiguranje	osiguranje	Ncnsa
života	život	Ncmsg
utvrđenoj	utvrditi	Appfsly
na	na	Sl
osnovi	osnova	Ncfsl
premija	premija	Ncfsn

–	–	Npfsn
GSŠ	GSŠ	Npfsn
–	–	Z
GSDO	gsdo	Agpmsayn
Izvještaj	izvještaj	Ncmsan
o	o	Sl
granici	granica	Ncfsl
solventnosti	solventnost	Ncfsg
malog	mali	Agpnsgy
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
koje	koji	Pi-nsn
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
dopunskih	dopunski	Agpnpgy
osiguranja	osiguranje	Ncnpg
uz	uz	Sa
osiguranje	osiguranje	Ncnsa
života	život	Ncmsg
utvrđenoj	utvrditi	Appfsly
na	na	Sl
osnovi	osnova	Ncfsl
šteta	šteta	Ncfsn

3.	3.	Mdo
Izvještaji	izvještaj	Ncmpn
za	za	Sa
neživotna	neživotan	Agpnpay
osiguranja	osiguranje	Ncnpa
:	:	Z

–	–	Agpmsny
Pomoćni	pomoćan	Agpmsny
izvještaj	izvještaj	Ncmsn
malog	mali	Agpnsgy
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
za	za	Sa
izračun	izračun	Ncmsan
izdataka	izdatak	Ncmpg
za	za	Sa
štete	šteta	Ncfpa
u	u	Sa
posljednje	posljednji	Agpfpay
tri	tri	Mlc
godine	godina	Ncfsg
(	(	Z
neživotna	neživotan	Agpnpny
osiguranja	osiguranje	Ncnpn
)	)	Z
(	(	Z
Obrazac	obrazac	Ncmsn
:	:	Z
POM	P	Npmsi
)	)	Z

–	–	Agpmsny
Izvještaj	izvještaj	Ncmsn
o	o	Sl
granici	granica	Ncfsl
solventnosti	solventnost	Ncfsg
malog	mali	Agpnsgy
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
utvrđenoj	utvrditi	Appfsly
na	na	Sl
osnovi	osnova	Ncfsl
premija	premija	Ncfsn
(	(	Z
neživotna	neživotan	Agpfsny
osiguranja	osiguranje	Ncnsg
)	)	Z
(	(	Z
Obrazac	obrazac	Ncmsn
:	:	Z
GSP	GSP	Npmsn
)	)	Z

–	–	Agpmsny
Izvještaj	izvještaj	Ncmsn
o	o	Sl
granici	granica	Ncfsl
solventnosti	solventnost	Ncfsg
malog	mali	Agpnsgy
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
utvrđenoj	utvrditi	Appfsly
na	na	Sl
osnovi	osnova	Ncfsl
šteta	šteta	Ncfsn
(	(	Z
neživotna	neživotan	Agpfsny
osiguranja	osiguranje	Ncnsg
)	)	Z
(	(	Z
Obrazac	obrazac	Ncmsn
:	:	Z
GSŠ	gsš	Ncmsn
)	)	Z

4.	4.	Mdo
Izvještaj	izvještaj	Ncmsan
o	o	Sl
granici	granica	Ncfsl
solventnosti	solventnost	Ncfsg
malog	mali	Agpnsgy
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
koje	koji	Pi-nsn
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
zdravstvenog	zdravstven	Agpnsgy
osiguranja	osiguranje	Ncnsg
(	(	Z
Obrazac	obrazac	Ncmsn
:	:	Z
ZO	ZO	Npmsn
)	)	Z
:	:	Z

–	–	Z
POM	P	Npmsi
–	–	Z
ZO	ZO	Npmsn
Pomoćni	pomoćan	Agpmsny
izvještaj	izvještaj	Ncmsn
malog	mali	Agpnsgy
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
koje	koji	Pi-nsn
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
zdravstvenog	zdravstven	Agpnsgy
osiguranja	osiguranje	Ncnsg
za	za	Sa
izračun	izračun	Ncmsan
izdataka	izdatak	Ncmpg
za	za	Sa
štete	šteta	Ncfpa
u	u	Sa
posljednje	posljednji	Agpfpay
tri	tri	Mlc
godine	godina	Ncfsg

–	–	Npmsn
GSP	GSP	Npmsn
–	–	Z
ZO	zo	Agpmsayn
Izvještaj	izvještaj	Ncmsan
o	o	Sl
granici	granica	Ncfsl
solventnosti	solventnost	Ncfsg
malog	mali	Agpnsgy
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
koje	koji	Pi-nsn
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
zdravstvenog	zdravstven	Agpnsgy
osiguranja	osiguranje	Ncnsg
utvrđenoj	utvrditi	Appfsly
na	na	Sl
osnovi	osnova	Ncfsl
premija	premija	Ncfsn

–	–	Npfsn
GSŠ	GSŠ	Npfsn
–	–	Z
ZO	zo	Agpmsayn
Izvještaj	izvještaj	Ncmsan
o	o	Sl
granici	granica	Ncfsl
solventnosti	solventnost	Ncfsg
malog	mali	Agpnsgy
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
koje	koji	Pi-nsn
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
zdravstvenog	zdravstven	Agpnsgy
osiguranja	osiguranje	Ncnsg
utvrđenoj	utvrditi	Appfsly
na	na	Sl
osnovi	osnova	Ncfsl
šteta	šteta	Ncfsn

5.	5.	Mdo
Izvještaj	izvještaj	Ncmsan
o	o	Sl
granici	granica	Ncfsl
solventnosti	solventnost	Ncfsg
malog	mali	Agpnsgy
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
koje	koji	Pi-nsn
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
neživotnih	neživotan	Agpnpgy
osiguranja	osiguranje	Ncnpg
(	(	Z
Obrazac	obrazac	Ncmsn
:	:	Z
GS	GS	Npmsn
–	–	Z
NO	no	Cc
)	)	Z

(	(	Z
2	2	Mdc
)	)	Z
Oblik	oblik	Ncmsan
i	i	Cc
sadržaj	sadržaj	Ncmsan
izvještaja	izvještaj	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
propisani	propisati	Appmpny
su	biti	Var3p
obrascima	obrazac	Ncmpi
iz	iz	Sg
Priloga	prilog	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Obrazac	obrazac	Ncmsn
GS	GS	Npmsn
–	–	Z
ŽO	ŽO	Npmsn

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Obrazac	obrazac	Ncmsn
GS	GS	Npmsn
–	–	Z
ŽO	ŽO	Npmsn
služi	služiti	Vmr3s
za	za	Sa
utvrđivanje	utvrđivanje	Ncnsa
granice	granica	Ncfsg
solventnosti	solventnost	Ncfsg
malog	mali	Agpnsgy
društva	društvo	Ncnsg
za	za	Sa
osiguranja	osiguranje	Ncnsg
koje	koji	Pi-nsn
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
životnih	životan	Agpnpgy
osiguranja	osiguranje	Ncnpg
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
članka	članak	Ncmsg
12.	12.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

U	u	Sa
stupac	stupac	Ncmsan
I.	I.	Mro
unose	unositi	Vmr3p
se	sebe	Px--sa
podaci	podatak	Ncmpn
za	za	Sa
životno	životan	Agpnsay
osiguranje	osiguranje	Ncnsa
,	,	Z
a	a	Cc
u	u	Sa
stupac	stupac	Ncmsan
II	ii	Mrc
.	.	Z
za	za	Sa
rentno	rentni	Agpnsay
osiguranje	osiguranje	Ncnsa
.	.	Z

U	u	Sa
stupac	stupac	Ncmsan
III	III	Mrc
.	.	Z
unose	unositi	Vmr3p
se	sebe	Px--sa
podaci	podatak	Ncmpn
za	za	Sa
osiguranje	osiguranje	Ncnsa
života	život	Ncmsg
i	i	Cc
rentno	rentni	Agpnsay
osiguranje	osiguranje	Ncnsa
kod	kod	Sg
kojih	koji	Pi-mpg
ugovaratelj	ugovaratelj	Ncmsn
osiguranja	osiguranje	Ncnsg
snosi	snositi	Vmr3s
rizik	rizik	Ncmsan
ulaganja	ulaganje	Ncnsg
na	na	Sa
sljedeći	sljedeći	Agpmsayn
način	način	Ncmsan
:	:	Z

–	–	Z
u	u	Sa
stupac	stupac	Ncmsan
c	C	Npmsn
unose	unositi	Vmr3p
se	sebe	Px--sa
podaci	podatak	Ncmpn
ako	ako	Cs
malo	mali	Agpnsny
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
snosi	snositi	Vmr3s
rizik	rizik	Ncmsan
ulaganja	ulaganje	Ncnsg

–	–	Z
u	u	Sa
stupac	stupac	Ncmsan
d		Ncfpl
unose	unositi	Vmr3p
se	sebe	Px--sa
podaci	podatak	Ncmpn
ako	ako	Cs
malo	mali	Agpnsny
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
ne	ne	Qz
snosi	snositi	Vmr3s
rizik	rizik	Ncmsan
ulaganja	ulaganje	Ncnsg
,	,	Z
ali	ali	Cc
su	biti	Var3p
troškovi	trošak	Ncmpn
upravljanja	upravljanje	Ncnsg
određeni	određen	Agpmpny
i	i	Cc
nepromjenjivi	nepromjenjiv	Agpmpny
za	za	Sa
razdoblje	razdoblje	Ncnsa
dulje	dugo	Rgc
od	od	Sg
5	5	Mdc
godina	godina	Ncfpg

–	–	Z
u	u	Sa
stupac	stupac	Ncmsan
e	e	Ncfpl
unose	unositi	Vmr3p
se	sebe	Px--sa
podaci	podatak	Ncmpn
ako	ako	Cs
malo	mali	Agpnsny
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
ne	ne	Qz
snosi	snositi	Vmr3s
rizik	rizik	Ncmsan
ulaganja	ulaganje	Ncnsg
i	i	Cc
troškovi	trošak	Ncmpn
upravljanja	upravljanje	Ncnsg
nisu	biti	Var3p
određeni	određen	Agpmpny
i	i	Cc
nepromjenjivi	nepromjenjiv	Agpmpny

–	–	Z
u	u	Sa
stupac	stupac	Ncmsan
f		Ncfpl
unose	unositi	Vmr3p
se	sebe	Px--sa
podaci	podatak	Ncmpn
ako	ako	Cs
malo	mali	Agpnsny
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
snosi	snositi	Vmr3s
rizik	rizik	Ncmsan
smrti	smrt	Ncfsg
osiguranika	osiguranik	Ncmsg

–	–	Z
u	u	Sa
stupac	stupac	Ncmsan
g	g	Ncfpl
unose	unositi	Vmr3p
se	sebe	Px--sa
podaci	podatak	Ncmpn
za	za	Sa
ukupan	ukupan	Agpmsann
iznos	iznos	Ncmsan
granica	granica	Ncfpg
solventnosti	solventnost	Ncfsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
života	život	Ncmsg
i	i	Cc
rentno	rentni	Agpnsay
osiguranje	osiguranje	Ncnsa
kod	kod	Sg
kojih	koji	Pi-mpg
ugovaratelj	ugovaratelj	Ncmsn
osiguranja	osiguranje	Ncnsg
snosi	snositi	Vmr3s
rizik	rizik	Ncmsan
ulaganja	ulaganje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Granica	granica	Ncfsn
solventnosti	solventnost	Ncfsg
za	za	Sa
mala	mali	Agpnpay
društva	društvo	Ncnpa
koja	koji	Pi-npn
obavljaju	obavljati	Vmr3p
poslove	posao	Ncmpa
životnog	životan	Agpmsgy
i	i	Cc
rentnog	rentni	Agpnsgy
osiguranja	osiguranje	Ncnsg
izračunava	izračunavati	Vmr3s
se	sebe	Px--sa
kao	kao	Cs
zbroj	zbroj	Ncmsn
prvog	prvi	Mlomsg
i	i	Cc
drugog	drugi	Mlomsg
rezultata	rezultat	Ncmsg
,	,	Z
definiranih	definirati	Appmpgy
odredbama	odredba	Ncfpi
članka	članak	Ncmsg
12.	12.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
na	na	Sa
sljedeći	sljedeći	Agpmsayn
način	način	Ncmsan
:	:	Z

1.	1.	Mdo
Prvi	prvi	Mlomsn
rezultat	rezultat	Ncmsn
izračunava	izračunavati	Vmr3s
se	sebe	Px--sa
kako	kako	Cs
slijedi	slijediti	Vmr3s
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
Bruto	bruto	Agpmsny
iznos	iznos	Ncmsn
matematičkih	matematički	Agpfpgy
pričuva	pričuva	Ncfpg
obračunatih	obračunati	Appfpgy
na	na	Sa
zadnji	zadnji	Agpmsayn
dan	dan	Ncmsan
prethodnog	prethodan	Agpnsgy
poslovnog	poslovan	Agpnsgy
razdoblja	razdoblje	Ncnsg
množi	množiti	Vmr3s
se	sebe	Px--sa
s	sa	Si
0,04.	0,04.	Mdo

U	u	Sl
obrascu	obrazac	Ncmsl
GS	G	Npmsl
–	–	Z
ŽO	ŽO	Npmsn
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
2.	2.	Mdo
(	(	Z
stupac	stupac	Ncmsn
a	a	Cc
,	,	Z
b	b	X
)	)	Z
iskazan	iskazati	Appmsnn
je	biti	Var3s
iznos	iznos	Ncmsn
bruto	brutti	Vmp-sm
matematičkih	matematički	Agpfpgy
pričuva	pričuva	Ncfpg
obračunatih	obračunati	Appfpgy
na	na	Sa
zadnji	zadnji	Agpmsayn
dan	dan	Ncmsan
prethodnog	prethodan	Agpnsgy
poslovnog	poslovan	Agpnsgy
razdoblja	razdoblje	Ncnsg
,	,	Z
a	a	Cc
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
1.	1.	Mdo
(	(	Z
stupac	stupac	Ncmsn
a	a	Cc
,	,	Z
b	b	Ncfpn
)	)	Z
faktor	faktor	Ncmsan
umnoška	umnožak	Ncmsg
.	.	Z

Umnožak	umnožak	Ncmsn
tih	taj	Pd-fpg
dviju	dva	Mlcf-g
vrijednosti	vrijednost	Ncfpg
u	u	Sl
obrascu	obrazac	Ncmsl
GS	G	Npmsl
–	–	Z
ŽO	ŽO	Npmsn
iskazuje	iskazivati	Vmr3s
se	sebe	Px--sa
pod	pod	Si
rednim	redni	Agpmsiy
brojem	broj	Ncmsi

