hrvatskog	hrvatski	Agpmsgy
članka	članak	Ncmsg
sadrži	sadržati	Vmr3s
:	:	Z
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
Zbirka	zbirka	Ncfsn
podataka	podatak	Ncmpg
o	o	Sl
izdanim	izdan	Agpfply
boravišnim	boravišni	Agpfply
iskaznicama	iskaznica	Ncfpl
sadrži	sadržati	Vmr3s
:	:	Z
«	«	Z
.	.	Z

Iza	iza	Sg
stavka	stavak	Ncmsg
6.	6.	Mdo
dodaju	dodati	Vmr3p
se	sebe	Px--sa
stavci	stavak	Ncmpn
7.	7.	Mdo
i	i	Cc
8.	8.	Mdo
koji	koji	Pi-mpn
glase	glasiti	Vmr3p
:	:	Z

»	»	Z
(	(	Z
7	7	Mdc
)	)	Z
Zbirka	zbirka	Ncfsn
podataka	podatak	Ncmpg
o	o	Sl
izdanim	izdan	Agpfply
potvrdama	potvrda	Ncfpl
o	o	Sl
prijavi	prijava	Ncfsl
privremenog	privremen	Agpmsgy
boravka	boravak	Ncmsg
sadrži	sadržati	Vmr3s
:	:	Z

–	i	Agpmpay
podatke	podatak	Ncmpa
o	o	Sl
strancu	stranac	Ncmsl
(	(	Z
ime	ime	Ncnsn
i	i	Cc
prezime	prezime	Ncnsa
,	,	Z
rođeno	roditi	Agpnsay
prezime	prezime	Ncnsa
,	,	Z
datum	datum	Ncmsan
,	,	Z
mjesto	mjesto	Ncnsa
i	i	Cc
državu	država	Ncfsa
rođenja	rođenje	Ncnsg
,	,	Z
državljanstvo	državljanstvo	Ncnsa
,	,	Z
spol	spol	Ncmsan
,	,	Z
ime	ime	Ncnsa
roditelja	roditelj	Ncmpg
,	,	Z
adresu	adresa	Ncfsa
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
,	,	Z
adresu	adresa	Ncfsa
u	u	Sl
inozemstvu	inozemstvo	Ncnsl
,	,	Z
OIB	OI	Npmsl
,	,	Z
podatke	podatak	Ncmpa
o	o	Sl
putovnici	putovnica	Ncfsl
ili	ili	Cc
osobnoj	osoban	Agpfsly
iskaznici	iskaznica	Ncfsl
)	)	Z
,	,	Z

–	–	Agpmsny
naziv	naziv	Ncmsn
nadležne	nadležan	Agpfsgy
policijske	policijski	Agpfsgy
uprave	uprava	Ncfsg
/	/	Z
postaje	postajati	Vmr3s
,	,	Z

–	–	Z
urudžbeni	urudžbeni	Agpmsny
broj	broj	Ncmsn
,	,	Z

–	–	Z
vrsta	vrsta	Ncfsn
odobrenja	odobrenje	Ncnsg
boravka	boravak	Ncmsg
,	,	Z

–	–	Sa
datum	datum	Ncmsan
izdavanja	izdavanje	Ncnsg
,	,	Z

–	–	Sa
datum	datum	Ncmsan
uručenja	uručenje	Ncnsg
,	,	Z

–		Agcfsgy
napomene	napomena	Ncfsg
,	,	Z

–	–	Sa
datum	datum	Ncmsan
i	i	Cc
razlog	razlog	Ncmsn
poništenja	poništenje	Ncnsg
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Podaci	podatak	Ncmpn
iz	iz	Sg
stavka	stavak	Ncmsg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
čuvaju	čuvati	Vmr3p
se	sebe	Px--sa
10	10	Mdc
godina	godina	Ncfpg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
6.	6.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmog	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Broj	broj	Ncmsn
:	:	Z
511	511	Mdc
-	-	Z
01	01	Mdc
-	-	Z
152	152	Mdc
-	-	Z
89333	89333	Mdc
-	-	Z
2014	2014	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
27.	27.	Mdo
ožujka	ožujak	Ncmsg
2015.	2015.	Mdo

Ministar	ministar	Ncmsn
Ranko	Ranko	Npmsn
Ostojić	Ostojić	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

