statistike	statistika	Ncfpa
u	u	Sl
periodu	period	Ncmsl
)	)	Z
–	–	Z
starost	starost	Ncfsn
predmeta	predmet	Ncmpg
po	po	Sl
datumu	datum	Ncmsl
osnivanja	osnivanje	Ncnsg
.	.	Z

32.	32.	Mdo

S4	S4	Qr
.	.	Z
6.	6.	Mdo
–	–	Z
PSI	pas	Ncmpn
–	–	Z
skraćen	skratiti	Appmsnn
stari	star	Agpmpny
predmeti	predmet	Ncmpn
–	–	Z
Pojedinačno	pojedinačno	Rgp
statističko	statistički	Agpnsny
izvješće	izvješće	Ncnsn
o	o	Sl
radu	rad	Ncmsl
sudskog	sudski	Agpnsgy
osoblja	osoblje	Ncnsg
po	po	Sl
upisnicima	upisnik	Ncmpl
(	(	Z
u	u	Sl
periodu	period	Ncmsl
)	)	Z
–	–	Z
starost	starost	Ncfsn
predmeta	predmet	Ncmpg
po	po	Sl
datumu	datum	Ncmsl
početka	početak	Ncmsg
procesa	proces	Ncmsg
.	.	Z

33.	33.	Mdo

S5	S5	Qr
.	.	Z
1.	1.	Mdo
–	–	Z
PSI	pas	Ncmpn
–	–	Z
Pojedinačno	pojedinačno	Rgp
statističko	statistički	Agpnsny
izvješće	izvješće	Ncnsn
o	o	Sl
radu	rad	Ncmsl
sudskog	sudski	Agpnsgy
osoblja	osoblje	Ncnsg
po	po	Sl
vrsti	vrsta	Ncfsl
spora	spor	Ncmsg
u	u	Sl
periodu	period	Ncmsl
.	.	Z

34.	34.	Mdo

S6	S6	Qr
.	.	Z
3.	3.	Mdo
–	–	Z
OPT	OPT	Npmsan
–	–	Z
Izvješće	izvješće	Ncnsn
o	o	Sl
opterećenju	opterećenje	Ncnsl
sudaca	sudac	Ncmpg
i	i	Cc
sudskih	sudski	Agpmpgy
savjetnika	savjetnik	Ncmpg
dodijeljenim	dodijeljen	Agpmpiy
predmetima	predmet	Ncmpi
.	.	Z

35.	35.	Mdo

S9	S9	Qr
.	.	Z
1.	1.	Mdo
–	i	Agpnsny
Izvješće	izvješće	Ncnsn
o	o	Sl
predmetima	predmet	Ncmpl
ostavina	ostavina	Ncfpg
(	(	Z
primljeno	primiti	Appnsny
,	,	Z
riješeno	riješen	Agpnsny
,	,	Z
neriješeno	neriješen	Agpnsny
)	)	Z
–	–	Z
sud	sud	Ncmsn
i	i	Cc
javni	javan	Agpmpny
bilježnici	bilježnik	Ncmpn
.	.	Z

Članak	članak	Ncmsn
81.	81.	Mdo

Za	za	Sa
potrebu	potreba	Ncfsa
izrade	izrada	Ncfsg
statističkih	statistički	Agpnpgy
izvješća	izvješće	Ncnpg
koriste	koristiti	Vmr3p
se	sebe	Px--sa
sljedeći	sljedeći	Agpmpny
izrazi	izraz	Ncmpn
:	:	Z

1.	1.	Mdo
datum	datum	Ncmsan
zaprimanja	zaprimanje	Ncnsg
u	u	Sa
sud	sud	Ncmsan
–	–	Z
datum	datum	Ncmsan
zaprimanja	zaprimanje	Ncnsg
prvog	prvi	Mlomsg
podneska	podnesak	Ncmsg
u	u	Sa
sud	sud	Ncmsan
,	,	Z

2.	2.	Mdo
datum	datum	Ncmsan
pokretanja	pokretanje	Ncnsg
postupka	postupak	Ncmsg
–	–	Z
datum	datum	Ncmsn
kada	kada	Cs
je	biti	Var3s
podnesak	podnesak	Ncmsan
kojim	koji	Pi-msi
se	sebe	Px--sa
pokreće	pokretati	Vmr3s
postupak	postupak	Ncmsn
pred	pred	Si
sudom	sud	Ncmsi
prvi	prvi	Mlomsan
puta	puta	Rgp
zaprimljen	zaprimiti	Appmsnn
u	u	Sl
sudu	sud	Ncmsl
,	,	Z

3.	3.	Mdo
trajanje	trajanje	Ncnsa
rješavanja	rješavanje	Ncnsg
predmeta	predmet	Ncmsg
pred	pred	Si
sudom	sud	Ncmsi
–	–	Z
broj	broj	Ncmsan
dana	dan	Ncmpg
od	od	Sg
datuma	datum	Ncmsg
zaprimanja	zaprimanje	Ncnsg
u	u	Sa
sud	sud	Ncmsan
do	do	Sg
datuma	datum	Ncmsg
rješavanja	rješavanje	Ncnsg
predmeta	predmet	Ncmpg
,	,	Z

4.	4.	Mdo
starost	starost	Ncfsn
neriješenog	neriješen	Agpmsgy
predmeta	predmet	Ncmsg
–	–	Z
broj	broj	Ncmsan
dana	dan	Ncmpg
od	od	Sg
datuma	datum	Ncmsg
pokretanja	pokretanje	Ncnsg
postupka	postupak	Ncmsg
do	do	Sg
datuma	datum	Ncmsg
izrade	izrada	Ncfsg
izvješća	izvješće	Ncnsg
,	,	Z

5.	5.	Mdo
vrijeme	vrijeme	Ncnsa
rješavanja	rješavanje	Ncnsg
predmeta	predmet	Ncmpg
u	u	Sl
sudu	sud	Ncmsl
–	–	Z
broj	broj	Ncmsan
dana	dan	Ncmpg
od	od	Sg
datuma	datum	Ncmsg

