Šesti	šesti	Mlomsn
provedbe	provedba	Ncfsg
novopredloženog	novopredložen	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
(	(	Z
stupac	stupac	Ncmsn
6	6	Mdc
)	)	Z
.	.	Z

Ovaj	ovaj	Pd-msn
stupac	stupac	Ncmsn
se	sebe	Px--sa
također	također	Rgp
popunjava	popunjavati	Vmr3s
automatski	automatski	Rgp
unosom	unos	Ncmsi
podataka	podatak	Ncmpg
u	u	Sa
prvi	prvi	Mlomsan
,	,	Z
drugi	drugi	Mlomsn
,	,	Z
četvrti	četvrt	Ncfsl
i	i	Cc
/	/	Z
ili	ili	Cc
peti	peti	Mlomsan
stupac	stupac	Ncmsan
.	.	Z

U	u	Sa
osmi	osmi	Mlomsan
stupac	stupac	Ncmsan
Odobrena	odobriti	Appnpny
sredstva	sredstvo	Ncnpn
unutar	unutar	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
unosi	unositi	Vmr3s
se	sebe	Px--sa
ukupni	ukupan	Agpmsny
iznos	iznos	Ncmsn
sredstava	sredstvo	Ncnpg
odobren	odobriti	Appmsnn
unutar	unutar	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
za	za	Sa
provedbu	provedba	Ncfsa
postojećeg	postojeći	Agpmsgy
i	i	Cc
novopredloženog	novopredložen	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
.	.	Z

Ako	ako	Cs
sredstva	sredstvo	Ncnsg
odobrena	odobriti	Appfsny
unutar	unutar	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
za	za	Sa
tekuću	tekući	Agpfsay
godinu	godina	Ncfsa
nisu	biti	Var3p
dostatna	dostatan	Agpfsny
za	za	Sa
provedbu	provedba	Ncfsa
postojećeg	postojeći	Agpmsgy
i	i	Cc
novopredloženog	novopredložen	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
,	,	Z
u	u	Sa
deveti	deveti	Mlomsan
stupac	stupac	Ncmsan
se	sebe	Px--sa
unosi	unositi	Vmr3s
iznos	iznos	Ncmsn
nedostatnih	nedostatan	Agpnpgy
sredstava	sredstvo	Ncnpg
i	i	Cc
to	taj	Pd-nsn
kao	kao	Cs
prijedlog	prijedlog	Ncmsn
za	za	Sa
preraspodjelu	preraspodjela	Ncfsa
s	sa	Sg
drugih	drugi	Mlompg
stavaka	stavak	Ncmpg
provoditelja	provoditelj	Ncmpg
unutar	unutar	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
.	.	Z

Iznos	iznos	Ncmsn
sredstava	sredstvo	Ncnpg
koji	koji	Pi-msn
se	sebe	Px--sa
predlaže	predlagati	Vmr3s
preraspodijeliti	preraspodijeliti	Vmn
unosi	unositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
skupinu	skupina	Ncfsa
računa	račun	Ncmsg
ekonomske	ekonomski	Agpfsgy
klasifikacije	klasifikacija	Ncfsg
s	sa	Sg
koje	koji	Pi-fsg
će	htjeti	Var3s
se	sebe	Px--sa
preraspodijeliti	preraspodijeliti	Vmn
na	na	Sa
novu	nov	Agpfsay
.	.	Z

Dakle	dakle	Cc
,	,	Z
ako	ako	Cs
su	biti	Var3p
odobrena	odobriti	Appnpny
sredstva	sredstvo	Ncnpn
(	(	Z
stupac	stupac	Ncmsn
8	8	Mdc
)	)	Z
manja	mali	Agcfsny
od	od	Sg
ukupnog	ukupan	Agpmsgy
troška	trošak	Ncmsg
provedbe	provedba	Ncfsg
(	(	Z
stupac	stupac	Ncmsn
7	7	Mdc
)	)	Z
u	u	Sl
ovom	ovaj	Pd-msl
stupcu	stupac	Ncmsl
je	biti	Var3s
potrebno	potreban	Agpnsny
prikazati	prikazati	Vmn
kako	kako	Cs
se	sebe	Px--sa
planira	planirati	Vmr3s
osigurati	osigurati	Vmn
ta	taj	Pd-fsn
ukupna	ukupan	Agpfsny
razlika	razlika	Ncfsn
.	.	Z

U	u	Sa
deseti	deseti	Mlomsan
i	i	Cc
jedanaesti	jedanaesti	Mlomsn
stupac	stupac	Ncmsn
Povećanje	povećanje	Ncnsn
/	/	Z
smanjenje	smanjenje	Ncnsa
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
trošak	trošak	Ncmsan
provođenja	provođenje	Ncnsg
na	na	Sl
godišnjoj	godišnji	Agpfsly
razini	razina	Ncfsl
(	(	Z
stupac	stupac	Ncmsn
1	1	Mdc
i	i	Cc
2	2	Mdc
)	)	Z
unosi	unositi	Vmr3s
se	sebe	Px--sa
iznos	iznos	Ncmsn
procjene	procjena	Ncfsg
očekivanog	očekivati	Agpnsgy
povećanja	povećanje	Ncnsg
/	/	Z
smanjena	smanjiti	Appmpgy
rashoda	rashod	Ncmpg
i	i	Cc
izdataka	izdatak	Ncmpg
potreban	potreban	Agpmsnn
za	za	Sa
provedbu	provedba	Ncfsa
predloženog	predložen	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
u	u	Sl
sljedećoj	sljedeći	Agpfsly
godini	godina	Ncfsl
(	(	Z
t	t	X
+1	+1	X
)	)	Z
i	i	Cc
to	to	Qo
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
troškove	trošak	Ncmpa
provođenja	provođenje	Ncnsg
postojećeg	postojeći	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
na	na	Sl
godišnjoj	godišnji	Agpfsly
razini	razina	Ncfsl
(	(	Z
stupac	stupac	Ncmsn
1	1	Mdc
i	i	Cc
2	2	Mdc
)	)	Z
.	.	Z

Procjenu	procjena	Ncfsa
očekivanog	očekivati	Agpnsgy
povećanja	povećanje	Ncnsg
/	/	Z
smanjenja	smanjenje	Ncnsg
rashoda	rashod	Ncmpg
i	i	Cc
izdataka	izdatak	Ncmpg
je	biti	Var3s
i	i	Cc
ovdje	ovdje	Rgp
potrebno	potreban	Agpnsny
razraditi	razraditi	Vmn
na	na	Sa
Izvore	izvor	Ncmpa
1	1	Mdc
,	,	Z
2	2	Mdc
i	i	Cc
8	8	Mdc
te	te	Cc
Ostale	ostali	Agpmpay
izvore	izvor	Ncmpa
.	.	Z

Ako	ako	Cs
provedba	provedba	Ncfsn
predloženog	predložen	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
neće	htjeti	Var3s
rezultirati	rezultirati	Vmn
daljnjim	daljnji	Agpnsiy
povećanjem	povećanje	Ncnsi
/	/	Z
smanjenjem	smanjenje	Ncnsi
rashoda	rashod	Ncmpg
i	i	Cc
izdataka	izdatak	Ncmpg
u	u	Sl
sljedećoj	sljedeći	Agpfsly
godini	godina	Ncfsl
(	(	Z
t	t	X
+1	+1	X
)	)	Z
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
trošak	trošak	Ncmsan
provođenja	provođenje	Ncnsg
postojećeg	postojeći	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
na	na	Sl
godišnjoj	godišnji	Agpfsly
razini	razina	Ncfsl
(	(	Z
stupac	stupac	Ncmsn
1	1	Mdc
i	i	Cc
2	2	Mdc
)	)	Z
,	,	Z
ovi	ovaj	Pd-mpn
stupci	stupac	Ncmpn
se	sebe	Px--sa
ne	ne	Qz
popunjavaju	popunjavati	Vmr3p
.	.	Z

Dvanaesti	dvanaesti	Mlomsn
stupac	stupac	Ncmsn
Ukupno	ukupno	Rgp
predstavlja	predstavljati	Vmr3s
zbroj	zbroj	Ncmsan
troškova	trošak	Ncmpg
provođenja	provođenje	Ncnsg
predloženog	predložen	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
u	u	Sl
sljedećoj	sljedeći	Agpfsly
godini	godina	Ncfsl
(	(	Z
t	t	Npmsn
+1	+1	Npmsn
)	)	Z
iz	iz	Sg
Izvora	izvor	Ncmsg
1	1	Mdc
,	,	Z
2	2	Mdc
i	i	Cc
8	8	Mdc
te	te	Cc
Ostalih	ostali	Agpmpgy
izvora	izvor	Ncmpg
.	.	Z

Popunjava	popunjavati	Vmr3s
se	sebe	Px--sa
automatski	automatski	Rgp
unosom	unos	Ncmsi
podataka	podatak	Ncmpg
u	u	Sa
deseti	deseti	Mlomsan
i	i	Cc
jedanaesti	jedanaesti	Mlomsn
stupac	stupac	Ncmsn
.	.	Z

Trinaesti	trinaesti	Mlomsn
stupac	stupac	Ncmsn
Ukupni	ukupan	Agpmsny
trošak	trošak	Ncmsn
provedbe	provedba	Ncfsg
u	u	Sl
godini	godina	Ncfsl
(	(	Z
t	t	X
+1	+1	X
)	)	Z
predstavlja	predstavljati	Vmr3s
ukupni	ukupan	Agpmsayn
trošak	trošak	Ncmsan
provedbe	provedba	Ncfsg
predloženog	predložen	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
u	u	Sl
godini	godina	Ncfsl
(	(	Z
t	t	X
+1	+1	X
)	)	Z
,	,	Z
a	a	Cc
dobiva	dobivati	Vmr3s
se	sebe	Px--sa
kao	kao	Cs
zbroj	zbroj	Ncmsn
troškova	trošak	Ncmpg
provedbe	provedba	Ncfsg
postojećeg	postojeći	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
na	na	Sl
godišnjoj	godišnji	Agpfsly
razini	razina	Ncfsl
(	(	Z
stupac	stupac	Ncmsn
3	3	Mdc
)	)	Z
i	i	Cc
procjene	procjena	Ncfpa
očekivanog	očekivati	Agpnsgy
povećanja	povećanje	Ncnsg
/	/	Z
smanjenja	smanjenje	Ncnsg
rashoda	rashod	Ncmpg
i	i	Cc
izdataka	izdatak	Ncmpg
kao	kao	Cs
rezultata	rezultat	Ncmpg
provedbe	provedba	Ncfsg
predloženog	predložen	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
u	u	Sl
godini	godina	Ncfsl
(	(	Z
t	t	X
+1	+1	X
)	)	Z
(	(	Z
stupac	stupac	Ncmsn
12	12	Mdc
)	)	Z
.	.	Z

Ovaj	ovaj	Pd-msn
stupac	stupac	Ncmsn
se	sebe	Px--sa
također	također	Rgp
popunjava	popunjavati	Vmr3s
automatski	automatski	Rgp
unosom	unos	Ncmsi
podataka	podatak	Ncmpg
u	u	Sa
prvi	prvi	Mlomsan
,	,	Z
drugi	drugi	Mlompn
,	,	Z
deseti	deseti	Mlomsn
i	i	Cc
/	/	Z
ili	ili	Cc
jedanaesti	jedanaesti	Mlomsan
stupac	stupac	Ncmsan
.	.	Z

U	u	Sa
četrnaesti	četrnaesti	Mlomsan
stupac	stupac	Ncmsan
Sredstva	sredstvo	Ncnsg
odobrena	odobriti	Appfsny
u	u	Sl
okviru	okvir	Ncmsl
projekcija	projekcija	Ncfpg
za	za	Sa
godinu	godina	Ncfsa
(	(	Z
t	t	X
+1	+1	X
)	)	Z
unosi	unositi	Vmr3s
se	sebe	Px--sa
ukupni	ukupan	Agpmsny
iznos	iznos	Ncmsn
sredstava	sredstvo	Ncnpg
planiran	planirati	Appmsnn
za	za	Sa
provedbu	provedba	Ncfsa
predloženog	predložen	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
u	u	Sl
projekciji	projekcija	Ncfsl
za	za	Sa
godinu	godina	Ncfsa
(	(	Z
t	t	X
+1	+1	X
)	)	Z
unutar	unutar	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
.	.	Z

Ako	ako	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
izmjenama	izmjena	Ncfpl
i	i	Cc
dopunama	dopuna	Ncfpl
predloženog	predložen	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
unosi	unositi	Vmr3s
se	sebe	Px--sa
ukupan	ukupan	Agpmsnn
iznos	iznos	Ncmsn
planiran	planiran	Agpmsnn
za	za	Sa
važeći	važeći	Agpmsayn
propis	propis	Ncmsan
/	/	Z
akt	akt	Ncmsan
planiranja	planiranje	Ncnsg
i	i	Cc
predložene	predložen	Agpfsgy
izmjene	izmjena	Ncfsg
i	i	Cc
dopune	dopuna	Ncfsg
.	.	Z

U	u	Sl
petnaesti	petnaesti	Ncfsl
i	i	Cc
šesnaesti	šesnaesti	Mlomsn
stupac	stupac	Ncmsn
Povećanje	povećanje	Ncnsn
/	/	Z
smanjenje	smanjenje	Ncnsa
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
trošak	trošak	Ncmsan
provođenja	provođenje	Ncnsg
na	na	Sl
godišnjoj	godišnji	Agpfsly
razini	razina	Ncfsl
(	(	Z
stupac	stupac	Ncmsn
1	1	Mdc
i	i	Cc
2	2	Mdc
)	)	Z
unosi	unositi	Vmr3s
se	sebe	Px--sa
iznos	iznos	Ncmsn
procjene	procjena	Ncfsg
očekivanog	očekivati	Agpnsgy
povećanja	povećanje	Ncnsg
/	/	Z
smanjena	smanjiti	Appmpgy
rashoda	rashod	Ncmpg
i	i	Cc
izdataka	izdatak	Ncmpg
potrebnih	potreban	Agpmpgy
za	za	Sa
provedbu	provedba	Ncfsa
predloženog	predložen	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
u	u	Sl
godini	godina	Ncfsl
(	(	Z
t	t	X
+2	+2	X
)	)	Z
i	i	Cc
to	to	Qo
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
troškove	trošak	Ncmpa
provođenja	provođenje	Ncnsg
postojećeg	postojeći	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
na	na	Sl
godišnjoj	godišnji	Agpfsly
razini	razina	Ncfsl
(	(	Z
stupac	stupac	Ncmsn
1	1	Mdc
i	i	Cc
2	2	Mdc
)	)	Z
.	.	Z

Procjenu	procjena	Ncfsa
očekivanog	očekivati	Agpnsgy
povećanja	povećanje	Ncnsg
/	/	Z
smanjenja	smanjenje	Ncnsg
rashoda	rashod	Ncmpg
i	i	Cc
izdataka	izdatak	Ncmpg
je	biti	Var3s
i	i	Cc
ovdje	ovdje	Rgp
potrebno	potreban	Agpnsny
razraditi	razraditi	Vmn
na	na	Sa
Izvore	izvor	Ncmpa
1	1	Mdc
,	,	Z
2	2	Mdc
i	i	Cc
8	8	Mdc
te	te	Cc
Ostale	ostali	Agpmpay
izvore	izvor	Ncmpa
.	.	Z

Ako	ako	Cs
provedba	provedba	Ncfsn
predloženog	predložen	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
neće	htjeti	Var3s

