najkasnije	kasno	Rgs
Bioinstitut	bioinstitut	Ncmsn
d.o.o.	d.o.o.	Y
,	,	Z
Čakovec	Čakovec	Npmsn
,	,	Z
za	za	Sa
salmonelozu	salmoneloza	Ncfsa
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Službeni	služben	Agpmsny
i	i	Cc
ovlašteni	ovlašten	Agpmpny
laboratoriji	laboratorij	Ncmpn
navedeni	navesti	Appmpny
u	u	Sl
stavcima	stavak	Ncmpl
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
ovoga	ovaj	Pd-nsg
dijela	dio	Ncmsg
Naredbe	naredba	Ncfpn
moraju	morati	Vmr3p
Upravi	uprava	Ncfsl
za	za	Sa
veterinarstvo	veterinarstvo	Ncnsa
i	i	Cc
sigurnost	sigurnost	Ncfsa
hrane	hrana	Ncfsg
dostavljati	dostavljati	Vmn
laboratorijski	laboratorijski	Agpmsayn
nalaz	nalaz	Ncmsan
,	,	Z
u	u	Sl
elektroničkom	elektronički	Agpmsly
obliku	oblik	Ncmsl
(	(	Z
PDF	pdf	Npmsn
)	)	Z
za	za	Sa
svaki	svaki	Pi-msan
uzorak	uzorak	Ncmsan
čija	čiji	Pi-fsn
je	biti	Var3s
pretraga	pretraga	Ncfsn
propisana	propisati	Appfsny
Naredbom	naredba	Ncfsi
,	,	Z
kao	kao	Cs
i	i	Cc
mjesečno	mjesečan	Agpnsny
izvješće	izvješće	Ncnsn
o	o	Sl
provedenim	provesti	Appfply
dijagnostičkim	dijagnostički	Agpfply
i	i	Cc
drugim	drugi	Mlofpl
pretragama	pretraga	Ncfpl
propisanim	propisati	Appfply
ovom	ovaj	Pd-fsi
Naredbom	naredba	Ncfsi
,	,	Z
do	do	Sg
20.	20.	Mdo
u	u	Sl
mjesecu	mjesec	Ncmsl
za	za	Sa
protekli	protekao	Agpmsayn
mjesec	mjesec	Ncmsan
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Sektoru	sektor	Ncmsl
veterinarske	veterinarski	Agpfsgy
inspekcije	inspekcija	Ncfsg
Uprave	uprava	Ncfsg
za	za	Sa
veterinarstvo	veterinarstvo	Ncnsa
i	i	Cc
sigurnost	sigurnost	Ncfsa
hrane	hrana	Ncfsg
službeni	služben	Agpmpny
i	i	Cc
ovlašteni	ovlašten	Agpmsayn
laboratorij	laboratorij	Ncmsan
dostavlja	dostavljati	Vmr3s
samo	samo	Rgp
nalaze	nalaziti	Vmr3p
laboratorijskih	laboratorijski	Agpfpgy
pretraga	pretraga	Ncfpg
pozitivnog	pozitivan	Agpnsgy
i	i	Cc
/	/	Z
ili	ili	Cc
sumnjivog	sumnjiv	Agpmsgy
rezultata	rezultat	Ncmsg
u	u	Sl
elektroničkom	elektronički	Agpmsly
obliku	oblik	Ncmsl
(	(	Z
PDF	pdf	Npmsn
)	)	Z
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
troškove	trošak	Ncmpa
laboratorijske	laboratorijski	Agpfsgy
pretrage	pretraga	Ncfsg
propisane	propisati	Appfsgy
ovom	ovaj	Pd-fsi
Naredbom	naredba	Ncfsi
plaća	plaćati	Vmr3s
posjednik	posjednik	Ncmsn
,	,	Z
laboratorij	laboratorij	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
nalaze	nalaz	Ncmpa
rezultata	rezultat	Ncmpg
laboratorijskih	laboratorijski	Agpfpgy
pretraga	pretraga	Ncfpg
dostaviti	dostaviti	Vmn
i	i	Cc
posjedniku	posjednik	Ncmsl
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Jedinstvene	jedinstven	Agpfpny
cijene	cijena	Ncfpn
veterinarskih	veterinarski	Agpfpgy
usluga	usluga	Ncfpg
za	za	Sa
mjere	mjera	Ncfpa
koje	koji	Pi-fpn
moraju	morati	Vmr3p
biti	biti	Van
provedene	provesti	Appfpny
na	na	Sl
temelju	temelj	Ncmsl
ove	ovaj	Pd-fsg
Naredbe	naredba	Ncfsg
,	,	Z
uz	uz	Sa
suglasnost	suglasnost	Ncfsa
Ministarstva	ministarstvo	Ncnsg
poljoprivrede	poljoprivreda	Ncfsg
predlaže	predlagati	Vmr3s
Hrvatska	hrvatski	Agpfsny
veterinarska	veterinarski	Agpfsny
komora	komora	Ncfsn
,	,	Z
osim	osim	Sg
cijena	cijena	Ncfpg
usluga	usluga	Ncfpg
za	za	Sa
mjere	mjera	Ncfpa
koje	koji	Pi-fpn
se	sebe	Px--sa
financiraju	financirati	Vmr3p
iz	iz	Sg
sredstava	sredstvo	Ncnpg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
koje	koji	Pi-nsn
određuje	određivati	Vmr3s
Ministarstvo	ministarstvo	Ncnsa
poljoprivrede	poljoprivreda	Ncfsg
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Svaki	svaki	Pi-msn
uzorak	uzorak	Ncmsan
koji	koji	Pi-msn
se	sebe	Px--sa
šalje	slati	Vmr3s
na	na	Sa
laboratorijsku	laboratorijski	Agpfsay
pretragu	pretraga	Ncfsa
,	,	Z
mora	morati	Vmr3s
pratiti	pratiti	Vmn
čitko	čitak	Agpnsay
i	i	Cc
precizno	precizno	Rgp
popunjeni	popuniti	Appmsny
Obrazac	Obrazac	Npmsn
iz	iz	Sg
Dodatka	dodatak	Ncmsg
II	ii	Mrc
.	.	Z
ove	ovaj	Pd-fsg
Naredbe	naredba	Ncfsg
.	.	Z

Narudžba	narudžba	Ncfsn
Obrazaca	obrazac	Ncmpg
obavlja	obavljati	Vmr3s
se	sebe	Px--sa
preko	preko	Sg
Uprave	uprava	Ncfsg
za	za	Sa
veterinarstvo	veterinarstvo	Ncnsa
i	i	Cc
sigurnost	sigurnost	Ncfsa
hrane	hrana	Ncfsg
.	.	Z

Obrazac	obrazac	Ncmsn
iz	iz	Sg
Dodatka	dodatak	Ncmsg
II	ii	Mrc
ove	ovaj	Pd-fsg
Naredbe	naredba	Ncfsg
koristi	koristiti	Vmr3s
se	sebe	Px--sa
isključivo	isključivo	Rgp
za	za	Sa
dostavu	dostava	Ncfsa
uzoraka	uzorak	Ncmpg
propisanih	propisati	Appmpgy
ovom	ovaj	Pd-fsi
Naredbom	naredba	Ncfsi
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Financiranje	financiranje	Ncnsn
mjera	mjera	Ncfpg
za	za	Sa
koje	koji	Pi-mpa
je	biti	Var3s
ovom	ovaj	Pd-fsi
Naredbom	naredba	Ncfsi
utvrđeno	utvrditi	Appnsny
da	da	Cs
se	sebe	Px--sa
podmiruju	podmirivati	Vmr3p
iz	iz	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
ne	ne	Qz
odnosi	odnositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
posjednike	posjednik	Ncmpa
koji	koji	Pi-mpn
u	u	Sl
propisanim	propisati	Agpmply
rokovima	rok	Ncmpl
nisu	biti	Var3p
obavili	obaviti	Vmp-pm
naređene	narediti	Agpfpay
mjere	mjera	Ncfpa
,	,	Z
osim	osim	Cs
ako	ako	Cs
posebnim	poseban	Agpmpiy
programima	program	Ncmpi
za	za	Sa
kontrolu	kontrola	Ncfsa
i	i	Cc
nadziranje	nadziranje	Ncnsa
bolesti	bolest	Ncfsg
životinja	životinja	Ncfpg
nije	biti	Var3s
drugačije	drugačije	Rgp
određeno	odrediti	Appnsny
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
dijela	dio	Ncmsg
,	,	Z
uzorkovanje	uzorkovanje	Ncnsa
uginulih	uginuo	Agpnpgy
goveda	govedo	Ncnpg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
podstavkom	podstavak	Ncmsi
(	(	Z
c	C	X
)	)	Z
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
17.	17.	Mdo
dijela	dio	Ncmsg
III	III	Mrc
.	.	Z
ove	ovaj	Pd-fsg
Naredbe	naredba	Ncfsg
te	te	Cc
ovaca	ovca	Ncfpg
i	i	Cc
koza	koza	Ncfpg
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
podstavkom	podstavak	Ncmsi
(	(	Z
b	b	X
)	)	Z
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
18.	18.	Mdo
dijela	dio	Ncmsg
III	III	Mrc
.	.	Z
ove	ovaj	Pd-fsg
Naredbe	naredba	Ncfsg
na	na	Sl
sabiralištima	sabiralište	Ncnpl
i	i	Cc
objektima	objekt	Ncmpl
za	za	Sa
preradu	prerada	Ncfsa
nusproizvoda	nusproizvod	Ncmpg
životinjskog	životinjski	Agpnsgy
podrijetla	podrijetlo	Ncnsg
koji	koji	Pi-mpn
nisu	biti	Var3p
za	za	Sa
prehranu	prehrana	Ncfsa
ljudi	čovjek	Ncmpg
Kategorije	kategorija	Ncfsg
1	1	Mdc
(	(	Z
lešina	lešina	Ncfsn
)	)	Z
,	,	Z
provode	provoditi	Vmr3p
veterinarski	veterinarski	Agpmpny
inspektori	inspektor	Ncmpn
određeni	određen	Agpmpny
za	za	Sa
navedeno	naveden	Agpnsay
uzorkovanje	uzorkovanje	Ncnsa
od	od	Sg
Uprave	uprava	Ncfsg
za	za	Sa
veterinarstvo	veterinarstvo	Ncnsa
i	i	Cc
sigurnost	sigurnost	Ncfsa
hrane	hrana	Ncfsg
.	.	Z

(	(	Z
12	12	Mdc
)	)	Z
Provedba	provedba	Ncfsn
programa	program	Ncmsg
propisanih	propisati	Agpmpgy
ovom	ovaj	Pd-fsi
Naredbom	naredba	Ncfsi
započinje	započinjati	Vmr3s
prvoga	prvi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
,	,	Z
osim	osim	Cs
u	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
je	biti	Var3s
početak	početak	Ncmsn
provedbe	provedba	Ncfsg
programa	program	Ncmsg
vezan	vezan	Agpmsnn
na	na	Sa
etiologiju	etiologija	Ncfsa
bolesti	bolest	Ncfsg
.	.	Z

(	(	Z
13	13	Mdc
)	)	Z
Prilikom	prilikom	Sg
provedbe	provedba	Ncfsg
propisanih	propisati	Agpfpgy
mjera	mjera	Ncfpg
ovlašteni	ovlašten	Agpmpny
veterinari	veterinar	Ncmpn
dužni	dužan	Agpmpny
su	biti	Var3p
nesukladnosti	nesukladnost	Ncfpn
goveda	govedo	Ncnsg
,	,	Z
ovaca	ovca	Ncfpg
i	i	Cc
koza	koza	Ncfpg
na	na	Sl
gospodarstvu	gospodarstvo	Ncnsl
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
JRG	jr	Ncmsl
/	/	Z
JROK	JROK	I
upisati	upisati	Vmn
ručno	ručno	Rgp
na	na	Sa
papir	papir	Ncmsan
s	sa	Si
naznakom	naznaka	Ncfsi
»	»	Z
višak	višak	Ncmsan
«	«	Z
i	i	Cc
/	/	Z
ili	ili	Cc
»	»	Z
manjak	manjak	Ncmsn
«	«	Z
(	(	Z
mogu	moći	Vmr3p
se	sebe	Px--sa
koristiti	koristiti	Vmn
bianco	bianco	Cs
printani	printati	Appmpny
Prilozi	prilog	Ncmpn
7	7	Mdc
i	i	Cc
8	8	Mdc
,	,	Z
odnosno	odnosno	Rgp
2	2	Mdc
i	i	Cc
4	4	Mdc
)	)	Z
te	te	Cc
ih	oni	Pp3-pa
putem	put	Sg
elektroničke	elektronički	Agpfsgy
pošte	pošta	Ncfsg
dostaviti	dostaviti	Vmn
u	u	Sa
HPA	hpa	Ncnsa
na	na	Sa
adresu	adresa	Ncfsa
oznacavanje@hpa.hr	oznacavanje@hpa.hr	X
i	i	Cc
nadležni	nadležan	Agpmsny
veterinarski	veterinarski	Agpmsny
ured	ured	Ncmsn
.	.	Z

(	(	Z
14	14	Mdc
)	)	Z
Dodaci	dodatak	Ncmpn
I.	I.	Y
–	–	Z
III	III	Mrc
.	.	Z
tiskani	tiskati	Appmpny
su	biti	Var3p
u	u	Sl
prilogu	prilog	Ncmsl
ove	ovaj	Pd-fsg
Naredbe	naredba	Ncfsg
i	i	Cc
čine	činiti	Vmr3p
njezin	njezin	Ps3msan
sastavni	sastavan	Agpmsayn
dio	dio	Ncmsan
.	.	Z

X.	X.	Y
ZAVRŠNE	završan	Agpfpny
ODREDBE	odredba	Ncfpn

(	(	Z
1	1	Mdc
)	)	Z
Stupanjem	stupanje	Ncnsi
na	na	Sa
snagu	snaga	Ncfsa
ove	ovaj	Pd-fsg
Naredbe	naredba	Ncfsg
prestaje	prestajati	Vmr3s
važiti	važiti	Vmn
Naredba	naredba	Ncfsn
o	o	Sl
mjerama	mjera	Ncfpl
zaštite	zaštita	Ncfsg
životinja	životinja	Ncfpg
od	od	Sg
zaraznih	zarazan	Agpfpgy
i	i	Cc
nametničkih	nametnički	Agpfpgy
bolesti	bolest	Ncfpg
i	i	Cc
njihovom	njihov	Ps3nsl
financiranju	financiranje	Ncnsl
od	od	Sg
1.	1.	Mdo
siječnja	siječanj	Ncmsg
do	do	Sg
31.	31.	Mdo
ožujka	ožujak	Ncmsg
2016.	2016.	Mdo
godine	godina	Ncfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
141/2015	141/2015	Mds
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ova	ovaj	Pd-fsn
Naredba	naredba	Ncfsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
prvoga	prvi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
02/16	02/16	Mdc
-	-	Z
01/07	01/07	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
525	525	Mdc
-	-	Z
10/0137	10/0137	Mdc
-	-	Z
16	16	Mdc
-	-	Z
1	1	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
4.	4.	Mdo
travnja	travanj	Ncmsg
2016.	2016.	Mdo

