ponovnu	ponovan	Agpfsay
stavka	stavak	Ncmsg
7.	7.	Mdo
ZZTN-a	ZZTN	Npmsg
,	,	Z
ako	ako	Cs
u	u	Sl
nadzoru	nadzor	Ncmsl
nad	nad	Si
provedbom	provedba	Ncfsi
mjera	mjera	Ncfpg
i	i	Cc
uvjeta	uvjet	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
49.	49.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ZZTN-a	zztn-i	Agpfsny
Agencija	agencija	Ncfsn
utvrdi	utvrditi	Vmr3s
da	da	Cs
se	sebe	Px--sa
Navela	navesti	Vmp-sf
ne	ne	Qz
pridržava	pridržavati	Vmr3s
utvrđenih	utvrditi	Agpfpgy
mjera	mjera	Ncfpg
,	,	Z
uvjeta	uvjet	Ncmpg
i	i	Cc
rokova	rok	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
49.	49.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ZZTN-a	ZZTN	Npmsg
,	,	Z
takvo	takav	Pd-nsn
postupanje	postupanje	Ncnsn
smatrat	smatrati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
povredom	povreda	Ncfsi
ZZTN-a	ZZTN	Npmsg
te	te	Cc
će	htjeti	Var3s
se	sebe	Px--sa
to	taj	Pd-nsn
utvrditi	utvrditi	Vmn
posebnim	poseban	Agpnsiy
rješenjem	rješenje	Ncnsi
kojim	koji	Pi-msi
će	htjeti	Var3s
se	sebe	Px--sa
izreći	izreći	Vmn
i	i	Cc
upravno-kaznena	upravno-kaznen	Agpfsny
mjera	mjera	Ncfsn
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpi
ZZTN-a	ZZTN	Npmsg
.	.	Z

Slijedom	slijed	Sg
svega	sav	Agpnsgy
navedenog	naveden	Agpnsgy
,	,	Z
Agencija	agencija	Ncfsn
je	biti	Var3s
na	na	Sl
temelju	temelj	Ncmsl
odluke	odluka	Ncfsg
Vijeća	vijeće	Ncnsg
odlučila	odlučiti	Vmp-sf
kao	kao	Cs
u	u	Sl
točkama	točka	Ncfpl
I.	I.	Mro
do	do	Sg
V.	vi	Agpfsgy
izreke	izreka	Ncfsg
ovog	ovaj	Pd-nsg
rješenja	rješenje	Ncnsg
.	.	Z

Prijedlog	prijedlog	Ncmsn
stranke	stranka	Ncfsg
u	u	Sl
postupku	postupak	Ncmsl
za	za	Sa
preuzimanje	preuzimanje	Ncnsa
obveze	obveza	Ncfsg
izvršenja	izvršenje	Ncnsg
određenih	određen	Agpfpgy
mjera	mjera	Ncfpg
i	i	Cc
uvjeta	uvjet	Ncmpg
te	te	Cc
rokova	rok	Ncmpg
u	u	Sa
svrhu	svrha	Ncfsa
otklanjanja	otklanjanje	Ncnsg
negativnih	negativan	Agpmpgy
učinaka	učinak	Ncmpg
njenog	njen	Agpnsgy
postupanja	postupanje	Ncnsg
ili	ili	Cc
propuštanja	propuštanje	Ncnsg
postupanja	postupanje	Ncnsg
na	na	Sa
tržišno	tržišni	Agpnsay
natjecanje	natjecanje	Ncnsa
iz	iz	Sg
članka	članak	Ncmsg
49.	49.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ZZTN-a	ZZTN	Npmsg
i	i	Cc
rješenje	rješenje	Ncnsa
Agencije	agencija	Ncfsg
o	o	Sl
prihvaćanju	prihvaćanje	Ncnsl
predloženih	predložen	Agpfpgy
mjera	mjera	Ncfpg
,	,	Z
uvjeta	uvjet	Ncmpg
i	i	Cc
rokova	rok	Ncmpg
koji	koji	Pi-mpn
postaju	postati	Vmr3p
obvezni	obvezan	Agpmpny
za	za	Sa
predlagatelja	predlagatelj	Ncmsay
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
49.	49.	Mdo
stavaka	stavak	Ncmpg
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ZZTN-a	zztn-	Ncmsg
podliježu	podlijegati	Vmr3p
naplati	naplata	Ncfsl
upravnih	upravan	Agpfpgy
pristojbi	pristojba	Ncfpg
,	,	Z
sukladno	sukladno	Rgp
odredbi	odredba	Ncfsl
članka	članak	Ncmsg
2.	2.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
upravnim	upravan	Agpfply
pristojbama	pristojba	Ncfpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
8/96	8/96	Mds
,	,	Z
77/96	77/96	Mdc
,	,	Z
95/97	95/97	Mdc
,	,	Z
131/97	131/97	Mdc
,	,	Z
68/98	68/98	Mdc
,	,	Z
66/99	66/99	Mdc
,	,	Z
145/99	145/99	Mdc
,	,	Z
116/00	116/00	Mdc
,	,	Z
163/03	163/03	Mdc
,	,	Z
17/04	17/04	Mdc
,	,	Z
110/04	110/04	Mdc
;	;	Z
141/04	141/04	Mdc
,	,	Z
150/05	150/05	Mdc
,	,	Z
153/05	153/05	Mdc
,	,	Z
129/06	129/06	Mdc
,	,	Z
117/07	117/07	Mdc
,	,	Z
25/08	25/08	Mdc
,	,	Z
60/08	60/08	Mdc
,	,	Z
20/10	20/10	Mdc
,	,	Z
69/10	69/10	Mdc
,	,	Z
126/11	126/11	Mdc
,	,	Z
112/12	112/12	Mdc
,	,	Z
19/13	19/13	Mdc
,	,	Z
80/13	80/13	Mdc
,	,	Z
40/14	40/14	Mdc
,	,	Z
69/14	69/14	Mdc
,	,	Z
87/14	87/14	Mdc
i	i	Cc
94/14	94/14	Mdc
;	;	Z
dalje	daleko	Rgc
:	:	Z
Zakon	zakon	Ncmsn
o	o	Sl
upravnim	upravan	Agpfply
pristojbama	pristojba	Ncfpl
)	)	Z
te	te	Cc
članka	članak	Ncmsg
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
Uredbe	uredba	Ncfpn
o	o	Sl
izmjenama	izmjena	Ncfpl
Tarife	tarifa	Ncfsg
upravnih	upravan	Agpfpgy
pristojbi	pristojba	Ncfpg
iz	iz	Sg
Zakona	zakon	Ncmsg
o	o	Sl
upravnim	upravan	Agpfply
pristojbama	pristojba	Ncfpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
126/11	126/11	Mds
;	;	Z
dalje	daleko	Rgc
:	:	Z
Uredba	uredba	Ncfsn
o	o	Sl
izmjenama	izmjena	Ncfpl
Tarife	tarifa	Ncfsg
Zakona	zakon	Ncmsg
o	o	Sl
upravnim	upravan	Agpfply
pristojbama	pristojba	Ncfpl
)	)	Z
.	.	Z

Naime	naime	Qo
,	,	Z
prijedlog	prijedlog	Ncmsn
stranke	stranka	Ncfsg
u	u	Sl
postupku	postupak	Ncmsl
za	za	Sa
preuzimanje	preuzimanje	Ncnsa
obveze	obveza	Ncfsg
izvršenja	izvršenje	Ncnsg
određenih	određen	Agpfpgy
mjera	mjera	Ncfpg
i	i	Cc
uvjeta	uvjet	Ncmpg
te	te	Cc
rokova	rok	Ncmpg
u	u	Sa
svrhu	svrha	Ncfsa
otklanjanja	otklanjanje	Ncnsg
negativnih	negativan	Agpmpgy
učinaka	učinak	Ncmpg
njenog	njen	Agpnsgy
postupanja	postupanje	Ncnsg
ili	ili	Cc
propuštanja	propuštanje	Ncnsg
postupanja	postupanje	Ncnsg
na	na	Sa
tržišno	tržišni	Agpnsay
natjecanje	natjecanje	Ncnsa
iz	iz	Sg
članka	članak	Ncmsg
49.	49.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ZZTN-a	ZZTN	Npmsg
podliježe	podlijegati	Vmr3s
obvezi	obveza	Ncfsd
naplate	naplata	Ncfsg
upravne	upravan	Agpfsgy
pristojbe	pristojba	Ncfsg
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
5.000,00	5.000,00	Mdc
kuna	kuna	Ncfpg
,	,	Z
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
2.	2.	Mdo
Uredbe	uredba	Ncfsg
o	o	Sl
izmjenama	izmjena	Ncfpl
Tarife	tarifa	Ncfsg
Zakona	zakon	Ncmsg
o	o	Sl
upravnim	upravan	Agpfply
pristojbama	pristojba	Ncfpl
,	,	Z
odnosno	odnosno	Rgp
tarifnog	tarifan	Agpmsgy
broja	broj	Ncmsg
106.	106.	Mdo
točke	točka	Ncfsg
4.	4.	Mdo
Tarife	tarifa	Ncfsg
upravnih	upravan	Agpfpgy
pristojbi	pristojba	Ncfpg
Zakona	zakon	Ncmpg
o	o	Sl
upravnim	upravan	Agpfply
pristojbama	pristojba	Ncfpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
8/96	8/96	Mds
,	,	Z
77/96	77/96	Mdc
,	,	Z
95/97	95/97	Mdc
,	,	Z
131/97	131/97	Mdc
,	,	Z
68/98	68/98	Mdc
,	,	Z
66/99	66/99	Mdc
,	,	Z
145/99	145/99	Mdc
,	,	Z
30/00	30/00	Mdc
,	,	Z
116/00	116/00	Mdc
,	,	Z
163/03	163/03	Mdc
,	,	Z
17/04	17/04	Mdc
,	,	Z
110/04	110/04	Mdc
,	,	Z
141/04	141/04	Mdc
,	,	Z
150/05	150/05	Mdc
,	,	Z
153/05	153/05	Mdc
,	,	Z
129/06	129/06	Mdc
,	,	Z
117/07	117/07	Mdc
,	,	Z
25/08	25/08	Mdc
,	,	Z
60/08	60/08	Mdc
,	,	Z
20/10	20/10	Mdc
,	,	Z
69/10	69/10	Mdc
,	,	Z
126/11	126/11	Mdc
,	,	Z
112/12	112/12	Mdc
,	,	Z
19/13	19/13	Mdc
,	,	Z
80/13	80/13	Mdc
,	,	Z
40/14	40/14	Mdc
,	,	Z
69/14	69/14	Mdc
i	i	Cc
87/14	87/14	Mdc
;	;	Z
dalje	daleko	Rgc
:	:	Z
Tarifa	tarifa	Ncfsn
upravnih	upravan	Agpfpgy
pristojbi	pristojba	Ncfpg
)	)	Z
.	.	Z

Upravna	upravan	Agpfsny
pristojba	pristojba	Ncfsn
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
30.000,00	30.000,00	Mdc
kuna	kuna	Ncfpg
za	za	Sa
rješenje	rješenje	Ncnsa
Agencije	agencija	Ncfsg
o	o	Sl
prihvaćanju	prihvaćanje	Ncnsl
predloženih	predložen	Agpfpgy
mjera	mjera	Ncfpg
,	,	Z
uvjeta	uvjet	Ncmpg
i	i	Cc
rokova	rok	Ncmpg
koji	koji	Pi-mpn
postaju	postati	Vmr3p
obvezni	obvezan	Agpmpny
za	za	Sa
predlagatelja	predlagatelj	Ncmsay
,	,	Z
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
49.	49.	Mdo
stavaka	stavak	Ncmpg
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ZZTN-a	ZZTN	Npmsg
,	,	Z
naplaćuje	naplaćivati	Vmr3s
se	sebe	Px--sa
sukladno	sukladno	Rgp
članku	članak	Ncmsd
3.	3.	Mdo
Uredbe	uredba	Ncfpn
o	o	Sl
izmjenama	izmjena	Ncfpl
Tarife	tarifa	Ncfsg
Zakona	zakon	Ncmsg
o	o	Sl
upravnim	upravan	Agpfply
pristojbama	pristojba	Ncfpl
,	,	Z
odnosno	odnosno	Rgp
tarifnom	tarifan	Agpmsly
broju	broj	Ncmsl
107.	107.	Mdo
točki	točka	Ncfsl
7.	7.	Mdo
Tarife	tarifa	Ncfsg
upravnih	upravan	Agpfpgy
pristojbi	pristojba	Ncfpg
.	.	Z

Navedeni	naveden	Agpmsny
iznos	iznos	Ncmsn
uplaćuje	uplaćivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
osam	osam	Mlc
(	(	Z
8	8	Mdc
)	)	Z
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
dostave	dostava	Ncfsg
ovog	ovaj	Pd-nsg
rješenja	rješenje	Ncnsg
u	u	Sa
korist	korist	Ncfsa
Državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
na	na	Sa
račun	račun	Ncmsan
broj	broj	Ncmsan
:	:	Z
HR1210010051863000160	HR1210010051863000160	Mds
,	,	Z
model	model	Ncmsn
HR64	HR64	X
,	,	Z
poziv	poziv	Ncmsan
na	na	Sa
broj	broj	Ncmsan
odobrenja	odobrenje	Ncnsg
:	:	Z
5002	5002	Mdc
-	-	Z
20833	20833	Mdc
-	-	Z
…	…	Z
(	(	Z
navodi	navoditi	Vmr3s
se	sebe	Px--sa
OIB	oi	Agpmpgy
uplatitelja	uplatitelj	Ncmpg
ili	ili	Cc
godina	godina	Ncfpg
ili	ili	Cc
broj	broj	Ncmsan
rješenja	rješenje	Ncnsg
)	)	Z
.	.	Z

Sukladno	sukladno	Rgp
odredbi	odredba	Ncfsl
članka	članak	Ncmsg
16.	16.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
upravnim	upravan	Agpfply
pristojbama	pristojba	Ncfpl
,	,	Z
nakon	nakon	Sg
izvršene	izvršen	Agpfsgy
uplate	uplata	Ncfsg
obveznik	obveznik	Ncmsn
uplate	uplata	Ncfsg
dužan	dužan	Agpmsnn
je	biti	Var3s
uplatnicu	uplatnica	Ncfsa
,	,	Z
kao	kao	Cs
dokaz	dokaz	Ncmsn
o	o	Sl

