II	ii	Mrc
sigurno	siguran	Agpnsay
funkcioniranje	funkcioniranje	Ncnsa
zaštitnog	zaštitni	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
uređaja	uređaj	Ncmsg
ili	ili	Cc
komponente	komponenta	Ncfsg
;	;	Z

10	10	Mdc
)	)	Z
stavljanje	stavljanje	Ncnsa
na	na	Sa
raspolaganje	raspolaganje	Ncnsa
na	na	Sl
tržištu	tržište	Ncnsl
znači	značiti	Vmr3s
svaka	svaki	Pi-fsn
isporuka	isporuka	Ncfsn
proizvoda	proizvod	Ncmpg
za	za	Sa
distribuciju	distribucija	Ncfsa
,	,	Z
potrošnju	potrošnja	Ncfsa
ili	ili	Cc
uporabu	uporaba	Ncfsa
na	na	Sl
tržištu	tržište	Ncnsl
Europske	europski	Agpfsgy
unije	unija	Ncfsg
u	u	Sl
okviru	okvir	Ncmsl
trgovačke	trgovački	Agpfsgy
djelatnosti	djelatnost	Ncfsg
s	sa	Si
plaćanjem	plaćanje	Ncnsi
ili	ili	Cc
bez	bez	Sg
plaćanja	plaćanje	Ncnsg
;	;	Z

11	11	Mdc
)	)	Z
stavljanje	stavljanje	Ncnsa
na	na	Sa
tržište	tržište	Ncnsa
znači	značiti	Vmr3s
prvo	prvi	Agpnsny
stavljanje	stavljanje	Ncnsn
na	na	Sa
raspolaganje	raspolaganje	Ncnsa
proizvoda	proizvod	Ncmpg
na	na	Sl
tržištu	tržište	Ncnsl
Europske	europski	Agpfsgy
unije	unija	Ncfsg
;	;	Z

12	12	Mdc
)	)	Z
proizvođač	proizvođač	Ncmsn
znači	značiti	Vmr3s
fizička	fizički	Agpfsny
ili	ili	Cc
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
proizvodi	proizvoditi	Vmr3s
proizvod	proizvod	Ncmsan
ili	ili	Cc
koja	koji	Pi-fsn
je	biti	Var3s
oblikovala	oblikovati	Vmp-sf
ili	ili	Cc
proizvela	proizvesti	Vmp-sf
proizvod	proizvod	Ncmsan
i	i	Cc
stavlja	stavljati	Vmr3s
na	na	Sa
tržište	tržište	Ncnsa
navedeni	naveden	Agpmsayn
proizvod	proizvod	Ncmsan
pod	pod	Si
svojim	svoj	Agpnsiy
imenom	ime	Ncnsi
ili	ili	Cc
trgovačkom	trgovački	Agpfsiy
oznakom	oznaka	Ncfsi
ili	ili	Cc
ga	on	Pp3msa
upotrebljava	upotrebljavati	Vmr3s
za	za	Sa
vlastite	vlastit	Agpfpay
potrebe	potreba	Ncfpa
;	;	Z

13	13	Mdc
)	)	Z
ovlašteni	ovlašten	Agpmsny
zastupnik	zastupnik	Ncmsn
znači	značiti	Vmr3s
svaka	svaki	Pi-fsn
fizička	fizički	Agpfsny
ili	ili	Cc
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
s	sa	Si
poslovnim	poslovan	Agpmsiy
nastanom	nastan	Ncmsi
u	u	Sl
Europskoj	europski	Agpfsly
uniji	unija	Ncfsl
koju	koji	Pi-fsa
je	biti	Var3s
proizvođač	proizvođač	Ncmsn
pisano	pisati	Appnsny
ovlastio	ovlastiti	Vmp-sm
da	da	Cs
u	u	Sa
njegovo	njegov	Agpnsay
ime	ime	Ncnsa
obavlja	obavljati	Vmr3s
određene	određen	Agpfpay
zadaće	zadaća	Ncfpa
;	;	Z

14	14	Mdc
)	)	Z
uvoznik	uvoznik	Ncmsn
znači	značiti	Vmr3s
svaka	svaki	Pi-fsn
fizička	fizički	Agpfsny
ili	ili	Cc
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
s	sa	Si
poslovnim	poslovan	Agpmsiy
nastanom	nastan	Ncmsi
u	u	Sl
Europskoj	europski	Agpfsly
uniji	unija	Ncfsl
koja	koji	Pi-fsn
proizvod	proizvod	Ncmsn
iz	iz	Sg
treće	treći	Mlofsg
zemlje	zemlja	Ncfsg
stavlja	stavljati	Vmr3s
na	na	Sa
tržište	tržište	Ncnsa
Europske	europski	Agpfsgy
unije	unija	Ncfsg
;	;	Z

15	15	Mdc
)	)	Z
distributer	distributer	Ncmsn
znači	značiti	Vmr3s
svaka	svaki	Pi-fsn
fizička	fizički	Agpfsny
ili	ili	Cc
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
u	u	Sl
opskrbnom	opskrbni	Agpmsly
lancu	lanac	Ncmsl
,	,	Z
različita	različit	Agpfsny
od	od	Sg
proizvođača	proizvođač	Ncmsg
ili	ili	Cc
uvoznika	uvoznik	Ncmpg
,	,	Z
koja	koji	Pi-fsn
stavlja	stavljati	Vmr3s
proizvod	proizvod	Ncmsan
na	na	Sa
raspolaganje	raspolaganje	Ncnsa
na	na	Sl
tržištu	tržište	Ncnsl
;	;	Z

16	16	Mdc
)	)	Z
gospodarski	gospodarski	Agpmsny
subjekt	subjekt	Ncmsn
znači	značiti	Vmr3s
proizvođač	proizvođač	Ncmsn
,	,	Z
ovlašteni	ovlašten	Agpmsny
zastupnik	zastupnik	Ncmsn
,	,	Z
uvoznik	uvoznik	Ncmsn
i	i	Cc
distributer	distributer	Ncmsn
;	;	Z

17	17	Mdc
)	)	Z
tehnička	tehnički	Agpfsny
specifikacija	specifikacija	Ncfsn
znači	značiti	Vmr3s
dokument	dokument	Ncmsan
kojim	koji	Pi-msi
su	biti	Var3p
propisani	propisati	Appmpny
tehnički	tehnički	Agpmpny
zahtjevi	zahtjev	Ncmpn
koje	koji	Pi-mpa
proizvod	proizvod	Ncmsn
mora	morati	Vmr3s
ispuniti	ispuniti	Vmn
;	;	Z

18	18	Mdc
)	)	Z
usklađena	uskladiti	Appfsny
norma	norma	Ncfsn
znači	značiti	Vmr3s
usklađena	uskladiti	Appfsny
norma	norma	Ncfsn
kako	kako	Cs
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
člankom	članak	Ncmsi
2.	2.	Mdo
točkom	točka	Ncfsi
1.	1.	Mdo
podtočkom	podtočak	Ncmsi
(	(	Z
c	C	Npmsn
)	)	Z
Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1025/2012	1025/2012	Mdc
;	;	Z

19	19	Mdc
)	)	Z
hrvatska	hrvatski	Agpfsny
norma	norma	Ncfsn
znači	značiti	Vmr3s
norma	norma	Ncfsn
dostupna	dostupan	Agpfsny
javnosti	javnost	Ncfsg
koju	koji	Pi-fsa
je	biti	Var3s
prihvatilo	prihvatiti	Vmp-sn
hrvatsko	hrvatski	Agpnsny
nacionalno	nacionalan	Agpnsny
normirno	normiran	Agpnsny
tijelo	tijelo	Ncnsn

20	20	Mdc
)	)	Z
akreditacija	akreditacija	Ncfsn
znači	značiti	Vmr3s
akreditacija	akreditacija	Ncfsn
kako	kako	Cs
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
člankom	članak	Ncmsi
2.	2.	Mdo
točkom	točka	Ncfsi
10.	10.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
765/2008	765/2008	Mdc
;	;	Z

21	21	Mdc
)	)	Z
nacionalno	nacionalan	Agpnsny
akreditacijsko	akreditacijski	Agpnsny
tijelo	tijelo	Ncnsn
znači	značiti	Vmr3s
nacionalno	nacionalan	Agpnsny
akreditacijsko	akreditacijski	Agpnsny
tijelo	tijelo	Ncnsn
kako	kako	Cs
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
člankom	članak	Ncmsi
2.	2.	Mdo
točkom	točka	Ncfsi
11.	11.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
765/2008	765/2008	Mdc
;	;	Z

22	22	Mdc
)	)	Z
ocjenjivanje	ocjenjivanje	Ncnsn
sukladnosti	sukladnost	Ncfsg
je	biti	Var3s
postupak	postupak	Ncmsan
kojim	koji	Pi-msi
se	sebe	Px--sa
utvrđuje	utvrđivati	Vmr3s
jesu	biti	Var3p
li	li	Qq
ispunjeni	ispuniti	Appmpny
bitni	bitan	Agpmpny
zdravstveni	zdravstven	Agpmpny
i	i	Cc
sigurnosni	sigurnosni	Agpmpny
zahtjevi	zahtjev	Ncmpn
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
proizvod	proizvod	Ncmsan
;	;	Z

23	23	Mdc
)	)	Z
tijelo	tijelo	Ncnsn
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
znači	značiti	Vmr3s
tijelo	tijelo	Ncnsa
koje	koji	Pi-nsn
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
uključujući	uključivati	Rr
kalibraciju	kalibracija	Ncfsa
,	,	Z
ispitivanje	ispitivanje	Ncnsa
,	,	Z
potvrđivanje	potvrđivanje	Ncnsn
i	i	Cc
pregled	pregled	Ncmsan
;	;	Z

24	24	Mdc
)	)	Z
povrat	povrat	Ncmsan
proizvoda	proizvod	Ncmpg
znači	značiti	Vmr3s
svaka	svaki	Pi-fsn
mjera	mjera	Ncfsn
usmjerena	usmjeriti	Appfsny
na	na	Sa
postizanje	postizanje	Ncnsa
povratka	povratak	Ncmsg
proizvoda	proizvod	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
već	već	Rgp
stavljen	staviti	Appmsnn
na	na	Sa
raspolaganje	raspolaganje	Ncnsa
krajnjem	krajnji	Agpmsly
korisniku	korisnik	Ncmsl
;	;	Z

25	25	Mdc
)	)	Z
povlačenje	povlačenje	Ncnsn
znači	značiti	Vmr3s
svaka	svaki	Pi-fsn
mjera	mjera	Ncfsn
usmjerena	usmjeriti	Appfsny
na	na	Sa
sprečavanje	sprečavanje	Ncnsa
da	da	Cs
proizvod	proizvod	Ncmsn
u	u	Sl
opskrbnom	opskrbni	Agpmsly
lancu	lanac	Ncmsl
bude	biti	Var3s
stavljen	staviti	Appmsnn
na	na	Sa
raspolaganje	raspolaganje	Ncnsa
na	na	Sl
tržištu	tržište	Ncnsl
;	;	Z

26	26	Mdc
)	)	Z
zakonodavstvo	zakonodavstvo	Ncnsn
Europske	europski	Agpfsgy
unije	unija	Ncfsg
o	o	Sl
usklađivanju	usklađivanje	Ncnsl
znači	značiti	Vmr3s
svako	svaki	Pi-nsn
zakonodavstvo	zakonodavstvo	Ncnsn
Europske	europski	Agpfsgy
unije	unija	Ncfsg
kojim	koji	Pi-msi
se	sebe	Px--sa
usklađuju	usklađivati	Vmr3p
uvjeti	uvjet	Ncmpn
za	za	Sa
stavljanje	stavljanje	Ncnsa
proizvoda	proizvod	Ncmpg
na	na	Sa
tržište	tržište	Ncnsa
;	;	Z

27	27	Mdc
)	)	Z
oznaka	oznaka	Ncfsn
CE	CE	Npmsn
znači	značiti	Vmr3s
oznaku	oznaka	Ncfsa
kojom	koji	Pi-fsi
proizvođač	proizvođač	Ncmsn
označuje	označivati	Vmr3s
da	da	Cs
je	biti	Var3s
proizvod	proizvod	Ncmsn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
važećim	važeći	Agpmpiy
zahtjevima	zahtjev	Ncmpi
utvrđenim	utvrditi	Agpnsiy
zakonodavstvom	zakonodavstvo	Ncnsi
Europske	europski	Agpfsgy
unije	unija	Ncfsg
o	o	Sl
usklađivanju	usklađivanje	Ncnsl
kojim	koji	Pi-msi
se	sebe	Px--sa
propisuje	propisivati	Vmr3s
njezino	njezin	Ps3nsn
stavljanje	stavljanje	Ncnsn
.	.	Z

Stavljanje	stavljanje	Ncnsn
na	na	Sa
raspolaganje	raspolaganje	Ncnsa
na	na	Sl
tržištu	tržište	Ncnsl
i	i	Cc
stavljanje	stavljanje	Ncnsa
u	u	Sa
uporabu	uporaba	Ncfsa

Članak	članak	Ncmsn
4.	4.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
gospodarski	gospodarski	Agpmpny
subjekti	subjekt	Ncmpn
i	i	Cc
tijela	tijelo	Ncnsg
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
poduzimaju	poduzimati	Vmr3p
se	sebe	Px--sa
sve	sav	Agpfpny
prikladne	prikladan	Agpfpny
mjere	mjera	Ncfpn
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
osiguralo	osigurati	Vmp-sn
da	da	Cs
proizvodi	proizvoditi	Vmr3s
iz	iz	Sg
članka	članak	Ncmsg
1.	1.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
proizvodi	proizvod	Ncmpn
)	)	Z
mogu	moći	Vmr3p
biti	biti	Van
stavljeni	staviti	Appmpny
na	na	Sa
raspolaganje	raspolaganje	Ncnsa
na	na	Sl
tržištu	tržište	Ncnsl
i	i	Cc
stavljeni	staviti	Appmpny
u	u	Sa
uporabu	uporaba	Ncfsa
ako	ako	Cs
su	biti	Var3p
odgovarajuće	odgovarajući	Agpfpny
instalirani	instalirati	Appmpny
i	i	Cc
održavani	održavati	Appmpny
te	te	Cc
korišteni	koristiti	Appmpny
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
njihovom	njihov	Ps3fsi
namijenjenom	namijenjen	Agpfsiy
uporabom	uporaba	Ncfsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Odredbe	odredba	Ncfpn
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
ne	ne	Qz
utječu	utjecati	Vmr3p
na	na	Sa
pravo	pravo	Ncnsa
utvrđivanja	utvrđivanje	Ncnsg
onih	onaj	Pd-mpg
zahtjeva	zahtjev	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
ocijene	ocijeniti	Vmr3p
potrebnim	potreban	Agpmsiy
za	za	Sa
osiguranje	osiguranje	Ncnsa
zaštite	zaštita	Ncfsg
osoba	osoba	Ncfpg
,	,	Z
posebno	posebno	Rgp
radnika	radnik	Ncmpg
,	,	Z
pri	pri	Sl
korištenju	korištenje	Ncnsl
relevantnih	relevantan	Agpmpgy
proizvoda	proizvod	Ncmpg
,	,	Z
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
to	taj	Pd-nsn
ne	ne	Qz
znači	značiti	Vmr3s
da	da	Cs
su	biti	Var3p
takvi	takav	Pd-mpn
proizvodi	proizvod	Ncmpn
izmijenjeni	izmijeniti	Appmpny
na	na	Sa
način	način	Ncmsan
koji	koji	Pi-msn
ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
ne	ne	Qz

