relevantne	relevantan	Agpmpay
,	,	Z
laboratorij	laboratorij	Ncmsn
mora	morati	Vmr3s
dostaviti	dostaviti	Vmn
odmah	odmah	Rgp
po	po	Sl
završetku	završetak	Ncmsl
pretraživanja	pretraživanje	Ncnsg
.	.	Z

Izvješće	izvješće	Ncnsn
o	o	Sl
negativnom	negativan	Agpmsly
nalazu	nalaz	Ncmsl
pretraživanja	pretraživanje	Ncnsg
,	,	Z
laboratorij	laboratorij	Ncmsn
mora	morati	Vmr3s
dostaviti	dostaviti	Vmn
najkasnije	kasno	Rgs
48	48	Mdc
sati	sat	Ncmpg
po	po	Sl
završetku	završetak	Ncmsl
pretraživanja	pretraživanje	Ncnsg
.	.	Z

Osim	osim	Sg
Upravi	uprava	Ncfsl
,	,	Z
laboratoriji	laboratorij	Ncmpn
su	biti	Var3p
dužni	dužan	Agpmpny
elektroničkim	elektronički	Agpmsiy
putem	put	Ncmsi
dostaviti	dostaviti	Vmn
sva	sav	Agpnpay
izvješća	izvješće	Ncnpa
o	o	Sl
provedenim	provesti	Agpfply
pretragama	pretraga	Ncfpl
ovlaštenoj	ovlašten	Agpfsly
veterinarskoj	veterinarski	Agpfsly
organizaciji	organizacija	Ncfsl
koja	koji	Pi-fsn
je	biti	Var3s
provela	provesti	Vmp-sf
uzorkovanje	uzorkovanje	Ncnsa
,	,	Z
odnosno	odnosno	Rgp
pošiljatelju	pošiljatelj	Ncmsd
.	.	Z

O	o	Sl
pozitivnim	pozitivan	Agpmply
rezultatima	rezultat	Ncmpl
pretraga	pretraga	Ncfpg
,	,	Z
ovlaštene	ovlašten	Agpfpny
veterinarske	veterinarski	Agpfpny
organizacije	organizacija	Ncfpn
dužne	dužan	Agpfsgy
su	biti	Var3p
izvijestiti	izvijestiti	Vmn
posjednika	posjednik	Ncmsay
.	.	Z

O	o	Sl
rezultatima	rezultat	Ncmpl
pretraga	pretraga	Ncfpg
čiji	čiji	Pi-mpn
se	sebe	Px--sa
troškovi	trošak	Ncmpn
podmiruju	podmirivati	Vmr3p
iz	iz	Sg
sredstava	sredstvo	Ncnpg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
,	,	Z
ovlaštene	ovlašten	Agpfsgy
veterinarske	veterinarski	Agpfsgy
organizacije	organizacija	Ncfsg
dužne	dužan	Agpfsgy
su	biti	Var3p
izvijestiti	izvijestiti	Vmn
posjednika	posjednik	Ncmsay
po	po	Sl
njegovom	njegov	Ps3msl
zahtjevu	zahtjev	Ncmsl
.	.	Z

O	o	Sl
negativnim	negativan	Agpmply
rezultatima	rezultat	Ncmpl
pretrage	pretraga	Ncfpn
koje	koji	Pi-fpn
su	biti	Var3p
provedene	provesti	Appfpny
u	u	Sa
svrhu	svrha	Ncfsa
isključivanja	isključivanje	Ncnsg
sumnje	sumnja	Ncfsg
,	,	Z
ovlaštene	ovlašten	Agpfsgy
veterinarske	veterinarski	Agpfsgy
organizacije	organizacija	Ncfsg
dužne	dužan	Agpfsgy
su	biti	Var3p
izvijestiti	izvijestiti	Vmn
nadležnu	nadležan	Agpfsay
ispostavu	ispostava	Ncfsa
veterinarskog	veterinarski	Agpmsgy
ureda	ured	Ncmsg
.	.	Z

Izvješća	izvješće	Ncnpn
o	o	Sl
rezultatima	rezultat	Ncmpl
pretraga	pretraga	Ncfpg
čije	čiji	Pi-mpa
troškove	trošak	Ncmpa
pokriva	pokrivati	Vmr3s
posjednik	posjednik	Ncmsn
,	,	Z
laboratorij	laboratorij	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
dostaviti	dostaviti	Vmn
i	i	Cc
na	na	Sa
adresu	adresa	Ncfsa
posjednika	posjednik	Ncmpg
.	.	Z

3.	3.	Mdo
PRIJAVA	prijava	Ncfsn
BOLESTI	bolest	Ncfsg

Prijava	prijava	Ncfsn
sumnje	sumnja	Ncfsg
i	i	Cc
potvrđenog	potvrditi	Agpmsgy
slučaja	slučaj	Ncmsg
bolesti	bolest	Ncfsg
,	,	Z
kao	kao	Cs
i	i	Cc
odjava	odjava	Ncfsn
zarazne	zarazan	Agpfsgy
bolesti	bolest	Ncfsg
,	,	Z
provodi	provoditi	Vmr3s
se	sebe	Px--sa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpl
Pravilnika	pravilnik	Ncmsg
o	o	Sl
načinu	način	Ncmsl
praćenja	praćenje	Ncnsg
,	,	Z
prijavi	prijava	Ncfsl
i	i	Cc
izvješćivanju	izvješćivanje	Ncnsl
o	o	Sl
pojavi	pojava	Ncfsl
bolesti	bolest	Ncfsg
životinja	životinja	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
135/2014	135/2014	Mds
)	)	Z
.	.	Z

Pravilna	pravilan	Agpfsny
primjena	primjena	Ncfsn
Pravilnika	pravilnik	Ncmsg
o	o	Sl
načinu	način	Ncmsl
praćenja	praćenje	Ncnsg
,	,	Z
prijavi	prijava	Ncfsl
i	i	Cc
izvješćivanju	izvješćivanje	Ncnsl
o	o	Sl
pojavi	pojava	Ncfsl
bolesti	bolest	Ncfsg
životinja	životinja	Ncfpg
u	u	Sl
smislu	smisao	Ncmsl
postupanja	postupanje	Ncnsg
posjednika	posjednik	Ncmpg
,	,	Z
veterinara	veterinar	Ncmpg
,	,	Z
ovlaštenih	ovlašten	Agpmpgy
veterinara	veterinar	Ncmpg
i	i	Cc
veterinarskih	veterinarski	Agpmpgy
inspektora	inspektor	Ncmpg
od	od	Sg
iznimne	izniman	Agpfsgy
je	biti	Var3s
važnosti	važnost	Ncfsg
za	za	Sa
pravovremeno	pravovremen	Agpnsay
otkrivanje	otkrivanje	Ncnsa
bolesti	bolest	Ncfsg
ili	ili	Cc
sumnje	sumnja	Ncfsg
na	na	Sa
bolest	bolest	Ncfsa
.	.	Z

Veterinari	veterinar	Ncmpn
su	biti	Var3p
dužni	dužan	Agpmpny
upozoriti	upozoriti	Vmn
posjednike	posjednik	Ncmpa
životinja	životinja	Ncfpg
na	na	Sa
važnost	važnost	Ncfsa
prijave	prijava	Ncfsg
svih	sav	Agpmpgy
znakova	znak	Ncmpg
na	na	Sl
temelju	temelj	Ncmsl
kojih	koji	Pi-mpg
se	sebe	Px--sa
može	moći	Vmr3s
posumnjati	posumnjati	Vmn
na	na	Sa
zaraznu	zarazan	Agpfsay
bolest	bolest	Ncfsa
kao	kao	Cs
i	i	Qo
na	na	Sa
obveznu	obvezan	Agpfsay
prijavu	prijava	Ncfsa
pobačaja	pobačaj	Ncmsg
i	i	Cc
uginuća	uginuće	Ncnsg
životinja	životinja	Ncfpg
u	u	Sa
svrhu	svrha	Ncfsa
potvrđivanja	potvrđivanje	Ncnsg
ili	ili	Cc
isključivanja	isključivanje	Ncnsg
bolesti	bolest	Ncfsg
.	.	Z

DODATAK	dodatak	Ncmsn
III	III	Mrc
.	.	Z

Za	za	Sa
potrebe	potreba	Ncfpa
provođenja	provođenje	Ncnsg
mjera	mjera	Ncfpg
propisanih	propisati	Appfpgy
Naredbom	naredba	Ncfsi
,	,	Z
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
pretraživanje	pretraživanje	Ncnsa
ovnova	ovan	Ncmpg
,	,	Z
jaraca	jarac	Ncmpg
i	i	Cc
nerasta	nerast	Ncmpg
na	na	Sa
brucelozu	bruceloza	Ncfsa
:	:	Z

a	a	Cc
)	)	Z
»	»	Z
Uvođenje	uvođenje	Ncnsn
u	u	Sa
novi	nov	Agpmsayn
uzgoj	uzgoj	Ncmsan
«	«	Z
znači	značiti	Vmr3s
svako	svaki	Pi-nsa
komercijalno	komercijalan	Agpnsay
premještanje	premještanje	Ncnsa
rasplodnjaka	rasplodnjak	Ncmpg
(	(	Z
nerast	nerast	Ncmsn
,	,	Z
ovan	ovan	Ncmsn
ili	ili	Cc
jarac	jarac	Ncmsn
)	)	Z
u	u	Sa
novi	nov	Agpmsayn
uzgoj	uzgoj	Ncmsan
(	(	Z
odredište	odredište	Ncnsn
)	)	Z
,	,	Z
odnosno	odnosno	Rgp
radi	raditi	Vmr3s
se	sebe	Px--sa
o	o	Sl
prodaji	prodaja	Ncfsl
ili	ili	Cc
svakom	svaki	Pi-msl
nekomercijalnom	nekomercijalan	Agpnsly
kretanju	kretanje	Ncnsl
odnosno	odnosno	Rgp
ustupanju	ustupanje	Ncnsl
rasplodnjaka	rasplodnjak	Ncmpg
drugom	drugi	Mlomsl
posjedniku	posjednik	Ncmsl
koji	koji	Pi-msn
će	htjeti	Var3s
ga	on	Pp3msa
koristiti	koristiti	Vmn
u	u	Sl
rasplodu	rasplod	Ncmsl
.	.	Z

b	b	Npmsn
)	)	Z
»	»	Z
Početak	početak	Ncmsn
korištenja	korištenje	Ncnsg
za	za	Sa
umjetno	umjetan	Agpnsay
osjemenjivanje	osjemenjivanje	Ncnsa
ili	ili	Cc
prirodni	prirodan	Agpmpny
pripust	pripust	Ncfsn
«	«	Z
znači	značiti	Vmr3s
korištenje	korištenje	Ncnsa
rasplodnjaka	rasplodnjak	Ncmpg
na	na	Sl
vlastitom	vlastit	Agpnsly
gospodarstvu	gospodarstvo	Ncnsl
prvi	prvi	Mlomsan
puta	puta	Rgp
,	,	Z
odnosno	odnosno	Rgp
ne	ne	Qz
radi	raditi	Vmr3s
se	sebe	Px--sa
o	o	Sl
komercijalnom	komercijalan	Agpnsly
premještanju	premještanje	Ncnsl
(	(	Z
prodaji	prodaja	Ncfsl
)	)	Z
.	.	Z

Rasplodnjaci	rasplodnjak	Ncmpn
se	sebe	Px--sa
mogu	moći	Vmr3p
početi	početi	Vmn
koristiti	koristiti	Vmn
tek	tek	Qo
nakon	nakon	Sg
pretraživanja	pretraživanje	Ncnsg
na	na	Sa
brucelozu	bruceloza	Ncfsa
s	sa	Si
negativnim	negativan	Agpmsiy
rezultatom	rezultat	Ncmsi

