financijski	financijski	Agpmsny
,	,	Z

c	C	Npmsn
)	)	Z
ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
nije	biti	Var3s
ispravio	ispraviti	Vmp-sm
utvrđenu	utvrditi	Agpfsay
nepravilnost	nepravilnost	Ncfsa
sukladno	sukladno	Rgp
Izvještaju	izvještaj	Ncmsl
Odjela	odjel	Ncmsg
za	za	Sa
kontrolu	kontrola	Ncfsa
mjera	mjera	Ncfpg
strukturne	strukturni	Agpfsgy
potpore	potpora	Ncfsg
,	,	Z
Odlukom	odluka	Ncfsi
o	o	Sl
povratu	povrat	Ncmsl
sredstava	sredstvo	Ncnpg
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
zahtijevati	zahtijevati	Vmn
od	od	Sg
korisnika	korisnik	Ncmpg
povrat	povrat	Ncmsn
ukupno	ukupno	Rgp
isplaćenih	isplatiti	Agpnpgy
sredstava	sredstvo	Ncnpg
potpore	potpora	Ncfsg
,	,	Z

d	d	Npmsn
)	)	Z
ukoliko	ukoliko	Cs
utvrđena	utvrditi	Appfsny
nepravilnost	nepravilnost	Ncfsn
ujedno	ujedno	Rgp
predstavlja	predstavljati	Vmr3s
sumnju	sumnja	Ncfsa
na	na	Sa
prijevaru	prijevara	Ncfsa
,	,	Z
Odlukom	odluka	Ncfsi
o	o	Sl
povratu	povrat	Ncmsl
sredstava	sredstvo	Ncnpg
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
zahtijevati	zahtijevati	Vmn
od	od	Sg
korisnika	korisnik	Ncmpg
povrat	povrat	Ncmsn
ukupno	ukupno	Rgp
isplaćenih	isplatiti	Agpnpgy
sredstava	sredstvo	Ncnpg
potpore	potpora	Ncfsg
.	.	Z
«	«	Z

Članak	članak	Ncmsn
8.	8.	Mdo

Članak	članak	Ncmsn
42.	42.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
U	u	Sl
slučajevima	slučaj	Ncmpl
kada	kada	Cs
je	biti	Var3s
nepravilnost	nepravilnost	Ncfsn
utvrđena	utvrditi	Appfsny
nakon	nakon	Sg
konačne	konačan	Agpfsgy
isplate	isplata	Ncfsg
,	,	Z
a	a	Cc
koja	koji	Pi-fsn
nije	biti	Var3s
predviđena	predvidjeti	Appfsny
člankom	članak	Ncmsi
41.	41.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
može	moći	Vmr3s
izdati	izdati	Vmn
Odluku	odluka	Ncfsa
o	o	Sl
povratu	povrat	Ncmsl
sredstava	sredstvo	Ncnpg
za	za	Sa
cjelokupno	cjelokupan	Agpnsay
isplaćeni	isplatiti	Appmpny
iznos	iznos	Ncmsan
potpore	potpora	Ncfsg
.	.	Z
«	«	Z

Članak	članak	Ncmsn
9.	9.	Mdo

Članak	članak	Ncmsn
46.	46.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Kada	kada	Cs
su	biti	Var3p
sredstva	sredstvo	Ncnpn
potpore	potpora	Ncfsg
isplaćena	isplatiti	Appfsny
korisniku	korisnik	Ncmsd
,	,	Z
a	a	Cc
utvrđena	utvrditi	Appfsny
je	biti	Var3s
administrativna	administrativan	Agpfsny
greška	greška	Ncfsn
–	i	Agpfsny
pretplata	pretplata	Ncfsn
/	/	Z
kriva	kriv	Agpfsny
isplata	isplata	Ncfsn
ili	ili	Cc
bilo	bilo	Qo
koje	koji	Pi-mpa
druga	drugi	Mlofsn
administrativna	administrativan	Agpfsny
greška	greška	Ncfsn
učinjena	učiniti	Appfsny
od	od	Sg
strane	strana	Ncfsg
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
prilikom	prilikom	Sg
provedbe	provedba	Ncfsg
IPARD	IPARD	Sg
programa	program	Ncmpg
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
korisniku	korisnik	Ncmsd
izdati	izdati	Vmn
Odluku	odluka	Ncfsa
o	o	Sl
povratu	povrat	Ncmsl
sredstava	sredstvo	Ncnpg
u	u	Sl
slučaju	slučaj	Ncmsl
utvrđene	utvrditi	Agpfsgy
administrativne	administrativan	Agpfsgy
greške	greška	Ncfsg
kojom	koji	Pi-fsi
će	htjeti	Var3s
od	od	Sg
korisnika	korisnik	Ncmpg
zatražiti	zatražiti	Vmn
povrat	povrat	Ncmsan
utvrđenog	utvrditi	Agpmsgy
nepravilnog	nepravilan	Agpmsgy
iznosa	iznos	Ncmsg
.	.	Z
«	«	Z

Članak	članak	Ncmsn
10.	10.	Mdo

U	u	Sl
članku	članak	Ncmsl
47.	47.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
Odluci	odluka	Ncfsl
o	o	Sl
naknadi	naknada	Ncfsl
štete	šteta	Ncfsg
«	«	Z
brišu	brisati	Vmr3p
se	sebe	Px--sa
.	.	Z

Članak	članak	Ncmsn
11.	11.	Mdo

Članak	članak	Ncmsn
48.	48.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
1	1	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
kojemu	koji	Pi-msd
je	biti	Var3s
izdana	izdati	Appfsny
Odluka	odluka	Ncfsn
o	o	Sl
povratu	povrat	Ncmsl
sredstava	sredstvo	Ncnpg
sukladno	sukladno	Rgp
članku	članak	Ncmsd
41.	41.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
točkama	točka	Ncfpl
b	b	X
)	)	Z
,	,	Z
c	C	Npmsn
)	)	Z
i	i	Cc
d	a	Ncfpn
)	)	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
ili	ili	Cc
Izjava	izjava	Ncfsn
o	o	Sl
raskidu	raskid	Ncmsl
ugovora	ugovor	Ncmsg
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
40.	40.	Mdo
,	,	Z
stavku	stavak	Ncmsl
1.	1.	Mdo
točki	točka	Ncfsl
a	a	Cc
)	)	Z
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmpg
zbog	zbog	Sg
utvrđenih	utvrditi	Agpfpgy
nepravilnosti	nepravilnost	Ncfpg
,	,	Z
nalazit	nalaziti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
na	na	Sl
»	»	Z
crnoj	crn	Agpfsly
listi	lista	Ncfsl
«	«	Z
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Na	na	Sl
»	»	Z
crnoj	crn	Agpfsly
listi	lista	Ncfsl
«	«	Z
nalazit	nalaziti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
i	i	Cc
korisnik	korisnik	Ncmsn
kojemu	koji	Pi-msd
je	biti	Var3s
izdana	izdati	Appfsny
Odluka	odluka	Ncfsn
o	o	Sl
povratu	povrat	Ncmsl
sredstava	sredstvo	Ncnpg
sukladno	sukladno	Rgp
članku	članak	Ncmsd
41.	41.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
točka	točka	Ncfsn
a	a	Cc
)	)	Z
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmpg
ukoliko	ukoliko	Cs
ne	ne	Qz
vrati	vratiti	Vmr3s
sredstva	sredstvo	Ncnpa
u	u	Sl
roku	rok	Ncmsl
naznačenom	naznačiti	Appmsly
u	u	Sl
Odluci	odluka	Ncfsl
o	o	Sl
povratu	povrat	Ncmsl
sredstava	sredstvo	Ncnpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
će	htjeti	Var3s
se	sebe	Px--sa
nalaziti	nalaziti	Vmn
na	na	Sl
»	»	Z
crnoj	crn	Agpfsly
listi	lista	Ncfsl
«	«	Z
od	od	Sg
dana	dan	Ncmpg
izdavanja	izdavanje	Ncnsg
Odluke	odluka	Ncfsg
o	o	Sl
povratu	povrat	Ncmsl
sredstava	sredstvo	Ncnpg
pa	pa	Cc
sve	sve	Qo
do	do	Sg
isteka	istek	Ncmsg
roka	rok	Ncmsg
od	od	Sg
jedne	jedan	Mlcfsg
(	(	Z
1	1	Mdc
)	)	Z
godine	godina	Ncfsg
od	od	Sg
dana	dan	Ncmpg
povrata	povrat	Ncmsg
duga	dug	Ncmsg
u	u	Sl
cijelosti	cijelost	Ncfsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
izdavanja	izdavanje	Ncnsg
Izjave	izjava	Ncfsg
o	o	Sl
raskidu	raskid	Ncmsl
ugovora	ugovor	Ncmsg
zbog	zbog	Sg
utvrđenih	utvrditi	Agpfsgy
nepravilnosti	nepravilnost	Ncfsg
/	/	Z
sumnje	sumnja	Ncfsg
na	na	Sa
prijevaru	prijevara	Ncfsa
korisnik	korisnik	Ncmsn
će	htjeti	Var3s
biti	biti	Van
na	na	Sl
»	»	Z
crnoj	crn	Agpfsly
listi	lista	Ncfsl
«	«	Z
od	od	Sg
dana	dan	Ncmpg
izdavanja	izdavanje	Ncnsg
Izjave	izjava	Ncfsg
o	o	Sl
raskidu	raskid	Ncmsl
ugovora	ugovor	Ncmsg
do	do	Sg
isteka	istek	Ncmsg
roka	rok	Ncmsg
od	od	Sg
jedne	jedan	Mlcfsg
(	(	Z
1	1	Mdc
)	)	Z
godine	godina	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
»	»	Z
Crna	crn	Agpfsny
lista	lista	Ncfsn
«	«	Z
,	,	Z
na	na	Sl
kojoj	koji	Pi-fsl
će	htjeti	Var3s
se	sebe	Px--sa
nalaziti	nalaziti	Vmn
korisnici	korisnik	Ncmpn
zbog	zbog	Sg
razloga	razlog	Ncmpg
navedenih	navesti	Appmpgy
u	u	Sl
stavku	stavak	Ncmsl
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
objavljivat	objavljivati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
na	na	Sl
oglasnoj	oglasni	Agpfsly
ploči	ploča	Ncfsl
i	i	Cc
službenim	služben	Agpfply
web-stranicama	web-stranica	Ncfpl
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
(	(	Z
www.apprrr.hr	www.apprrr.hr	X
)	)	Z
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
koji	koji	Pi-msn
se	sebe	Px--sa
bude	biti	Var3s
nalazio	nalaziti	Vmp-sm
na	na	Sl
»	»	Z
crnoj	crn	Agpfsly
listi	lista	Ncfsl
«	«	Z
gubi	gubiti	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
ostvarivanje	ostvarivanje	Ncnsa
prava	pravo	Ncnsg
na	na	Sa
nacionalne	nacionalan	Agpfpay
potpore	potpora	Ncfpa
ili	ili	Cc
potpore	potpora	Ncfsg
iz	iz	Sg
EU	E	Npmpg
fondova	fond	Ncmpg
u	u	Sl
roku	rok	Ncmsl
naznačenom	naznačen	Agpmsly
u	u	Sl
stavku	stavak	Ncmsl
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z
«	«	Z

Članak	članak	Ncmsn
12.	12.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmog	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
02/10	02/10	Mdc
-	-	Z
01/164	01/164	Mdc
Urbroj	urbroj	Ncmsn
:	:	Z

