prijevozne	prijevozni	Agpfpny
uobičajenom	uobičajen	Agpnsly
boravištu	boravište	Ncnsl
istiniti	istinit	Agpmsny
.	.	Z

Radniku	radnik	Ncmsd
koji	koji	Pi-msn
ne	ne	Qz
potpiše	potpisati	Vmr3s
i	i	Cc
poslodavcu	poslodavac	Ncmsl
ne	ne	Qz
dostavi	dostaviti	Vmr3s
izjavu	izjava	Ncfsa
,	,	Z
poslodavac	poslodavac	Ncmsn
će	htjeti	Var3s
isplatiti	isplatiti	Vmn
naknadu	naknada	Ncfsa
troškova	trošak	Ncmpg
prijevoza	prijevoz	Ncmsg
samo	samo	Rgp
u	u	Sl
mjestu	mjesto	Ncnsl
rada	rad	Ncmsg
.	.	Z

Poslodavac	poslodavac	Ncmsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
izvidom	izvid	Ncmsi
na	na	Sl
licu	lice	Ncnsl
mjesta	mjesto	Ncnsg
provjeriti	provjeriti	Vmn
točnost	točnost	Ncfsa
podatka	podatak	Ncmsg
o	o	Sl
mjestu	mjesto	Ncnsl
prebivanja	prebivanje	Ncnsg
/	/	Z
uobičajenog	uobičajen	Agpnsgy
boravišta	boravište	Ncnsg
radnika	radnik	Ncmpg
.	.	Z

Ukoliko	ukoliko	Cs
utvrdi	utvrditi	Vmr3s
da	da	Cs
radnik	radnik	Ncmsn
ne	ne	Qz
stanuje	stanovati	Vmr3s
na	na	Sl
adresi	adresa	Ncfsl
koju	koji	Pi-fsa
je	biti	Var3s
prijavio	prijaviti	Vmp-sm
poslodavcu	poslodavac	Ncmsd
,	,	Z
te	te	Cc
da	da	Cs
zbog	zbog	Sg
toga	taj	Pd-nsg
prima	primati	Vmr3s
naknadu	naknada	Ncfsa
troškova	trošak	Ncmpg
prijevoza	prijevoz	Ncmsg
koja	koji	Pi-fsn
ga	on	Pp3msa
ne	ne	Qz
pripada	pripadati	Vmr3s
,	,	Z
poslodavac	poslodavac	Ncmsn
će	htjeti	Var3s
donijeti	donijeti	Vmn
odluku	odluka	Ncfsa
o	o	Sl
obustavi	obustava	Ncfsl
isplate	isplata	Ncfsg
naknade	naknada	Ncfsg
za	za	Sa
troškove	trošak	Ncmpa
prijevoza	prijevoz	Ncmsg
,	,	Z
do	do	Sg
utvrđivanja	utvrđivanje	Ncnsg
stvarnog	stvaran	Agpnsgy
mjesta	mjesto	Ncnsg
stanovanja	stanovanje	Ncnsg
i	i	Cc
prava	pravo	Ncnsg
tog	taj	Pd-msg
radnika	radnik	Ncmsg
na	na	Sa
naknadu	naknada	Ncfsa
troškova	trošak	Ncmpg
prijevoza	prijevoz	Ncmsg
,	,	Z
te	te	Cc
protiv	protiv	Sg
radnika	radnik	Ncmpg
provesti	provesti	Vmn
postupak	postupak	Ncmsan
utvrđivanja	utvrđivanje	Ncnsg
materijalne	materijalan	Agpfsgy
i	i	Cc
disciplinske	disciplinski	Agpfsgy
odgovornosti	odgovornost	Ncfsg
radnika	radnik	Ncmpg
.	.	Z

Ukoliko	ukoliko	Cs
smatra	smatrati	Vmr3s
da	da	Cs
je	biti	Var3s
izjava	izjava	Ncfsn
radnika	radnik	Ncmpg
o	o	Sl
mjestu	mjesto	Ncnsl
prebivališta	prebivalište	Ncnsg
neistinita	neistinit	Agpfsny
ili	ili	Cc
lažna	lažan	Agpfsny
,	,	Z
poslodavac	poslodavac	Ncmsn
može	moći	Vmr3s
pokrenuti	pokrenuti	Vmn
postupak	postupak	Ncmsan
pred	pred	Si
nadležnim	nadležan	Agpmpiy
tijelima	tijelo	Ncmpi
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
(	(	Z
MUP	MUP	Npmsn
,	,	Z
Porezna	porezni	Agpfsny
uprava	uprava	Ncfsn
)	)	Z
.	.	Z

Dnevnice	dnevnica	Ncfpn
i	i	Cc
troškovi	trošak	Ncmpn
putovanja	putovanje	Ncnsg

Članak	članak	Ncmsn
88.	88.	Mdo

Radnik	radnik	Ncmsn
,	,	Z
koji	koji	Pi-msn
je	biti	Var3s
na	na	Sl
temelju	temelj	Ncmsl
valjanog	valjan	Agpmsgy
naloga	nalog	Ncmsg
,	,	Z
upućen	uputiti	Appmsnn
na	na	Sa
službeno	služben	Agpnsay
putovanje	putovanje	Ncnsa
u	u	Sl
zemlji	zemlja	Ncfsl
ili	ili	Cc
u	u	Sa
inozemstvo	inozemstvo	Ncnsa
,	,	Z
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
dnevnicu	dnevnica	Ncfsa
,	,	Z
naknadu	naknada	Ncfsa
troškova	trošak	Ncmpg
prijevoza	prijevoz	Ncmsg
na	na	Sl
službenom	služben	Agpnsly
putovanju	putovanje	Ncnsl
i	i	Cc
naknadu	naknada	Ncfsa
troškova	trošak	Ncmpg
noćenja	noćenje	Ncnsg
.	.	Z

Službeno	služben	Agpnsny
putovanje	putovanje	Ncnsn
u	u	Sl
zemlji	zemlja	Ncfsl
je	biti	Var3s
svako	svaki	Pi-nsn
putovanje	putovanje	Ncnsn
kada	kada	Cs
radnik	radnik	Ncmsn
,	,	Z
na	na	Sl
temelju	temelj	Ncmsl
putnog	putni	Agpmsgy
naloga	nalog	Ncmsg
poslodavca	poslodavac	Ncmsg
,	,	Z
obavlja	obavljati	Vmr3s
radne	radni	Agpmpay
zadatke	zadatak	Ncmpa
u	u	Sl
mjestu	mjesto	Ncnsl
koje	koji	Pi-nsn
je	biti	Var3s
različito	različito	Rgp
od	od	Sg
ugovorenog	ugovoriti	Agpnsgy
mjesta	mjesto	Ncnsg
rada	rad	Ncmsg
,	,	Z
a	a	Cc
poslodavac	poslodavac	Ncmsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
radniku	radnik	Ncmsd
naložiti	naložiti	Vmn
povratak	povratak	Ncmsan
i	i	Cc
prije	prije	Sg
isteka	istek	Ncmsg
očekivanog	očekivati	Agpnsgy
trajanja	trajanje	Ncnsg
službenog	služben	Agpnsgy
putovanja	putovanje	Ncnsg
,	,	Z
iako	iako	Cs
posao	posao	Ncmsn
nije	biti	Var3s
obavljen	obaviti	Appmsnn
.	.	Z

Trošak	trošak	Ncmsn
taksija	taksi	Ncmsg
priznaje	priznavati	Vmr3s
se	sebe	Px--sa
kao	kao	Cs
trošak	trošak	Ncmsn
službenog	služben	Agpnsgy
putovanja	putovanje	Ncnsg
isključivo	isključivo	Rgp
ako	ako	Cs
je	biti	Var3s
ovlaštena	ovlastiti	Appfsny
osoba	osoba	Ncfsn
radnika	radnik	Ncmpg
takav	takav	Pd-msan
trošak	trošak	Ncmsan
izričito	izričito	Rgp
odobrila	odobriti	Vmp-sf
u	u	Sl
putnom	putni	Agpmsly
nalogu	nalog	Ncmsl
iz	iz	Sg
opravdanih	opravdati	Agpmpgy
razloga	razlog	Ncmpg
(	(	Z
nemogućnost	nemogućnost	Ncfsn
korištenja	korištenje	Ncnsg
javnog	javan	Agpmsgy
prijevoza	prijevoz	Ncmsg
)	)	Z
.	.	Z

Članak	članak	Ncmsn
89.	89.	Mdo

Dnevnica	dnevnica	Ncfsn
za	za	Sa
službeno	služben	Agpnsay
putovanje	putovanje	Ncnsa
u	u	Sl
zemlji	zemlja	Ncfsl
isplaćuje	isplaćivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
170,00	170,00	Mdc
kn	KN	Y
.	.	Z

Dnevnica	dnevnica	Ncfsn
za	za	Sa
službeno	služben	Agpnsay
putovanje	putovanje	Ncnsa
u	u	Sa
inozemstvo	inozemstvo	Ncnsa
isplaćuje	isplaćivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
visini	visina	Ncfsl
iznosa	iznos	Ncmpg
propisanih	propisati	Appmpgy
za	za	Sa
tijela	tijelo	Ncnpa
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
.	.	Z

Naknada	naknada	Ncfsn
za	za	Sa
rad	rad	Ncmsan
na	na	Sl
terenu	teren	Ncmsl

Članak	članak	Ncmsn
90.	90.	Mdo

Ako	ako	Cs
radnik	radnik	Ncmsn
dulje	dugo	Rgc
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
za	za	Sa
poslodavca	poslodavac	Ncmsan
na	na	Sl
terenu	teren	Ncmsl
tj.	tj.	Y
izvan	izvan	Sg
mjesta	mjesto	Ncnsg
svog	svoj	Px-nsg
prebivališta	prebivalište	Ncnsg
,	,	Z
ali	ali	Cc
i	i	Qo
izvan	izvan	Sg
sjedišta	sjedište	Ncnsg
organizacijske	organizacijski	Agpfsgy
jedinice	jedinica	Ncfsg
poslodavca	poslodavac	Ncmsg
u	u	Sl
kojoj	koji	Pi-fsl
radi	rada	Ncfsl
,	,	Z
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
terenski	terenski	Agpmsayn
dodatak	dodatak	Ncmsan
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
najmanje	malo	Rgs
170,00	170,00	Mdc
kn	KN	Ncmpg
po	po	Sl
danu	dan	Ncmsl
.	.	Z

Radnik	radnik	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
upućen	uputiti	Appmsnn
na	na	Sa
terenski	terenski	Agpmsayn
rad	rad	Ncmsan
,	,	Z
nema	nemati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
terenski	terenski	Agpmsayn
dodatak	dodatak	Ncmsan
ukoliko	ukoliko	Cs
na	na	Sl
relaciji	relacija	Ncfsl
prebivalište	prebivalište	Ncnsa
–	–	Z
radno	radni	Agpnsny
mjesto	mjesto	Ncnsn
postoji	postojati	Vmr3s
mogućnost	mogućnost	Ncfsn
redovnog	redovan	Agpmsgy
svakodnevnog	svakodnevan	Agpmsgy
prijevoza	prijevoz	Ncmsg
na	na	Sa
posao	posao	Ncmsan
i	i	Cc
s	sa	Sg
posla	posao	Ncmsg
prometnim	prometan	Agpnpiy
sredstvima	sredstvo	Ncnpi
poslodavca	poslodavac	Ncmsg
ili	ili	Cc
sredstvima	sredstvo	Ncnpi
javnog	javan	Agpmsgy
prometa	promet	Ncmsg
.	.	Z

Članak	članak	Ncmsn
91.	91.	Mdo

Visina	visina	Ncfsn
terenskog	terenski	Agpmsgy
dodatka	dodatak	Ncmsg
ovisi	ovisiti	Vmr3s
o	o	Sl
tome	taj	Pd-nsl
jesu	biti	Var3p
li	li	Qq
radniku	radnik	Ncmsl
osigurani	osigurati	Agpmsny
smještaj	smještaj	Ncmsn
,	,	Z
prehrana	prehrana	Ncfsn
i	i	Cc
drugi	drugi	Mlompn
uvjeti	uvjet	Ncmpn
boravka	boravak	Ncmsg
na	na	Sl
terenu	teren	Ncmsl
.	.	Z

Radniku	radnik	Ncmsd
kojem	koji	Pi-msl
je	biti	Var3s
za	za	Sa
vrijeme	vrijeme	Ncnsa
rada	rad	Ncmsg
na	na	Sl
terenu	teren	Ncmsl
osiguran	osigurati	Appmsnn
samo	samo	Rgp
smještaj	smještaj	Ncmsn
,	,	Z
iznos	iznos	Ncmsn
terenskog	terenski	Agpmsgy
dodatka	dodatak	Ncmsg
umanjuje	umanjivati	Vmr3s
se	sebe	Px--sa
za	za	Sa
30	30	Mdc
posto	posto	Rgp
.	.	Z

Radniku	radnik	Ncmsd
kojem	koji	Pi-msl
je	biti	Var3s
za	za	Sa
vrijeme	vrijeme	Ncnsa
rada	rad	Ncmsg
na	na	Sl
terenu	teren	Ncmsl
osigurana	osigurati	Appfsny
samo	samo	Rgp
prehrana	prehrana	Ncfsn
,	,	Z
iznos	iznos	Ncmsn
terenskog	terenski	Agpmsgy
dodatka	dodatak	Ncmsg
umanjuje	umanjivati	Vmr3s
se	sebe	Px--sa
za	za	Sa
20	20	Mdc
posto	posto	Rgp
.	.	Z

Radnik	radnik	Ncmsn
kojemu	koji	Pi-msd
je	biti	Var3s
za	za	Sa
vrijeme	vrijeme	Ncnsa
rada	rad	Ncmsg
na	na	Sl
terenu	teren	Ncmsl
osiguran	osigurati	Appmsnn
kompletan	kompletan	Agpmsann
smještaj	smještaj	Ncmsan
i	i	Cc
prehrana	prehrana	Ncfsn
nema	nemati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
terenski	terenski	Agpmsayn
dodatak	dodatak	Ncmsan
.	.	Z

Pravo	prav	Agpnsny
na	na	Sa
ostvarivanje	ostvarivanje	Ncnsa
dnevnice	dnevnica	Ncfsg
i	i	Cc
terenskog	terenski	Agpmsgy
dodatka	dodatak	Ncmsg
međusobno	međusobno	Rgp
se	sebe	Px--sa
isključuju	isključivati	Vmr3p
.	.	Z

Naknada	naknada	Ncfsn
za	za	Sa
odvojeni	odvojiti	Agpmsayn
život	život	Ncmsan

Članak	članak	Ncmsn
92.	92.	Mdo

Ako	ako	Cs
poslodavac	poslodavac	Ncmsn
ima	imati	Vmr3s
potrebu	potreba	Ncfsa
za	za	Si
radom	rada	Ncfsi
radnika	radnik	Ncmpg
čije	čiji	Pi-nsn
je	biti	Var3s
mjesto	mjesto	Ncnsa
prebivališta	prebivalište	Ncnsg
izvan	izvan	Sg
mjesta	mjesto	Ncnsg
u	u	Sl
kojem	koji	Pi-nsl
je	biti	Var3s
sjedište	sjedište	Ncnsn
organizacijske	organizacijski	Agpfsgy
jedinice	jedinica	Ncfsg
poslodavca	poslodavac	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
izvan	izvan	Sg
mjesta	mjesto	Ncnsg
rada	rad	Ncmsg
radnika	radnik	Ncmpg
,	,	Z
takav	takav	Pd-msn
radnik	radnik	Ncmsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
naknadu	naknada	Ncfsa
za	za	Sa
odvojeni	odvojiti	Agpmsayn
život	život	Ncmsan
od	od	Sg
obitelji	obitelj	Ncfsg
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
najmanje	malo	Rgs
1.000,00	1.000,00	Mdc
kn	KN	Ncmpg
mjesečno	mjesečno	Rgp
.	.	Z

Ako	ako	Cs
je	biti	Var3s
radniku	radnik	Ncmsd
osiguran	osigurati	Appmsnn
smještaj	smještaj	Ncmsn
ili	ili	Cc
cjelodnevna	cjelodnevan	Agpfsny
prehrana	prehrana	Ncfsn
,	,	Z
naknada	naknada	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
umanjit	umanjiti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
za	za	Sa
25	25	Mdc
%	%	Z
,	,	Z
a	a	Cc
ako	ako	Cs
je	biti	Var3s
radniku	radnik	Ncmsd
osiguran	osigurati	Appmsnn
smještaj	smještaj	Ncmsn
i	i	Cc

