to	taj	Pd-nsn
nož	nož	Ncmsn
mora	morati	Vmr3s
biti	biti	Van
dostupan	dostupan	Agpmsnn
na	na	Sl
površini	površina	Ncfsl
gornje	gornji	Agpfsgy
uzgonske	uzgonski	Agpfsgy
komore	komora	Ncfsg
na	na	Sl
prikladnom	prikladan	Agpnsly
mjestu	mjesto	Ncnsl
da	da	Cs
omogući	omogućiti	Vmr3s
da	da	Cs
se	sebe	Px--sa
vezaljka	vezaljka	Ncfsn
prereže	prerezati	Vmr3s
;	;	Z

.	.	Z
3	3	Mdc
jedan	jedan	Mlcmsn
plutajući	plutajući	Agpmsny
ispolac	ispolac	Ncmsn
;	;	Z

.	.	Z
4	4	Mdc
dvije	dva	Mlcf-n
spužve	spužva	Ncfsg
;	;	Z

.	.	Z
5	5	Mdc
jedno	jedan	Agpnsny
strujno	strujni	Agpnsny
sidro	sidro	Ncnsn
stalno	stalno	Rgp
pričvršćeno	pričvršćen	Agpnsny
za	za	Sa
otvorenu	otvoren	Agpfsay
dvostranu	dvostran	Ncfsa
splav	splav	Ncmsan
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
oslobodi	osloboditi	Vmr3s
kada	kada	Cs
se	sebe	Px--sa
splav	splav	Ncmsn
napuše	napuhati	Vmr3s
.	.	Z

Položaj	položaj	Ncmsn
strujnog	strujni	Agpnsgy
sidra	sidro	Ncnsg
mora	morati	Vmr3s
biti	biti	Van
jasno	jasno	Rgp
označen	označiti	Appmsnn
na	na	Sa
obje	oba	Ncnsa
uzgonske	uzgonski	Agpfsgy
komore	komora	Ncfsg
;	;	Z

.	.	Z
6	6	Mdc
dva	dva	Mlc
plutajuća	plutajući	Agpnsgy
vesla	veslo	Ncnsg
;	;	Z

.	.	Z
7	7	Mdc
pribor	pribor	Ncmsan
za	za	Sa
prvu	prvi	Mlofsa
pomoć	pomoć	Ncfsa
u	u	Sl
vodonepropusnoj	vodonepropustan	Agpfsly
kutiji	kutija	Ncfsl
koja	koji	Pi-fsn
se	sebe	Px--sa
nakon	nakon	Sg
upotrebe	upotreba	Ncfsg
može	moći	Vmr3s
ponovno	ponovno	Rgp
čvrsto	čvrsto	Rgp
zatvoriti	zatvoriti	Vmn
;	;	Z

.	.	Z
8	8	Mdc
jedna	jedan	Mlcfsn
zviždaljka	zviždaljka	Ncfsn
ili	ili	Cc
neko	neki	Agpnsay
drugo	drugi	Mlonsa
jednakovrijedno	jednakovrijedan	Agpnsay
sredstvo	sredstvo	Ncnsa
za	za	Sa
zvučnu	zvučan	Agpfsay
signalizaciju	signalizacija	Ncfsa
;	;	Z

.	.	Z
9	9	Mdc
dvije	dva	Mlcf-n
ručne	ručni	Agpfsgy
buktinje	buktinja	Ncfsg
;	;	Z

.	.	Z
10	10	Mdc
jednu	jedan	Mlcfsa
nepromočivu	nepromočiv	Agpfsay
električnu	električan	Agpfsay
svjetiljku	svjetiljka	Ncfsa
pogodnu	pogodan	Agpfsay
za	za	Sa
signaliziranje	signaliziranje	Ncnsa
Morzeovim	morzeov	Aspmsiy
znacima	znak	Ncmpi
,	,	Z
skupa	skupa	Rgp
s	sa	Si
jednim	jedan	Mlcmsi
slogom	slog	Ncmsi
rezervnih	rezervni	Agpfpgy
baterija	baterija	Ncfpg
i	i	Cc
jednom	jednom	Rgp
rezervnom	rezervni	Agpfsiy
žaruljom	žarulja	Ncfsi
u	u	Sl
vodootpornom	vodootporan	Agpmsly
spremniku	spremnik	Ncmsl
;	;	Z

.	.	Z
11	11	Mdc
jedan	jedan	Mlcmsn
slog	slog	Ncmsn
pribora	pribor	Ncmpg
za	za	Sa
zatvaranje	zatvaranje	Ncnsa
rupa	rupa	Ncfpg
na	na	Sl
uzgonskim	uzgonski	Agpfply
komorama	komora	Ncfpl
;	;	Z

.	.	Z
12	12	Mdc
jednu	jedan	Mlcfsa
pumpu	pumpa	Ncfsa
ili	ili	Cc
ručni	ručni	Agpmsny
mijeh	mijeh	Ncmsn
za	za	Sa
napuhavanje	napuhavanje	Ncnsa
;	;	Z

.	.	Z
13	13	Mdc
upute	uputa	Ncfpn
za	za	Sa
preživljavanje	preživljavanje	Ncnsa

6.11.3.9	6.11.3.i	Agpfsny
Oprema	oprema	Ncfsn
mora	morati	Vmr3s
biti	biti	Van
smještena	smjestiti	Appfsny
u	u	Sl
spremniku	spremnik	Ncmsl
koji	koji	Pi-msn
,	,	Z
ukoliko	ukoliko	Cs
nije	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
ili	ili	Cc
stalno	stalno	Rgp
pričvršćen	pričvrstiti	Appmsnn
za	za	Sa
otvorenu	otvoren	Agpfsay
dvostranu	dvostran	Ncfsa
splav	splav	Ncmsan
,	,	Z
mora	morati	Vmr3s
biti	biti	Van
smješten	smješten	Agpmsnn
i	i	Cc
pričvršćen	pričvrstiti	Appmsnn
u	u	Sa
otvorenu	otvoren	Agpfsay
dvostranu	dvostran	Ncfsa
splav	splav	Ncmsan
i	i	Cc
mora	morati	Vmr3s
plutati	plutati	Vmn
u	u	Sl
vodi	voda	Ncfsl
najmanje	malo	Rgs
30	30	Mdc
minuta	minuta	Ncfpg
bez	bez	Sg
oštećenja	oštećenje	Ncnsg
njegovog	njegov	Ps3msg
sadržaja	sadržaj	Ncmsg
.	.	Z

Neovisno	neovisan	Agpnsny
da	da	Cs
li	li	Qq
je	biti	Var3s
spremnik	spremnik	Ncmsn
opreme	oprema	Ncfsg
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
ili	ili	Cc
je	biti	Var3s
stalno	stalno	Rgp
učvršćen	učvrstiti	Appmsnn
za	za	Sa
otvorenu	otvoren	Agpfsay
dvostranu	dvostran	Ncfsa
splav	splav	Ncmsan
,	,	Z
oprema	oprema	Ncfsn
mora	morati	Vmr3s
biti	biti	Van
uvijek	uvijek	Rgp
lako	lako	Rgp
pristupačna	pristupačan	Agpfsny
bez	bez	Sg
obzira	obzir	Ncmsg
na	na	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
stranu	strana	Ncfsa
splav	splav	Ncmsn
napuše	napuhati	Vmr3s
.	.	Z

Vezica	vezica	Ncfsn
koja	koji	Pi-fsn
povezuje	povezivati	Vmr3s
spremnik	spremnik	Ncmsan
opreme	oprema	Ncfsg
za	za	Sa
otvorenu	otvoren	Agpfsay
dvostranu	dvostran	Agpfsay
splav	splav	Ncmsan
mora	morati	Vmr3s
imati	imati	Vmn
prekidnu	prekidni	Agpfsay
silu	sila	Ncfsa
od	od	Sg
2	2	Mdc
kN	KN	Y
,	,	Z
ili	ili	Cc
prekidnu	prekidni	Agpfsay
silu	sila	Ncfsa
od	od	Sg
3:1	3:1	Mdm
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
masu	masa	Ncfsa
ukupne	ukupan	Agpfsgy
opreme	oprema	Ncfsg
spremnika	spremnik	Ncmsg
,	,	Z
što	što	Pi3n-n
je	biti	Var3s
veće	velik	Agcnsny
.	.	Z

6.11.4	6.11.4	Agpmpny
Kontejneri	kontejner	Ncmpn
otvorenih	otvoren	Agpmpgy
dvostranih	dvostran	Agpmpgy
samonapuhavajućih	samonapuhavajući	Ncmpg
splavi	splav	Agpmpny
za	za	Sa
spašavanje	spašavanje	Ncnsa

6.11.4.1	6.11.4.1	Mds
Otvorena	otvoriti	Appfsny
dvostrana	dvostran	Agpfsny
splav	splav	Ncfsn
za	za	Sa
spašavanje	spašavanje	Ncnsa
mora	morati	Vmr3s
biti	biti	Van
smještena	smjestiti	Appfsny
u	u	Sl
kontejneru	kontejner	Ncmsl
,	,	Z
koji	koji	Pi-msn
mora	morati	Vmr3s
:	:	Z

.	.	Z
1	1	Mdc
biti	biti	Van
tako	tako	Rgp
izveden	izvesti	Appmsnn
da	da	Cs
može	moći	Vmr3s
izdržati	izdržati	Vmn
sve	sav	Agpmpay
uvjete	uvjet	Ncmpa
korištenja	korištenje	Ncnsg
na	na	Sl
moru	more	Ncnsl
;	;	Z

.	.	Z
2	2	Mdc
skupa	skupa	Rgp
sa	sa	Si
smještenom	smješten	Agpfsiy
splavi	splav	Ncfsi
s	sa	Si
opremom	oprema	Ncfsi
,	,	Z
imati	imati	Vmn
vlastiti	vlastit	Agpmsayn
uzgon	uzgon	Ncmsan
dovoljan	dovoljan	Agpmsann
za	za	Sa
povlačenje	povlačenje	Ncnsa
vezaljke	vezaljka	Ncfsg
i	i	Cc
uključivanje	uključivanje	Ncnsa
u	u	Sa
rad	rad	Ncmsan
sustava	sustav	Ncmsg
za	za	Sa
napuhavanje	napuhavanje	Ncnsa
splavi	splav	Ncfsg
kada	kada	Cs
brod	brod	Ncmsn
tone	tona	Ncfsg
;	;	Z

.	.	Z
3	3	Mdc
koliko	koliko	Rgp
je	biti	Var3s
to	taj	Pd-nsn
praktički	praktički	Rgp
moguće	moguć	Agpnsny
,	,	Z
biti	biti	Van
vodonepropustan	vodonepropustan	Agpmsnn
,	,	Z
izuzev	izuzev	Rgp
izljevnih	izljevni	Agpmpgy
otvora	otvor	Ncmpg
na	na	Sl
dnu	dno	Ncnsl
kontejnera	kontejner	Ncmsg
.	.	Z

6.11.4.2	6.11.4.2	Mdc
Na	na	Sl
kontejneru	kontejner	Ncmsl
moraju	morati	Vmr3p
biti	biti	Van
oznake	oznaka	Ncfsg
:	:	Z

.	.	Z
1	1	Mdc
naziv	naziv	Ncmsn
ili	ili	Cc
oznaka	oznaka	Ncfsn
proizvođača	proizvođač	Ncmsg
;	;	Z

.	.	Z
2	2	Mdc
serijski	serijski	Agpmsny
broj	broj	Ncmsn
;	;	Z

.	.	Z
3	3	Mdc
broj	broj	Ncmsn
osoba	osoba	Ncfpg
koji	koji	Pi-msn
se	sebe	Px--sa
na	na	Sa
splav	splav	Ncmsan
može	moći	Vmr3s
smjestiti	smjestiti	Vmn
;	;	Z

.	.	Z
4	4	Mdc
nije	biti	Var3s
SOLAS	SOLA	Npmsd
–	–	Z
otvorena	otvoriti	Appfsny
dvostrana	dvostran	Agpfsny
;	;	Z

.	.	Z
5	5	Mdc
tip	tip	Ncmsn
sloga	slog	Ncmsg
opreme	oprema	Ncfsg
u	u	Sl
nuždi	nužda	Ncfsl
;	;	Z

.	.	Z
6	6	Mdc
datum	datum	Ncmsan
posljednjeg	posljednji	Agpmsgy
pregleda	pregled	Ncmsg
;	;	Z

.	.	Z
7	7	Mdc
duljina	duljina	Ncfpg
vezaljke	vezaljka	Ncfsg
;	;	Z

.	.	Z
8	8	Mdc
dopuštena	dopustiti	Appfsny
visina	visina	Ncfsn
postavljanja	postavljanje	Ncnsg
iznad	iznad	Sg
vodne	vodni	Agpfsgy
linije	linija	Ncfsg
(	(	Z
ovisno	ovisno	Rgp
o	o	Sl
visini	visina	Ncfsl
s	sa	Sg
koje	koji	Pi-fsg
je	biti	Var3s
obavljeno	obaviti	Appnsny
ispitivanje	ispitivanje	Ncnsn
bacanjem	bacanje	Ncnsi
i	i	Cc
duljini	duljina	Ncfsl
vezaljke	vezaljka	Ncfsg
)	)	Z
;	;	Z

.	.	Z
9	9	Mdc
upute	uputa	Ncfsg
za	za	Sa
korištenje	korištenje	Ncnsa
.	.	Z

6.11.5	6.11.i	Agpfpny
Oznake	oznaka	Ncfpn
na	na	Sl
otvorenim	otvoren	Agpfply
dvostranim	dvostran	Agpfply
samonapuhavajućim	samonapuhavajući	Agpfply
spravama	sprava	Ncfpl
za	za	Sa
spašavanje	spašavanje	Ncnsa

Na	na	Sl
otvorenoj	otvoren	Agpfsly
dvostranoj	dvostran	Agpfsly
splavi	splava	Ncfsl
za	za	Sa
spašavanje	spašavanje	Ncnsa
mora	morati	Vmr3s
označiti	označiti	Vmn
:	:	Z

.	.	Z
1	1	Mdc
naziv	naziv	Ncmsn
ili	ili	Cc
oznaku	oznaka	Ncfsa
proizvođača	proizvođač	Ncmpg
;	;	Z

.	.	Z
2	2	Mdc
serijski	serijski	Agpmsny
broj	broj	Ncmsn
;	;	Z

.	.	Z
3	3	Mdc
datum	datum	Ncmsan
proizvodnje	proizvodnja	Ncfsg
(	(	Z
mjesec	mjesec	Ncmsan
i	i	Cc
godina	godina	Ncfsn
)	)	Z
;	;	Z

.	.	Z
4	4	Mdc
naziv	naziv	Ncmsn
i	i	Cc
mjesto	mjesto	Ncnsa
stanice	stanica	Ncfsg
gdje	gdje	Cs
je	biti	Var3s
splav	splav	Ncmsn
posljednji	posljednji	Agpmsny
put	put	Rgp
pregledana	pregledati	Appfsny
;	;	Z

.	.	Z
5	5	Mdc
broj	broj	Ncmsn
osoba	osoba	Ncfpg
koje	koji	Pi-fpn
se	sebe	Px--sa
smiju	smjeti	Vmr3p
smjestiti	smjestiti	Vmn
na	na	Sl
gornjoj	gornji	Agpfsly
površini	površina	Ncfsl
svake	svaki	Pi-fsg
uzgonske	uzgonski	Agpfsgy
komore	komora	Ncfsg
slovima	slovo	Agpfsgy
visine	visina	Ncfsg
najmanje	malo	Rgs
100	100	Mdc
mm	mm	I
i	i	Qo
to	to	Qo
bojom	boja	Ncfsi
koja	koji	Pi-fsn
se	sebe	Px--sa
ističe	isticati	Vmr3s
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
boju	boja	Ncfsa
komore	komora	Ncfsg
.	.	Z

6.11.6	6.11.i	Agpfpay
Upute	uputa	Ncfpa
i	i	Cc
obavijesti	obavijest	Ncfsg

Upute	uputa	Ncfpn
i	i	Cc
obavijesti	obavijest	Ncfpn
koje	koji	Pi-fpn
se	sebe	Px--sa
zahtijevaju	zahtijevati	Vmr3p
kao	kao	Cs
prilog	prilog	Ncmsn
brodskom	brodski	Agpmsly
priručniku	priručnik	Ncmsl
za	za	Sa
vježbe	vježba	Ncfpa
i	i	Cc
upute	uputa	Ncfpa
za	za	Sa
održavanje	održavanje	Ncnsa
na	na	Sl
brodu	brod	Ncmsl
moraju	morati	Vmr3p
biti	biti	Van
u	u	Sl
obliku	oblik	Ncmsl
prikladnom	prikladan	Agpmsly
za	za	Sa
prilog	prilog	Ncmsan
u	u	Sl
spomenutom	spomenuti	Agpmsly
priručniku	priručnik	Ncmsl
za	za	Sa
vježbe	vježba	Ncfpa
i	i	Cc
uputama	uputa	Ncfpl
za	za	Sa
održavanje	održavanje	Ncnsa
na	na	Sl
brodu	brod	Ncmsl
.	.	Z

Upute	uputa	Ncfpn
i	i	Cc
obavijesti	obavijest	Ncfpn
moraju	morati	Vmr3p
biti	biti	Van
jasne	jasan	Agpfpny
i	i	Cc
sažete	sažet	Agpmpay
i	i	Cc
moraju	morati	Vmr3p
sadržavati	sadržavati	Vmn
sljedeće	sljedeći	Agpnsay
:	:	Z

.	.	Z
1	1	Mdc
opći	opći	Agpmsny
opis	opis	Ncmsn
otvorene	otvoren	Agpfsgy
dvostrane	dvostran	Agpfsgy
samonapuhavajuće	samonapuhavajuća	Ncfsg
splavi	splav	Agpmpny
za	za	Sa
spašavanje	spašavanje	Ncnsa
i	i	Cc
njene	njen	Agpfsgy
opreme	oprema	Ncfsg
;	;	Z

.	.	Z
2	2	Mdc
plan	plan	Ncmsan
smještaja	smještaj	Ncmsg
;	;	Z

.	.	Z
3	3	Mdc
upute	uputa	Ncfsg
za	za	Sa

