starija	star	Agcfsny
ne	ne	Qz
može	moći	Vmr3s
osoba	osoba	Ncfsn
:	:	Z

1.	1.	Mdo
koja	koji	Pi-fsn
je	biti	Var3s
lišena	lišiti	Appfsny
prava	prav	Agpfsny
na	na	Sa
roditeljsku	roditeljski	Agpfsay
skrb	skrb	Ncfsa

2.	2.	Mdo
koja	koji	Pi-fsn
je	biti	Var3s
lišena	lišiti	Appfsny
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
ili	ili	Cc

3.	3.	Mdo
čije	čiji	Pi-nsn
dosadašnje	dosadašnji	Agpnsay
ponašanje	ponašanje	Ncnsa
i	i	Cc
osobine	osobina	Ncfpn
upućuju	upućivati	Vmr3p
na	na	Sa
to	taj	Pd-nsa
da	da	Cs
nije	biti	Var3s
poželjno	poželjan	Agpnsny
povjeriti	povjeriti	Vmn
joj	on	Pp3fsd
roditeljsku	roditeljski	Agpfsay
skrb	skrb	Ncfsa
o	o	Sl
djetetu	dijete	Ncnsl
.	.	Z

3.	3.	Mdo
PRISTANCI	pristanak	Ncmpn
ZA	za	Sa
POSVOJENJE	posvojenje	Ncnsa
I	i	Cc
POSTUPAK	postupak	Ncmsan
DAVANJA	davanje	Ncnsg
PRISTANKA	pristanak	Ncmsg

Pristanak	pristanak	Ncmsn
djetetovih	djetetov	Aspmpgy
roditelja	roditelj	Ncmpg

Članak	članak	Ncmsn
188.	188.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
posvojenje	posvojenje	Ncnsa
je	biti	Var3s
potreban	potreban	Agpmsnn
pristanak	pristanak	Ncmsn
djetetovih	djetetov	Aspmpgy
roditelja	roditelj	Ncmpg
,	,	Z
osim	osim	Cs
ako	ako	Cs
je	biti	Var3s
drukčije	drugačije	Rgp
određeno	odrediti	Appnsny
ovim	ovaj	Pd-msi
Zakonom	zakon	Ncmsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kad	kad	Cs
pristanak	pristanak	Ncmsn
za	za	Sa
posvojenje	posvojenje	Ncnsa
daju	dati	Vmr3p
maloljetni	maloljetan	Agpmsny
roditelj	roditelj	Ncmsn
ili	ili	Cc
roditelj	roditelj	Ncmsn
lišen	lišiti	Appmsnn
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
,	,	Z
neovisno	neovisno	Rgp
o	o	Sl
dijelu	dio	Ncmsl
u	u	Sl
kojemu	koji	Pi-msl
je	biti	Var3s
lišen	lišiti	Appmsnn
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
,	,	Z
oni	oni	Pp3mpn
moraju	morati	Vmr3p
biti	biti	Van
u	u	Sl
stanju	stanje	Ncnsl
razumjeti	razumjeti	Vmn
značenje	značenje	Ncnsa
pristanka	pristanak	Ncmsg
na	na	Sa
posvojenje	posvojenje	Ncnsa
,	,	Z
a	a	Cc
centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
dužan	dužan	Agpmsnn
ih	oni	Pp3-pa
je	biti	Var3s
na	na	Sa
prikladan	prikladan	Agpmsann
način	način	Ncmsan
informirati	informirati	Vmn
o	o	Sl
pravnim	pravni	Agpmply
i	i	Cc
faktičnim	faktičan	Agpfply
posljedicama	posljedica	Ncfpl
posvojenja	posvojenje	Ncnsg
djeteta	dijete	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
roditelj	roditelj	Ncmsn
lišen	lišiti	Appmsnn
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
nije	biti	Var3s
u	u	Sl
stanju	stanje	Ncnsl
razumjeti	razumjeti	Vmn
značenje	značenje	Ncnsa
pristanka	pristanak	Ncmsg
za	za	Sa
posvojenje	posvojenje	Ncnsa
sukladno	sukladan	Agpnsay
stavku	stavka	Ncfsa
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
njegov	njegov	Ps3msn
pristanak	pristanak	Ncmsn
može	moći	Vmr3s
nadomjestiti	nadomjestiti	Vmn
odluka	odluka	Ncfsn
suda	sud	Ncmsg
sukladno	sukladno	Rgp
članku	članak	Ncmsd
190.	190.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
točki	točka	Ncfpg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Roditelj	roditelj	Ncmsn
može	moći	Vmr3s
dati	dati	Vmn
pristanak	pristanak	Ncmsan
da	da	Cs
njegovo	njegov	Ps3nsn
dijete	dijete	Ncnsn
posvoji	posvojiti	Vmr3s
njemu	on	Pp3msd
poznati	poznat	Agpmsny
posvojitelj	posvojitelj	Ncmsn
samo	samo	Rgp
ako	ako	Cs
dijete	dijete	Ncnsn
posvaja	posvajati	Vmr3s
bračni	bračni	Agpmsayn
ili	ili	Cc
izvanbračni	izvanbračni	Agpmsny
drug	drug	Ncmsn
roditelja	roditelj	Ncmpg
djeteta	dijete	Ncnsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Pristanak	pristanak	Ncmsn
roditelja	roditelj	Ncmpg
nije	biti	Var3s
obvezan	obvezan	Agpmsnn
ako	ako	Cs
je	biti	Var3s
roditelj	roditelj	Ncmsn
:	:	Z

1.	1.	Mdo
umro	umrijeti	Vmp-sm
,	,	Z
nestao	nestati	Vmp-sm
ili	ili	Cc
nepoznat	nepoznat	Agpmsnn
ili	ili	Cc

2.	2.	Mdo
lišen	lišiti	Appmsnn
prava	prav	Agpfsny
na	na	Sa
roditeljsku	roditeljski	Agpfsay
skrb	skrb	Ncfsa
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Roditelj	roditelj	Ncmsn
može	moći	Vmr3s
opozvati	opozvati	Vmn
pristanak	pristanak	Ncmsan
za	za	Sa
posvojenje	posvojenje	Ncnsa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
trideset	trideset	Mlc
dana	dan	Ncmpg
od	od	Sg
potpisivanja	potpisivanje	Ncnsg
zapisnika	zapisnik	Ncmpg
o	o	Sl
pristanku	pristanak	Ncmsl
za	za	Sa
posvojenje	posvojenje	Ncnsa
.	.	Z

Dužnosti	dužnost	Ncfpn
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa

Članak	članak	Ncmsn
189.	189.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
će	htjeti	Var3s
roditelje	roditelj	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
190.	190.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
koji	koji	Pi-mpn
odbijaju	odbijati	Vmr3p
dati	dati	Vmn
pristanak	pristanak	Ncmsan
za	za	Sa
posvojenje	posvojenje	Ncnsa
upozoriti	upozoriti	Vmn
da	da	Cs
njihov	njihov	Ps3msn
pristanak	pristanak	Ncmsn
može	moći	Vmr3s
biti	biti	Van
nadomješten	nadomjestiti	Appmsnn
odlukom	odluka	Ncfsi
suda	sud	Ncmsg
,	,	Z
nakon	nakon	Cs
što	što	Cs
istekne	isteći	Vmr3s
rok	rok	Ncmsn
od	od	Sg
tri	tri	Mlc
mjeseca	mjesec	Ncmsg
,	,	Z
računajući	računati	Rr
od	od	Sg
dana	dan	Ncmpg
kad	kad	Cs
su	biti	Var3p
upozoreni	upozoriti	Appmpny
na	na	Sa
tu	taj	Pd-fsa
mogućnost	mogućnost	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
će	htjeti	Var3s
uz	uz	Sa
upozorenje	upozorenje	Ncnsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
upoznati	upoznati	Vmn
roditelje	roditelj	Ncmpa
o	o	Sl
mogućnosti	mogućnost	Ncfsl
izricanja	izricanje	Ncnsg
mjere	mjera	Ncfsg
intenzivne	intenzivan	Agpfsgy
stručne	stručan	Agpfsgy
pomoći	pomoć	Ncfsg
i	i	Cc
nadzora	nadzor	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
145.	145.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
u	u	Sl
trajanju	trajanje	Ncnsl
od	od	Sg
tri	tri	Mlc
mjeseca	mjesec	Ncmsg
,	,	Z
osim	osim	Cs
ako	ako	Cs
dijete	dijete	Ncnsn
na	na	Sl
temelju	temelj	Ncmsl
rješenja	rješenje	Ncnsg
suda	sud	Ncmsg
već	već	Rgp
stanuje	stanovati	Vmr3s
izvan	izvan	Sg
obitelji	obitelj	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Upozorenje	upozorenje	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
nije	biti	Var3s
obvezno	obvezan	Agpnsny
ako	ako	Cs
je	biti	Var3s
roditelj	roditelj	Ncmsn
promijenio	promijeniti	Vmp-sm
adresu	adresa	Ncfsa
stanovanja	stanovanje	Ncnsg
,	,	Z
a	a	Cc
o	o	Sl
promjeni	promjena	Ncfsl
adrese	adresa	Ncfsg
nije	biti	Var3s
obavijestio	obavijestiti	Vmp-sm
nadležni	nadležan	Agpmsayn
centar	centar	Ncmsan
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
te	te	Cc
adresu	adresa	Ncfsa
stanovanja	stanovanje	Ncnsg
roditelja	roditelj	Ncmpg
nije	biti	Var3s
moguće	moguć	Agpnsny
utvrditi	utvrditi	Vmn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Rok	rok	Ncmsn
od	od	Sg
tri	tri	Mlc
mjeseca	mjesec	Ncmsg
počinje	počinjati	Vmr3s
teći	teći	Vmn
od	od	Sg
prve	prvi	Agpfsgy
poduzete	poduzet	Agpfsgy
radnje	radnja	Ncfsg
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
radi	radi	Sg
utvrđivanja	utvrđivanje	Ncnsg
adrese	adresa	Ncfsg
stanovanja	stanovanje	Ncnsg
roditelja	roditelj	Ncmpg
ili	ili	Cc
od	od	Sg
dana	dan	Ncmpg
davanja	davanje	Ncnsg
upozorenja	upozorenje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Rok	rok	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
može	moći	Vmr3s
isteći	isteći	Vmn
prije	prija	Cs
nego	nego	Cs
što	što	Cs
protekne	proteći	Vmr3s
pet	pet	Mlc
mjeseci	mjesec	Ncmpg
od	od	Sg
rođenja	rođenje	Ncnsg
djeteta	dijete	Ncnsg
.	.	Z

Odluka	odluka	Ncfsn
suda	sud	Ncmsg
koja	koji	Pi-fsn
nadomješta	nadomještati	Vmr3s
pristanak	pristanak	Ncmsan
roditelja	roditelj	Ncmpg

Članak	članak	Ncmsn
190.	190.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Sud	sud	Ncmsn
će	htjeti	Var3s
u	u	Sl
izvanparničnom	izvanparnični	Agpmsly
postupku	postupak	Ncmsl
na	na	Sa
prijedlog	prijedlog	Ncmsan
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
donijeti	donijeti	Vmn
rješenje	rješenje	Ncnsa
koje	koji	Pi-nsn
nadomješta	nadomještati	Vmr3s
pristanak	pristanak	Ncmsn
roditelja	roditelj	Ncmpg
za	za	Sa
posvojenje	posvojenje	Ncnsa
:	:	Z

1.	1.	Mdo
ako	ako	Cs
roditelj	roditelj	Ncmsn
dulje	dug	Agcnsay
vrijeme	vrijeme	Ncnsa
zloupotrebljava	zloupotrebljavati	Vmr3s
ili	ili	Cc
grubo	grubo	Rgp
krši	kršiti	Vmr3s
roditeljsku	roditeljski	Agpfsay
odgovornost	odgovornost	Ncfsa
,	,	Z
dužnost	dužnost	Ncfsa
i	i	Cc
prava	pravo	Ncnsg
ili	ili	Cc
svojim	svoj	Agpnsiy
ponašanjem	ponašanje	Ncnsi
pokazuje	pokazivati	Vmr3s
nezainteresiranost	nezainteresiranost	Ncfsa
za	za	Sa
dijete	dijete	Ncnsa
,	,	Z
a	a	Cc
posvojenje	posvojenje	Ncnsn
bi	biti	Vaa3s
bilo	biti	Vap-sn
za	za	Sa
dobrobit	dobrobit	Ncfsa
djeteta	dijete	Ncnsg

2.	2.	Mdo
ako	ako	Cs
roditelj	roditelj	Ncmsn
zloupotrebljava	zloupotrebljavati	Vmr3s
ili	ili	Cc
grubo	grubo	Rgp
krši	kršiti	Vmr3s
roditeljsku	roditeljski	Agpfsay
odgovornost	odgovornost	Ncfsa
,	,	Z
dužnost	dužnost	Ncfsn
i	i	Cc
prava	prav	Agpfsny
u	u	Sl
kraćem	kratak	Pi-nsl
razdoblju	razdoblje	Ncnsl
u	u	Sl
tolikoj	tolik	Agpfsly
mjeri	mjera	Ncfsl
da	da	Cs
postoji	postojati	Vmr3s
vjerojatnost	vjerojatnost	Ncfsn
da	da	Cs
mu	on	Pp3msd
se	sebe	Px--sa
više	više	Rgp
neće	htjeti	Var3s
moći	moći	Vmn
trajno	trajno	Rgp
povjeriti	povjeriti	Vmn
skrb	skrb	Ncfsa
o	o	Sl
djetetu	dijete	Ncnsl
ili	ili	Cc

3.	3.	Mdo
ako	ako	Cs
je	biti	Var3s
roditelj	roditelj	Ncmsn
nesposoban	nesposoban	Agpmsnn
u	u	Sl
tolikoj	tolik	Pd-fsl

