hormonski	hormonski	Agpmpny
1.353,00	1.353,00	Mdc
LT012	LT012	Mdo
Identifikacija	identifikacija	Ncfsn
antieritrocitnih	antieritrocitan	Agpnpgy
protutijela	protutijelo	Ncnpg
20,17	20,17	Mdc
4.437,40	4.437,40	Mdc
LT013	LT013	Mdc
Obrada	obrada	Ncfsn
hladnih	hladan	Agpnpgy
antieritrocitnih	antieritrocitan	Agpnpgy
protutijela	protutijelo	Ncnpg
19,51	19,51	Mdc
4.292,20	4.292,20	Mdc
LT014	LT014	Mdc
Indirektni	indirektan	Agpmsny
antiglobulinski	antiglobulinski	Agpmsny
test	test	Ncmsn
(	(	Z
Indirektni	indirektan	Agpmsny
Coombsov	coombsov	Aspmsnn
test	test	Ncmsn
-	-	Z
test	test	Ncmsn
senzibilizacije	senzibilizacija	Ncfsg
)	)	Z
Ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
fakturirati	fakturirati	Vmn
uz	uz	Sa
LT001	LT001	Pd-nsa
.	.	Z
1,59	1,59	Mdc
349,80	349,80	Mdc
LT015	LT015	Mdc
Direktni	direktan	Agpmsny
antiglobulinski	antiglobulinski	Agpmsny
test	test	Ncmsn
(	(	Z
Direktni	direktan	Agpmsny
Coombsov	coombsov	Aspmsnn
test	test	Ncmsn
)	)	Z
1,20	1,20	Mdc
264,00	264,00	Mdc
LT016	LT016	Mdc
Type	Type	Xf
&	&	Z
Screen	Screen	Npmsn
1,51	1,51	Mdc
332,20	332,20	Mdc
LT017	LT017	Mdc
Križna	križni	Agpfsny
proba	proba	Ncfsn
–	–	Z
1	1	Mdc
doza	doza	Ncfpg
3,49	3,49	Mdc
767,80	767,80	Mdc
LT018	LT018	Mdc
Križna	križni	Agpfsny
proba	proba	Ncfsn
–	–	Z
više	mnogo	Rgc
doza	doza	Ncfpg
5,80	5,80	Mdc
1.276,00	1.276,00	Mdc
LT019	LT019	Mdc
Križna	križni	Agpfsny
proba	proba	Ncfsn
hitnim	hitan	Agpmsiy
postupkom	postupak	Ncmsi
–	–	Z
1	1	Mdc
doza	doza	Ncfpg
5,87	5,87	Mdc
1.291,40	1.291,40	Mdc
LT020	LT020	Mdc
Križna	križni	Agpfsny
proba	proba	Ncfsn
hitnim	hitan	Agpmsiy
postupkom	postupak	Ncmsi
–	–	Z
više	mnogo	Rgc
doza	doza	Ncfpg
7,19	7,19	Mdc
1.581,80	1.581,80	Mdc
LT021	lt02i	Agpnsny
Određivanje	određivanje	Ncnsn
slabog	slab	Agpmsgy
RhD	rh	Ncmsg
antigena	antigen	Ncmpg
u	u	Sl
indirektnom	indirektan	Agpmsly
antiglobulinskom	antiglobulinski	Agpmsly
testu	test	Ncmsl
5,28	5,28	Mdc
1.161,60	1.161,60	Mdc
LT022	lt02i	Agpnsny
Određivanje	određivanje	Ncnsn
varijante	varijanta	Ncfsg
RhD	rh	Agpmpgy
antigena	antigen	Ncmpg
serološkim	serološki	Agpnsiy
testiranjem	testiranje	Ncnsi
11,72	11,72	Mdc
2.578,40	2.578,40	Mdc
LT023	LT023	Mdc
Križne	križni	Agpfsgy
probe	proba	Ncfsg
–	–	Z
Transplantacija	transplantacija	Ncfsn
28,68	28,68	Mdc
6.309,60	6.309,60	Mdc
LT024	LT024	Mdc
Hemolitička	hemolitički	Agpfsny
bolest	bolest	Ncfsn
fetusa	fetus	Ncmsg
i	i	Cc
novorođenčeta	novorođenče	Ncnsg
14,33	14,33	Mdc
3.152,60	3.152,60	Mdc
LT025	LT025	Mdo
Obrada	obrada	Ncfsn
hemolize	hemoliza	Ncfsg
sumnja	sumnjati	Vmr3s
na	na	Sa
poslijetransfuzijsku	poslijetransfuzijski	Agpfsay
hemolitičku	hemolitički	Agpfsay
reakciju	reakcija	Ncfsa
26,17	26,17	Mdc
5.757,40	5.757,40	Mdc
LT026	lt026	Agpmsny
Screening	screening	Ncmsn
HLA	HL	Npmsg
/	/	Z
Pretraživanje	pretraživanje	Ncnsn
limfocitotoksičnih	limfocitotoksičan	Agpnpgy
protutijela	protutijelo	Ncnpg
/	/	Z
6,59	6,59	Mdc
1.449,80	1.449,80	Mdc
LT027	lt02i	Agpnsny
Ispitivanje	ispitivanje	Ncnsn
protutijela	protutijelo	Ncnsg
HLA	HL	Npmsg
(	(	Z
IgG	IgG	Npmsn
)	)	Z
–	–	Z
CDC	CDC	Npmsn

