dijeljenjem	dijeljenje	Ncnsi
«	«	Z
.	.	Z

Članak	članak	Ncmsn
11.	11.	Mdo

U	u	Sl
članku	članak	Ncmsl
15.	15.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
1	1	Mdc
)	)	Z
Kada	kada	Cs
je	biti	Var3s
stečajni	stečajni	Agpmsny
postupak	postupak	Ncmsn
otvoren	otvoriti	Appmsnn
i	i	Cc
provodi	provoditi	Vmr3s
se	sebe	Px--sa
,	,	Z
prava	pravo	Ncnpg
propisana	propisati	Ncmpg
u	u	Sl
slučaju	slučaj	Ncmsl
stečaja	stečaj	Ncmsg
poslodavca	poslodavac	Ncmsg
radnik	radnik	Ncmsn
može	moći	Vmr3s
ostvariti	ostvariti	Vmn
ako	ako	Cs
mu	on	Pp3msd
je	biti	Var3s
potraživanje	potraživanje	Ncnsn
utvrđeno	utvrditi	Appnsny
u	u	Sl
stečajnom	stečajni	Agpmsly
postupku	postupak	Ncmsl
i	i	Cc
ako	ako	Cs
zahtjev	zahtjev	Ncmsan
za	za	Sa
osiguranje	osiguranje	Ncnsa
svoga	svoj	Px-nsg
potraživanja	potraživanje	Ncnsg
podnese	podnijeti	Vmr3s
u	u	Sl
roku	rok	Ncmsl
i	i	Cc
na	na	Sa
način	način	Ncmsan
utvrđen	utvrditi	Appmsnn
ovim	ovaj	Pd-msi
Zakonom	zakon	Ncmsi
.	.	Z
«	«	Z
.	.	Z

Iza	iza	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
novi	nov	Agpmsny
stavak	stavak	Ncmsn
2.	2.	Mdo
koji	koji	Pi-msn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
2	2	Mdc
)	)	Z
Kada	kada	Cs
se	sebe	Px--sa
otvoreni	otvoren	Agpmsny
stečajni	stečajni	Agpmsny
postupak	postupak	Ncmsn
ne	ne	Qz
provodi	provoditi	Vmr3s
,	,	Z
prava	pravo	Ncnpa
propisana	propisati	Ncmpg
u	u	Sl
slučaju	slučaj	Ncmsl
stečaja	stečaj	Ncmsg
poslodavca	poslodavac	Ncmsg
radnik	radnik	Ncmsn
može	moći	Vmr3s
ostvariti	ostvariti	Vmn
ako	ako	Cs
zahtjev	zahtjev	Ncmsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
svoga	svoj	Px-nsg
potraživanja	potraživanje	Ncnsg
podnese	podnijeti	Vmr3s
u	u	Sl
roku	rok	Ncmsl
i	i	Cc
na	na	Sa
način	način	Ncmsan
utvrđen	utvrditi	Appmsnn
ovim	ovaj	Pd-msi
Zakonom	zakon	Ncmsi
.	.	Z
«	«	Z
.	.	Z

Dosadašnji	dosadašnji	Agpmsny
stavak	stavak	Ncmsn
2.	2.	Mdo
postaje	postajati	Vmr3s
stavak	stavak	Ncmsan
3.	3.	Mdo

Dosadašnji	dosadašnji	Agpmsny
stavak	stavak	Ncmsn
3.	3.	Mdo
,	,	Z
koji	koji	Pi-msn
postaje	postajati	Vmr3s
stavak	stavak	Ncmsan
4.	4.	Mdo
,	,	Z
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
4	4	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
odredbi	odredba	Ncfpg
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
prava	pravo	Ncnsg
propisana	propisati	Appnpny
ovim	ovaj	Pd-msi
Zakonom	zakon	Ncmsi
ne	ne	Qz
mogu	moći	Vmr3p
ostvariti	ostvariti	Vmn
članovi	član	Ncmpn
uprave	uprava	Ncfsg
trgovačkog	trgovački	Agpnsgy
društva	društvo	Ncnsg
,	,	Z
član	član	Ncmsn
upravnog	upravan	Agpmsgy
odbora	odbor	Ncmsg
i	i	Cc
izvršni	izvršan	Agpmsny
direktor	direktor	Ncmsn
,	,	Z
bez	bez	Sg
obzira	obzir	Ncmsg
na	na	Sa
vrijeme	vrijeme	Ncnsa
kada	kada	Cs
su	biti	Var3p
te	taj	Pd-mpa
poslove	posao	Ncmpa
obavljali	obavljati	Vmp-pm
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
12.	12.	Mdo

»	»	Z
(	(	Z
1	1	Mdc
)	)	Z
Postupak	postupak	Ncmsn
za	za	Sa
ostvarenje	ostvarenje	Ncnsa
prava	pravo	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
pokreće	pokretati	Vmr3s
se	sebe	Px--sa
na	na	Sa
zahtjev	zahtjev	Ncmsan
radnika	radnik	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
podnosi	podnositi	Vmr3s
se	sebe	Px--sa
izravno	izravno	Rgp
Agenciji	agencija	Ncfsd
ili	ili	Cc
područnom	područni	Agpmsly
uredu	ured	Ncmsl
Zavoda	zavod	Ncmsg
prema	prema	Sl
mjestu	mjesto	Ncnsl
sjedišta	sjedište	Ncnsg
poslodavca	poslodavac	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
njegove	njegov	Ps3fpa
registrirane	registriran	Agpfpay
poslovne	poslovan	Agpfpny
jedinice	jedinica	Ncfpn
,	,	Z
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Rok	rok	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
počinje	počinjati	Vmr3s
teći	teći	Vmn
:	:	Z

1	1	Mdc
)	)	Z
kada	kada	Cs
je	biti	Var3s
stečajni	stečajni	Agpmsny
postupak	postupak	Ncmsn
otvoren	otvoriti	Appmsnn
i	i	Cc
provodi	provoditi	Vmr3s
se	sebe	Px--sa
,	,	Z
od	od	Sg
isteka	istek	Ncmsg
osmoga	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
sudskog	sudski	Agpnsgy
rješenja	rješenje	Ncnsg
o	o	Sl
utvrđivanju	utvrđivanje	Ncnsl
tražbina	tražbina	Ncfpg
na	na	Sl
mrežnoj	mrežni	Agpfsly
stranici	stranica	Ncfsl
e-stečajna	e-stečajan	Agpfsny
oglasna	oglasni	Agpfsny
ploča	ploča	Ncfsn
sudova	sud	Ncmpg
,	,	Z

2	2	Mdc
)	)	Z
kada	kada	Cs
se	sebe	Px--sa
otvoreni	otvoren	Agpmsny
stečajni	stečajni	Agpmsny
postupak	postupak	Ncmsn
ne	ne	Qz
provodi	provoditi	Vmr3s
,	,	Z
od	od	Sg
isteka	istek	Ncmsg
osmoga	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
sudskog	sudski	Agpnsgy
rješenja	rješenje	Ncnsg
o	o	Sl
zaključenju	zaključenje	Ncnsl
stečajnog	stečajni	Agpmsgy
postupka	postupak	Ncmsg
na	na	Sl
mrežnoj	mrežni	Agpfsly
stranici	stranica	Ncfsl
e-stečajna	e-stečajan	Agpfsny
oglasna	oglasni	Agpfsny
ploča	ploča	Ncfsn
sudova	sud	Ncmpg
ili	ili	Cc

3	3	Mdc
)	)	Z
kada	kada	Cs
je	biti	Var3s
vjerovnik	vjerovnik	Ncmsn
na	na	Sl
ispitnom	ispitan	Agpnsly
ročištu	ročište	Ncnsl
upućen	uputiti	Appmsnn
na	na	Sa
parnicu	parnica	Ncfsa
za	za	Sa
utvrđivanje	utvrđivanje	Ncnsa
potraživanja	potraživanje	Ncnsg
,	,	Z
od	od	Sg
dana	dan	Ncmpg
primitka	primitak	Ncmsg
pravomoćne	pravomoćan	Agpfsgy
presude	presuda	Ncfsg
kojom	koji	Pi-fsi
je	biti	Var3s
utvrđena	utvrditi	Appfsny
visina	visina	Ncfsn
potraživanja	potraživanje	Ncnsg
i	i	Cc
isplatni	isplatan	Agpmsayn
red	red	Ncmsan
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Iznimno	iznimno	Rgp
,	,	Z
radnici	radnik	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
prema	prema	Sl
ovom	ovaj	Pd-msl
Zakonu	zakon	Ncmsl
smatraju	smatrati	Vmr3p
radnicima	radnik	Ncmpi
stranog	stran	Agpmsgy
poslodavca	poslodavac	Ncmsg
zahtjev	zahtjev	Ncmsan
podnose	podnositi	Vmr3p
izravno	izravno	Rgp
Agenciji	agencija	Ncfsd
ili	ili	Cc
područnom	područni	Agpmsly
uredu	ured	Ncmsl
Zavoda	zavod	Ncmsg
prema	prema	Sl
mjestu	mjesto	Ncnsl
rada	rad	Ncmsg
ili	ili	Cc
uobičajenom	uobičajen	Agpnsly
mjestu	mjesto	Ncnsl
rada	rad	Ncmsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
kada	kada	Cs
se	sebe	Px--sa
prema	prema	Sl
nadležnom	nadležan	Agpnsly
nacionalnom	nacionalan	Agpnsly
zakonodavstvu	zakonodavstvo	Ncnsl
smatra	smatrati	Vmr3s
izvršenom	izvršen	Agpnsly
dostava	dostava	Ncfsn
akta	akt	Ncmsg
o	o	Sl
utvrđivanju	utvrđivanje	Ncnsl
tražbina	tražbina	Ncfpg
ili	ili	Cc
kada	kada	Rgp
se	sebe	Px--sa
smatra	smatrati	Vmr3s
izvršenom	izvršen	Agpfsiy
dostava	dostava	Ncfsn
akta	akt	Ncmsg
kojim	koji	Pi-msi
je	biti	Var3s
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
utvrdilo	utvrditi	Vmp-sn
da	da	Cs
je	biti	Var3s
posao	posao	Ncmsn
poslodavca	poslodavac	Ncmsg
definitivno	definitivno	Rgp
zatvoren	zatvoriti	Appmsnn
,	,	Z
a	a	Cc
dostupna	dostupan	Agpfsny
imovina	imovina	Ncfsn
nije	biti	Var3s
dovoljna	dovoljan	Agpfsny
za	za	Sa
pokretanje	pokretanje	Ncnsa
postupka	postupak	Ncmsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
13.	13.	Mdo

»	»	Z
(	(	Z
1	1	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
17.	17.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
podnosi	podnositi	Vmr3s
se	sebe	Px--sa
na	na	Sl
posebnom	poseban	Agpmsly

