Pretraživanje	pretraživanje	Ncnsn
–	–	Z
kvalitativno	kvalitativno	Rgp
2,97	2,97	Mdc
653,40	653,40	Mdc
LB774	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
tireoglobulina	tireoglobulin	Ncmsg
–	–	Z
kvantitativno	kvantitativno	Rgp
1,39	1,39	Mdc
305,80	305,80	Mdc
LB775	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
tireoidne	tireoidan	Agpfsgy
peroksidaze	peroksidaza	Ncfsg
–	–	Z
kvalitativno	kvalitativno	Rgp
2,97	2,97	Mdc
653,40	653,40	Mdc
LB776	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
tireoidne	tireoidan	Agpfsgy
peroksidaze	peroksidaza	Ncfsg
–	–	Z
kvantitativno	kvantitativno	Rgp
1,52	1,52	Mdc
334,40	334,40	Mdc
LB777	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
tireotropinskog	tireotropinski	Agpmsgy
receptora	receptor	Ncmsg
2,88	2,88	Mdc
633,60	633,60	Mdc
LB778	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
hormona	hormon	Ncmsg
štitnjače	štitnjača	Ncfsg
1,58	1,58	Mdc
347,60	347,60	Mdc
LB779	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
stanica	stanica	Ncfpg
otočića	otočić	Ncmsg
gušterače	gušterača	Ncfsg
kvalitativno	kvalitativno	Rgp
2,47	2,47	Mdc
543,40	543,40	Mdc
LB780	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
stanica	stanica	Ncfpg
otočića	otočić	Ncmsg
gušterače	gušterača	Ncfsg
–	–	Z
semikvantitativno	semikvantitativno	Rgp
2,97	2,97	Mdc
653,40	653,40	Mdc
LB781	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
dekarboksilaze	dekarboksilaz	Agpfsgy
glutaminske	glutaminski	Agpfsgy
kiseline	kiselina	Ncfsg
4,28	4,28	Mdc
941,60	941,60	Mdc
LB782	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
tirozinske	tirozinski	Agpfsgy
fosfataze	fosfataza	Ncfsg
4,37	4,37	Mdc
961,40	961,40	Mdc
LB783	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
inzulina	inzulin	Ncmsg
2,00	2,00	Mdc
440,00	440,00	Mdc
LB784	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
stanica	stanica	Ncfpg
koje	koji	Pi-fpn
luče	lučiti	Vmr3p
steroide	steroid	Ncmpa
2,47	2,47	Mdc
543,40	543,40	Mdc
LB785	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
dezmosoma	dezmosom	Ncmpg
2,47	2,47	Mdc
543,40	543,40	Mdc
LB786	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
epidermalne	epidermalni	Agpfsgy
bazalne	bazalni	Agpfsgy
membrane	membrana	Ncfsg
2,47	2,47	Mdc
543,40	543,40	Mdc
LB787	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
dezmogleina	dezmoglein	Ncmpg
3	3	Mdc
2,47	2,47	Mdc
543,40	543,40	Mdc
LB788	LB788	Sg
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
dezmogleina	dezmoglein	Ncmpg
1	1	Mdc
2,47	2,47	Mdc
543,40	543,40	Mdc
LB789	LB789	Sg
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
Purkinjeovih	purkinjeov	Agpfpgy
stanica	stanica	Ncfpg
(	(	Z
Yo	Yo	Npmsn
)	)	Z
4,24	4,24	Mdc
932,80	932,80	Mdc
LB790	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
citoplazme	citoplazma	Ncfsg
Purkinjeovih	purkinjeov	Agpfpgy
stanica	stanica	Ncfpg
(	(	Z
anti-Tr	anti-Tr	Npmsn
)	)	Z
2,47	2,47	Mdc
543,40	543,40	Mdc
LB791	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
jezgre	jezgra	Ncfsg
neurona	neuron	Ncmpg
1	1	Mdc
(	(	Z
Hu	HU	Npmsn
)	)	Z
6,06	6,06	Mdc
1.333,20	1.333,20	Mdc
LB792	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
jezgre	jezgra	Ncfsg
neurona	neuron	Ncmpg
2	2	Mdc
(	(	Z
Ri	ra	Ncfsl
)	)	Z
6,06	6,06	Mdc
1.333,20	1.333,20	Mdc
LB793	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
Yo	ya	Ncfsg
,	,	Z
Hu	HU	Npmsn
i	i	Cc
Ri	ra	Ncfsl
7,63	7,63	Mdc
1.678,60	1.678,60	Mdc
LB794	LB794	Mdc
Anti-miokardijska	anti-miokardiji	Agpnsgy
antitijela	antitijelo	Ncnsg
1,31	1,31	Mdc
288,20	288,20	Mdc
LB795	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
hipofize	hipofiza	Ncfsg
2,47	2,47	Mdc
543,40	543,40	Mdc
LB796	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
spermija	spermij	Ncmsg
2,47	2,47	Mdc
543,40	543,40	Mdc
LB797	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
asijalo-GM-1	asijalo-gm-i	Agpfsgy
11,14	11,14	Mdc
2.450,80	2.450,80	Mdc
LB798	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
GM1	gm	Ncmsg
–	–	Z
semikvantitativno	semikvantitativno	Rgp
12,07	12,07	Mdc
2.655,40	2.655,40	Mdc
LB799	lb7i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
GM1	GM	Npmsg
–	–	Z
kvantitativno	kvantitativno	Rgp
10,98	10,98	Mdc
2.415,60	2.415,60	Mdc
LB800	lb8i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
GM2	gmi	Agpfsgy
10,98	10,98	Mdc
2.415,60	2.415,60	Mdc
LB801	lb8i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
GD1a	gd1	Ncmsg
10,98	10,98	Mdc
2.415,60	2.415,60	Mdc
LB802	lb8i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
GD1b	gd1	Ncmsg
–	–	Z
semikvantitativno	semikvantitativno	Rgp
12,07	12,07	Mdc
2.655,40	2.655,40	Mdc
LB803	lb8i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
GD1b	gd1	Ncmsg
–	–	Z
kvalitativno	kvalitativno	Rgp
10,98	10,98	Mdc
2.415,60	2.415,60	Mdc
LB804	lb8i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
GQ1b	gq1	Ncmsg
10,98	10,98	Mdc
2.415,60	2.415,60	Mdc
LB805	lb8i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
mijelinu	mijelin	Ncmsd
pridruženog	pridružen	Agpmsgy
glikoproteina	glikoprotein	Ncmsg
–	–	Z
kvalitativno	kvalitativno	Rgp
3,09	3,09	Mdc
679,80	679,80	Mdc
LB806	lb8i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
mijelinu	mijelin	Ncmsd
pridruženog	pridružen	Agpmsgy
glikoproteina	glikoprotein	Ncmsg
–	–	Z
kvantitativno	kvantitativno	Rgp
3,09	3,09	Mdc
679,80	679,80	Mdc
LB807	lb8i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
skeletnih	skeletni	Agpmpgy
mišića	mišić	Ncmpg
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
mišićno	mišićno	Rgp
specifične	specifičan	Agpfsgy
tirozin	tirozin	Ncmsn
kinaze	kinaza	Ncfsg
4,97	4,97	Mdc
1.093,40	1.093,40	Mdc
LB808	lb8i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
akvaporina-4	akvaporina-i	Agpfsgy
3,97	3,97	Mdc
873,40	873,40	Mdc
LB809	LB809	Mdo
Beta	beta	Ncfsn
amiloid	amiloi	Ncmpg
u	u	Sl
likvoru	likvor	Ncmsl
7,92	7,92	Mdc
1.742,40	1.742,40	Mdc
LB810	LB810	Mdc
Tau	tau	Agpmsny
protein	protein	Ncmsn
u	u	Sl
likvoru	likvor	Ncmsl
7,92	7,92	Mdc
1.742,40	1.742,40	Mdc
LB811	LB811	Mdc
Fosforilirani	fosforiliran	Agpmsny
tau	tau	Agpmsny
protein	protein	Ncmsn
u	u	Sl
likvoru	likvor	Ncmsl
7,92	7,92	Mdc
1.742,40	1.742,40	Mdc
LB812	lb8i	Agpnsgy
Antitijela	antitijelo	Ncnsg
protiv	protiv	Sg
acetilkolinskog	acetilkolinski	Agpmsgy
receptora	receptor	Ncmsg
4,97	4,97	Mdc
1.093,40	1.093,40	Mdc
LB813	LB813	Mdc
Imunofenotipizacija	imunofenotipizacij	Aspfsny
stanica	stanica	Ncfsn
bronho-alveolarnog	bronho-alveolaran	Agpmsgy
lavata	lavat	Ncmsg
(	(	Z
6	6	Mdc
)	)	Z
Limfociti	limfocit	Ncmpn
T	T	X
(	(	Z
CD3	CD3	X
+	+	Z
)	)	Z
,	,	Z
Pomagački	pomagački	Agpmpny
limfociti	limfocit	Ncmpn
T	T	X
(	(	Z
CD3	CD3	X
+	+	Z
CD4	cd	Ncmsg
+	+	Z
)	)	Z
,	,	Z
Citotoksični	citotoksičan	Agpmpny
limfociti	limfocit	Ncmpn
T	T	X
(	(	Z
CD3	CD3	X
+	+	Z
CD8	cd	Ncmsg
+	+	Z
)	)	Z
,	,	Z
Omjer	omjer	Ncmsn
CD4	CD4	X
+	+	Z
/	/	Z
CD8	CD8	Y
+	+	Z
,	,	Z
Limfociti	limfocit	Ncmpn
B	b	Y
,	,	Z
CD1a	cd1a	Ncfsn
+	+	Z
4,89	4,89	Mdc
1.075,80	1.075,80	Mdc
LB815	lb8i	Agpmsgy
Imunofenotipizacija	Imunofenotipizaci	Npmsg
limfocita	limfocit	Ncmsg
(	(	Z
T	T	X
+	+	Z
B	b	X
+	+	Z
NK	NK	Npmsan
+	+	Z
ostalo	ostati	Vmp-sn
)	)	Z
periferne	periferan	Agpfsgy
krvi	krv	Ncfsg
–	–	Z
n		Agpmpgy
biljega	biljeg	Ncmpg
(	(	Z
6	6	Mdc
)	)	Z
18,30	18,30	Mdc
4.026,00	4.026,00	Mdc
LB816	LB816	Mdc
Imunofenotipizacija	Imunofenotipizaci	Npmsg
CD34	CD34	X
matičnih	matičan	Agpfpgy
stanica	stanica	Ncfpg
i	i	Cc
prastanica	prastanica	Ncfpg
u	u	Sl
krvi	krv	Ncfsl
i	i	Cc
presatku	presatka	Ncfsl
(	(	Z
6	6	Mdc
)	)	Z
6,22	6,22	Mdc
1.368,40	1.368,40	Mdc
LB817	LB817	Mdc
Imunofenotipizacija	Imunofenotipizacija	Npfpg
stanica	stanica	Ncfpg
periferne	periferan	Agpfsgy
krvi	krv	Ncfsg
–	–	Z
biljezi	biljeg	Ncmpn
PNH	PNH	Npfsg
(	(	Z
CD55	CD55	X
i	i	Cc
CD59	CD59	Mds
)	)	Z
(	(	Z
6	6	Mdc
)	)	Z
12,52	12,52	Mdc
2.754,40	2.754,40	Mdc
LB818	LB818	Mdc
Imunofenotipizacija	Imunofenotipizaci	Npmpg
stanica	stanica	Ncfpg
(	(	Z
membransko	membranski	Agpnsny
obilježavanje	obilježavanje	Ncnsn
,	,	Z
direktno	direktno	Rgp
,	,	Z
1	1	Mdc
biljeg	biljeg	Ncmsan
)	)	Z
6,22	6,22	Mdc
1.368,40	1.368,40	Mdc
LB819	LB819	Mdc
Imunofenotipizacija	Imunofenotipizaci	Npmsg

