javnu	javan	Agpfsay
rujna	rujan	Ncmsg
2015.	2015.	Mdo
godine	godina	Ncfsg
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
01/15	01/15	Mdc
-	-	Z
01/125	01/125	Mdc
Urbroj	urbroj	Ncmsn
:	:	Z
524	524	Mdc
-	-	Z
04	04	Mdc
-	-	Z
02	02	Mdc
-	-	Z
01/1	01/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Zagreb	Zagreb	Npmsn
,	,	Z
24.	24.	Mdo
kolovoza	kolovoz	Ncmsg
2015.	2015.	Mdo

Ministar	ministar	Ncmsn
prof.	prof.	Y
sc.	sc.	Y
dr.	dr.	Y
Mirando	Mirando	Npfsn
Mrsić	Mrsić	Npfsn
,	,	Z
dr.	dr.	Y
med	med	Ncmsan
.	.	Z
,	,	Z
v.	v.	Y
r.	r.	Y

Obrazac	obrazac	Ncmsn
RPS-01	RPS-01	X

AGENCIJA	agencija	Ncfsn
ZA	za	Sa
OSIGURANJE	osiguranje	Ncnsa
RADNIČKIH	radnički	Agpnpgy
POTRAŽIVANJA	potraživanje	Ncnpg
U	u	Sl
SLUČAJU	slučaj	Ncmsl
STEČAJA	stečaj	Ncmsg
POSLODAVCA	poslodavac	Ncmsg

putem	put	Sg

HRVATSKOG	hrvatski	Agpmsgy
ZAVODA	zavod	Ncmsg
ZA	za	Sa
ZAPOŠLJAVANJE	zapošljavanje	Ncnsa

Područni	područni	Agpmsny
ured	ured	Ncmsn
_________________________	_________________________	Z

Temeljem	temelj	Ncmsi
Zakona	zakon	Ncmsg
o	o	Sl
osiguranju	osiguranje	Ncnsl
potraživanja	potraživanje	Ncnsg
radnika	radnik	Ncmpg
u	u	Sl
slučaju	slučaj	Ncmsl
stečaja	stečaj	Ncmsg
poslodavca	poslodavac	Ncmsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
86/08	86/08	Mdc
,	,	Z
80/13	80/13	Mdc
i	i	Cc
82/15	82/15	Mdc
–	–	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
Zakon	zakon	Ncmsn
)	)	Z
podnosim	podnositi	Vmr1s

ZAHTJEV	zahtjev	Ncmsn
za	za	Sa
ostvarivanje	ostvarivanje	Ncnsa
prava	pravo	Ncnpg
u	u	Sl
slučaju	slučaj	Ncmsl
stečaja	stečaj	Ncmsg
poslodavca	poslodavac	Ncmsg

I.	I.	Y
Podaci	podatak	Ncmpn
o	o	Sl
radniku	radnik	Ncmsl

1.	1.	Mdo
Ime	ime	Ncnsn
i	i	Cc
prezime	prezime	Ncnsa
__________________________________________________	__________________________________________________	Z

2.	2.	Mdo
Datum	datum	Ncmsn
,	,	Z
mjesto	mjesto	Ncnsa
i	i	Cc
država	država	Ncfsn
rođenja	rođenje	Ncnsg
___________________________________	___________________________________	Z

3.	3.	Mdo
OIB	oib	Ncmsn
_________________________________________________________	_________________________________________________________	Z

4.	4.	Mdo
Prebivalište	prebivalište	Ncnsn
(	(	Z
država	država	Ncfsn
,	,	Z
poštanski	poštanski	Agpmsny
broj	broj	Ncmsn
mjesta	mjesto	Ncnsg
,	,	Z

mjesto	mjesto	Ncnsn
,	,	Z
ulica	ulica	Ncfpg
i	i	Cc
kućni	kućni	Agpmsny
broj	broj	Ncmsn
)	)	Z
_______________________________________	_______________________________________	Z

5.	5.	Mdo
Adresa	adresa	Ncfsn
za	za	Sa
dostavu	dostava	Ncfsa
pismena	pismen	Agpfsny
(	(	Z
država	država	Ncfsn
,	,	Z
poštanski	poštanski	Agpmsny
broj	broj	Ncmsn

mjesta	mjesto	Ncnpg
,	,	Z
mjesto	mjesto	Ncnsa
,	,	Z
ulica	ulica	Ncfpg
i	i	Cc
kućni	kućni	Agpmsny
broj	broj	Ncmsn
)	)	Z
_________________________________	_________________________________	Z

II	ii	Mrc
.	.	Z

Podaci	podatak	Ncmpn
o	o	Sl
poslodavcu	poslodavac	Ncmsl

1.	1.	Mdo
Naziv	naziv	Ncmsn
i	i	Cc
adresa	adresa	Ncfsn
sjedišta	sjedište	Ncnsg
poslodavca	poslodavac	Ncmsg
ili	ili	Cc
registrirane	registriran	Agpfsgy
poslovne	poslovan	Agpfsgy

jedinice	jedinica	Ncfpa
_____________________________________________________	_____________________________________________________	Z

2.	2.	Mdo
OIB	oib	Ncmsn
poslodavca	poslodavac	Ncmsg
_______________________________________________	_______________________________________________	Z

3.	3.	Mdo
Trgovački	trgovački	Agpmsny
sud	sud	Ncmsn
,	,	Z
poslovni	poslovan	Agpmsny
broj	broj	Ncmsn
i	i	Cc
datum	datum	Ncmsan
objave	objava	Ncfsg
rješenja	rješenje	Ncnsg
o	o	Sl

otvaranju	otvaranje	Ncnsl
/	/	Z
zaključenju	zaključenje	Ncnsl
stečajnog	stečajni	Agpmsgy
postupka	postupak	Ncmsg
_________________________	_________________________	Z

III	III	Mrc
.	.	Z

Podaci	podatak	Ncmpn
o	o	Sl
radno	radno	Rgp
pravnom	pravni	Agpmsly
statusu	status	Ncmsl

1.	1.	Mdo
Datum	datum	Ncmsn
zasnivanja	zasnivanje	Ncnsg
i	i	Cc
vrsta	vrsta	Ncfsn
radnog	radni	Agpmsgy
odnosa	odnos	Ncmsg
__________________________	__________________________	Z

2.	2.	Mdo
Datum	datum	Ncmsn
i	i	Cc
razlog	razlog	Ncmsan
prestanka	prestanak	Ncmsg
radnog	radni	Agpmsgy
odnosa	odnos	Ncmsg
__________________________	__________________________	Z

IV	IV	Mrc
.	.	Z

Podaci	podatak	Ncmpn
o	o	Sl
utvrđenom	utvrditi	Agpnsly
potraživanju	potraživanje	Ncnsl
(	(	Z
zaokružiti	zaokružiti	Vmn
odgovarajući	odgovarajući	Agpmsayn
broj	broj	Ncmsan
)	)	Z

1.	1.	Mdo
Potraživanja	potraživanje	Ncnsg
su	biti	Var3p
utvrđena	utvrditi	Appnpny
na	na	Sl
ispitnom	ispitan	Agpnsly
ročištu	ročište	Ncnsl
,	,	Z
rješenjem	rješenje	Ncnsi
objavljenim	objavljen	Agpmsiy
dana	dan	Ncmpg

2.	2.	Mdo
Potraživanja	potraživanje	Ncnsg
nisu	biti	Var3p
utvrđena	utvrditi	Appnpny
jer	jer	Cs
otvoreni	otvoren	Agpmsny
stečajni	stečajni	Agpmsny
postupak	postupak	Ncmsn
nije	biti	Var3s
proveden	provesti	Appmsnn
.	.	Z

V.	V.	Y
Zahtijevam	zahtijevati	Vmr1s
ostvarivanje	ostvarivanje	Ncnsa
prava	pravo	Ncnsg
na	na	Sa
isplatu	isplata	Ncfsa
(	(	Z
zaokružiti	zaokružiti	Vmn
odgovarajući	odgovarajući	Agpmsayn
broj	broj	Ncmsan
)	)	Z
:	:	Z

1.	1.	Mdo
Neisplaćene	neisplaćen	Agpfpny
plaće	plaća	Ncfpn
odnosno	odnosno	Rgp
naknade	naknada	Ncfsg
plaće	plaća	Ncfsg
,	,	Z
u	u	Sl
visini	visina	Ncfsl
do	do	Sg
iznosa	iznos	Ncmsg
minimalne	minimalan	Agpfsgy
plaće	plaća	Ncfsg
za	za	Sa
svaki	svaki	Pi-msan
mjesec	mjesec	Ncmsan
zaštićenog	zaštititi	Agpnsgy
razdoblja	razdoblje	Ncnsg
,	,	Z

2.	2.	Mdo
Neisplaćene	neisplaćen	Agpfsgy
naknade	naknada	Ncfsg
plaće	plaća	Ncfsg
za	za	Sa
bolovanje	bolovanje	Ncnsa
u	u	Sl
zaštićenom	zaštititi	Agpnsly
razdoblju	razdoblje	Ncnsl
koju	koji	Pi-fsa
je	biti	Var3s
prema	prema	Sl
propisima	propis	Ncmpl
o	o	Sl
zdravstvenom	zdravstven	Agpnsly
osiguranju	osiguranje	Ncnsl
bio	biti	Vap-sm
dužan	dužan	Agpmsnn
isplatiti	isplatiti	Vmn
poslodavac	poslodavac	Ncmsn
iz	iz	Sg
svojih	svoj	Px-npg
sredstava	sredstvo	Ncnpg
,	,	Z
u	u	Sl
visini	visina	Ncfsl
do	do	Sg
iznosa	iznos	Ncmsg
minimalne	minimalan	Agpfsgy
plaće	plaća	Ncfsg
za	za	Sa
svaki	svaki	Pi-msan
mjesec	mjesec	Ncmsan
proveden	provesti	Appmsnn
na	na	Sl
bolovanju	bolovanje	Ncnsl
,	,	Z

3.	3.	Mdo
Neisplaćene	neisplaćen	Agpfpny
naknade	naknada	Ncfpn
za	za	Sa
neiskorišteni	neiskorišten	Agpmsayn
godišnji	godišnji	Agpmsayn
odmor	odmor	Ncmsan
na	na	Sa
koji	koji	Pi-msan
sam	biti	Var1s
stekao	steći	Vmp-sm
pravo	pravo	Ncnsa
do	do	Sg
otvaranja	otvaranje	Ncnsg
stečajnog	stečajni	Agpmsgy
postupka	postupak	Ncmsg
pod	pod	Si
uvjetima	uvjet	Ncmpi
utvrđenim	utvrditi	Aspmsiy
zakonom	zakon	Ncmsi
,	,	Z
u	u	Sl
visini	visina	Ncfsl
do	do	Sg
iznosa	iznos	Ncmsg
minimalne	minimalan	Agpfsgy
plaće	plaća	Ncfsg
,	,	Z

4.	4.	Mdo
Otpremninu	otpremnina	Ncfsa
pod	pod	Si
uvjetima	uvjet	Ncmpi
utvrđenim	utvrditi	Aspmsiy
zakonom	zakon	Ncmsi
,	,	Z
u	u	Sl
visini	visina	Ncfsl
polovice	polovica	Ncfsg
otpremnine	otpremnina	Ncfsg
utvrđene	utvrditi	Appfpny
u	u	Sl
stečajnom	stečajni	Agpmsly
postupku	postupak	Ncmsl
,	,	Z
a	a	Cc
najviše	mnogo	Rgs
do	do	Sg
polovice	polovica	Ncfsg
najvišeg	visok	Agsmsgy
iznosa	iznos	Ncmsg
zakonom	zakon	Ncmsi
propisane	propisati	Agpfsgy
otpremnine	otpremnina	Ncfsg
,	,	Z

5.	5.	Mdo
Pravomoćno	pravomoćno	Rgp
dosuđenu	dosuditi	Appfsay
naknadu	naknada	Ncfsa
štete	šteta	Ncfsg
zbog	zbog	Sg
pretrpljene	pretrpjeti	Agpfsgy
ozljede	ozljeda	Ncfsg
na	na	Sl
radu	rad	Ncmsl
ili	ili	Cc
profesionalne	profesionalan	Agpfsgy
bolesti	bolest	Ncfsg
,	,	Z
u	u	Sl
visini	visina	Ncfsl
do	do	Sg
jedne	jedan	Agpfsgy
trećine	trećina	Ncfsg
pravomoćno	pravomoćno	Rgp
dosuđene	dosuditi	Agpfpny
naknade	naknada	Ncfpn
štete	šteta	Ncfsg
.	.	Z

VI	VI	Mrc
.	.	Z

Broj	broj	Ncmsn
tekućeg	tekući	Agpmsgy
računa	račun	Ncmsg
(	(	Z
u	u	Sl
slučaju	slučaj	Ncmsl
izravne	izravan	Agpfsgy
isplate	isplata	Ncfsg
zbog	zbog	Sg
brisanja	brisanje	Ncnsg
iz	iz	Sg
registra	registar	Ncmsg
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
poslodavca	poslodavac	Ncmsg
kao	kao	Cs
posljedice	posljedica	Ncfpa
zaključenja	zaključenje	Ncnsg
stečajnog	stečajni	Agpmsgy
postupka	postupak	Ncmsg
)	)	Z
:	:	Z

1.	1.	Mdo
IBAN	iban	Agpmsayn
broj	broj	Ncmsan
tekućeg	tekući	Agpmsgy
računa	račun	Ncmsg
_________________________	_________________________	Z
kod	kod	Sg
____________________	___________________a	Ncfsg

2.	2.	Mdo
IBAN	iban	Agpmsayn
broj	broj	Ncmsan
posebnog	poseban	Agpmsgy
računa	račun	Ncmsg
iz	iz	Sg
čl.	čl.	Y
212.	212.	Mdo

Ovršnog	ovršni	Agpmsgy
zakona	zakon	Ncmsg
__________	__________	Z
kod	kod	Sg
____________	___________a	Ncfsg

U	u	Sl
___________________________________	__________________________________a	Ncfsl
(	(	Z
mjesto	mjesto	Ncnsn
,	,	Z
datum	datum	Ncmsn
)	)	Z

Vlastoručni	vlastoručan	Agpmsny
potpis	potpis	Ncmsn
podnositelja	podnositelj	Ncmpg
zahtjeva	zahtjev	Ncmpg

