primala	primati	Vmp-sf
te	taj	Pd-mpa
mjerodavne	mjerodavan	Agpmpay
propise	propis	Ncmpa
u	u	Sl
njihovoj	njihov	Ps3fsl
ukupnosti	ukupnost	Ncfsl
,	,	Z
polazeći	polaziti	Rr
od	od	Sg
združenih	združiti	Agpmpgy
učinaka	učinak	Ncmpg
koje	koji	Pi-mpa
oni	oni	Pp3mpn
proizvode	proizvoditi	Vmr3p
za	za	Sa
stranku	stranka	Ncfsa
u	u	Sl
svjetlu	svjetlo	Ncnsl
osobitih	osobit	Agpfpgy
okolnosti	okolnost	Ncfpg
samog	sam	Agpmsgy
slučaja	slučaj	Ncmsg
,	,	Z
stalno	stalno	Rgp
imajući	imati	Rr
na	na	Sl
umu	um	Ncmsl
da	da	Cs
njihove	njihov	Ps3fpn
odluke	odluka	Ncfpn
ne	ne	Qz
smiju	smjeti	Vmr3p
dovoditi	dovoditi	Vmn
do	do	Sg
nerazumnog	nerazuman	Agpnsgy
i	i	Cc
objektivno	objektivno	Rgp
neopravdanog	neopravdan	Agpmsgy
ishoda	ishod	Ncmsg
za	za	Sa
samu	sam	Agpfsay
stranku	stranka	Ncfsa
,	,	Z
a	a	Cc
ponajmanje	ponajmanje	Rgp
kršiti	kršiti	Vmn
njihova	njihov	Agpnpay
ustavna	ustavan	Agpnpay
prava	pravo	Ncnpa
ili	ili	Cc
objektivne	objektivan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
hrvatskog	hrvatski	Agpmsgy
ustavnog	ustavan	Agpmsgy
poretka	poredak	Ncmsg
.	.	Z

46.	46.	Mdo

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
podsjeća	podsjećati	Vmr3s
:	:	Z
pravna	pravni	Agpfsny
sigurnost	sigurnost	Ncfsn
–	–	Z
zajedno	zajedno	Rgp
s	sa	Si
načelom	načelo	Ncnsi
supremacije	supremacija	Ncfsg
prava	pravo	Ncnsg
–	–	Z
podrazumijeva	podrazumijevati	Vmr3s
da	da	Cs
je	biti	Var3s
pravo	prav	Agpnsny
stvoreno	stvoriti	Appnsny
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
primjenjivalo	primjenjivati	Vmp-sn
u	u	Sl
praksi	praksa	Ncfsl
na	na	Sa
konkretne	konkretan	Agpfpay
životne	životan	Agpfpay
situacije	situacija	Ncfpa
.	.	Z

Iako	iako	Cs
je	biti	Var3s
apstraktno	apstraktan	Agpnsny
vrednovanje	vrednovanje	Ncnsn
samog	sam	Agpnsgy
zakonodavstva	zakonodavstvo	Ncnsg
važno	važan	Agpnsny
za	za	Sa
ostvarenje	ostvarenje	Ncnsa
načela	načelo	Ncnsg
vladavine	vladavina	Ncfsg
prava	pravo	Ncnsg
(	(	Z
što	što	Cs
manjkavosti	manjkavost	Ncfsl
ZoRiRP-a	zorirp-	Ncmsg
/	/	Z
08	08	Mdc
-	-	Z
11	11	Mdc
i	i	Cc
ZObrt-a	ZObrt	Npmsg
/	/	Z
93	93	Mdc
-	-	Z
10	10	Mdc
u	u	Sl
ovom	ovaj	Pd-msl
slučaju	slučaj	Ncmsl
jasno	jasno	Rgp
pokazuju	pokazivati	Vmr3p
)	)	Z
,	,	Z
kategoričnost	kategoričnost	Ncfsn
objektivnog	objektivan	Agpnsgy
prava	pravo	Ncnsg
nikako	nikako	Rgp
ne	ne	Qz
znači	značiti	Vmr3s
da	da	Cs
se	sebe	Px--sa
pravna	pravni	Agpnpny
pravila	pravilo	Ncnpn
smiju	smjeti	Vmr3p
primjenjivati	primjenjivati	Vmn
na	na	Sa
konkretne	konkretan	Agpfpay
životne	životan	Agpfpay
situacije	situacija	Ncfpa
toliko	toliko	Rgp
nefleksibilno	nefleksibilan	Agpnsny
,	,	Z
mehanički	mehanički	Agpmsny
i	i	Cc
slijepo	slijep	Agpnsny
da	da	Cs
postaje	postajati	Vmr3s
nemoguće	nemoguć	Agpnsny
uvažavati	uvažavati	Vmn
imperative	imperativ	Ncmpa
razumnosti	razumnost	Ncfsg
i	i	Cc
pravičnosti	pravičnost	Ncfsg
.	.	Z

U	u	Sl
svakom	svaki	Pi-msl
takvom	takav	Pd-msl
slučaju	slučaj	Ncmsl
uvijek	uvijek	Rgp
će	htjeti	Var3s
biti	biti	Van
riječ	riječ	Ncfsn
o	o	Sl
pretjeranom	pretjeran	Agpmsly
formalizmu	formalizam	Ncmsl
protivnom	protivan	Agpmsly
Ustavu	ustav	Ncmsl
.	.	Z

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
na	na	Sl
kraju	kraj	Ncmsl
podsjeća	podsjećati	Vmr3s
na	na	Sa
opće	opći	Agpnsay
pravno	pravni	Agpnsay
načelo	načelo	Ncnsa
da	da	Cs
u	u	Sl
građanskom	građanski	Agpmsly
i	i	Cc
upravnom	upravan	Agpnsly
pravu	prav	Agpfsay
retroaktivnost	retroaktivnost	Ncfsa
nije	biti	Var3s
poželjna	poželjan	Agpfsny
ako	ako	Cs
negativno	negativno	Rgp
utječe	utjecati	Vmr3s
na	na	Sa
prava	pravo	Ncnpa
i	i	Cc
pravne	pravni	Agpmpay
interese	interes	Ncmpa
pojedinaca	pojedinac	Ncmpg
.	.	Z

47.	47.	Mdo

Zaključno	zaključni	Agpnsny
,	,	Z
osporenom	osporiti	Agpfsiy
presudom	presuda	Ncfsi
Upravnog	upravan	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
Rijeci	Rijeka	Npfsl
podnositeljici	podnositeljica	Ncfsl
je	biti	Var3s
povrijeđeno	povrijeđen	Agpnsny
ustavno	ustavan	Agpnsny
pravo	pravo	Ncnsn
na	na	Sa
pravično	pravičan	Agpnsay
suđenje	suđenje	Ncnsa
u	u	Sl
upravnom	upravan	Agpmsly
sporu	spor	Ncmsl
o	o	Sl
zakonitosti	zakonitost	Ncfsl
upravnog	upravan	Agpmsgy
akta	akt	Ncmsg
(	(	Z
članak	članak	Ncmsn
19.	19.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
člankom	članak	Ncmsi
29.	29.	Mdo
stavkom	stavak	Ncmsi
1.	1.	Mdo
Ustava	ustav	Ncmsg
)	)	Z
.	.	Z

Osporenim	osporiti	Agpmpiy
upravnim	upravan	Agpmpiy
aktima	akt	Ncmpi
HZZO-a	HZZO	Npmsg
osobito	osobito	Rgp
je	biti	Var3s
povrijeđeno	povrijeđen	Agpnsny
legitimno	legitiman	Agpnsny
očekivanje	očekivanje	Ncnsn
podnositeljice	podnositeljica	Ncfsg
,	,	Z
zaštićeno	zaštititi	Appnsny
člankom	članak	Ncmsi
48.	48.	Mdo
stavkom	stavka	Ncfsi
1.	1.	Mdo
Ustava	ustav	Ncmsg
(	(	Z
v.	v.	Sa
odluku	odluka	Ncfsa
Ustavnog	ustavan	Agpmsgy
suda	sud	Ncmsg
broj	broj	Ncmsn
:	:	Z
U-IIIB-1373	U-IIIB-1373	X
/	/	Z
2009	2009	Mdc
od	od	Sg
7.	7.	Mdo
srpnja	srpanj	Ncmsg
2009.	2009.	Mdo
,	,	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
broj	broj	Ncmsn
88/09.	88/09.	Mdo
)	)	Z
da	da	Cs
će	htjeti	Var3s
joj	on	Pp3fsd
pravo	pravo	Ncnsa
na	na	Sa
naknadu	naknada	Ncfsa
plaće	plaća	Ncfsg
za	za	Sa
vrijeme	vrijeme	Ncnsa
korištenja	korištenje	Ncnsg
prava	pravo	Ncnsg
na	na	Sa
dopust	dopust	Ncmsan
radi	raditi	Vmr3s
njege	njega	Ncfpa
djeteta	dijete	Ncnsg
s	sa	Si
težim	težak	Agcfpiy
smetnjama	smetnja	Ncfpi
u	u	Sl
razvoju	razvoj	Ncmsl
biti	biti	Van
priznato	priznati	Agpnsny
sukladno	sukladan	Agpnsny
rješenju	rješenje	Ncnsd
HZZO	hzza	Ncfsg
/	/	Z
Rijeka	rijeka	Ncfsn
od	od	Sg
9.	9.	Mdo
ožujka	ožujak	Ncmsg
2009.	2009.	Mdo
(	(	Z
to	taj	Pd-nsn
jest	biti	Var3s
od	od	Sg
6.	6.	Mdo
veljače	veljača	Ncfsg
2009.	2009.	Mdo
do	do	Sg
6.	6.	Mdo
veljače	veljača	Ncfsg
2016.	2016.	Mdo
–	–	Z
v.	v.	Sa
točku	točka	Ncfsa
9.	9.	Mdo
obrazloženja	obrazloženje	Ncnsg
ove	ovaj	Pd-fsg
odluke	odluka	Ncfsg
)	)	Z
,	,	Z
odnosno	odnosno	Rgp
sve	sav	Agpnsny
dok	dok	Cs
to	taj	Pd-nsn
pravo	pravo	Ncnsn
ostvaruje	ostvarivati	Vmr3s
na	na	Sl
temelju	temelj	Ncmsl
radnog	radni	Agpmsgy
odnosa	odnos	Ncmsg
,	,	Z
a	a	Cc
na	na	Sa
koje	koji	Agpnsay
pravo	pravo	Ncnsa
ostvarena	ostvariti	Appfsny
povlastica	povlastica	Ncfsn
njezina	njezin	Ps3msg
poslodavca-obrtnika	poslodavca-obrtnik	Ncmsg
kojom	koji	Pi-fsi
mu	on	Pp3msd
se	sebe	Px--sa
retroaktivno	retroaktivno	Rgp
priznao	priznati	Vmp-sm
prestanak	prestanak	Ncmsn
obrta	obrt	Ncmsg
ne	ne	Qz
bi	biti	Vaa3s
smjela	smjeti	Vmp-sf
imati	imati	Vmn
negativni	negativan	Agpmsayn
utjecaj	utjecaj	Ncmsan
,	,	Z
kao	kao	Cs
što	što	Cs
takav	takav	Pd-msn
utjecaj	utjecaj	Ncmsn
poslodavčeva	poslodavčev	Ncmpg
povlastica	povlastica	Ncfpg
ne	ne	Qz
bi	biti	Vaa3s
smjela	smjeti	Vmp-sf
imati	imati	Vmn
ni	ni	Qo
na	na	Sa
duljinu	duljina	Ncfsa
trajanja	trajanje	Ncnsg
podnositeljičinog	podnositeljičin	Agpmsgy
radnog	radni	Agpmsgy
odnosa	odnos	Ncmsg
.	.	Z

48.	48.	Mdo

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
utvrđuje	utvrđivati	Vmr3s
:	:	Z

–	–	Z
da	da	Cs
se	sebe	Px--sa
iznos	iznos	Ncmsn
naknade	naknada	Ncfsg
plaće	plaća	Ncfsg
za	za	Sa
vrijeme	vrijeme	Ncnsa
korištenja	korištenje	Ncnsg
prava	pravo	Ncnsg
na	na	Sa
dopust	dopust	Ncmsan
radi	raditi	Vmr3s
njege	njega	Ncfpa
djeteta	dijete	Ncnsg
s	sa	Si
težim	težak	Agcfpiy
smetnjama	smetnja	Ncfpi
u	u	Sl
razvoju	razvoj	Ncmsl
,	,	Z
koji	koji	Pi-msn
je	biti	Var3s
podnositeljica	podnositeljica	Ncfsn
primila	primiti	Vmp-sf
do	do	Sg
dana	dan	Ncmsg
odjave	odjava	Ncfsg
radnog	radni	Agpmsgy
odnosa	odnos	Ncmsg
30.	30.	Mdo
svibnja	svibanj	Ncmsg
2012.	2012.	Mdo
,	,	Z
ima	imati	Vmr3s
smatrati	smatrati	Vmn
zakonito	zakonito	Rgp
primljenom	primljen	Agpfsiy
podnositeljičinom	podnositeljičin	Agpfsiy
imovinom	imovina	Ncfsi
pod	pod	Si
zaštitom	zaštita	Ncfsi
članka	članak	Ncmsg
48.	48.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
Ustava	ustav	Ncmsg
;	;	Z

–	–	Z
da	da	Cs
su	biti	Var3p
nadležna	nadležan	Agpnpny
tijela	tijelo	Ncnpn
dužna	dužan	Agpfsny
osigurati	osigurati	Vmn
podnositeljici	podnositeljica	Ncfsl
(	(	Z
na	na	Sa
njezin	njezin	Agpmsayn
zahtjev	zahtjev	Ncmsan
ako	ako	Cs
je	biti	Var3s
podnošenje	podnošenje	Ncnsn
zahtjeva	zahtjev	Ncmpg
zakonska	zakonski	Agpfsny
pretpostavka	pretpostavka	Ncfsn
)	)	Z
sva	sav	Agpfsny
pripadajuća	pripadajući	Agpnpay
joj	joj	Agpnpay
zakonska	zakonski	Agpnpay
prava	pravo	Ncnpa
koja	koji	Pi-npn
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
njezina	njezin	Ps3msg
statusa	status	Ncmsg
roditelja	roditelj	Ncmpg
djeteta	dijete	Ncnsg
s	sa	Si
težim	težak	Agcfpiy
smetnjama	smetnja	Ncfpi
u	u	Sl
razvoju	razvoj	Ncmsl
,	,	Z
računajući	računati	Rr
od	od	Sg
30.	30.	Mdo
svibnja	svibanj	Ncmsg
2012.	2012.	Mdo

Podnositeljica	podnositeljica	Ncfsn
ustavne	ustavan	Agpfsgy
tužbe	tužba	Ncfsg
ne	ne	Qz
smije	smjeti	Vmr3s
trpjeti	trpjeti	Vmn
ni	ni	Qo
druge	drugi	Agpfpay
štetne	štetan	Agpfpay
posljedice	posljedica	Ncfpa
koje	koji	Pi-fpn
bi	biti	Vaa3p
za	za	Sa
nju	on	Pp3fsa
proizlazile	proizlaziti	Vmp-pf
iz	iz	Sg
rješenja	rješenje	Ncnsg
Ureda	ured	Ncmsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
u	u	Sl
Primorsko-goranskoj	primorsko-goranski	Agpfsly
županiji	županija	Ncfsl
,	,	Z
Službe	služba	Ncfpn
za	za	Sa
gospodarstvo	gospodarstvo	Ncnsa
u	u	Sl
Rijeci	Rijeka	Npfsl
,	,	Z
klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I	i	Cc
311	311	Mdc
-	-	Z
02/12	02/12	Mdc
-	-	Z
04/179	04/179	Mdc
,	,	Z
urbroj	urbroj	Ncmsn
:	:	Z
2170	2170	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/4	02/4	Mdc
-	-	Z
12	12	Mdc
-	-	Z
02	02	Mdc
od	od	Sg
10.	10.	Mdo
svibnja	svibanj	Ncmsg
2012.	2012.	Mdo
,	,	Z
i	i	Cc
rješenja	rješenje	Ncnsg
Ureda	ured	Ncmsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
u	u	Sl
Primorsko-goranskoj	primorsko-goranski	Agpfsly
županiji	županija	Ncfsl
,	,	Z

