druge	drugi	Mlompa
zatvaranjem	zatvaranje	Ncnsi
prozora	prozor	Ncmsg
i	i	Cc
isključivanjem	isključivanje	Ncnsi
strujnoga	strujni	Agpmsgy
toka	tok	Ncmsg
kada	kada	Cs
se	sebe	Px--sa
u	u	Sl
spremištu	spremište	Ncnsl
ne	ne	Qz
radi	raditi	Vmr3s
,	,	Z

–		Mlc--l
redovitim	redovit	Agpnsiy
čišćenjem	čišćenje	Ncnsi
i	i	Cc
oprašivanjem	oprašivanje	Ncnsi
spremišta	spremište	Ncnsg
i	i	Cc
odloženoga	odložen	Agpnsgy
gradiva	gradivo	Ncnsg
,	,	Z
te	te	Cc
prozračivanjem	prozračivanje	Ncnsi
prostorija	prostorija	Ncfpg
,	,	Z

–		Agpnsiy
održavanjem	održavanje	Ncnsi
odgovarajuće	odgovarajući	Agpfsgy
temperature	temperatura	Ncfsg
(	(	Z
16	16	Mdc
–	–	Z
20	20	Mdc
°	°	Z
C	C	X
)	)	Z
i	i	Cc
vlažnosti	vlažnost	Ncfsg
(	(	Z
45	45	Mdc
–	–	Z
55	55	Mdc
%	%	Z
)	)	Z
,	,	Z

–		Mlc--l
redovitim	redovit	Agpnsiy
uklanjanjem	uklanjanje	Ncnsi
nedostataka	nedostatak	Ncmpg
koji	koji	Pi-mpn
bi	biti	Vaa3p
mogli	moći	Vmp-pm
dovesti	dovesti	Vmn
do	do	Sg
oštećenja	oštećenje	Ncnsg
gradiva	gradivo	Ncnsg
.	.	Z

Članak	članak	Ncmsn
36.	36.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Odgovarajućim	odgovarajući	Agpmsiy
prostorom	prostor	Ncmsi
za	za	Sa
pohranu	pohrana	Ncfsa
arhivskoga	arhivski	Agpnsgy
i	i	Cc
registraturnog	registraturni	Agpnsgy
gradiva	gradivo	Ncnsg
DSV-a	DSV	Npmsg
,	,	Z
smatraju	smatrati	Vmr3p
se	sebe	Px--sa
prostorije	prostorija	Ncfpn
koje	koji	Pi-fpn
su	biti	Var3p
suhe	suh	Agpfpny
,	,	Z
prozračne	prozračan	Agpfpny
,	,	Z
osigurane	osigurati	Appfpny
od	od	Sg
požara	požar	Ncmsg
i	i	Cc
krađe	krađa	Ncfsg
,	,	Z
udaljene	udaljiti	Appfsgy
od	od	Sg
mjesta	mjesto	Ncnsg
otvorenog	otvoren	Agpmsgy
plamena	plamen	Ncmsg
i	i	Cc
od	od	Sg
prostorija	prostorija	Ncfpg
u	u	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
čuvaju	čuvati	Vmr3p
lako	lako	Rgp
zapaljive	zapaljiv	Agpfpny
tvari	tvar	Ncfpn
,	,	Z
bez	bez	Sg
vodovodnih	vodovodni	Agpmpgy
,	,	Z
kanalizacijskih	kanalizacijski	Agpmpgy
,	,	Z
plinskih	plinski	Agpmpgy
i	i	Cc
električnih	električan	Agpfpgy
instalacija	instalacija	Ncfpg
te	te	Cc
razvodnih	razvodni	Agpmpgy
vodova	vod	Ncmpg
i	i	Cc
uređaja	uređaj	Ncmpg
centralnog	centralan	Agpnsgy
grijanja	grijanje	Ncnsg
bez	bez	Sg
odgovarajuće	odgovarajući	Agpfsgy
zaštite	zaštita	Ncfsg
,	,	Z
uključujući	uključivati	Rr
i	i	Cc
zaštitu	zaštita	Ncfsa
od	od	Sg
nadolaska	nadolazak	Ncmsg
nadzemnih	nadzemni	Agpmpgy
i	i	Cc
podzemnih	podzeman	Agpfpgy
voda	voda	Ncfpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Instalacije	instalacija	Ncfpn
moraju	morati	Vmr3p
uvijek	uvijek	Rgp
biti	biti	Van
ispravne	ispravan	Agpfsgy
i	i	Cc
pod	pod	Si
nadzorom	nadzor	Ncmsi
.	.	Z

U	u	Sl
prostorijama	prostorija	Ncfpl
pismohrane	pismohrana	Ncfsg
strogo	strog	Agpnsny
je	biti	Var3s
zabranjeno	zabranjen	Agpnsny
pušenje	pušenje	Ncnsn
.	.	Z

Članak	članak	Ncmsn
37.	37.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Prostorije	prostorija	Ncfpn
pismohrane	pismohrana	Ncfsg
moraju	morati	Vmr3p
imati	imati	Vmn
odgovarajući	odgovarajući	Agpmsayn
inventar	inventar	Ncmsan
kao	kao	Cs
što	što	Cs
su	biti	Var3p
police	polica	Ncfpn
,	,	Z
ormari	ormar	Ncmpn
,	,	Z
ljestve	ljestve	Ncfpn
,	,	Z
stol	stol	Ncmsan
,	,	Z
dobro	dobar	Agpnsay
osvjetljenje	osvjetljenje	Ncnsa
i	i	Cc
dr.	dr.	Y

(	(	Z
2	2	Mdc
)	)	Z
Prostorije	prostorija	Ncfpn
moraju	morati	Vmr3p
biti	biti	Van
osigurane	osigurati	Appfpny
valjanim	valjan	Agpmpdy
uređajima	uređaj	Ncmpd
za	za	Sa
sigurno	siguran	Agpnsay
zatvaranje	zatvaranje	Ncnsa
vrata	vrat	Ncmsg
,	,	Z
te	te	Cc
opremljene	opremiti	Appfsgy
odgovarajućim	odgovarajući	Agpmsiy
brojem	broj	Ncmsi
protupožarnih	protupožarni	Agpmpgy
aparata	aparat	Ncmpg
na	na	Sa
prah	prah	Ncmsan
.	.	Z

Članak	članak	Ncmsn
38.	38.	Mdo

Pristup	pristup	Ncmsan
u	u	Sa
pismohranu	pismohrana	Ncfsa
dopušten	dopustiti	Appmsnn
je	biti	Var3s
samo	samo	Rgp
odgovornoj	odgovoran	Agpfsly
osobi	osoba	Ncfsl
za	za	Sa
rad	rad	Ncmsan
pismohrane	pismohrana	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
osobi	osoba	Ncfsl
zaduženoj	zadužiti	Appfsly
za	za	Sa
rad	rad	Ncmsan
u	u	Sl
pismohrani	pismohrana	Ncfsl
.	.	Z

Brigu	briga	Ncfsa
o	o	Sl
uređenju	uređenje	Ncnsl
pismohrane	pismohrana	Ncfsg
,	,	Z
te	te	Cc
nadzor	nadzor	Ncmsan
nad	nad	Si
radom	rad	Ncmsi
u	u	Sl
pismohrani	pismohrana	Ncfsl
provodi	provoditi	Vmr3s
predsjednik	predsjednik	Ncmsn
DSV-a	DSV	Npmsg
.	.	Z

IX	IX	Mrc
.	.	Z

ZAVRŠNE	završan	Agpfpny
ODREDBE	odredba	Ncfpn

Članak	članak	Ncmsn
39.	39.	Mdo

Odgovorne	odgovoran	Agpfpny
osobe	osoba	Ncfpn
za	za	Sa
cjelokupno	cjelokupan	Agpnsay
arhivsko	arhivski	Agpnsay
i	i	Cc
registraturno	registraturni	Agpnsny
gradivo	gradivo	Ncnsn
nastalo	nastati	Vmp-sn
tijekom	tijekom	Sg
poslovanja	poslovanje	Ncnsg
DSV-a	DSV	Npmsg
,	,	Z
i	i	Cc
njegovih	njegov	Ps3mpg
prednika	prednik	Ncmpg
obvezne	obvezan	Agpfpny
su	biti	Var3p
postupati	postupati	Vmn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpl
Zakona	zakon	Ncmsg
o	o	Sl
arhivskom	arhivski	Agpnsly
gradivu	gradivo	Ncnsl
i	i	Cc
arhivima	arhiv	Ncmpi
,	,	Z
te	te	Cc
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Članak	članak	Ncmsn
40.	40.	Mdo

Na	na	Sa
pitanja	pitanje	Ncnpa
koja	koji	Pi-npn
nisu	biti	Var3p
navedena	navesti	Appnpny
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
Zakon	zakon	Ncmsn
o	o	Sl
arhivskom	arhivski	Agpnsly
gradivu	gradivo	Ncnsl
i	i	Cc
arhivima	arhiv	Ncmpl
,	,	Z
njegovi	njegov	Ps3mpn
podzakonski	podzakonski	Agpmpny
akti	akt	Ncmpn
,	,	Z
kao	kao	Cs
i	i	Qo
drugi	drugi	Mlompn
zakonski	zakonski	Agpmpny
propisi	propis	Ncmpn
kojima	koji	Pi-mpi
se	sebe	Px--sa
pobliže	pobliži	Agpnsny
utvrđuje	utvrđivati	Vmr3s
rukovanje	rukovanje	Ncnsn
i	i	Cc
rokovi	rok	Ncmpn
čuvanja	čuvanje	Ncnsg
arhivskoga	arhivski	Agpnsgy
i	i	Cc
registraturnog	registraturni	Agpnsgy
gradiva	gradivo	Ncnsg
.	.	Z

Članak	članak	Ncmsn
41.	41.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
podliježe	podlijegati	Vmr3s
suglasnosti	suglasnost	Ncfsg
HDA	HD	Npmsg
,	,	Z
sukladno	sukladno	Rgp
članku	članak	Ncmsl
17.	17.	Mdo

Pravilnika	pravilnik	Ncmpg
o	o	Sl
zaštiti	zaštita	Ncfsl
i	i	Cc
čuvanju	čuvanje	Ncnsl
arhivskog	arhivski	Agpnsgy
i	i	Cc
registraturnog	registraturni	Agpnsgy
gradiva	gradivo	Ncnsg
izvan	izvan	Sg
arhiva	arhiv	Ncmsg
.	.	Z

Članak	članak	Ncmsn
42.	42.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Po	po	Sl
pribavljenoj	pribaviti	Agpfsly
suglasnosti	suglasnost	Ncfsl
HDA	HD	Npmsg
,	,	Z
ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
objavit	objaviti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
u	u	Sl
»		Agpfply
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmog	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Stupanjem	stupanje	Ncnsi
na	na	Sa
snagu	snaga	Ncfsa
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
prestaje	prestajati	Vmr3s
važiti	važiti	Vmn
Pravilnik	pravilnik	Ncmsan
o	o	Sl
zaštiti	zaštita	Ncfsl
i	i	Cc
korištenju	korištenje	Ncnsl
arhivskog	arhivski	Agpnsgy
i	i	Cc
registraturnog	registraturni	Agpnsgy
gradiva	gradivo	Ncnsg
Državnog	državni	Agpnsgy
sudbenog	sudbeni	Agpnsgy
vijeća	vijeće	Ncnsg
,	,	Z
te	te	Cc
poseban	poseban	Agpmsann
popis	popis	Ncmsan
gradiva	gradivo	Ncnsg
s	sa	Si
rokovima	rok	Ncmpi
čuvanja	čuvanje	Ncnsg
Državnog	državni	Agpnsgy
sudbenog	sudbeni	Agpnsgy
vijeća	vijeće	Ncnsg
na	na	Sa
koji	koji	Pi-msan
je	biti	Var3s
suglasnost	suglasnost	Ncfsn
izdana	izdati	Appfsny
rješenjem	rješenje	Ncnsi
Hrvatskog	hrvatski	Agpmsgy
državnog	državni	Agpmsgy
arhiva	arhiv	Ncmsg
,	,	Z
klasa	klasa	Ncfsn
:	:	Z
UPI	UPI	Npmsn
/	/	Z
I-612-06	I-612-06	Mdc
/	/	Z
11	11	Mdc
-	-	Z
03/25	03/25	Mdc
,	,	Z
urbroj	urbroj	Ncmsn
:	:	Z
565	565	Mdc
-	-	Z
09/5	09/5	Mdc
-	-	Z
11	11	Mdc
-	-	Z
4	4	Mdc
,	,	Z
od	od	Sg
9.	9.	Mdo
rujna	rujan	Ncmsg
2011.	2011.	Mdo

(	(	Z
4	4	Mdc
)	)	Z
Poseban	poseban	Agpmsann
popis	popis	Ncmsan
gradiva	gradivo	Ncnsg
DSV-a	DSV	Npmsg
s	sa	Si
rokovima	rok	Ncmpi
čuvanja	čuvanje	Ncnsg
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
po	po	Sl
zaprimanju	zaprimanje	Ncnsl
odobrenja	odobrenje	Ncnsg
HDA	HD	Npmsg
.	.	Z

Broj	broj	Ncmsn
:	:	Z
OU-53	OU-53	Mds
/	/	Z
16	16	Mdc
-	-	Z
1	1	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
13.	13.	Mdo
svibnja	svibanj	Ncmsg
2016.	2016.	Mdo

Predsjednik	predsjednik	Ncmsn
Državnog	državni	Agpnsgy
sudbenog	sudbeni	Agpnsgy
vijeća	vijeće	Ncnsg
Željko	Željko	Npmsn
Šarić	Šarić	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

