podnosi	podnositi	Vmr3s
međustrukovne	međustrukovan	Agpfsgy
organizacije	organizacija	Ncfsg
ili	ili	Cc
udruženja	udruženje	Ncnsg
organizacija	organizacija	Ncfpg
proizvođača	proizvođač	Ncmpg
,	,	Z
uključujući	uključivati	Rr
područje	područje	Ncnsa
aktivnosti	aktivnost	Ncfpg
i	i	Cc
proizvode	proizvod	Ncmpa
ribarstva	ribarstvo	Ncnsg
i	i	Cc
akvakulture	akvakultura	Ncfsg
za	za	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
traži	tražiti	Vmr3s
priznanje	priznanje	Ncnsa

h	h	Npmsn
)	)	Z
obračun	obračun	Ncmsan
izdanih	izdan	Agpmpgy
računa	račun	Ncmpg
za	za	Sa
proizvode	proizvod	Ncmpa
ribarstva	ribarstvo	Ncnsg
i	i	Cc
akvakulture	akvakultura	Ncfsg
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
prethodnu	prethodan	Agpfsay
godinu	godina	Ncfsa
od	od	Sg
godine	godina	Ncfsg
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
priznavanje	priznavanje	Ncnsa

i	i	Cc
)	)	Z
izjava	izjava	Ncfsn
ovjerena	ovjeriti	Appfsny
i	i	Cc
potpisana	potpisati	Appfsny
od	od	Sg
strane	stran	Agpfsgy
osobe	osoba	Ncfsg
ovlaštene	ovlašten	Agpfsgy
za	za	Sa
zastupanje	zastupanje	Ncnsa
koja	koji	Pi-fsn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
priznavanje	priznavanje	Ncnsa
iz	iz	Sg
Priloga	prilog	Ncmsg
I	i	Cc
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg

j	j	Npmsn
)	)	Z
bilanca	bilanca	Ncfsn
stanja	stanje	Ncnsg
i	i	Cc
račun	račun	Ncmsan
dobiti	dobit	Ncfsg
i	i	Cc
gubitka	gubitak	Ncmsg
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
,	,	Z
osim	osim	Cs
u	u	Sl
slučaju	slučaj	Ncmsl
novoosnovane	novoosnovan	Agpfsgy
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
kada	kada	Cs
se	sebe	Px--sa
dostavlja	dostavljati	Vmr3s
projekcija	projekcija	Ncfsn
bilance	bilanca	Ncfsg
i	i	Cc
računa	račun	Ncmpg
dobiti	dobit	Ncfsg
i	i	Cc
gubitka	gubitak	Ncmsg

(	(	Z
2	2	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsn
za	za	Sa
priznavanje	priznavanje	Ncnsa
nalazi	nalaziti	Vmr3s
se	sebe	Px--sa
u	u	Sl
Prilogu	Prilog	Npmsl
I.	I.	Mro
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
njegov	njegov	Ps3msn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
.	.	Z

Članak	članak	Ncmsn
11.	11.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsan
za	za	Sa
priznavanje	priznavanje	Ncnsa
dostavlja	dostavljati	Vmr3s
se	sebe	Px--sa
Upravi	uprava	Ncfsd
koja	koji	Pi-fsn
obavlja	obavljati	Vmr3s
administrativnu	administrativan	Agpfsay
provjeru	provjera	Ncfsa
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
priznavanje	priznavanje	Ncnsa
i	i	Cc
popratne	popratni	Agpfsgy
dokumentacije	dokumentacija	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
10.	10.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
te	te	Cc
vrši	vršiti	Vmr3s
uvid	uvid	Ncmsan
u	u	Sa
službenu	služben	Agpfsay
bazu	baza	Ncfsa
podataka	podatak	Ncmpg
Uprave	uprava	Ncfsg
radi	radi	Sg
obavljanja	obavljanje	Ncnsg
provjere	provjera	Ncfsg
u	u	Sl
smislu	smisao	Ncmsl
udovoljavanja	udovoljavanje	Ncnsg
uvjetima	uvjet	Ncmpl
iz	iz	Sg
članaka	članak	Ncmpg
4.	4.	Mdo
,	,	Z
5.	5.	Mdo
,	,	Z
6.	6.	Mdo
,	,	Z
7.	7.	Mdo
,	,	Z
8.	8.	Mdo
i	i	Cc
9.	9.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Uprava	uprava	Ncfsn
će	htjeti	Var3s
izdati	izdati	Vmn
Zahtjev	zahtjev	Ncmsan
za	za	Sa
dopunu	dopuna	Ncfsa
u	u	Sl
slučaju	slučaj	Ncmsl
nepotpunosti	nepotpunost	Ncfsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
priznavanje	priznavanje	Ncnsa
ili	ili	Cc
potrebe	potreba	Ncfpa
dodatnog	dodatan	Agpnsgy
obrazloženja	obrazloženje	Ncnsg
,	,	Z
tumačenja	tumačenje	Ncnsg
ili	ili	Cc
ispravka	ispravak	Ncmsg
podataka	podatak	Ncmpg
potrebnih	potreban	Agpmpgy
za	za	Sa
dovršenje	dovršenje	Ncnsa
obrade	obrada	Ncfsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
priznavanje	priznavanje	Ncnsa
.	.	Z

Podnositelj	podnositelj	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
dostaviti	dostaviti	Vmn
dopunu	dopuna	Ncfsa
u	u	Sl
roku	rok	Ncmsl
naznačenom	naznačen	Agpmsly
u	u	Sl
Zahtjevu	zahtjev	Ncmsl
za	za	Sa
dopunu	dopuna	Ncfsa
preporučenom	preporučiti	Agpfsiy
poštom	pošta	Ncfsi
s	sa	Si
povratnicom	povratnica	Ncfsi
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
donosi	donositi	Vmr3s
Rješenje	rješenje	Ncnsn
o	o	Sl
priznavanju	priznavanje	Ncnsl
ili	ili	Cc
Rješenje	rješenje	Ncnsn
o	o	Sl
odbijanju	odbijanje	Ncnsl
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
priznavanje	priznavanje	Ncnsa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
tri	tri	Mlc
mjeseca	mjesec	Ncmsg
nakon	nakon	Sg
primitka	primitak	Ncmsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
priznavanje	priznavanje	Ncnsa
sukladno	sukladan	Agpnsay
članku	članak	Ncmsd
2.	2.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1419/2013.	1419/2013.	Mds

Provjere	provjera	Ncfpn
udovoljavanja	udovoljavanje	Ncnsg
uvjetima	uvjet	Ncmpd
za	za	Sa
priznavanje	priznavanje	Ncnsa

Članak	članak	Ncmsn
12.	12.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Uprava	uprava	Ncfsn
obavlja	obavljati	Vmr3s
provjere	provjera	Ncfsg
najmanje	malo	Rgs
jednom	jednom	Rgp
godišnje	godišnji	Agpnsny
kako	kako	Cs
bi	biti	Vaa3s
provjerila	provjeriti	Vmp-sf
da	da	Cs
se	sebe	Px--sa
organizacije	organizacija	Ncfpn
proizvođača	proizvođač	Ncmsg
i	i	Cc
međustrukovne	međustrukovan	Agpfsgy
organizacije	organizacija	Ncfsg
pridržavaju	pridržavati	Vmr3p
uvjeta	uvjet	Ncmpg
za	za	Sa
priznavanje	priznavanje	Ncnsa
sukladno	sukladan	Agpnsay
članku	članak	Ncmsl
18.	18.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1379/2013.	1379/2013.	Mds

(	(	Z
2	2	Mdc
)	)	Z
Provjere	provjera	Ncfpn
se	sebe	Px--sa
obavljaju	obavljati	Vmr3p
administrativnom	administrativan	Agpfsiy
kontrolom	kontrola	Ncfsi
podataka	podatak	Ncmpg
o	o	Sl
kojima	koji	Pi-mpl
Uprava	uprava	Ncfsn
vodi	voditi	Vmr3s
službene	služben	Agpfsgy
evidencije	evidencija	Ncfsg
te	te	Cc
kontrolom	kontrola	Ncfsi
na	na	Sl
terenu	teren	Ncmsl
pri	pri	Sl
čemu	što	Ncmsl
se	sebe	Px--sa
može	moći	Vmr3s
izvršiti	izvršiti	Vmn
provjera	provjera	Ncfsn
cjelokupne	cjelokupan	Agpfsgy
dokumentacije	dokumentacija	Ncfsg
organizacije	organizacija	Ncfsg
proizvođača	proizvođač	Ncmsg
ili	ili	Cc
međustrukovne	međustrukovan	Agpfsgy
organizacije	organizacija	Ncfsg
.	.	Z

Plan	plan	Ncmsn
proizvodnje	proizvodnja	Ncfsg
i	i	Cc
stavljanja	stavljanje	Ncnsg
na	na	Sa
tržište	tržište	Ncnsa

Članak	članak	Ncmsn
13.	13.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Organizacije	organizacija	Ncfpn
proizvođača	proizvođač	Ncmpg
dostavljaju	dostavljati	Vmr3p
Upravi	upraviti	Vmm2s
plan	plan	Ncmsan
proizvodnje	proizvodnja	Ncfsg
i	i	Cc
stavljanja	stavljanje	Ncnsg
na	na	Sa
tržište	tržište	Ncnsa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
28.	28.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1379/2013	1379/2013	Mdc
i	i	Cc
člankom	članak	Ncmsi
2.	2.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1418/2013.	1418/2013.	Mds

(	(	Z
2	2	Mdc
)	)	Z
Planove	plan	Ncmpa
proizvodnje	proizvodnja	Ncfsg
i	i	Cc
stavljanja	stavljanje	Ncnsg
na	na	Sa
tržište	tržište	Ncnsa
potrebno	potreban	Agpnsny
je	biti	Var3s
izraditi	izraditi	Vmn
i	i	Cc
uskladiti	uskladiti	Vmn
prema	prema	Sl
detaljnim	detaljan	Agpfply
uputama	uputa	Ncfpl
navedenim	naveden	Agpfpiy
u	u	Sl
Preporuci	preporuka	Ncfsl
Komisije	komisija	Ncfsg
2014/117	2014/117	Mdc
/	/	Z
EU	E	Npmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Nakon	nakon	Sg
provjere	provjera	Ncfsg
dostavljenog	dostaviti	Appmsgy
plana	plan	Ncmsg
proizvodnje	proizvodnja	Ncfsg
i	i	Cc
stavljanja	stavljanje	Ncnsg
na	na	Sa
tržište	tržište	Ncnsa
Uprava	uprava	Ncfsn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
2.	2.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1418/2013	1418/2013	Mdc
može	moći	Vmr3s
zatražiti	zatražiti	Vmn
dopunu	dopuna	Ncfsa
ili	ili	Cc
izmjenu	izmjena	Ncfsa
plana	plan	Ncmsg
ukoliko	ukoliko	Cs
se	sebe	Px--sa
istim	isti	Agpmsiy
ne	ne	Qz
mogu	moći	Vmr3p
postići	postići	Vmn
ciljevi	cilj	Ncmpn
iz	iz	Sg
članaka	članak	Ncmpg
3.	3.	Mdo
i	i	Cc
7.	7.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1379/2013.	1379/2013.	Mds

(	(	Z
4	4	Mdc
)	)	Z
Plan	plan	Ncmsn
proizvodnje	proizvodnja	Ncfsg
i	i	Cc
stavljanja	stavljanje	Ncnsg
na	na	Sa
tržište	tržište	Ncnsa
će	htjeti	Var3s
odobriti	odobriti	Vmn
ili	ili	Cc
odbiti	odbiti	Vmn
Ministarstvo	ministarstvo	Ncnsa
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Plan	plan	Ncmsn
proizvodnje	proizvodnja	Ncfsg
i	i	Cc
stavljanja	stavljanje	Ncnsg
na	na	Sa
tržište	tržište	Ncnsa
dostavlja	dostavljati	Vmr3s
se	sebe	Px--sa
u	u	Sl
obliku	oblik	Ncmsl
i	i	Cc
strukturi	struktura	Ncfsl
propisanom	propisati	Appmsly
u	u	Sl
Prilogu	prilog	Ncmsl
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1418/2013.	1418/2013.	Mds

(	(	Z
6	6	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
potrebe	potreba	Ncfsg
za	za	Si
izmjenom	izmjena	Ncfsi
i	i	Cc
revidiranjem	revidiranje	Ncnsi
odobrenog	odobren	Agpmsgy
Plana	plan	Ncmsg
proizvodnje	proizvodnja	Ncfsg
i	i	Cc
stavljanja	stavljanje	Ncnsg
na	na	Sa
tržište	tržište	Ncnsa
organizacija	organizacija	Ncfsn
proizvođača	proizvođač	Ncmsg
novi	nov	Agpmsny
prijedlog	prijedlog	Ncmsn
Plana	plan	Ncmsg
proizvodnje	proizvodnja	Ncfsg
i	i	Cc

