vrijednosti	vrijednost	Ncfpa
ovjerenu	ovjeriti	Agpfsay
potvrdu	potvrda	Ncfsa
o	o	Sl
podnošenju	podnošenje	Ncnsl
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
/	/	Z
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
predujma	predujam	Ncmsg
,	,	Z
zajedno	zajedno	Rgp
s	sa	Si
propisanom	propisati	Agpfsiy
dokumentacijom	dokumentacija	Ncfsi
u	u	Sl
originalu	original	Ncmsl
na	na	Sa
adresu	adresa	Ncfsa
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
.	.	Z

(	(	Z
12	12	Mdc
)	)	Z
Uz	uz	Sa
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
korisnik	korisnik	Ncmsn
je	biti	Var3s
,	,	Z
osim	osim	Sg
dokumentacije	dokumentacija	Ncfsg
navedene	navesti	Appfpny
u	u	Sl
stavku	stavak	Ncmsl
10	10	Mdc
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
obvezan	obvezan	Agpmsnn
dostaviti	dostaviti	Vmn
u	u	Sl
elektroničkom	elektronički	Agpmsly
obliku	oblik	Ncmsl
na	na	Sl
prijenosnom	prijenosni	Agpmsly
mediju	medij	Ncmsl
(	(	Z
CD-u	CD	Npmsl
/	/	Z
DVD-u	DVD	Npmsl
)	)	Z
dokumentaciju	dokumentacija	Ncfsa
propisanu	propisati	Appfsay
Natječajem	natječaj	Ncmsi
a	a	Cc
vezano	vezan	Agpnsny
za	za	Sa
provedbu	provedba	Ncfsa
ugovora	ugovor	Ncmsg
.	.	Z

(	(	Z
13	13	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
/	/	Z
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
predujma	predujam	Ncmsg
podrazumijeva	podrazumijevati	Vmr3s
potvrdu	potvrda	Ncfsa
o	o	Sl
podnošenju	podnošenje	Ncnsl
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
/	/	Z
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
predujma	predujam	Ncmsg
te	te	Cc
svu	sav	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
propisanu	propisati	Appfsay
natječajem	natječaj	Ncmsi
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
se	sebe	Px--sa
kao	kao	Cs
vrijeme	vrijeme	Ncnsn
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
/	/	Z
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
predujma	predujam	Ncmsg
smatra	smatrati	Vmr3s
vrijeme	vrijeme	Ncnsa
slanja	slanje	Ncnsg
dokumentacije	dokumentacija	Ncfsg
u	u	Sl
slučaju	slučaj	Ncmsl
slanja	slanje	Ncnsg
preporučenom	preporučiti	Agpfsiy
pošiljkom	pošiljka	Ncfsi
s	sa	Si
povratnicom	povratnica	Ncfsi
odnosno	odnosni	Agpnsay
vrijeme	vrijeme	Ncnsa
zaprimanja	zaprimanje	Ncnsg
u	u	Sa
Agenciju	agencija	Ncfsa
za	za	Sa
plaćanja	plaćanje	Ncnpa
ako	ako	Cs
se	sebe	Px--sa
dostavlja	dostavljati	Vmr3s
neposredno	neposredno	Rgp
.	.	Z

Postupak	postupak	Ncmsn
obrade	obrada	Ncfsg

Članak	članak	Ncmsn
25.	25.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
treba	trebati	Vmr3s
sadržavati	sadržavati	Vmn
sve	sav	Agpmpay
plaćene	platiti	Agpmpay
račune	račun	Ncmpa
sukladno	sukladno	Rgp
Listi	lista	Ncfsd
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
,	,	Z
a	a	Cc
svi	sav	Agpmpny
priloženi	priložen	Agpmpny
računi	račun	Ncmpn
moraju	morati	Vmr3p
biti	biti	Van
plaćeni	platiti	Appmpny
u	u	Sl
cijelosti	cijelost	Ncfsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Korisniku	korisnik	Ncmsd
se	sebe	Px--sa
ne	ne	Qz
može	moći	Vmr3s
isplatiti	isplatiti	Vmn
potpora	potpora	Ncfsn
u	u	Sl
iznosu	iznos	Ncmsl
višem	visok	Agcmsly
od	od	Sg
iznosa	iznos	Ncmsg
navedenoga	naveden	Agpmsgy
u	u	Sl
Odluci	odluka	Ncfsl
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
korisnik	korisnik	Ncmsn
u	u	Sl
Zahtjevu	zahtjev	Ncmsl
za	za	Sa
isplatu	isplata	Ncfsa
navede	navesti	Vmr3s
iznos	iznos	Ncmsan
koji	koji	Pi-msn
je	biti	Var3s
viši	visok	Agcmsny
od	od	Sg
prihvatljivog	prihvatljiv	Agpmsgy
iznosa	iznos	Ncmsg
potpore	potpora	Ncfsg
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
je	biti	Var3s
ovlaštena	ovlašten	Agpfsny
umanjiti	umanjiti	Vmn
iznos	iznos	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Za	za	Sa
nepotpun	nepotpun	Agpmsann
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
Agencija	agencija	Ncfpg
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
izdati	izdati	Vmn
Zahtjev	zahtjev	Ncmsan
za	za	Sa
dopunu	dopuna	Ncfsa
/	/	Z
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
kojim	koji	Pi-msi
će	htjeti	Var3s
od	od	Sg
korisnika	korisnik	Ncmpg
tražiti	tražiti	Vmn
dostavljanje	dostavljanje	Ncnsa
dokumentacije	dokumentacija	Ncfsg
koja	koji	Pi-fsn
nedostaje	nedostajati	Vmr3s
.	.	Z

Korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
dostaviti	dostaviti	Vmn
traženu	tražen	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
preporučenom	preporučiti	Agpfsiy
pošiljkom	pošiljka	Ncfsi
ili	ili	Cc
neposredno	neposredno	Rgp
u	u	Sa
Agenciju	agencija	Ncfsa
za	za	Sa
plaćanja	plaćanje	Ncnpa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
pet	pet	Mlc
radnih	radni	Agpmpgy
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
zaprimanja	zaprimanje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
dopunu	dopuna	Ncfsa
/	/	Z
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
.	.	Z

Ako	ako	Cs
tražena	tražiti	Appfsny
dokumentacija	dokumentacija	Ncfsn
ne	ne	Qz
bude	biti	Var3s
poslana	poslati	Appfsny
u	u	Sl
zadanom	zadati	Agpmsly
roku	rok	Ncmsl
smatrat	smatrati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
da	da	Cs
je	biti	Var3s
korisnik	korisnik	Ncmsn
odustao	odustati	Vmp-sm
od	od	Sg
dijela	dio	Ncmsg
iznosa	iznos	Ncmsg
potpore	potpora	Ncfsg
za	za	Sa
koji	koji	Pi-msan
dokumentacija	dokumentacija	Ncfsn
nije	biti	Var3s
dostavljena	dostaviti	Appfsny
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Danom	dan	Agpnsly
zaprimanja	zaprimanje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
dopunu	dopuna	Ncfsa
/	/	Z
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsn
smatra	smatrati	Vmr3s
se	sebe	Px--sa
datum	datum	Ncmsn
kada	kada	Cs
korisnik	korisnik	Ncmsn
zaprimi	zaprimiti	Vmr3s
preporučenu	preporučiti	Agpfsay
pošiljku	pošiljka	Ncfsa
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ako	ako	Cs
korisnik	korisnik	Ncmsn
nije	biti	Var3s
preuzeo	preuzeti	Vmp-sm
Zahtjev	zahtjev	Ncmsan
za	za	Sa
dopunu	dopuna	Ncfsa
/	/	Z
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsn
prilikom	prilikom	Sg
prve	prvi	Mlofsg
dostave	dostava	Ncfsg
,	,	Z
dostava	dostava	Ncfsn
preporučene	preporučiti	Agpfsgy
pošiljke	pošiljka	Ncfsg
bit	biti	Van
će	htjeti	Var3s
ponovljena	ponoviti	Appfsny
još	još	Rgp
jednom	jednom	Rgp
.	.	Z

Ako	ako	Cs
korisnik	korisnik	Ncmsn
ne	ne	Qz
preuzme	preuzeti	Vmr3s
Zahtjev	zahtjev	Ncmsan
za	za	Sa
dopunu	dopuna	Ncfsa
niti	niti	Cc
nakon	nakon	Sg
ponovljene	ponoviti	Agpfsgy
dostave	dostava	Ncfsg
,	,	Z
Zahtjev	zahtjev	Ncmsan
za	za	Sa
dopunu	dopuna	Ncfsa
će	htjeti	Var3s
se	sebe	Px--sa
objaviti	objaviti	Vmn
na	na	Sl
oglasnoj	oglasni	Agpfsly
ploči	ploča	Ncfsl
u	u	Sl
sjedištu	sjedište	Ncnsl
Agencije	agencija	Ncfsg
za	za	Sg
plaćanja	plaćanje	Ncnsg
te	te	Cc
će	htjeti	Var3s
se	sebe	Px--sa
dostava	dostava	Ncfsn
smatrati	smatrati	Vmn
obavljenom	obaviti	Ncfsi

