dobi	doba	Ncfsl
obnove	obnova	Ncfsg
znanja	znanje	Ncnsg
i	i	Cc
vještina	vještina	Ncfpg
za	za	Sa
vozače	vozač	Ncmpa
izvanbolničke	izvanbolnički	Agpfsgy
hitne	hitan	Agpfsgy
medicinske	medicinski	Agpfpay
službe	služba	Ncfpa
koje	koji	Pi-fpn
vozačima	vozač	Ncmpi
omogućuju	omogućivati	Vmr3p
stjecanje	stjecanje	Ncnsa
i	i	Cc
održavanje	održavanje	Ncnsa
kompetencija	kompetencija	Ncfpg
kako	kako	Cs
bi	biti	Vaa3p
doprinijeli	doprinijeti	Vmp-pm
timskom	timski	Agpmsdy
radu	rad	Ncmsd
u	u	Sl
zbrinjavanju	zbrinjavanje	Ncnsl
hitnog	hitan	Agpmsgy
pacijenta	pacijent	Ncmsg
.	.	Z

Vozači	vozač	Ncmpn
u	u	Sl
timu	tim	Ncmsl
izvanbolničke	izvanbolnički	Agpfsgy
hitne	hitan	Agpfsgy
medicinske	medicinski	Agpfsgy
službe	služba	Ncfsg
obvezni	obvezan	Agpmpny
su	biti	Var3p
obnoviti	obnoviti	Vmn
stečena	steći	Agpnpay
znanja	znanje	Ncnpa
i	i	Cc
vještine	vještina	Ncfsg
prije	prije	Sg
isteka	istek	Ncmsg
roka	rok	Ncmsg
od	od	Sg
tri	tri	Mlc
godine	godina	Ncfsg
od	od	Sg
datuma	datum	Ncmsg
izdavanja	izdavanje	Ncnsg
potvrdnice	potvrdnica	Ncfsg
koju	koji	Pi-fsa
izdaje	izdavati	Vmr3s
Hrvatski	hrvatski	Agpmsny
zavod	zavod	Ncmsn
za	za	Sa
hitnu	hitan	Agpfsay
medicinu	medicina	Ncfsa
nakon	nakon	Sg
uspješno	uspješno	Rgp
završenog	završen	Agpmsgy
edukacijskog	edukacijski	Agpmsgy
programa	program	Ncmsg
.	.	Z

Članak	članak	Ncmsn
14.	14.	Mdo

Trajanje	trajanje	Ncnsn
edukacijskih	edukacijski	Agpfpgy
vježbi	vježba	Ncfpg
je	biti	Var3s
13	13	Mdc
školskih	školski	Agpmpgy
sati	sat	Ncmpg
prema	prema	Sl
Planu	plan	Ncmsl
i	i	Cc
programu	program	Ncmsl
edukacijskih	edukacijski	Agpfpgy
vježbi	vježba	Ncfpg
za	za	Sa
vozače	vozač	Ncmpa
izvanbolničke	izvanbolnički	Agpfsgy
hitne	hitan	Agpfsgy
medicinske	medicinski	Agpfsgy
službe	služba	Ncfsg
sukladno	sukladno	Rgp
Prilogu	Prilog	Npmsd
9.	9.	Mdo
Trajanje	trajanje	Ncnsn
edukacijskih	edukacijski	Agpfpgy
vježbi	vježba	Ncfpg
obnove	obnova	Ncfsg
znanja	znanje	Ncnsg
i	i	Cc
vještina	vještina	Ncfsn
je	biti	Var3s
10	10	Mdc
školskih	školski	Agpmpgy
sati	sat	Ncmpg
prema	prema	Sl
Planu	plan	Ncmsl
i	i	Cc
programu	program	Ncmsl
edukacijskih	edukacijski	Agpfpgy
vježbi	vježba	Ncfpg
obnove	obnova	Ncfsg
znanja	znanje	Ncnsg
i	i	Cc
vještina	vještina	Ncfpg
za	za	Sa
vozače	vozač	Ncmpa
izvanbolničke	izvanbolnički	Agpfsgy
hitne	hitan	Agpfsgy
medicinske	medicinski	Agpfsgy
službe	služba	Ncfsg
sukladno	sukladno	Rgp
Prilogu	Prilog	Npmsd
10.	10.	Mdo

Popis	popis	Ncmsn
opreme	oprema	Ncfsg
potrebne	potreban	Agpfpny
za	za	Sa
provođenje	provođenje	Ncnsa
edukacijskih	edukacijski	Agpfpgy
vježbi	vježba	Ncfpg
nalazi	nalaziti	Vmr3s
se	sebe	Px--sa
u	u	Sl
Prilogu	prilog	Ncmsl
11.	11.	Mdo

Oprema	oprema	Ncfsn
za	za	Sa
provođenje	provođenje	Ncnsa
edukacijskih	edukacijski	Agpfpgy
vježbi	vježba	Ncfpg
vozača	vozač	Ncmpg
izvanbolničke	izvanbolnički	Agpfsgy
hitnem	hitnuti	Ncfsg
medicinske	medicinski	Agpfsgy
službe	služba	Ncfsg
.	.	Z

Na	na	Sl
završetku	završetak	Ncmsl
edukacijskih	edukacijski	Agpfpgy
vježbi	vježba	Ncfpg
za	za	Sa
vozače	vozač	Ncmpa
izvanbolničke	izvanbolnički	Agpfsgy
hitne	hitan	Agpfsgy
medicinske	medicinski	Agpfsgy
službe	služba	Ncfsg
i	i	Cc
edukacijskih	edukacijski	Agpfpgy
vježbi	vježba	Ncfpg
obnove	obnova	Ncfsg
znanja	znanje	Ncnsg
i	i	Cc
vještina	vještina	Ncfpg
za	za	Sa
vozače	vozač	Ncmpa
izvanbolničke	izvanbolnički	Agpfsgy
hitne	hitan	Agpfsgy
medicinske	medicinski	Agpfsgy
službe	služba	Ncfsg
polaznik	polaznik	Ncmsn
pristupa	pristup	Ncmsg
pismenoj	pismen	Agpfsly
i	i	Cc
praktičnoj	praktičan	Agpfsly
provjeri	provjera	Ncfsl
znanja	znanje	Ncnsg
.	.	Z

Članak	članak	Ncmsn
15.	15.	Mdo

Očekivani	očekivati	Appmpny
ishodi	ishod	Ncmpn
učenja	učenje	Ncnsg
po	po	Sl
tematskim	tematski	Agpfply
cjelinama	cjelina	Ncfpl
su	biti	Var3p
sljedeći	sljedeći	Agpmsny
:	:	Z

1.	1.	Mdo
POZNAVANJE	poznavanje	Ncnsn
OPREME	oprema	Ncfsg

Završetkom	završetak	Ncmsi
ove	ovaj	Pd-fsg
tematske	tematski	Agpfsgy
cjeline	cjelina	Ncfsg
polaznik	polaznik	Ncmsn
će	htjeti	Var3s
poznavati	poznavati	Vmn
nazivlje	nazivlje	Ncnsa
i	i	Cc
način	način	Ncmsn
korištenja	korištenje	Ncnsg
opreme	oprema	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
koristi	koristiti	Vmr3s
pri	pri	Sl
zbrinjavanja	zbrinjavanje	Ncnsg
pacijenata	pacijent	Ncmpg
u	u	Sl
izvanbolničkoj	izvanbolnički	Agpfsly
hitnoj	hitan	Agpfsly
medicinskoj	medicinski	Agpfsly
službi	služba	Ncfsl
.	.	Z

Znanje	znanje	Ncnsn

Na	na	Sl
kraju	kraj	Ncmsl
ove	ovaj	Pd-fsg
tematske	tematski	Agpfsgy
cjeline	cjelina	Ncfsg
polaznik	polaznik	Ncmsn
će	htjeti	Var3s
:	:	Z

1.	1.	Mdo
nabrojati	nabrojati	Vmn
i	i	Cc
razlikovati	razlikovati	Vmn
opremu	oprema	Ncfsa
koja	koji	Pi-fsn
se	sebe	Px--sa
koristi	koristiti	Vmr3s
u	u	Sl
izvanbolničkoj	izvanbolnički	Agpfsly
hitnoj	hitan	Agpfsly
medicinskoj	medicinski	Agpfsly
službi	služba	Ncfsl

2.	2.	Mdo
objasniti	objasniti	Vmn
postupak	postupak	Ncmsan
zamjene	zamjena	Ncfsg
boce	boca	Ncfsg
za	za	Sa
kisik	kisik	Ncmsan

3.	3.	Mdo
navesti	navesti	Vmn
način	način	Ncmsan
izračuna	izračun	Ncmsg
količine	količina	Ncfsg
kisika	kisik	Ncmsg
potrebne	potreban	Agpfsgy
u	u	Sl
produženom	produžiti	Agpnsly
trajanju	trajanje	Ncnsl
transporta	transport	Ncmsg
.	.	Z

Vještine	vještina	Ncfpn

Na	na	Sl
kraju	kraj	Ncmsl
ove	ovaj	Pd-fsg
tematske	tematski	Agpfsgy
cjeline	cjelina	Ncfsg
polaznik	polaznik	Ncmsn
će	htjeti	Var3s
:	:	Z

1.	1.	Mdo
pokazati	pokazati	Vmn
opremu	oprema	Ncfsa
koja	koji	Pi-fsn
se	sebe	Px--sa
koristi	koristiti	Vmr3s
u	u	Sl
izvanbolničkoj	izvanbolnički	Agpfsly
hitnoj	hitan	Agpfsly
medicinskoj	medicinski	Agpfsly
službi	služba	Ncfsl

2.	2.	Mdo
odabrati	odabrati	Vmn
potrebnu	potreban	Agpfsay
opremu	oprema	Ncfsa
na	na	Sa
zahtjev	zahtjev	Ncmsan
liječnika	liječnik	Ncmpg
ili	ili	Cc
medicinske	medicinski	Agpfsgy
sestre	sestra	Ncfsg
–	–	Z
tehničara	tehničar	Ncmpg

3.	3.	Mdo
demonstrirati	demonstrirati	Vmn
rukovanje	rukovanje	Ncnsa
s	sa	Si
bocom	boca	Ncfsi
za	za	Sa
kisik	kisik	Ncmsan

4.	4.	Mdo
demonstrirati	demonstrirati	Vmn
zamjenu	zamjena	Ncfsa
boce	boca	Ncfsg
za	za	Sa
kisik	kisik	Ncmsan

5.	5.	Mdo
izračunati	izračunati	Vmn
količinu	količina	Ncfsa
kisika	kisik	Ncmsg
potrebnu	potreban	Agpfsay
u	u	Sl
produženom	produžiti	Agpnsly
trajanju	trajanje	Ncnsl
transporta	transport	Ncmsg
.	.	Z

2.	2.	Mdo
TRAUMA	trauma	Ncfsn

Završetkom	završetak	Ncmsi
ove	ovaj	Pd-fsg
tematske	tematski	Agpfsgy
cjeline	cjelina	Ncfsg
polaznik	polaznik	Ncmsn
će	htjeti	Var3s
aktivno	aktivno	Rgp
asistirati	asistirati	Vmn
liječniku	liječnik	Ncmsd
i	i	Cc
medicinskoj	medicinski	Agpfsly
sestri	sestra	Ncfsl
–	–	Z
tehničaru	tehničar	Ncmsl
pri	pri	Sl
trauma	trauma	Ncfsn
pregledu	pregled	Ncmsl
,	,	Z
skidanju	skidanje	Ncnsl
kacige	kaciga	Ncfsg
ozlijeđenoj	ozlijediti	Agpfsdy
osobi	osoba	Ncfsd
i	i	Cc
imobilizaciji	imobilizacija	Ncfsl
ozlijeđenog	ozlijediti	Appmsgy
s	sa	Si
različitim	različit	Agpmpiy
imobilizacijskim	imobilizacijski	Agpmpiy
sredstvima	sredstvo	Ncmpi
.	.	Z

2.1	2.i	Agpfsny
Asistencija	asistencija	Ncfsn
pri	pri	Sl
pregledu	pregled	Ncmsl
pacijenta	pacijent	Ncmsg

Znanja	znanje	Ncnpn

Na	na	Sl
kraju	kraj	Ncmsl
ove	ovaj	Pd-fsg
tematske	tematski	Agpfsgy
cjeline	cjelina	Ncfsg
polaznik	polaznik	Ncmsn
će	htjeti	Var3s
:	:	Z

1.	1.	Mdo
navesti	navesti	Vmn
zaštitnu	zaštitni	Agpfsay
opremu	oprema	Ncfsa

2.	2.	Mdo
opisati	opisati	Vmn
svoju	svoj	Px-fsa
ulogu	uloga	Ncfsa
kao	kao	Cs
člana	član	Ncmsg
tima	tim	Ncmsg
pri	pri	Sl
pregledu	pregled	Ncmsl
pacijenta	pacijent	Ncmsg

3.	3.	Mdo
razlikovati	razlikovati	Vmn
opremu	oprema	Ncfsa
koja	koji	Pi-fsn
je	biti	Var3s
potrebna	potreban	Agpfsny
pri	pri	Sl
pregledu	pregled	Ncmsl
pacijenta	pacijent	Ncmsg
na	na	Sa
zahtjev	zahtjev	Ncmsan
liječnika	liječnik	Ncmpg
ili	ili	Cc
medicinske	medicinski	Agpfsgy
sestre	sestra	Ncfsg
–	–	Z
tehničara	tehničar	Ncmpg

4.	4.	Mdo
definirati	definirati	Vmn
različitost	različitost	Ncfsa
pristupa	pristup	Ncmsg
ozlijeđenom	ozlijediti	Appnsly

