nagnutim	nagnuti	Agpmpiy
vinove	vinov	Agpfsgy
loze	loza	Ncfsg
,	,	Z
korijenja	korijenje	Ncnsg
i	i	Cc
drugih	drugi	Mlompg
biljnih	biljan	Agpmpgy
ostataka	ostatak	Ncmpg
,	,	Z

–	i	Agpfpay
aktivnosti	aktivnost	Ncfpa
vezane	vezan	Agpfpay
za	za	Sa
pripremu	priprema	Ncfsa
tla	tlo	Ncnsg
novog	nov	Agpnsgy
(	(	Z
restrukturiranog	restrukturirati	Agpmsgy
)	)	Z
vinograda	vinograd	Ncmsg
–	–	Z
analize	analiza	Ncfsg
tla	tlo	Ncnsg
,	,	Z
čišćenje	čišćenje	Ncnsa
tla	tlo	Ncnsg
od	od	Sg
kamenja	kamenje	Ncnsg
,	,	Z
rigolanje	rigolanje	Ncnsn
,	,	Z
duboko	dubok	Agpnsay
oranje	oranje	Ncnsa
,	,	Z
oranje	oranje	Ncnsa
,	,	Z
tanjuranje	tanjuranje	Ncnsa
i	i	Cc
ripanje	ripanje	Ncnsa
,	,	Z
usitnjavanje	usitnjavanje	Ncnsa
kamenitog	kamenit	Agpmsgy
sloja	sloj	Ncmsg
tla	tlo	Ncnsg
,	,	Z
planiranje	planiranje	Ncnsa
/	/	Z
ravnanje	ravnanje	Ncnsa
tla	tlo	Ncnsg
za	za	Sa
vinograd	vinograd	Ncmsan
,	,	Z
dezinfekcija	dezinfekcija	Ncfsn
,	,	Z
organska	organski	Agpfsny
i	i	Cc
mineralna	mineralan	Agpfsny
gnojidba	gnojidba	Ncfsn
,	,	Z

–	i	Agpfpay
aktivnosti	aktivnost	Ncfpa
vezane	vezan	Agpfpay
za	za	Sa
sadnju	sadnja	Ncfsa
ili	ili	Cc
cijepljenje	cijepljenje	Ncnsa
novog	nov	Agpnsgy
(	(	Z
restrukturiranog	restrukturirati	Agpmsgy
)	)	Z
vinograda	vinograd	Ncmsg
–	–	Z
planiranje	planiranje	Ncnsn
sadnje	sadnja	Ncfsg
,	,	Z
sadnja	sadnja	Ncfsn
cijepova	cijep	Ncmpg
/	/	Z
sadnica	sadnica	Ncfpg
vinove	vinov	Agpfsgy
loze	loza	Ncfsg
(	(	Z
uključuje	uključivati	Vmr3s
rad	rad	Ncmsan
,	,	Z
materijale	materijal	Ncmpa
i	i	Cc
druge	drugi	Agpmpay
ulazne	ulazan	Agpmpay
troškove	trošak	Ncmpa
)	)	Z
,	,	Z
cijepljenje	cijepljenje	Ncnsn
i	i	Cc
/	/	Z
ili	ili	Cc
nacjepljivanje	nacjepljivanje	Ncnsa
,	,	Z
postavljanje	postavljanje	Ncnsa
i	i	Cc
izmjena	izmjena	Ncfsn
armature	armatura	Ncfsg
(	(	Z
potporne	potporni	Agpfsgy
strukture	struktura	Ncfsg
)	)	Z
novog	nov	Agpnsgy
(	(	Z
restrukturiranog	restrukturirati	Agpmsgy
)	)	Z
vinograda	vinograd	Ncmsg
,	,	Z
kupnju	kupnja	Ncfsa
materijala	materijal	Ncmpg
(	(	Z
oprema	oprema	Ncfpg
za	za	Sa
fiksaciju	fiksacija	Ncfsa
,	,	Z
stupovi	stup	Ncmpn
,	,	Z
cijepovi	cijep	Ncmpn
ili	ili	Cc
sadnice	sadnica	Ncfpn
podloge	podloga	Ncfsg
vinove	vinov	Agpfsgy
loze	loza	Ncfsg
,	,	Z
čelične	čeličan	Agpfsgy
žice	žica	Ncfsg
,	,	Z
željezne	željezan	Agpfsgy
žice	žica	Ncfsg
,	,	Z
kuke	kuka	Ncfpn
,	,	Z
zatezači	zatezač	Ncmpn
i	i	Cc
sl.	sl.	Y
)	)	Z
,	,	Z

B.	B.	Y
ulaganja	ulaganje	Ncnsg
prihvatljiva	prihvatljiv	Agpfsny
u	u	Sl
okviru	okvir	Ncmsl
poboljšanja	poboljšanje	Ncnsg
vinogradarskih	vinogradarski	Agpfpgy
tehnika	tehnika	Ncfpg
upravljanja	upravljanje	Ncnsg
vinogradom	vinograd	Ncmsi
(	(	Z
uz	uz	Sa
promjenu	promjena	Ncfsa
sorte	sorta	Ncfsg
ili	ili	Cc
uz	uz	Sa
zadržavanje	zadržavanje	Ncnsa
iste	isti	Agpfsgy
sorte	sorta	Ncfsg
)	)	Z
:	:	Z

–	–	Sa
aktivnost	aktivnost	Ncfsa
promjene	promjena	Ncfsg
gustoće	gustoća	Ncfsg
sklopa	sklop	Ncmsg
vinograda	vinograd	Ncmsg
–	–	Z
promjena	promjena	Ncfpg
međurednog	međuredan	Agpmsgy
razmaka	razmak	Ncmsg
i	i	Cc
/	/	Z
ili	ili	Cc
razmaka	razmak	Ncmsg
unutar	unutar	Sg
reda	red	Ncmsg
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
izbjegla	izbjegao	Agpfsny
preopterećenost	preopterećenost	Ncfsn
pojedinih	pojedini	Agpmpgy
trsova	trs	Ncmpg
ili	ili	Cc
povećala	povećati	Vmp-sf
iskorištenost	iskorištenost	Ncfsn
proizvodne	proizvodni	Agpfsgy
površine	površina	Ncfsg
ili	ili	Cc
omogućio	omogućiti	Vmp-sm
pristup	pristup	Ncmsan
mehanizaciji	mehanizacija	Ncfsl
i	i	Cc
sl.	sl.	Y

–	i	Agpfpay
aktivnosti	aktivnost	Ncfpa
promjene	promjena	Ncfsg
potporne	potporni	Agpfsgy
strukture	struktura	Ncfsg
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
povećala	povećati	Vmp-sf
lisna	lisni	Agpfsny
površina	površina	Ncfsn
,	,	Z
prihvatljiva	prihvatljiv	Agpfsny
aktivnost	aktivnost	Ncfsn
može	moći	Vmr3s
biti	biti	Van
i	i	Qo
promjena	promjena	Ncfsn
postojeće	postojeći	Agpfsgy
potporne	potporni	Agpfsgy
strukture	struktura	Ncfsg
,	,	Z
dodavanjem	dodavanje	Ncnsi
najmanje	malo	Rgs
jedne	jedan	Mlcfsg
žice	žica	Ncfsg
,	,	Z

–		Agpfpgy
aktivnosti	aktivnost	Ncfpg
vezane	vezan	Agpfsgy
uz	uz	Sa
promjenu	promjena	Ncfsa
nagiba	nagib	Ncmsg
/	/	Z
razine	razina	Ncfsg
vinograda	vinograd	Ncmsg
–	–	Z
promjene	promjena	Ncfsg
nagiba	nagib	Ncmsg
terena	teren	Ncmsg
,	,	Z
ravnanje	ravnanje	Ncnsa
tla	tlo	Ncnsg
i	i	Cc
transformaciju	transformacija	Ncfsa
i	i	Cc
uspostavljanje	uspostavljanje	Ncnsa
vinograda	vinograd	Ncmsg
koja	koji	Pi-fsn
omogućuje	omogućivati	Vmr3s
izravan	izravan	Agpmsann
pristup	pristup	Ncmsan
traktorom	traktor	Ncmsi
,	,	Z

–		Agpfpgy
aktivnosti	aktivnost	Ncfpg
vezane	vezan	Agpfsgy
uz	uz	Sa
izgradnju	izgradnja	Ncfsa
antierozijskih	antierozijski	Agpmpgy
sustava	sustav	Ncmpg
(	(	Z
drenaža	drenaža	Ncfsn
)	)	Z
u	u	Sl
vinogradu	vinograd	Ncmsl
–	–	Z
kanali	kanal	Ncmpn
za	za	Sa
odvodnju	odvodnja	Ncfsa
i	i	Cc
/	/	Z
ili	ili	Cc
kolektori	kolektor	Ncmpn
,	,	Z
podzemni	podzeman	Agpmpny
odvodi	odvod	Ncmpn
,	,	Z

–	i	Agpfpay
aktivnosti	aktivnost	Ncfpa
vezane	vezan	Agpfpay
za	za	Sa
izgradnju	izgradnja	Ncfsa
terasa	terasa	Ncfpg
i	i	Cc
zidova	zid	Ncmpg
–	–	Z
terasiranje	terasiranje	Ncnsa
,	,	Z
uspostavljanje	uspostavljanje	Ncnsn
,	,	Z
rekonstrukcija	rekonstrukcija	Ncfsn
terasa	terasa	Ncfpg
,	,	Z
sa	sa	Si
ili	ili	Cc
bez	bez	Sg
suhozida	suhozid	Ncmsg
,	,	Z
izgradnja	izgradnja	Ncfsn
ili	ili	Cc
rekonstrukcija	rekonstrukcija	Ncfsn
zidova	zid	Ncmpg
,	,	Z
uključujući	uključivati	Rr
i	i	Cc
potrebne	potreban	Agpmpay
temelje	temelj	Ncmpa
,	,	Z

–	i	Agpfpny
aktivnosti	aktivnost	Ncfpn
povezane	povezati	Appfpny
s	sa	Si
tehničkim	tehnički	Agpfpiy
instalacijama	instalacija	Ncfpi
u	u	Sl
novom	nov	Agpmsly
(	(	Z
restrukturiranom	restrukturirati	Agpmsly
)	)	Z
vinogradu	vinograd	Ncmsl
–	–	Z

–	i	Agpfpay
aktivnosti	aktivnost	Ncfpa
vezane	vezan	Agpfpny
za	za	Sa
uvođenje	uvođenje	Ncnsa
ili	ili	Cc
poboljšanje	poboljšanje	Ncnsa
sustava	sustav	Ncmsg
navodnjavanja	navodnjavanje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Sve	sav	Agpfpay
aktivnosti	aktivnost	Ncfpa
vezane	vezan	Agpfpay
uz	uz	Sa
ulaganja	ulaganje	Ncnpa
prihvatljiva	prihvatljiv	Agpfsny
u	u	Sl
okviru	okvir	Ncmsl
poboljšanja	poboljšanje	Ncnsg
vinogradarskih	vinogradarski	Agpfpgy
tehnika	tehnika	Ncfpg
upravljanja	upravljanje	Ncnsg
vinogradom	vinograd	Ncmsi
moraju	morati	Vmr3p
biti	biti	Van
izvođene	izvoditi	Appfpny
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
Pravilnikom	pravilnik	Ncmsi
o	o	Sl
jednostavnim	jednostavan	Agpfply
građevinama	građevina	Ncfpl
i	i	Cc
radovima	rad	Ncmpl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
79/2014	79/2014	Mdc
i	i	Cc
41/2015	41/2015	Mds
)	)	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Sve	sav	Agpfpny
aktivnosti	aktivnost	Ncfpn
koje	koji	Pi-fpn
su	biti	Var3p
započete	započeti	Appfpny
prije	prije	Sg
zaprimanja	zaprimanje	Ncnsg
Odluke	odluka	Ncfsg
o	o	Sl
odobrenju	odobrenje	Ncnsl
projekta	projekt	Ncmsg
neće	htjeti	Var3s
se	sebe	Px--sa
sufinancirati	sufinancirati	Vmn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Iznimno	iznimno	Rgp
,	,	Z
od	od	Sg
odredbe	odredba	Ncfsg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
izuzete	izuzeti	Appfpny
su	biti	Var3p
aktivnosti	aktivnost	Ncfpn
naručivanja	naručivanje	Ncnsg
sadnog	sadni	Agpmsgy
materijala	materijal	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Sadni	sadni	Agpmsny
materijal	materijal	Ncmsn
,	,	Z
svih	sav	Agpfpgy
kategorija	kategorija	Ncfpg
,	,	Z
koji	koji	Pi-msn
se	sebe	Px--sa
koristi	koristiti	Vmr3s
u	u	Sl
okviru	okvir	Ncmsl
mjere	mjera	Ncfsg
Restrukturiranje	restrukturiranje	Ncnsn
,	,	Z
mora	morati	Vmr3s
biti	biti	Van
proizveden	proizvesti	Appmsnn
i	i	Cc
označen	označiti	Appmsnn
sukladno	sukladno	Rgp
Pravilniku	pravilnik	Ncmsd
o	o	Sl
stavljanju	stavljanje	Ncnsl
na	na	Sa
tržište	tržište	Ncnsa
materijala	materijal	Ncmpg
za	za	Sa
vegetativno	vegetativan	Agpnsay
umnažanje	umnažanje	Ncnsa
loze	loza	Ncfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
133/2006	133/2006	Mdc
,	,	Z
67/2010	67/2010	Mdc
,	,	Z
30/2011	30/2011	Mdc
i	i	Cc
77/2013	77/2013	Mds
)	)	Z
,	,	Z
a	a	Cc
sorte	sorta	Ncfpn
vinove	vinov	Aspfsgy
loze	loza	Ncfsg
moraju	morati	Vmr3p
biti	biti	Van
uvrštene	uvrstiti	Appfpny
u	u	Sa
preporučene	preporučiti	Appfpay
sorte	sorta	Ncfpa
za	za	Sa
pojedinu	pojedini	Agpfsay
podregiju	podregija	Ncfsa
sukladno	sukladno	Rgp
Pravilniku	pravilnik	Ncmsd
o	o	Sl
Nacionalnoj	nacionalan	Agpfsly
listi	lista	Ncfsl
priznatih	priznati	Agpmpgy
kultivara	kultivar	Ncmpg
vinove	vinov	Agpfsgy
loze	loza	Ncfsg

