ovoga	ovaj	Pd-msg
trgovačka	trgovački	Agpnpay
društva	društvo	Ncnpa
koja	koji	Pi-npa
obavljaju	obavljati	Vmr3p
zdravstvenu	zdravstven	Agpfsay
djelatnost	djelatnost	Ncfsa
,	,	Z
a	a	Cc
koja	koji	Pi-fsn
su	biti	Var3p
započela	započeti	Vmp-pn
s	sa	Si
radom	rad	Ncmsi
prije	prije	Sg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
moraju	morati	Vmr3p
uskladiti	uskladiti	Vmn
svoj	svoj	Px-msan
rad	rad	Ncmsan
u	u	Sl
pogledu	pogled	Ncmsl
radnika	radnik	Ncmpg
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
jedne	jedan	Agpfsgy
godine	godina	Ncfsg
od	od	Sg
dana	dan	Ncmsg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Zdravstvene	zdravstven	Agpfpny
ustanove	ustanova	Ncfpn
,	,	Z
zdravstveni	zdravstven	Agpmpny
radnici	radnik	Ncmpn
koji	koji	Pi-mpn
obavljaju	obavljati	Vmr3p
zdravstvenu	zdravstven	Agpfsay
djelatnost	djelatnost	Ncfsa
u	u	Sl
privatnoj	privatan	Agpfsly
praksi	praksa	Ncfsl
te	te	Cc
trgovačka	trgovački	Agpnpay
društva	društvo	Ncnpa
koja	koji	Pi-npa
obavljaju	obavljati	Vmr3p
zdravstvenu	zdravstven	Agpfsay
djelatnost	djelatnost	Ncfsa
,	,	Z
a	a	Cc
koja	koji	Pi-fsn
su	biti	Var3p
započela	započeti	Vmp-pn
s	sa	Si
radom	rad	Ncmsi
prije	prije	Sg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
moraju	morati	Vmr3p
uskladiti	uskladiti	Vmn
svoj	svoj	Px-msan
rad	rad	Ncmsan
u	u	Sl
pogledu	pogled	Ncmsl
medicinsko-tehničke	medicinsko-tehnički	Agpfsgy
opreme	oprema	Ncfsg
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
tri	tri	Mlc
godine	godina	Ncfsg
od	od	Sg
dana	dan	Ncmsg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Zdravstveni	zdravstven	Agpmpny
radnici	radnik	Ncmpn
koji	koji	Pi-mpn
danom	dan	Ncmsi
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
rade	raditi	Vmr3p
najmanje	malo	Rgs
tri	tri	Mlc
godine	godina	Ncfsg
u	u	Sl
djelatnosti	djelatnost	Ncfsl
dentalne	dentalan	Agpfsgy
medicine	medicina	Ncfsg
u	u	Sl
timu	tim	Ncmsl
s	sa	Si
doktorom	doktor	Ncmsi
dentalne	dentalan	Agpfsgy
medicine	medicina	Ncfsg
,	,	Z
nastavljaju	nastavljati	Vmr3p
obavljati	obavljati	Vmn
poslove	posao	Ncmpa
dentalnog	dentalan	Agpmsgy
asistenta	asistent	Ncmsg
.	.	Z

Zdravstveni	zdravstven	Agpmpny
radnici	radnik	Ncmpn
koji	koji	Pi-mpn
danom	dan	Ncmsi
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
rade	raditi	Vmr3p
na	na	Sl
poslovima	posao	Ncmpl
srodnih	srodan	Agpfpgy
zdravstvenih	zdravstven	Agpfpgy
struka	struka	Ncfpg
,	,	Z
a	a	Cc
u	u	Sl
istom	isti	Agpmsly
rangu	rang	Ncmsl
stručne	stručan	Agpfsgy
spreme	sprema	Ncfsg
,	,	Z
najmanje	malo	Rgs
10	10	Mdc
godina	godina	Ncfpg
u	u	Sl
kontinuitetu	kontinuitet	Ncmsl
na	na	Sl
istom	isti	Agpnsly
radnom	radni	Agpnsly
mjestu	mjesto	Ncnsl
,	,	Z
nastavljaju	nastavljati	Vmr3p
obavljati	obavljati	Vmn
poslove	posao	Ncmpa
na	na	Sl
istom	isti	Agpnsly
mjestu	mjesto	Ncnsl
.	.	Z

Članak	članak	Ncmsn
31.	31.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmoga	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
02/13	02/13	Mdc
-	-	Z
02/156	02/156	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
534	534	Mdc
-	-	Z
02	02	Mdc
-	-	Z
01	01	Mdc
-	-	Z
1/4	1/4	Mdc
-	-	Z
15	15	Mdc
-	-	Z
16	16	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
6.	6.	Mdo
studenoga	studeni	Ncmsg
2015.	2015.	Mdo

Ministar	ministar	Ncmsn
prim	prim	Ncmsan
.	.	Z

Siniša	Siniša	Npfsn
Varga	Varga	Npfsn
,	,	Z
dr.	dr.	Y
med	med	Ncmsan
.	.	Z
dent	dent	Ncmsan
.	.	Z
,	,	Z
v.	v.	Y
r.	r.	Y

